CESC IN Equity,price,volume,mc,pe,bm,div
2012-01-31,19.53,58045190.0,31465.1059,8.767,0.5192,0.4
2012-02-29,20.98,64976470.0,33788.9136,9.4144,0.5575,0.4
2012-03-31,21.07,71670030.0,33945.0834,10.7081,0.5437,0.4
2012-04-30,19.81,42001570.0,31914.8751,10.0677,0.5112,0.4
2012-05-31,20.84,59329790.0,33564.029,10.5879,0.5376,0.4
2012-06-30,22.47,32717290.0,36193.9296,11.4175,0.5798,0.4
2012-07-31,23.11,48970650.0,37224.6508,11.7426,0.5963,0.5
2012-08-31,23.77,32171960.0,38292.8527,12.0796,0.6134,0.5
2012-09-30,25.72,59042390.0,41434.9905,13.0708,0.6637,0.5
2012-10-31,21.3,255062680.0,34313.6443,10.8244,0.5496,0.5
2012-11-30,24.03,155290110.0,38698.8944,12.2077,0.6199,0.5
2012-12-31,24.65,152911110.0,39698.3815,12.523,0.6359,0.5
2013-01-31,24.13,99147950.0,38873.8046,12.2629,0.6227,0.5
2013-02-28,21.71,89528810.0,34963.311,11.0293,0.56,0.5
2013-03-31,20.54,48733580.0,33089.2725,5.5868,0.499,0.5
2013-04-30,22.17,57602710.0,35706.6796,6.0287,0.5384,0.5
2013-05-31,25.63,78378990.0,41285.0674,6.9706,0.6226,0.5
2013-06-30,26.27,57554700.0,42309.5521,7.1436,0.638,0.5
2013-07-31,24.91,57568320.0,40116.9266,6.7734,0.605,0.7
2013-08-31,23.89,49418800.0,38474.0191,6.496,0.5802,0.7
2013-09-30,26.29,28526240.0,42340.7861,7.1489,0.6385,0.7
2013-10-31,28.88,31795690.0,46526.1397,7.8555,0.7016,0.7
2013-11-30,29.57,65485470.0,47631.8227,8.0422,0.7183,0.7
2013-12-31,36.13,90797140.0,58201.4022,9.8268,0.8777,0.7
2014-01-31,33.96,86865530.0,54696.9494,9.2351,0.8248,0.7
2014-02-28,37.58,71426400.0,60537.7041,10.2212,0.9129,0.7
2014-03-31,38.88,83756590.0,62624.1341,9.8803,0.862,0.7
2014-04-30,35.28,67775300.0,56833.3538,8.9666,0.7823,0.7
2014-05-31,44.79,128950470.0,72144.2518,11.3823,0.993,0.7
2014-06-30,54.82,99709650.0,88304.7142,13.9319,1.2155,0.8
2014-07-31,50.08,170142830.0,80664.8821,12.7266,1.1103,0.8
2014-08-31,53.95,106778130.0,86892.9382,13.7092,1.196,0.8
2014-09-30,58.18,129223920.0,93708.1931,14.7844,1.2899,0.8
2014-10-31,52.59,78924990.0,84712.8062,13.3652,1.166,0.8
2014-11-30,55.06,104218770.0,94102.2408,13.993,1.2208,0.8
2014-12-31,52.0,94737980.0,88872.8657,13.2154,1.153,0.8
2015-01-31,56.72,81394320.0,96938.9614,14.4148,1.2576,0.8
2015-02-28,46.07,157327480.0,78738.8621,11.7085,1.0215,0.8
2015-03-31,46.84,112902630.0,80044.567,30.1978,1.0298,0.8
2015-04-30,42.5,96010960.0,72628.0008,27.3998,0.9344,0.8
2015-05-31,42.52,144626320.0,72667.7679,27.4148,0.9349,0.8
2015-06-30,43.34,69029460.0,74066.2446,27.9424,0.9529,0.8
2015-07-31,43.84,82910020.0,74927.8654,28.2675,0.9639,0.9
2015-08-31,40.64,100305970.0,69453.2597,26.2021,0.8935,0.9
2015-09-30,40.09,81239190.0,68512.1048,25.8471,0.8814,0.9
2015-10-31,45.1,77653930.0,77068.6615,29.0751,0.9915,0.9
2015-11-30,42.7,95870420.0,72972.6491,27.5299,0.9388,0.9
2015-12-31,39.84,140897630.0,68081.2944,25.6845,0.8759,0.9
2016-01-31,35.08,131493690.0,59955.548,22.619,0.7713,0.9
2016-02-29,33.91,108666080.0,57953.9367,21.8639,0.7456,0.9
2016-03-31,36.66,74508130.0,62659.7116,8.1206,0.5743,1.0
2016-04-30,41.77,81329990.0,71381.9646,9.251,0.6542,1.0
2016-05-31,42.23,92828720.0,72177.3068,9.354,0.6615,1.0
2016-06-30,46.29,94377040.0,79116.6677,10.2534,0.7251,1.0
2016-07-31,47.67,76661820.0,81469.5552,10.5583,0.7466,1.0
2016-08-31,51.7,57085010.0,88362.5211,11.4516,0.8098,1.0
2016-09-30,47.37,82219020.0,80959.2106,10.4921,0.742,1.0
2016-10-31,48.62,67509290.0,83086.751,10.7679,0.7615,1.0
2016-11-30,45.48,119129840.0,77718.191,10.0721,0.7123,1.0
2016-12-31,49.52,100380430.0,84637.6684,10.9689,0.7757,1.0
2017-01-31,57.25,123641990.0,97846.9771,12.6808,0.8967,1.0
2017-02-28,65.18,149982040.0,111400.9342,14.4373,1.0209,1.0
2017-03-31,65.25,124769700.0,111506.9798,16.1547,0.8529,1.0
2017-04-30,73.27,171275660.0,125213.3775,18.1404,0.9577,1.0
2017-05-31,71.18,360426190.0,121654.221,17.6248,0.9305,1.0
2017-06-30,67.37,71903280.0,115132.4148,16.6799,0.8806,1.0
2017-07-31,73.12,103062940.0,124968.147,18.1049,0.9558,1.0
2017-08-31,78.78,199100280.0,134638.1828,19.5058,1.0298,1.0
2017-09-30,76.54,149719560.0,130807.2845,18.9508,1.0005,1.0
2017-10-31,79.01,91043300.0,135035.854,19.5635,1.0329,1.0
2017-11-30,78.58,110745460.0,134300.1681,19.4569,1.0272,1.0
2017-12-31,81.29,84084330.0,138919.7811,20.1261,1.0626,1.0
2018-01-31,81.81,134686490.0,139814.5411,20.2558,1.0694,1.0
2018-02-28,79.38,109774010.0,135665.5057,19.6547,1.0377,1.0
2018-03-31,74.94,131712830.0,128076.6149,12.0039,1.1798,1.2
2018-04-30,82.24,92145580.0,140543.6048,13.1724,1.2946,1.2
2018-05-31,79.06,94858120.0,135115.3939,12.6636,1.2446,1.2
2018-06-30,70.74,79977630.0,120898.6511,11.3312,1.1137,1.2
2018-07-31,73.26,101698740.0,125206.755,11.735,1.1534,1.2
2018-08-31,77.25,137096130.0,132013.5591,12.3729,1.2161,1.2
2018-09-30,63.67,135815080.0,108809.4487,10.1981,1.0023,1.2
2018-10-31,69.5,274346390.0,92120.517,11.1314,1.094,1.2
2018-11-30,69.95,113025400.0,92723.6516,11.2043,1.1012,1.2
2018-12-31,66.84,115646390.0,88594.4997,10.7054,1.0522,1.2
2019-01-31,69.39,110788570.0,91981.3321,11.1146,1.0924,1.2
2019-02-28,67.3,89769790.0,89204.2621,10.7791,1.0594,1.75
2019-03-31,73.07,67796770.0,96852.8035,8.1801,1.0793,1.75
2019-04-30,70.13,72770060.0,92955.6264,7.851,1.0359,1.75
2019-05-31,74.49,75462590.0,98735.1135,8.3391,1.1003,1.75
2019-06-30,78.43,101055650.0,103964.4888,8.7808,1.1585,1.75
2019-07-31,74.41,76313010.0,98635.6957,8.3307,1.0991,1.75
2019-08-31,77.45,84024470.0,102665.4298,8.6711,1.1441,1.75
2019-09-30,74.6,117817610.0,98894.1819,8.3526,1.102,1.75
2019-10-31,79.83,74897110.0,105820.2874,8.9375,1.1792,1.75
2019-11-30,75.11,78123910.0,99563.595,8.4091,1.1095,1.75
2019-12-31,73.68,52072730.0,97668.0293,8.249,1.0884,1.75
2020-01-31,71.03,81298690.0,94148.6398,7.9517,1.0491,1.75
2020-02-29,64.7,63242770.0,85757.779,7.2431,0.9556,2.0
2020-03-31,40.86,111022130.0,54156.1799,4.2744,0.5754,2.0
2020-04-30,65.6,201942440.0,86957.4202,6.8634,0.9239,2.0
2020-05-31,55.24,153795130.0,73217.8827,5.7789,0.778,2.0
2020-06-30,62.2,89905800.0,82450.4807,6.5076,0.876,2.0
2020-07-31,54.96,85227650.0,72846.723,5.7496,0.774,2.0
2020-08-31,60.05,93332740.0,79593.8765,6.2822,0.8457,2.0
2020-09-30,61.4,83827010.0,81390.0244,6.4239,0.8648,2.0
2020-10-31,56.3,32683610.0,74629.6152,5.8904,0.793,2.0
2020-11-30,58.14,51995960.0,77068.6648,6.0829,0.8189,2.0
2020-12-31,61.43,96724740.0,81429.7915,6.4271,0.8652,2.0
2021-01-31,61.05,236596830.0,80926.0748,6.3873,0.8599,4.5
2021-02-28,60.57,88125980.0,80289.8009,6.3371,0.8531,4.5
2021-03-31,59.36,82587650.0,78679.2329,5.9119,0.7969,4.5
2021-04-30,60.8,75855120.0,80588.0543,6.0553,0.8163,4.5
2021-05-31,68.47,136498040.0,90761.8073,6.8197,0.9193,4.5
2021-06-30,76.99,243305100.0,102055.6674,7.6683,1.0337,4.5
2021-07-31,83.88,157166590.0,111188.8477,8.3546,1.1262,4.5
2021-08-31,80.39,115487790.0,106555.979,8.0065,1.0793,4.5
2021-09-30,91.55,168443510.0,121355.9729,9.1185,1.2292,4.5
2021-10-31,87.2,165014290.0,115589.7415,8.6853,1.1708,4.5
2021-11-30,87.5,63810842.0,115987.4126,8.7151,1.1748,4.5
2021-12-31,87.5,50024196.0,115987.4126,8.7151,1.1748,4.5
2022-01-31,84.7,83328176.0,112275.8154,8.4363,1.1372,4.5
2022-02-28,78.3,44540213.0,103792.1647,7.7988,1.0513,4.5
2022-03-31,75.85,56542200.0,100544.5171,7.4,0.9671,4.5
2022-04-30,85.65,68200784.0,113535.1073,8.3561,1.0921,4.5
2022-05-31,78.0,36802220.0,103394.4935,7.6098,0.9945,4.5
2022-06-30,71.2,28144183.0,94380.6146,6.9463,0.9078,4.5
2022-07-31,76.65,28316512.0,101604.9735,7.478,0.9773,4.5
2022-08-31,81.45,70145993.0,107967.7115,7.9463,1.0385,4.5
2022-09-30,77.3,65847251.0,102466.5942,7.5415,0.9856,4.5
2022-10-31,76.75,27914863.0,101737.5305,7.4878,0.9786,4.5
2022-11-30,74.4,40746267.0,98622.44,7.2585,0.9486,4.5
2022-12-31,76.4,62274641.0,101273.5809,7.4537,0.9741,4.5
2023-01-31,72.45,35774253.0,96037.5777,7.0683,0.9238,4.5
2023-02-28,69.35,51065154.0,91928.3093,6.7659,0.8842,4.5
2023-03-31,66.65,52208821.0,88349.2692,6.5795,0.8098,4.5
2023-04-30,68.5,25584399.0,90801.5745,6.7621,0.8323,4.5
2023-05-31,69.25,76328242.0,91795.7523,6.8361,0.8414,4.5
2023-06-30,71.95,47514802.0,95374.7924,7.1027,0.8742,4.5
2023-07-31,78.3,79450851.0,103792.1647,7.7295,0.9513,4.5
2023-08-31,83.2,133809539.0,110287.4598,8.2132,1.0108,4.5
2023-09-30,89.95,162565749.0,119235.0602,8.8796,1.0929,4.5
2023-10-31,84.75,80579208.0,112342.0939,8.3662,1.0297,4.5
2023-11-30,97.2,185431141.0,128845.4458,9.5953,1.1809,4.5
2023-12-31,132.5,408475517.0,175638.082,13.08,1.6098,4.5
2024-01-31,143.1,253123148.0,189689.1285,14.1264,1.7386,4.5
2024-02-29,126.85,129442982.0,168148.609,12.5222,1.5412,4.5
2024-03-31,121.65,99686255.0,161255.6428,11.7197,1.4089,4.5
2024-04-30,147.35,154311331.0,195322.8029,14.1956,1.7065,4.5
2024-05-31,147.05,146256647.0,194925.1317,14.1667,1.7031,4.5
2024-06-30,162.6,171017880.0,215537.7519,15.6647,1.8831,4.5
2024-07-31,172.52,226020614.0,228687.4106,16.6204,1.998,4.5
2024-08-31,194.04,301300791.0,257213.6862,18.6936,2.2473,4.5
2024-09-30,201.42,154486321.0,266996.396,19.4046,2.3327,4.5
2024-10-31,189.19,88557226.0,250784.6697,18.2264,2.1911,4.5
2024-11-30,173.98,60773114.0,230622.7434,16.7611,2.0149,4.5
2024-12-31,185.93,132376313.0,246463.31,17.9123,2.1533,4.5
2025-01-31,142.98,161383934.0,189530.0601,13.7746,1.6559,4.5
2025-02-28,130.79,114052033.0,173371.3565,12.6002,1.5147,4.5
2025-03-31,153.86,80402497.0,203952.2664,14.9089,1.6982,4.5
2025-04-30,159.01,62565374.0,210778.9541,15.4079,1.7551,4.5
2025-05-31,162.4,125108340.0,215272.6378,15.7364,1.7925,4.5
2025-06-30,171.75,67385000.0,227666.7214,16.6424,1.8957,4.5
2025-07-31,169.51,85520945.0,224697.4436,16.4254,1.871,4.5
2025-08-31,152.19,77477925.0,201738.5637,14.7471,1.6798,4.5
2025-09-30,161.95,48220644.0,214676.1311,15.6928,1.7875,4.5
2025-10-31,179.96,80011932.0,238549.6546,17.438,1.9863,10.5
2025-11-30,170.48,29684194.0,225983.2469,16.5194,1.8817,10.5
2025-12-31,167.56,25193414.0,222112.5813,16.2364,1.8494,10.5
2026-01-31,150.16,48906639.0,199047.6558,14.5504,1.6574,6.0
2026-02-28,158.15,36059481.0,209638.9635,15.3246,1.7456,6.0
2026-03-31,155.65,7030122.0,206325.0293,15.0824,1.718,6.0
