CESC IN Equity,price,volume,mc,pe,bm,div
2008-03-31,31.96,44551580.0,51501.3731,14.1331,0.8803,0.35
2008-04-30,38.77,45319300.0,62474.0025,17.1442,1.0679,0.35
2008-05-31,38.38,36256320.0,61836.6402,16.9693,1.057,0.35
2008-06-30,30.51,21738060.0,49164.378,13.4918,0.8404,0.35
2008-07-31,27.11,30148310.0,43678.0634,11.9862,0.7466,0.4
2008-08-31,25.9,31526520.0,41728.4846,11.4512,0.7133,0.4
2008-09-30,21.35,63960330.0,34392.5695,9.4381,0.5879,0.4
2008-10-31,15.81,77608670.0,25469.4973,6.9894,0.4354,0.4
2008-11-30,15.35,40628880.0,24738.4053,6.7888,0.4229,0.4
2008-12-31,18.43,30268530.0,29693.5847,8.1486,0.5076,0.4
2009-01-31,17.89,24277130.0,28831.271,7.9119,0.4928,0.4
2009-02-28,16.09,29300010.0,25931.8974,7.1163,0.4433,0.4
2009-03-31,16.37,36824830.0,26369.3029,26.3827,0.4543,0.4
2009-04-30,18.05,32174750.0,29081.217,29.096,0.501,0.4
2009-05-31,27.22,63724060.0,43865.5229,43.8879,0.7557,0.4
2009-06-30,21.43,103764600.0,34536.2884,34.5539,0.595,0.4
2009-07-31,24.35,161410810.0,39235.2732,39.2553,0.6759,0.4
2009-08-31,28.71,99070430.0,46245.0226,46.2823,0.7969,0.4
2009-09-30,30.2,75520280.0,48643.7918,48.683,0.8383,0.4
2009-10-31,28.86,53879480.0,46482.4008,46.5199,0.801,0.4
2009-11-30,29.97,37196300.0,48275.2309,48.3142,0.8319,0.4
2009-12-31,29.96,56465950.0,48262.7373,48.3017,0.8317,0.4
2010-01-31,30.24,79931930.0,48706.2598,48.7455,0.8393,0.4
2010-02-28,29.73,25555200.0,47894.1764,47.9328,0.8253,0.4
2010-03-31,29.68,43293930.0,47812.9681,23.5843,0.817,0.4
2010-04-30,31.52,62665260.0,50773.9489,25.0448,0.8676,0.4
2010-05-31,29.57,43597380.0,47631.811,23.4949,0.8139,0.4
2010-06-30,29.16,39541430.0,46963.404,23.1652,0.8025,0.4
2010-07-31,30.59,74154350.0,49268.4713,24.3022,0.8419,0.4
2010-08-31,29.28,41338080.0,47169.5482,23.2669,0.806,0.4
2010-09-30,29.84,73510020.0,48069.0867,23.7106,0.8214,0.4
2010-10-31,28.8,61658360.0,46388.6989,22.8818,0.7926,0.4
2010-11-30,27.89,43243640.0,44926.9489,22.1607,0.7677,0.4
2010-12-31,28.31,29130080.0,45607.8495,22.4966,0.7793,0.4
2011-01-31,23.89,40643370.0,38474.0097,18.9777,0.6574,0.4
2011-02-28,23.2,28555820.0,37368.327,18.4324,0.6385,0.4
2011-03-31,24.07,21524470.0,38767.6091,10.8016,0.6397,0.4
2011-04-30,23.91,18107380.0,38505.2437,10.7285,0.6353,0.4
2011-05-31,21.62,19345360.0,34832.1283,9.7051,0.5747,0.4
2011-06-30,23.15,51442460.0,37293.3655,10.3909,0.6153,0.4
2011-07-31,26.19,101316520.0,42184.6059,11.7537,0.6961,0.4
2011-08-31,23.43,44335420.0,37736.8879,10.5145,0.6227,0.4
2011-09-30,21.53,33158070.0,34682.2052,9.6633,0.5723,0.4
2011-10-31,21.42,21723730.0,34507.295,9.6146,0.5694,0.4
2011-11-30,20.19,55900580.0,32514.5674,9.0594,0.5365,0.4
2011-12-31,15.62,74514420.0,25162.0898,7.0108,0.4152,0.4
