INXW IN Equity,price,volume,mc,pe,bm,div
2015-04-30,105.07,352339237.0,94614.8366,28.788,6.7975,0.0
2015-05-31,107.38,56178114.0,96700.8746,29.4227,6.9473,0.0
2015-06-30,104.22,28040181.0,93849.2251,28.555,6.7425,0.0
2015-07-31,102.92,28338563.0,92684.1544,28.2005,6.6588,0.0
2015-08-31,90.21,16965514.0,81233.173,24.7164,5.8361,0.0
2015-09-30,88.42,13707591.0,79624.2657,24.2269,5.7205,0.0
2015-10-31,97.83,27934055.0,88101.5426,26.8062,6.3295,0.0
2015-11-30,89.07,9017918.0,80212.3491,24.4058,5.7627,0.0
2015-12-31,88.6,10818212.0,79790.7044,24.2775,5.7324,0.0
2016-01-31,78.09,12251598.0,70325.8913,21.3977,5.0525,0.0
2016-02-29,53.92,29788380.0,48555.7117,14.7738,3.4884,0.0
2016-03-31,63.88,43948351.0,57521.2087,12.4735,3.0486,0.0
2016-04-30,66.98,28652158.0,60317.3786,13.0799,3.1968,0.0
2016-05-31,53.88,83686868.0,48522.4239,10.5221,2.5716,0.0
2016-06-30,58.59,33883806.0,52761.0624,11.4413,2.7963,0.0
2016-07-31,54.88,21528784.0,49421.1928,10.717,2.6193,0.0
2016-08-31,46.39,34667120.0,41776.1093,9.0592,2.2141,0.0
2016-09-30,49.35,85354290.0,44439.1282,9.6367,2.3552,0.0
2016-10-31,52.29,28820042.0,47091.0513,10.2117,2.4958,0.0
2016-11-30,46.99,20796831.0,42319.809,9.1771,2.2429,0.0
2016-12-31,44.83,29386315.0,40366.9285,8.7536,2.1394,0.0
2017-01-31,45.18,31417305.0,40688.7099,8.8234,2.1565,0.0
2017-02-28,42.4,34436521.0,38181.0338,8.2796,2.0236,0.0
2017-03-31,42.0,51795388.0,37825.9646,12.4689,1.7275,0.0
2017-04-30,48.39,79757203.0,43573.6471,14.3636,1.99,0.0
2017-05-31,33.59,92841415.0,30247.4566,9.9707,1.3814,0.0
2017-06-30,35.06,26042458.0,31567.8701,10.406,1.4417,0.0
2017-07-31,33.9,63787646.0,30524.8544,10.0622,1.3941,0.0
2017-08-31,31.9,56001619.0,28727.3166,9.4696,1.312,0.0
2017-09-30,26.44,29694152.0,23811.8275,7.8493,1.0875,0.0
2017-10-31,36.39,69809891.0,32766.2286,10.801,1.4965,0.0
