IDEA IN Equity,price,volume,mc,pe,bm,div
2009-03-31,30.26,211176725.0,155314.758,16.5347,1.1263,0.0
2009-04-30,35.06,278425422.0,179960.513,19.1584,1.305,0.0
2009-05-31,50.83,532058957.0,260872.9918,27.7723,1.8918,0.0
2009-06-30,43.07,605391919.0,221036.7714,23.8462,1.7423,0.0
2009-07-31,47.69,359006969.0,244752.4979,26.4047,1.7423,0.0
2009-08-31,48.98,292404833.0,251417.7021,27.1237,1.7423,0.0
2009-09-30,45.45,242387508.0,233282.1465,23.5156,1.7423,0.0
2009-10-31,31.44,477279374.0,161359.9432,16.2656,1.7423,0.0
2009-11-30,30.77,327718839.0,157949.8388,15.9219,1.7423,0.0
2009-12-31,35.06,285301561.0,179960.513,19.0954,1.7423,0.0
2010-01-31,35.3,186762025.0,181200.551,19.227,1.7423,0.0
2010-02-28,36.9,107843363.0,189415.8027,20.0987,1.7423,0.0
2010-03-31,39.56,152693260.0,216125.1816,21.3355,1.8202,0.0
2010-04-30,36.93,171308094.0,201785.087,19.9186,1.6994,0.0
2010-05-31,30.5,343369932.0,166650.6534,16.4495,1.4034,0.0
2010-06-30,35.85,277803889.0,195863.7373,21.8199,1.5924,0.0
2010-07-31,42.64,427325134.0,232996.3228,25.9559,1.5924,0.0
2010-08-31,43.22,204995687.0,236135.4553,26.3051,1.5924,0.0
2010-09-30,44.48,217537343.0,243089.6467,28.8824,2.045,0.0
2010-10-31,40.74,179395384.0,222651.3302,26.451,1.8728,0.0
2010-11-30,43.82,192185952.0,239501.8085,28.451,2.0144,0.0
2010-12-31,42.01,148052826.0,229623.536,25.3832,1.8895,0.0
2011-01-31,42.16,105676583.0,230448.9262,25.4745,1.8895,0.0
2011-02-28,34.76,226374584.0,190042.7312,21.0036,1.8895,0.0
2011-03-31,40.74,118276853.0,222805.6616,24.7978,1.8117,0.0
2011-04-30,41.62,136656447.0,227595.4053,25.3309,1.8507,0.0
2011-05-31,41.46,61112871.0,226769.5874,25.239,1.844,0.0
2011-06-30,48.23,210768240.0,263782.9544,30.1321,2.1193,0.0
2011-07-31,56.99,423978008.0,311709.4805,35.6038,2.1193,0.0
2011-08-31,60.37,389591447.0,330229.1144,37.717,2.1193,0.0
2011-09-30,59.49,201017099.0,325641.9138,40.535,2.591,0.0
2011-10-31,57.14,171084089.0,312748.4776,38.93,2.4884,0.0
2011-11-30,59.16,311854546.0,323853.1898,40.3086,2.5765,0.0
2011-12-31,49.71,269110005.0,272201.3025,35.7826,2.1083,0.0
2012-01-31,57.59,167352546.0,315363.2345,41.4565,2.1083,0.0
2012-02-29,57.08,203615492.0,312582.1904,41.087,2.1083,0.0
2012-03-31,59.68,151568657.0,326913.8831,45.1142,2.5054,0.0
2012-04-30,47.41,175911101.0,259744.3302,35.8447,1.9906,0.0
2012-05-31,45.9,115475972.0,251511.0527,34.7032,1.9272,0.0
2012-06-30,45.78,73210654.0,250862.0801,32.1186,1.8905,0.0
2012-07-31,48.29,99392924.0,264624.9161,33.8771,1.8905,0.0
2012-08-31,45.09,77909974.0,247082.5515,31.6314,1.8905,0.0
2012-09-30,51.52,78391995.0,282415.1385,30.7942,2.0911,0.0
2012-10-31,51.7,66825801.0,283420.2207,30.9025,2.0984,0.0
2012-11-30,58.62,100165376.0,321365.3423,35.0361,2.3791,0.0
2012-12-31,62.7,79778954.0,343776.1475,36.4211,2.547,0.0
2013-01-31,68.22,229975379.0,374183.6334,39.6316,2.547,0.0
2013-02-28,71.03,128757781.0,389668.2029,41.2632,2.547,0.0
2013-03-31,68.8,84396873.0,377501.2782,37.2222,2.6392,0.0
2013-04-30,80.18,179100285.0,440042.6558,43.3824,3.076,0.0
2013-05-31,79.15,156282818.0,434467.1919,42.8268,3.0366,0.0
2013-06-30,85.47,200796826.0,469153.3029,37.7333,3.2406,0.0
2013-07-31,102.05,239769775.0,560266.3308,45.0533,3.2406,0.0
2013-08-31,96.58,254361502.0,530342.9377,42.64,3.2406,0.0
2013-09-30,101.62,188114278.0,558081.5531,38.5011,3.5641,0.1812
2013-10-31,104.34,194869265.0,573049.7499,39.5309,3.6594,0.1812
2013-11-30,105.97,200881147.0,582112.1307,40.1487,3.7166,0.1812
2013-12-31,100.81,132002166.0,553801.7858,32.7898,3.6032,0.1812
2014-01-31,86.67,255435796.0,476240.9053,28.1925,3.6032,0.1812
2014-02-28,77.86,237064012.0,427860.2309,25.3242,3.6032,0.1812
2014-03-31,83.02,178759025.0,456283.3623,23.1397,2.7612,0.1812
2014-04-30,81.36,145829109.0,447154.3754,22.6768,2.7059,0.1812
2014-05-31,83.26,268652430.0,457670.8176,23.2071,2.7692,0.1812
2014-06-30,80.0,384060440.0,469410.7224,19.7687,2.3288,0.1812
2014-07-31,94.74,341590369.0,564016.6699,23.4104,2.7578,0.1812
2014-08-31,97.79,205714008.0,582217.4597,24.1642,2.8466,0.1812
2014-09-30,100.32,463949679.0,597367.8632,22.2654,2.7624,0.2416
2014-10-31,98.3,123655709.0,585389.3798,21.8164,2.7067,0.2416
2014-11-30,95.85,121136788.0,570867.2633,21.2735,2.6393,0.2416
2014-12-31,92.9,186130945.0,553293.0969,18.802,2.2799,0.2416
2015-01-31,93.53,169420149.0,557070.4555,18.9303,2.2955,0.2416
2015-02-28,92.35,150248644.0,550074.2495,18.6919,2.2666,0.2416
2015-03-31,111.14,405835869.0,662003.3848,20.3991,2.8749,0.2416
2015-04-30,105.7,277948131.0,629622.7844,19.4013,2.7342,0.2416
2015-05-31,104.61,192072613.0,623203.3687,19.2018,2.7061,0.2416
2015-06-30,106.39,155270586.0,633846.9614,19.0639,2.6458,0.2416
2015-07-31,104.7,151997379.0,623836.7526,18.7608,2.6037,0.2416
2015-08-31,94.13,154586093.0,560859.2899,16.8669,2.3409,0.2416
2015-09-30,90.3,127645238.0,538104.6281,16.1622,2.1727,0.3624
2015-10-31,84.56,164023228.0,503945.4834,15.1351,2.0347,0.3624
2015-11-30,85.41,175688267.0,508984.9382,15.2865,2.055,0.3624
2015-12-31,86.76,124568354.0,517191.6944,16.0503,2.0259,0.3624
2016-01-31,62.3,181892065.0,371383.0379,11.5251,1.4547,0.3624
2016-02-29,63.0,155790535.0,375528.2031,11.6536,1.471,0.3624
2016-03-31,66.56,201556874.0,396776.1224,14.596,1.6848,0.3624
2016-04-30,71.6,178427517.0,426840.3748,15.702,1.8124,0.3624
2016-05-31,69.43,195327270.0,413879.8604,15.2252,1.7574,0.3624
2016-06-30,64.39,732206381.0,383845.7016,18.4363,1.6149,0.3624
2016-07-31,63.24,198197184.0,377004.1741,18.1077,1.5861,0.3624
2016-08-31,56.44,361483070.0,336495.1296,16.162,1.4157,0.3624
2016-09-30,47.78,500483215.0,284823.5928,20.3756,1.2068,0.3624
2016-10-31,46.39,332624098.0,276541.7437,19.7832,1.1718,0.3624
2016-11-30,46.78,276229944.0,278882.2663,19.9506,1.1817,0.3624
2016-12-31,44.79,266948116.0,267038.046,77.0721,1.1502,0.3624
2017-01-31,66.5,1161766157.0,396505.5814,114.4388,1.7078,0.3624
2017-02-28,69.97,1303098613.0,417255.7231,120.4154,1.797,0.3624
2017-03-31,51.85,1501622997.0,309517.4195,90.4805,1.2515,0.3624
2017-04-30,51.91,333729694.0,309877.9523,90.4805,1.2529,0.3624
2017-05-31,48.32,497202714.0,288464.6289,90.4805,1.1662,0.3624
2017-06-30,51.49,310713909.0,307418.1602,90.4805,1.2857,0.3624
2017-07-31,55.84,714680505.0,333381.9227,90.4805,1.3943,0.3624
2017-08-31,54.75,314239863.0,326942.2604,90.4805,1.3671,0.3624
2017-09-30,46.78,436339518.0,279350.6913,90.4805,1.2253,0.3624
2017-10-31,56.08,615979689.0,334896.2129,90.4805,1.4689,0.0
2017-11-30,57.05,796964517.0,340707.1607,90.4805,1.4942,0.0
2017-12-31,65.32,345834104.0,390151.0405,90.4805,1.8158,0.0
2018-01-31,56.23,826058220.0,335864.978,90.4805,1.5631,0.0
2018-02-28,50.68,498729209.0,365673.7773,90.4805,1.4086,0.0
