GCPL IN Equity,price,volume,mc,pe,bm,div
2009-03-31,44.47,17570181.0,34503.9092,19.5315,5.9976,1.0833
2009-04-30,46.68,8948067.0,36223.9316,20.5051,6.2966,1.0833
2009-05-31,61.02,20282190.0,47345.8814,26.8009,8.2299,1.0833
2009-06-30,55.05,8786127.0,42716.0465,20.8523,7.5397,1.0833
2009-07-31,73.63,15633156.0,57135.7837,27.8914,7.5397,1.0833
2009-08-31,78.97,12334239.0,61274.1836,29.9116,7.5397,1.4167
2009-09-30,81.23,14006403.0,63033.0035,23.9187,7.5397,1.4167
2009-10-31,90.28,7337583.0,70055.3508,26.5834,7.5397,1.4167
2009-11-30,96.73,7671477.0,89929.0018,28.4826,7.5397,1.5
2009-12-31,87.93,12160374.0,81748.0037,23.143,7.5397,1.5
2010-01-31,78.27,4461459.0,72761.3012,20.5989,7.5397,1.5
2010-02-28,82.17,17685861.0,76386.9709,21.6253,7.5397,1.5
2010-03-31,87.1,8867745.0,80973.288,21.6511,8.4352,1.5
2010-04-30,96.68,26550693.0,89882.5189,24.0333,9.3633,1.5
2010-05-31,108.32,42354039.0,100697.5504,26.9251,10.4899,1.6667
2010-06-30,114.88,27651015.0,106802.3104,25.7997,11.1017,1.6667
2010-07-31,114.58,14007207.0,111817.2026,25.7323,11.1017,1.4167
2010-08-31,123.68,9660744.0,120697.5215,27.776,11.1017,1.4167
2010-09-30,135.3,24412341.0,131345.2167,29.413,8.3829,1.4167
2010-10-31,139.98,22182786.0,135891.6574,30.4312,8.6731,1.4167
2010-11-30,136.2,8237139.0,132218.9099,29.6087,8.4387,1.4167
2010-12-31,128.97,18117036.0,125197.005,26.3018,8.0442,1.4167
2011-01-31,123.58,16541883.0,119971.0251,25.2039,8.0442,1.4167
2011-02-28,120.1,9178824.0,116589.5087,24.4935,8.0442,1.4167
2011-03-31,121.83,10418853.0,118272.1771,22.6878,6.8557,1.4167
2011-04-30,125.4,5663709.0,121734.5911,23.352,7.0564,1.4167
2011-05-31,139.88,12635394.0,135794.5804,26.049,7.8714,1.5
2011-06-30,143.88,29660862.0,139677.6614,22.1359,7.9221,1.5
2011-07-31,145.62,15456288.0,141360.3299,22.4026,7.9221,1.5
2011-08-31,142.42,16447398.0,138253.8651,21.9103,7.9221,1.5
2011-09-30,133.5,20768445.0,129597.8302,20.655,6.6492,1.5
2011-10-31,145.78,11940633.0,141522.1249,22.5554,7.261,1.5
2011-11-30,133.85,8879619.0,129937.5998,20.7091,6.6666,1.5
2011-12-31,128.53,14832372.0,124776.3379,18.4674,6.4591,1.5
2012-01-31,148.55,14934366.0,144207.9227,21.3434,6.4591,1.5
2012-02-29,150.17,13646238.0,153304.0172,21.5757,6.4591,1.5
2012-03-31,160.05,18788646.0,163393.8376,21.5025,5.8272,1.5
2012-04-30,179.7,16003752.0,183454.3744,24.1424,6.5427,1.5
2012-05-31,193.62,62456547.0,197661.7944,26.0121,7.0494,1.5833
2012-06-30,191.45,19267026.0,195449.8607,30.5994,6.8952,1.5833
2012-07-31,209.35,12820350.0,213739.6098,33.4603,6.8952,1.5833
2012-08-31,230.77,19352616.0,235607.682,36.8833,6.8952,1.5833
2012-09-30,222.98,16487307.0,227661.0702,34.3051,7.666,1.5833
2012-10-31,240.47,13125363.0,245511.1683,36.9949,8.2671,1.5833
2012-11-30,245.45,16287708.0,250599.0418,37.7615,8.4384,1.5833
2012-12-31,240.72,7174575.0,245766.4128,37.2242,8.2585,1.5833
2013-01-31,237.32,11431341.0,242295.0877,36.6985,8.2585,1.5833
2013-02-28,241.65,9833922.0,246719.3256,37.3686,8.2585,1.5833
2013-03-31,259.33,16762398.0,264774.3315,33.2621,7.9919,1.5833
2013-04-30,275.23,12903504.0,281007.9249,35.3014,8.4819,1.5833
2013-05-31,288.38,10873992.0,294433.8213,36.988,8.8871,1.6667
2013-06-30,272.97,13234200.0,278693.7269,34.9062,8.1039,1.6667
2013-07-31,265.87,30239853.0,271467.0594,33.9983,8.1039,1.6667
2013-08-31,270.0,20256606.0,275703.6758,34.5269,8.1039,1.6667
2013-09-30,279.12,14012427.0,285015.7916,34.1636,8.0986,1.6667
2013-10-31,290.5,9457956.0,296639.7115,35.5569,8.4289,1.6667
2013-11-30,295.08,12030351.0,301319.9135,36.1179,8.5619,1.6667
2013-12-31,285.93,9597819.0,291976.5284,34.0397,8.2949,1.6667
2014-01-31,251.23,14341422.0,256543.1446,29.9087,8.2949,1.6667
2014-02-28,261.33,16287702.0,266856.6079,31.1111,8.2949,1.6667
2014-03-31,286.45,10823760.0,292504.1148,38.5013,7.7476,1.6667
2014-04-30,266.17,12034839.0,271792.0936,35.7751,7.199,1.6667
2014-05-31,259.8,11826654.0,265290.8676,34.9194,7.0268,1.75
2014-06-30,274.8,15166752.0,280607.8923,36.4295,7.3374,1.75
2014-07-31,280.23,8178750.0,286196.0569,37.1498,7.3374,1.75
2014-08-31,328.65,7248249.0,335659.739,43.5683,7.3374,1.75
2014-09-30,329.53,10634394.0,336561.9129,41.5553,8.4068,1.75
2014-10-31,323.28,7576011.0,330178.6073,40.7671,8.2474,1.75
2014-11-30,318.13,8749272.0,324919.4626,40.1177,8.116,1.75
2014-12-31,324.27,15088515.0,331183.6266,37.7347,8.1224,1.75
2015-01-31,353.73,8950374.0,361278.8279,41.1637,8.1224,1.75
2015-02-28,378.33,11274678.0,386403.9403,44.0264,8.1224,1.75
2015-03-31,346.98,16406334.0,354388.1787,39.0747,8.2211,1.75
2015-04-30,350.58,13719189.0,358065.0265,39.4801,8.3064,1.75
2015-05-31,350.02,13071645.0,357486.288,39.4163,8.293,1.8333
2015-06-30,412.4,9985842.0,421273.2238,47.8422,9.5116,1.8333
2015-07-31,458.7,12382620.0,468607.4049,53.2135,9.5116,1.8333
2015-08-31,444.12,13311915.0,453709.0879,51.5217,9.5116,1.8333
2015-09-30,406.62,23471703.0,415399.13,47.8936,8.8111,1.8333
2015-10-31,420.67,12861390.0,429752.5942,49.5485,9.1155,1.8333
2015-11-30,409.18,13316337.0,418021.2551,48.1959,8.8667,1.8333
2015-12-31,439.8,15509940.0,449299.1861,46.2461,9.2459,1.8333
2016-01-31,408.32,18163356.0,417135.8268,42.9355,9.2459,1.8333
2016-02-29,396.12,14117460.0,404673.3572,41.6526,9.2459,1.8333
2016-03-31,460.27,20825661.0,470209.1109,56.5902,11.0198,1.8333
2016-04-30,440.55,17447829.0,450066.5146,54.166,10.5477,1.8333
2016-05-31,494.22,18565653.0,504892.4586,60.7643,11.8326,1.9167
2016-06-30,535.75,17936904.0,547322.9717,57.0156,12.4248,1.9167
2016-07-31,530.27,12875967.0,541721.2118,56.432,12.4248,1.9167
2016-08-31,505.57,13526511.0,516487.6136,53.8034,12.4248,1.9167
2016-09-30,528.88,16548030.0,540307.9752,51.1333,11.9538,1.9167
2016-10-31,534.48,9088683.0,546028.9219,51.6747,12.0804,1.9167
2016-11-30,485.72,19187502.0,496208.8463,46.9599,10.9781,1.9167
2016-12-31,503.32,11671323.0,514290.156,59.457,11.1989,1.9167
2017-01-31,526.78,14062236.0,538268.4736,62.2291,11.1989,1.9167
2017-02-28,549.63,10842057.0,561616.6584,64.9284,11.1989,1.9167
2017-03-31,557.13,15766977.0,569280.1764,60.9651,10.7372,1.9167
2017-04-30,580.93,9248895.0,593599.0948,63.5695,11.1959,1.9167
2017-05-31,603.85,27030231.0,617015.3784,66.0772,11.6375,5.0
2017-06-30,645.4,24269331.0,659471.2681,72.2301,12.1807,5.0
2017-07-31,691.5,22523885.0,706576.3587,77.3894,12.1807,5.0
2017-08-31,619.53,39646919.0,633159.5311,69.3352,12.1807,5.3333
2017-09-30,612.77,16391982.0,626244.0364,65.4386,11.6557,5.3333
2017-10-31,622.6,14110107.0,636293.647,66.4887,11.8427,5.3333
2017-11-30,641.0,21463124.0,655098.3537,68.4537,12.1927,5.6667
2017-12-31,666.3,14882580.0,680954.8098,56.2373,12.4838,5.6667
2018-01-31,702.27,23334119.0,717712.5385,59.273,12.4838,5.6667
2018-02-28,713.63,14874056.0,729329.1825,60.2324,12.4838,6.0
2018-03-31,729.1,14917626.0,745136.0274,52.1605,11.9063,6.0
2018-04-30,744.7,18769400.0,761079.1381,53.2766,12.1611,6.0
2018-05-31,759.43,18311438.0,776136.5204,54.3306,12.4017,6.6667
2018-06-30,817.13,15380102.0,835105.5902,56.6798,13.2596,6.6667
2018-07-31,877.93,20942850.0,897242.8423,60.8971,13.2596,6.6667
2018-08-31,968.1,20034573.0,989558.9975,67.1514,13.2596,7.3333
2018-09-30,768.65,28657894.0,785687.9697,46.5069,11.4344,7.3333
2018-10-31,724.85,24963378.0,740917.0947,43.8568,10.7829,7.3333
2018-11-30,750.35,23622305.0,766982.3301,45.3996,11.1622,10.6667
2018-12-31,810.65,19183089.0,828618.9457,49.2357,12.0622,10.6667
2019-01-31,709.3,24555425.0,725022.4119,43.0801,12.0622,10.6667
2019-02-28,672.85,26816921.0,687764.4577,40.8663,12.0622,12.0
2019-03-31,686.0,24498593.0,701205.9419,31.7769,9.6493,12.0
2019-04-30,651.8,33503541.0,666247.8614,30.1927,9.1682,12.0
2019-05-31,688.05,30589821.0,703301.3824,31.8719,9.6781,9.3333
2019-06-30,663.1,23299374.0,677798.3383,28.9134,9.3996,9.3333
2019-07-31,598.75,21974194.0,612021.95,26.1075,9.3996,9.3333
2019-08-31,608.95,20349189.0,622535.9077,26.5523,9.3996,10.0
2019-09-30,687.3,27622556.0,702633.9262,32.2222,9.266,10.0
2019-10-31,740.35,19161147.0,756867.4921,34.7093,9.9812,10.0
2019-11-30,725.0,17530109.0,741175.0277,33.9897,9.7742,8.0
2019-12-31,684.55,21777495.0,699822.5727,31.7775,9.2842,8.0
2020-01-31,672.65,23135682.0,687657.0791,31.225,9.2842,8.0
2020-02-29,560.5,34631101.0,573008.3153,26.0189,9.2842,8.0
2020-03-31,520.85,55954788.0,532473.4719,35.5723,6.7416,8.0
2020-04-30,543.2,38443888.0,555322.2424,37.0988,7.0309,8.0
2020-05-31,633.8,49105560.0,647944.1039,43.2864,8.2035,6.0
2020-06-30,690.8,45814235.0,706216.136,47.5954,8.9005,6.0
2020-07-31,691.85,28817037.0,707289.5681,47.6678,8.9005,6.0
2020-08-31,651.3,25949218.0,665942.1912,44.8739,8.9005,6.0
2020-09-30,724.95,35141871.0,741247.9526,48.5079,8.5662,6.0
2020-10-31,664.8,33023348.0,679748.8457,44.4831,7.8554,4.0
2020-11-30,699.75,30297206.0,715484.7394,46.8217,8.2684,4.0
2020-12-31,740.15,42381667.0,756793.1831,47.7516,8.8521,4.0
2021-01-31,744.65,39135662.0,761394.3712,48.0419,8.8521,2.0
2021-02-28,686.4,32258785.0,701834.5483,44.2839,8.8521,2.0
2021-03-31,729.65,31756980.0,746057.0777,43.3541,7.9041,2.0
2021-04-30,691.75,21918040.0,707304.8496,41.1022,7.4935,0.0
2021-05-31,856.55,70185338.0,875810.5803,50.8942,9.2787,0.0
2021-06-30,870.25,39165786.0,889818.6417,51.131,9.5089,0.0
2021-07-31,987.8,35846917.0,1010011.941,58.0376,9.5089,0.0
2021-08-31,1099.3,33521863.0,1124019.16,64.5887,9.5089,0.0
2021-09-30,1029.9,26983764.0,1053058.613,59.8084,10.0523,0.0
2021-10-31,956.65,25365242.0,978161.4931,55.5546,9.3374,0.0
2021-11-30,923.1,18266660.0,943944.594,53.6063,9.0099,0.0
2021-12-31,968.35,26436986.0,990216.3878,55.4293,9.2759,0.0
2022-01-31,888.3,16461848.0,908358.7725,50.8472,9.2759,0.0
2022-02-28,767.95,24446475.0,785291.1396,43.9582,9.2759,0.0
2022-03-31,747.3,46760008.0,764174.8403,42.8498,6.6128,0.0
2022-04-30,782.4,31896576.0,800067.4362,44.8624,6.9234,0.0
2022-05-31,766.95,37505252.0,784268.5585,43.9765,6.7867,0.0
2022-06-30,757.55,26623160.0,774656.2964,45.1999,6.7863,0.0
2022-07-31,853.75,30766152.0,873028.5962,50.9397,6.7863,0.0
2022-08-31,924.25,35678074.0,945156.2355,55.1462,6.7863,0.0
2022-09-30,910.45,28947064.0,931057.9939,58.3996,7.3435,0.0
2022-10-31,829.3,23840024.0,848071.1674,53.1944,6.689,0.0
2022-11-30,881.45,23455549.0,901454.7881,56.5394,7.1096,0.0
2022-12-31,874.05,20377488.0,893886.8427,55.4249,7.1467,0.0
2023-01-31,913.25,24654171.0,933976.4992,57.9106,7.1467,0.0
2023-02-28,923.3,16932248.0,944254.5871,58.5479,7.1467,0.0
2023-03-31,968.15,23972416.0,990122.4721,58.1821,7.1778,0.0
2023-04-30,907.5,21886442.0,928103.0841,54.5373,6.7281,0.0
2023-05-31,1058.35,30307809.0,1082377.85,63.6028,7.8465,0.0
2023-06-30,1081.0,19720724.0,1105542.076,65.9549,7.9262,0.0
2023-07-31,1035.95,22278108.0,1059469.3,63.2062,7.9262,0.0
2023-08-31,1005.15,18267249.0,1028025.61,61.327,7.9262,0.0
2023-09-30,991.6,15894226.0,1014167.233,57.9544,6.9946,0.0
2023-10-31,991.85,15440674.0,1014422.923,57.969,6.9964,0.0
2023-11-30,1008.2,20348207.0,1031207.456,58.9246,7.1117,5.0
2023-12-31,1131.2,23612249.0,1157014.356,64.8252,7.8474,5.0
2024-01-31,1164.2,39315565.0,1190767.427,66.7163,7.8474,5.0
2024-02-29,1257.7,27690305.0,1286401.128,72.0745,7.8474,5.0
2024-03-31,1251.8,17527455.0,1280366.488,70.7765,10.1628,5.0
2024-04-30,1219.5,20327638.0,1247329.391,70.7765,9.9006,5.0
2024-05-31,1270.35,28174937.0,1299339.805,70.7765,10.3134,10.0
2024-06-30,1375.85,30357826.0,1407247.35,70.7765,11.0575,10.0
2024-07-31,1440.75,27530685.0,1473628.389,70.7765,11.0575,10.0
2024-08-31,1481.2,23613598.0,1515111.996,70.7765,11.0575,20.0
2024-09-30,1393.4,29258954.0,1425301.819,70.7765,11.7114,20.0
2024-10-31,1283.15,33036684.0,1312565.054,70.7765,10.7847,25.0
2024-11-30,1244.65,23269035.0,1273286.717,70.7765,10.4612,20.0
