GODIGIT IN Equity,price,volume,mc,pe,bm,div
2024-05-31,298.4,73190578.0,273693.1783,143.4615,8.3691,0.0
2024-06-30,338.0,21542212.0,310014.3909,162.5,9.4798,0.0
2024-07-31,350.65,26273577.0,321826.4094,168.5817,9.8346,0.0
2024-08-31,383.7,38711154.0,353230.4406,184.4712,10.7615,0.0
2024-09-30,376.7,23463584.0,346919.9506,181.1058,10.5652,0.0
2024-10-31,330.2,19033066.0,304127.5061,158.75,9.261,0.0
2024-11-30,342.8,18269912.0,315855.5782,164.8077,9.6144,0.0
2024-12-31,318.05,35081168.0,293315.7467,152.9087,8.9202,0.0
2025-01-31,297.7,140053089.0,274552.2115,143.125,8.3495,0.0
2025-02-28,304.85,29659058.0,281335.08,146.5625,8.55,0.0
2025-03-31,289.3,17440249.0,267031.4027,62.2151,6.1188,0.0
2025-04-30,285.6,17385332.0,263616.2068,61.4194,6.0406,0.0
2025-05-31,345.0,31073950.0,318443.9472,74.1935,7.2969,0.0
2025-06-30,360.0,26776010.0,332329.5086,77.4194,7.6141,0.0
2025-07-31,370.05,33380751.0,341659.089,79.5806,7.8267,0.0
2025-08-31,357.65,14454598.0,330217.1846,76.914,7.5644,0.0
2025-09-30,346.05,11320512.0,319511.7529,74.4194,7.3191,0.0
2025-10-31,358.65,17281710.0,331158.8032,77.129,7.5856,0.0
2025-11-30,358.15,5470549.0,330830.5938,77.0215,7.575,0.0
2025-12-31,344.6,4929787.0,318509.3515,74.1075,7.2884,0.0
2026-01-31,324.55,10168762.0,299977.3942,69.7957,6.8644,0.0
2026-02-28,335.75,9040665.0,310390.8196,72.2043,7.1012,0.0
2026-03-31,325.45,1053611.0,300868.7894,69.9892,6.8834,0.0
