ENRIN IN Equity,price,volume,mc,pe,bm,div
2025-09-30,3432.8,13530385.0,1222490.47,111.1298,27.9025,0.0
2025-10-31,3185.6,8378691.0,1134457.481,103.1272,25.8932,0.0
2025-11-30,3159.6,26544651.0,1125198.348,102.2855,25.6818,0.0
2025-12-31,2560.1,19776895.0,911704.1049,82.878,20.809,0.0
2026-01-31,2487.2,12241999.0,885742.92,80.518,20.2164,4.0
2026-02-28,2930.9,11097453.0,1043753.588,94.8818,23.8229,4.0
2026-03-31,2867.9,1785272.0,1021317.962,92.8423,23.3108,4.0
