SIEM IN Equity,price,volume,mc,pe,bm,div
2000-04-30,15.46,13619550.0,11038.6338,5.5711,1.6999,0.0
2000-05-31,14.88,20252480.0,10623.354,5.3615,1.6359,0.0
2000-06-30,15.12,21813780.0,10793.7252,5.4475,1.6622,0.0
2000-07-31,17.79,27291460.0,12701.5277,6.4103,1.956,0.0
2000-08-31,16.63,9676970.0,11876.2922,5.9938,1.8289,0.0
2000-09-30,14.15,13161370.0,10101.5923,5.0981,1.5556,0.0
2000-10-31,14.27,7255810.0,10188.5526,5.142,1.569,0.0
2000-11-30,14.65,23932070.0,10456.5322,5.2773,1.6102,0.65
2000-12-31,14.27,23631790.0,10185.0032,5.1402,1.5684,0.65
2001-01-31,14.79,23506720.0,10561.2395,5.3301,1.6264,0.65
2001-02-28,14.62,30502630.0,10435.2358,5.2665,1.607,0.65
2001-03-31,12.22,8612410.0,8727.9745,4.4049,1.3441,0.65
2001-04-30,9.02,8850090.0,6438.6115,3.2495,0.9915,0.65
2001-05-31,10.41,10480340.0,7428.8941,3.7493,1.144,0.65
2001-06-30,10.09,6078680.0,7205.2819,3.6364,1.1096,0.65
2001-07-31,9.32,1194960.0,6564.2624,3.3588,1.0249,0.65
2001-08-31,9.31,2169050.0,6447.1306,3.3534,1.0232,0.65
2001-09-30,9.93,8338460.0,6856.7991,3.5773,1.0915,0.65
2001-10-31,9.55,4302620.0,6344.8323,3.4394,1.0494,0.65
2001-11-30,9.79,832800.0,6412.2588,3.528,1.0765,0.35
2001-12-31,9.35,1879710.0,6120.8665,3.3677,1.0276,0.4
2002-01-31,10.2,1376430.0,6679.2327,3.6749,1.1213,0.4
2002-02-28,12.26,8432990.0,8030.3814,4.4183,1.3482,0.4
2002-03-31,12.68,1676510.0,8303.867,4.5688,1.3941,0.4
2002-04-30,14.68,3239970.0,9615.9463,5.2907,1.6143,0.0
2002-05-31,13.77,6679470.0,9016.8828,4.9611,1.5138,0.3
2002-06-30,15.62,1999940.0,10410.4287,5.6275,1.7171,0.3
2002-07-31,14.67,5446600.0,9775.8283,5.2844,1.6124,0.3
2002-08-31,14.67,328460.0,9775.8283,5.2844,1.6124,0.3
2002-09-30,14.09,152760.0,9394.7367,5.1013,1.0695,0.3
2002-10-31,12.99,587910.0,8659.0642,4.7019,0.9858,0.3
2002-11-30,13.93,2494060.0,9283.723,5.041,1.0569,0.3
2002-12-31,15.44,2787930.0,10291.1304,5.5881,1.1716,0.5
2003-01-31,15.66,3004430.0,10436.9394,5.6672,1.1882,0.5
2003-02-28,15.77,2247630.0,10513.1577,5.7086,1.1969,0.5
2003-03-31,14.04,1993030.0,9358.2845,5.0815,1.0654,0.5
2003-04-30,14.57,633300.0,9709.5515,5.2723,1.1054,0.5
2003-05-31,17.79,2787720.0,11858.5768,6.4392,1.35,0.5
2003-06-30,18.16,2727160.0,12105.4579,6.5732,1.3782,0.5
2003-07-31,18.69,4492260.0,12455.068,6.7631,1.418,0.5
2003-08-31,20.67,4453890.0,13780.6041,7.4828,1.5689,0.6
2003-09-30,22.44,6397130.0,14957.0173,4.4846,1.3018,0.6
2003-10-31,27.93,3734510.0,18615.4968,5.5815,1.6203,0.6
2003-11-30,35.33,4641900.0,23548.1478,7.0605,2.0496,0.6
2003-12-31,53.38,4826440.0,35579.0443,10.6678,3.0968,0.4
2004-01-31,44.05,4163460.0,29360.6233,8.8033,2.5555,0.4
2004-02-29,49.77,1206960.0,33174.8533,9.9469,2.8875,0.4
2004-03-31,48.76,2334540.0,32500.4868,9.7447,2.8288,0.4
2004-04-30,52.21,1530280.0,34798.6349,10.4338,3.0288,0.4
2004-05-31,38.98,1834430.0,25982.1633,7.7903,2.2615,0.5
2004-06-30,43.8,3882800.0,29196.5882,8.7541,2.5412,0.5
2004-07-31,45.22,419990.0,30141.0327,9.0373,2.6234,0.5
2004-08-31,50.45,496390.0,33628.8494,10.083,2.927,0.5
2004-09-30,55.74,3021660.0,37156.4322,10.9046,2.6379,0.5
2004-10-31,57.17,2147680.0,38109.1612,11.1842,2.7056,0.5
2004-11-30,63.46,2678990.0,42299.5099,12.414,3.0031,0.5
2004-12-31,65.73,2594090.0,43812.28,12.8579,3.1105,0.5
2005-01-31,67.28,6510130.0,44849.512,13.1624,3.1841,0.6
2005-02-28,82.39,10898300.0,54916.9582,16.1169,3.8988,0.6
