RMKF IN Equity,price,volume,mc,pe,bm,div
2013-03-31,13.83,394735.0,1457.5368,14.7441,0.5792,0.4
2013-04-30,20.0,610965.0,2107.79,21.322,0.8377,0.4
2013-05-31,16.3,869240.0,1717.8488,17.3774,0.6827,0.4
2013-06-30,13.75,256075.0,1449.1084,14.6588,0.5759,0.4
2013-07-31,12.8,168805.0,1348.9882,13.6461,0.5361,0.2
2013-08-31,12.8,178600.0,1607.0043,13.6461,0.5361,0.2
2013-09-30,11.85,275330.0,1487.7344,12.6333,0.4963,0.2
2013-10-31,13.8,194000.0,1732.5515,14.7122,0.578,0.2
2013-11-30,14.6,136205.0,1832.9892,15.565,0.6115,0.2
2013-12-31,17.0,3203905.0,2134.3025,18.1237,0.712,0.2
2014-01-31,19.0,1873385.0,2385.397,20.2559,0.7958,0.2
2014-02-28,21.8,365225.0,2736.9292,23.2409,0.9131,0.2
2014-03-31,22.34,903105.0,2804.7246,33.4431,0.9062,0.2
2014-04-30,25.8,4023425.0,3239.118,38.6228,1.0465,0.2
2014-05-31,29.82,1476635.0,3793.0205,44.6407,1.2096,0.2
2014-06-30,36.3,4551690.0,4737.0479,54.3413,1.4724,0.2
2014-07-31,46.0,2338400.0,6002.8707,68.8623,1.8659,0.2
2014-08-31,48.98,452555.0,6727.3884,73.3234,1.9867,0.2
2014-09-30,47.24,14787225.0,6488.3999,70.7186,1.9162,0.2
2014-10-31,52.33,1024665.0,7187.5098,78.3383,2.1226,0.2
2014-11-30,60.77,7038605.0,8346.7413,90.9731,2.465,0.2
2014-12-31,66.73,11630340.0,9165.3455,99.8952,2.7067,0.2
2015-01-31,90.33,15228735.0,12406.7985,135.2246,3.664,0.2
2015-02-28,90.3,9867165.0,12402.7047,135.1796,3.6628,0.2
2015-03-31,85.61,3010925.0,11758.5079,15.3643,2.8657,0.2
2015-04-30,101.14,10555850.0,13891.5488,18.1515,3.3855,0.2
2015-05-31,111.99,7976095.0,15381.793,20.0987,3.7487,0.2
2015-06-30,130.1,13469615.0,17869.1961,23.3489,4.3549,0.2
2015-07-31,143.37,15063575.0,19691.8266,25.7304,4.7991,0.2
2015-08-31,128.48,14232195.0,17646.6896,23.0581,4.3007,0.0
2015-09-30,120.2,6084985.0,16509.4341,21.5721,4.0235,0.4
2015-10-31,114.75,5022870.0,15760.8782,20.594,3.8411,0.4
2015-11-30,110.93,7794005.0,15236.2023,19.9085,3.7132,0.4
2015-12-31,105.26,5917635.0,14457.4295,18.8909,3.5234,0.4
2016-01-31,84.99,6218415.0,11673.3511,15.2531,2.8449,0.4
2016-02-29,56.97,5873210.0,7824.8125,10.2243,1.907,0.4
2016-03-31,68.82,7616540.0,9865.3267,17.6281,2.0974,0.4
2016-04-30,81.18,7658490.0,11637.129,20.7941,2.4741,0.4
2016-05-31,76.9,3928340.0,11023.5923,19.6977,2.3436,0.4
2016-06-30,88.16,4624875.0,12637.71,22.582,2.6868,0.4
2016-07-31,82.3,2891955.0,11797.6807,21.0809,2.5082,0.4
2016-08-31,81.9,4544310.0,11740.3408,20.9785,2.496,0.4
2016-09-30,68.96,4941700.0,9885.3956,17.6639,2.1016,0.4
2016-10-31,68.8,4278760.0,9862.4597,17.623,2.0968,0.4
2016-11-30,63.25,5133390.0,9066.8688,16.2013,1.9276,0.4
2016-12-31,56.63,2479365.0,8117.8938,14.5056,1.7259,0.4
2017-01-31,76.8,6648790.0,11009.2573,19.6721,2.3406,0.4
2017-02-28,79.87,4304060.0,11449.3409,20.4585,2.4341,0.4
2017-03-31,95.93,9240005.0,13751.5372,122.6726,2.9343,0.4
2017-04-30,99.24,3565495.0,14226.0247,126.9054,3.0355,0.4
2017-05-31,93.43,4155715.0,13393.1629,119.4757,2.8578,0.4
2017-06-30,104.13,5496000.0,14927.0048,133.1586,3.1851,0.4
2017-07-31,105.34,4740535.0,17165.9467,134.7059,3.2221,0.4
2017-08-31,111.61,4438865.0,18187.6905,142.7238,3.4139,0.4
2017-09-30,119.76,5243430.0,19515.7944,153.1458,3.6632,0.2
2017-10-31,152.13,9641300.0,24790.7298,194.5396,4.6533,0.2
2017-11-30,151.08,3577405.0,24619.6244,193.1969,4.6212,0.2
2017-12-31,172.06,5723775.0,28038.4735,220.0256,5.2629,0.2
2018-01-31,155.78,6664840.0,25385.5248,199.2072,4.7649,0.2
2018-02-28,150.4,6118230.0,24508.814,192.3274,4.6004,0.2
2018-03-31,140.53,4753540.0,22900.4231,23.2435,3.0189,0.2
2018-04-30,167.26,3374405.0,27256.2781,27.6646,3.5931,0.2
2018-05-31,155.75,4402315.0,25380.6369,25.7608,3.3458,0.2
2018-06-30,133.98,4770690.0,21833.0512,22.1601,2.8781,0.2
2018-07-31,130.16,5115120.0,21210.5534,21.5283,2.7961,0.2
2018-08-31,123.49,4180625.0,20123.6266,20.4251,2.6528,0.2
2018-09-30,120.15,5027000.0,19579.3484,19.8726,2.5811,0.2
2018-10-31,106.84,1791515.0,17410.3836,17.6712,2.2951,0.2
2018-11-30,109.8,13005630.0,17926.4421,18.1608,2.3587,0.2
2018-12-31,107.52,3782575.0,17554.199,17.7837,2.3097,0.2
2019-01-31,97.23,2730860.0,15874.2073,16.0817,2.0887,0.2
2019-02-28,95.83,4438685.0,15645.637,15.8501,2.0586,0.2
2019-03-31,104.96,6261895.0,17136.2419,14.2415,1.9614,0.2
2019-04-30,101.21,726080.0,16524.0,13.7327,1.8913,0.2
2019-05-31,99.98,1773045.0,16323.1847,13.5658,1.8683,0.2
2019-06-30,88.59,929490.0,14463.6021,12.0204,1.6555,0.2
2019-07-31,91.06,2151800.0,14866.8654,12.3555,1.7016,0.2
2019-08-31,61.39,4416530.0,10022.8077,8.3297,1.1472,0.3
2019-09-30,62.44,7658925.0,10194.2354,8.4722,1.1668,0.3
2019-10-31,58.58,5359740.0,9564.0344,7.9484,1.0947,0.3
2019-11-30,72.27,9361660.0,11799.1254,9.806,1.3505,0.3
2019-12-31,76.18,4724530.0,12437.4896,10.3365,1.4236,0.3
2020-01-31,70.93,2183725.0,11580.351,9.6242,1.3255,0.3
2020-02-29,58.2,2380730.0,9501.9939,7.8969,1.0876,0.3
2020-03-31,30.52,4594900.0,4982.8325,51.3805,0.568,0.3
2020-04-30,37.23,3818430.0,6078.3373,62.6768,0.6929,0.3
2020-05-31,30.39,1133720.0,4947.8556,51.1616,0.5656,0.3
2020-06-30,32.58,12193030.0,5253.5393,54.8485,0.6064,0.3
2020-07-31,28.99,18518440.0,4673.2008,48.8047,0.5396,0.3
2020-08-31,46.98,31120250.0,7555.2487,79.0909,0.8744,0.3
2020-09-30,66.47,13831605.0,10683.4715,111.9024,1.2371,0.0
2020-10-31,74.92,5593310.0,12231.7756,126.1279,1.3944,0.0
2020-11-30,90.53,6851575.0,14474.7996,152.4074,1.6849,0.0
2020-12-31,95.83,4388520.0,15322.2141,161.33,1.7836,0.0
2021-01-31,101.33,6625620.0,16201.6066,170.5892,1.8859,0.0
2021-02-28,110.8,7801160.0,17715.7605,186.532,2.0622,0.0
2021-03-31,104.58,7669290.0,16721.2476,81.1651,1.8919,0.0
2021-04-30,116.6,4699370.0,18643.1198,90.4939,2.1093,0.0
2021-05-31,129.31,33222525.0,20675.3158,100.3582,2.3393,0.0
2021-06-30,132.59,9799595.0,21199.7534,102.9039,2.3986,0.0
2021-07-31,166.11,21598620.0,26559.2507,128.9189,3.005,0.0
2021-08-31,197.99,21374420.0,31656.529,153.6612,3.5817,0.1
2021-09-30,216.51,16416835.0,34617.6832,168.0347,3.9168,0.1
2021-10-31,218.27,23888940.0,34899.0888,169.4006,3.9486,0.2
2021-11-30,180.29,10025305.0,28826.4843,139.9241,3.2615,0.2
2021-12-31,189.94,10500790.0,30369.4183,147.4135,3.4361,0.2
2022-01-31,190.96,20349270.0,30532.5056,148.2052,3.4546,0.3
2022-02-28,162.51,10103960.0,25983.6483,126.1249,2.9399,0.3
2022-03-31,157.4,15571414.0,25166.6128,12.7087,2.3337,0.3
2022-04-30,188.9,11968777.0,30203.1332,15.252,2.8008,0.3
2022-05-31,165.7,9687747.0,26493.6959,13.3788,2.4568,0.3
2022-06-30,162.0,5014072.0,25902.1047,13.0801,2.4019,0.3
2022-07-31,178.3,9124627.0,28508.3041,14.3962,2.6436,0.8
2022-08-31,200.65,15147974.0,32081.8352,16.2007,2.975,0.7
2022-09-30,198.6,20256187.0,31754.0617,16.0352,2.9446,0.9
2022-10-31,229.6,22154335.0,36710.6372,18.5382,3.4042,0.8
2022-11-30,220.15,12073613.0,35199.6811,17.7752,3.2641,1.3
