AEGISVOP IN Equity,price,volume,mc,pe,bm,div
2025-06-30,245.37,82168730.0,271867.8717,183.1119,12.6384,0.0
2025-07-31,239.76,36332029.0,265652.0394,178.9254,12.3495,0.0
2025-08-31,247.77,11858624.0,274527.0512,184.903,12.7621,0.0
2025-09-30,260.48,15843964.0,288609.6231,194.3881,13.4167,0.0
2025-10-31,278.95,18200159.0,309074.2259,208.1716,14.3681,0.0
2025-11-30,260.55,7861067.0,288687.1825,194.4403,13.4203,0.0
2025-12-31,249.35,17730798.0,276277.6778,186.0821,12.8434,0.0
2026-01-31,226.81,30160656.0,251303.5496,169.2612,11.6825,0.0
2026-02-28,228.07,24909517.0,252699.6189,170.2015,11.7474,0.0
2026-03-31,189.87,5495994.0,210374.3386,141.694,9.7798,0.0
