MSIL IN Equity,price,volume,mc,pe,bm,div
2003-07-31,180.65,50844076.0,52191.6087,35.1459,1.6847,0.0
2003-08-31,235.45,44209005.0,68023.8819,45.8074,2.1957,0.0
2003-09-30,232.55,25609346.0,67186.0426,45.2432,2.1687,0.0
2003-10-31,323.2,43164993.0,93375.7428,62.8794,3.0141,0.0
2003-11-30,344.85,52183517.0,99630.6463,67.0914,3.216,0.0
2003-12-31,376.3,31602639.0,108716.8688,73.2101,3.5093,0.0
2004-01-31,432.6,57734450.0,124982.5072,84.1634,4.0343,0.0
2004-02-29,500.7,82545625.0,144657.2847,97.4125,4.6694,0.0
2004-03-31,496.95,64904716.0,143573.8718,25.5896,3.9283,0.0
2004-04-30,544.1,37931172.0,157195.9828,28.0175,4.301,0.0
2004-05-31,386.7,72952317.0,111721.5338,19.9125,3.0568,0.0
2004-06-30,402.55,81315424.0,116300.7588,20.7286,3.182,0.0
2004-07-31,424.6,55107188.0,122671.2264,21.8641,3.3563,1.5
2004-08-31,381.8,52434488.0,110305.8744,19.6601,3.018,1.5
2004-09-30,354.3,80962078.0,102360.8467,18.2441,2.8006,1.5
2004-10-31,375.4,37546747.0,108456.8497,19.3306,2.9674,1.5
2004-11-30,420.1,25198495.0,121371.131,21.6323,3.3208,1.5
2004-12-31,461.25,26802180.0,133259.7814,23.7513,3.6461,1.5
2005-01-31,453.75,69207539.0,131092.9557,23.3651,3.5868,1.5
2005-02-28,473.1,67784460.0,136683.366,24.3615,3.7397,1.5
2005-03-31,421.3,62549928.0,121717.8231,13.8313,2.4672,1.5
2005-04-30,406.4,56732953.0,117413.0627,13.3421,2.3799,1.5
2005-05-31,465.45,63285709.0,134473.2038,15.2807,2.7257,1.5
2005-06-30,464.65,36995865.0,134242.0757,15.2544,2.721,1.5
2005-07-31,482.7,25734891.0,139456.903,15.847,2.8267,1.5
2005-08-31,470.15,28753470.0,135831.0813,15.435,2.7532,2.0
2005-09-30,559.8,42807831.0,161731.8713,18.3782,3.2782,2.0
2005-10-31,549.2,38412619.0,158669.4243,18.0302,3.2162,2.0
2005-11-30,613.4,39788035.0,177217.4524,20.1379,3.5921,2.0
2005-12-31,635.8,34973251.0,183689.0385,20.8733,3.7233,2.0
2006-01-31,758.55,36501427.0,219152.7527,24.9032,4.4421,2.0
2006-02-28,822.6,43859778.0,237657.4443,27.0059,4.8172,2.0
2006-03-31,874.3,82907177.0,252594.0962,20.718,4.5325,2.0
2006-04-30,927.6,43304101.0,265782.8421,21.981,4.8088,2.0
2006-05-31,735.0,28552487.0,212348.92,17.4171,3.8103,2.0
2006-06-30,796.7,49437729.0,230174.6729,18.8791,4.1302,2.0
2006-07-31,787.85,33582107.0,227617.8185,18.6694,4.0843,2.0
2006-08-31,861.35,27620205.0,248852.7105,20.4111,4.4653,3.5
2006-09-30,981.3,34129252.0,283507.4764,23.2536,5.0872,3.5
2006-10-31,968.0,17842697.0,279664.9722,22.9384,5.0182,3.5
2006-11-30,926.15,23160374.0,267574.0847,21.9467,4.8013,3.5
2006-12-31,929.2,14658963.0,268455.2605,22.019,4.8171,3.5
2007-01-31,924.9,20392729.0,267212.9471,21.9171,4.7948,3.5
2007-02-28,841.7,16821155.0,243175.6271,19.9455,4.3635,3.5
2007-03-31,820.2,27829030.0,236964.0601,14.9182,3.3821,3.5
2007-04-30,806.1,21423409.0,232890.4278,14.6617,3.3239,3.5
2007-05-31,817.1,10926759.0,236068.4388,14.8618,3.3693,3.5
2007-06-30,744.15,14008938.0,214992.4474,13.5349,3.0685,3.5
2007-07-31,844.55,17942677.0,243999.0209,15.361,3.4825,3.5
2007-08-31,867.7,17570658.0,250687.2896,15.7821,3.5779,4.5
2007-09-30,998.75,24167896.0,288548.8662,18.1657,4.1183,4.5
2007-10-31,1073.85,34621723.0,310246.0074,19.5316,4.428,4.5
2007-11-30,1014.15,14786440.0,292998.0802,18.4458,4.1818,4.5
2007-12-31,994.5,11317842.0,287320.9986,18.0884,4.1008,4.5
2008-01-31,850.2,17454787.0,245631.2851,15.4638,3.5058,4.5
2008-02-29,868.2,14290842.0,250831.6652,15.7912,3.58,4.5
2008-03-31,827.0,20885487.0,238928.573,13.3495,2.7695,4.5
2008-04-30,742.1,16179960.0,214400.1137,11.979,2.4852,4.5
2008-05-31,763.05,18158738.0,220452.7783,12.3172,2.5554,4.5
2008-06-30,616.55,14299525.0,178127.4628,9.9524,2.0647,4.5
2008-07-31,575.65,22852753.0,166311.0436,9.2922,1.9278,4.5
2008-08-31,649.6,27039441.0,187675.9384,10.4859,2.1754,5.0
2008-09-30,690.2,22906706.0,199405.6845,11.1412,2.3114,5.0
2008-10-31,563.2,22718690.0,162714.1141,9.0912,1.8861,5.0
2008-11-30,533.55,19206881.0,154147.9325,8.6126,1.7868,5.0
2008-12-31,520.2,37208030.0,150290.9839,8.3971,1.7421,5.0
2009-01-31,568.3,30469131.0,164187.5551,9.1735,1.9032,5.0
2009-02-28,677.3,29042392.0,195678.7455,10.933,2.2682,5.0
2009-03-31,779.85,36730365.0,225306.4664,18.3581,2.3555,5.0
2009-04-30,814.0,29910694.0,235172.743,19.162,2.4586,5.0
2009-05-31,1027.1,26395875.0,296739.4648,24.1784,3.1023,5.0
2009-06-30,1068.95,15990099.0,308830.3304,25.1636,3.2287,5.0
2009-07-31,1414.45,20348667.0,408648.7366,33.2968,4.2722,5.0
2009-08-31,1437.75,26063357.0,415380.3578,33.8453,4.3426,3.5
2009-09-30,1701.4,20830246.0,491551.4802,40.0518,5.1389,3.5
2009-10-31,1403.3,22125025.0,405427.4262,33.0344,4.2385,3.5
2009-11-30,1557.35,20269644.0,449933.9942,36.6608,4.7038,3.5
2009-12-31,1560.1,14462981.0,450728.4967,36.7255,4.7121,3.5
2010-01-31,1389.45,20979168.0,401425.9865,32.7083,4.1967,3.5
2010-02-28,1459.95,12732716.0,421794.1418,34.3679,4.4096,3.5
2010-03-31,1417.95,13998256.0,409659.9216,15.6076,3.3627,3.5
2010-04-30,1279.7,15090269.0,369718.1136,14.0859,3.0348,3.5
2010-05-31,1236.85,12066448.0,357338.338,13.6142,2.9332,3.5
2010-06-30,1423.75,16957251.0,411335.6177,15.6714,3.3764,3.5
2010-07-31,1198.6,24352108.0,346287.5304,13.1932,2.8425,3.5
2010-08-31,1257.5,11046704.0,363304.3296,13.8415,2.9822,6.0
2010-09-30,1440.9,14549231.0,416290.4243,15.8602,3.4171,6.0
2010-10-31,1551.6,12301756.0,448272.7617,17.0787,3.6796,6.0
2010-11-30,1422.0,6622910.0,410830.0252,15.6522,3.3723,6.0
2010-12-31,1421.6,6519462.0,410714.4612,15.6478,3.3713,6.0
2011-01-31,1252.85,8152420.0,361960.8981,13.7903,2.9711,6.0
2011-02-28,1208.2,6480432.0,349061.0484,13.2988,2.8652,6.0
2011-03-31,1262.15,14268172.0,364647.7611,15.3062,2.5484,6.0
2011-04-30,1317.65,8939940.0,380682.2663,15.9793,2.6605,6.0
2011-05-31,1230.15,6540589.0,355402.641,14.9181,2.4838,6.0
2011-06-30,1159.9,10120945.0,335106.7132,14.0662,2.342,6.0
2011-07-31,1206.65,7956555.0,348613.2559,14.6332,2.4364,6.0
2011-08-31,1091.55,11002697.0,315359.7326,13.2373,2.204,7.5
2011-09-30,1083.0,14017345.0,312889.534,13.1336,2.1867,7.5
2011-10-31,1125.3,19168388.0,325110.4452,13.6466,2.2721,7.5
2011-11-30,972.15,16431678.0,280863.8601,11.7894,1.9629,7.5
2011-12-31,918.3,13039541.0,265306.0564,11.1363,1.8541,7.5
2012-01-31,1186.7,24709644.0,342849.4833,14.3912,2.3961,7.5
2012-02-29,1254.8,15534666.0,362524.2907,15.2171,2.5336,7.5
2012-03-31,1350.5,17418537.0,390173.0836,23.2085,2.4892,7.5
2012-04-30,1371.85,12547322.0,396341.3141,23.5754,2.5285,7.5
2012-05-31,1100.25,19137824.0,317873.3323,18.9079,2.0279,7.5
2012-06-30,1169.75,17357163.0,337952.5839,20.1023,2.156,7.5
2012-07-31,1134.85,38395332.0,327869.6216,19.5025,2.0917,7.5
2012-08-31,1143.3,14597326.0,330310.9299,19.6477,2.1073,7.5
2012-09-30,1350.6,16845919.0,390201.9746,23.2102,2.4894,7.5
2012-10-31,1437.9,18940757.0,415423.8259,24.7104,2.6503,7.5
2012-11-30,1473.85,14846688.0,425810.1438,25.3282,2.7165,7.5
2012-12-31,1490.05,11644962.0,430490.5054,25.6066,2.7464,7.5
2013-01-31,1581.6,24927754.0,456940.2066,27.1799,2.9151,7.5
2013-02-28,1354.35,17665212.0,391285.3875,23.2746,2.4963,7.5
2013-03-31,1281.2,11117648.0,370151.5959,15.6741,2.034,7.5
2013-04-30,1669.6,16493130.0,482364.295,20.4257,2.6506,7.5
2013-05-31,1605.6,13619240.0,485019.8224,19.6428,2.549,7.5
2013-06-30,1537.75,11669829.0,464523.5932,18.8127,2.4413,7.5
2013-07-31,1326.3,15968963.0,400648.786,16.2258,2.1056,7.5
2013-08-31,1243.55,16281470.0,375651.6621,15.2135,1.9742,8.0
2013-09-30,1358.55,13638966.0,410390.8676,16.6204,2.1568,8.0
2013-10-31,1636.2,18133953.0,494263.355,20.0171,2.5976,8.0
2013-11-30,1676.15,13798405.0,506331.4718,20.5059,2.661,8.0
2013-12-31,1763.9,17270024.0,532838.996,21.5794,2.8003,8.0
2014-01-31,1636.25,31632368.0,494278.4779,20.0177,2.5977,8.0
2014-02-28,1589.0,14019408.0,480005.1956,19.4397,2.5227,8.0
2014-03-31,1971.75,16670182.0,595626.3339,20.8783,2.7708,8.0
2014-04-30,1923.0,7927214.0,580899.9315,20.3621,2.7023,8.0
2014-05-31,2271.8,9381498.0,686265.471,24.0555,3.1925,8.0
2014-06-30,2439.35,7739323.0,736879.0019,25.8296,3.4279,8.0
2014-07-31,2524.05,9227559.0,762465.163,26.7265,3.5469,8.0
2014-08-31,2784.5,7060431.0,841141.8926,29.4843,3.9129,12.0
2014-09-30,3062.85,7878628.0,925225.9116,32.4317,4.3041,12.0
2014-10-31,3337.25,6782306.0,1008116.639,35.3373,4.6897,12.0
2014-11-30,3346.2,4946492.0,1010820.236,35.432,4.7023,12.0
2014-12-31,3329.8,5964373.0,1005866.161,35.2584,4.6792,12.0
2015-01-31,3647.35,9833175.0,1101791.699,38.6208,5.1255,12.0
2015-02-28,3620.85,6326849.0,1093786.357,38.3402,5.0882,12.0
2015-03-31,3697.35,5637100.0,1116895.702,29.3347,4.5928,12.0
2015-04-30,3725.85,9421682.0,1125504.983,29.5609,4.6282,12.0
2015-05-31,3785.7,6814472.0,1143584.417,30.0357,4.7025,12.0
2015-06-30,4023.35,6840331.0,1215373.797,31.9212,4.9978,12.0
2015-07-31,4331.45,8567538.0,1308444.679,34.3657,5.3805,12.0
2015-08-31,4167.2,8228363.0,1258828.031,33.0625,5.1764,25.0
2015-09-30,4685.6,13272339.0,1415426.309,37.1755,5.8204,25.0
2015-10-31,4449.0,18481447.0,1343954.132,35.2983,5.5265,25.0
2015-11-30,4606.9,25861150.0,1391652.534,36.5511,5.7226,25.0
2015-12-31,4621.95,12250668.0,1396198.933,36.6705,5.7413,25.0
2016-01-31,4095.85,16998543.0,1237274.601,32.4964,5.0878,25.0
2016-02-29,3236.5,23636703.0,977682.0741,25.6784,4.0203,25.0
2016-03-31,3716.3,18867142.0,1122620.1,20.4258,3.6668,25.0
2016-04-30,3794.65,24367582.0,1146288.015,20.8564,3.7441,25.0
2016-05-31,4161.6,17829753.0,1257136.364,22.8732,4.1061,25.0
2016-06-30,4187.2,15361237.0,1264869.632,23.0139,4.1314,25.0
2016-07-31,4757.6,14727760.0,1437176.072,26.149,4.6942,25.0
2016-08-31,5053.65,16571732.0,1526606.795,27.7762,4.9863,35.0
2016-09-30,5477.3,15420628.0,1654582.988,30.1047,5.4043,35.0
2016-10-31,5896.15,10719900.0,1781109.235,32.4068,5.8176,35.0
2016-11-30,5266.0,22364686.0,1590753.531,28.9433,5.1958,35.0
2016-12-31,5319.55,14169305.0,1606929.861,29.2376,5.2487,35.0
2017-01-31,5894.25,12395211.0,1780535.321,32.3963,5.8157,35.0
2017-02-28,5922.5,10188588.0,1789069.082,32.5516,5.8436,35.0
2017-03-31,6015.7,12760403.0,1817222.999,24.1977,4.9015,35.0
2017-04-30,6524.85,9989761.0,1971027.036,26.2457,5.3163,35.0
2017-05-31,7211.0,11546964.0,2178299.223,29.0057,5.8754,35.0
2017-06-30,7217.6,10925001.0,2180292.952,29.0323,5.8807,35.0
2017-07-31,7750.05,8908710.0,2341135.473,31.174,6.3146,35.0
2017-08-31,7700.3,9157798.0,2326106.991,30.9739,6.274,75.0
2017-09-30,7978.2,9004277.0,2410055.036,32.0917,6.5005,75.0
2017-10-31,8211.25,9246957.0,2480454.791,33.0291,6.6904,75.0
2017-11-30,8599.1,7986627.0,2597616.592,34.5892,7.0064,75.0
2017-12-31,9729.55,15157289.0,2939102.989,39.1364,7.9274,75.0
2018-01-31,9509.7,13719767.0,2872690.69,38.2521,7.7483,75.0
2018-02-28,8850.95,11829532.0,2673695.507,35.6023,7.2116,75.0
2018-03-31,8861.1,10511374.0,2676761.62,33.9662,6.2895,75.0
2018-04-30,8814.95,10055007.0,2662820.625,33.7893,6.2567,75.0
2018-05-31,8537.2,10884870.0,2578917.888,32.7246,6.0596,75.0
2018-06-30,8825.6,8925252.0,2666037.778,33.8301,6.2643,75.0
2018-07-31,9520.55,11698762.0,2875968.315,36.494,6.7575,75.0
2018-08-31,9096.4,11573252.0,2747841.058,34.8681,6.4565,80.0
2018-09-30,7347.95,17703234.0,2219669.177,28.166,5.2155,80.0
2018-10-31,6616.4,23140058.0,1998682.509,25.3619,4.6962,80.0
2018-11-30,7661.6,17807685.0,2314416.588,29.3683,5.4381,80.0
2018-12-31,7465.5,16389586.0,2255178.688,28.6166,5.2989,80.0
2019-01-31,6641.15,20278975.0,2006158.991,25.4567,4.7138,80.0
2019-02-28,6829.7,15913676.0,2063116.186,26.1795,4.8476,80.0
2019-03-31,6672.55,18026503.0,2015644.304,26.3518,4.2802,80.0
2019-04-30,6666.4,21878154.0,2013786.512,26.3276,4.2763,80.0
2019-05-31,6869.85,19533959.0,2075244.7,27.131,4.4068,80.0
2019-06-30,6534.65,14519378.0,1973987.464,25.8072,4.1918,80.0
2019-07-31,5469.7,24336507.0,1652287.304,21.6014,3.5086,80.0
2019-08-31,6123.75,26954027.0,1849862.767,24.1845,3.9282,80.0
2019-09-30,6715.8,41436840.0,2028709.267,26.5226,4.308,80.0
2019-10-31,7559.4,22921283.0,2283544.006,29.8543,4.8491,80.0
2019-11-30,7245.85,19193567.0,2188826.803,28.616,4.648,80.0
2019-12-31,7368.6,17895616.0,2225907.13,29.1007,4.7267,80.0
2020-01-31,6913.5,17123099.0,2088430.495,27.3034,4.4348,80.0
2020-02-29,6283.1,19326164.0,1897999.225,24.8138,4.0304,80.0
2020-03-31,4288.3,29493907.0,1295409.921,22.8226,2.6216,80.0
2020-04-30,5358.8,35718715.0,1618786.626,28.5198,3.276,80.0
2020-05-31,5610.8,43887321.0,1694910.801,29.861,3.4301,80.0
2020-06-30,5838.3,37273468.0,1763634.014,31.0718,3.5692,80.0
2020-07-31,6262.75,31213866.0,1891851.896,33.3307,3.8287,80.0
2020-08-31,6839.95,26978360.0,2066212.506,36.4026,4.1815,60.0
2020-09-30,6743.45,28142398.0,2037061.781,35.889,4.1225,60.0
2020-10-31,6965.15,22204170.0,2104032.888,37.0689,4.2581,60.0
2020-11-30,7035.8,24952005.0,2125374.844,37.4449,4.3012,60.0
2020-12-31,7649.6,26505193.0,2310791.581,40.7116,4.6765,60.0
2021-01-31,7206.65,24711220.0,2176985.221,38.3542,4.4057,60.0
2021-02-28,6866.15,26292776.0,2074126.963,36.5421,4.1975,60.0
2021-03-31,6859.2,20387974.0,2072027.506,47.2072,3.9467,60.0
2021-04-30,6455.65,17712724.0,1950123.101,44.4298,3.7145,60.0
2021-05-31,7086.3,13214799.0,2140629.887,48.7701,4.0773,60.0
2021-06-30,7515.9,15439775.0,2270403.478,51.7268,4.3245,60.0
2021-07-31,6977.7,11585084.0,2107824.035,48.0227,4.0149,60.0
