BOB IN Equity,price,volume,mc,pe,bm,div
2021-09-30,81.75,661626239.0,422758.8581,10.9291,0.4921,0.0
2021-10-31,97.5,1515521207.0,504207.8125,13.0348,0.5869,0.0
2021-11-30,85.75,932123916.0,443444.3068,11.4639,0.5161,0.0
2021-12-31,81.95,616676403.0,423793.1306,8.4922,0.4797,0.0
2022-01-31,107.55,842163029.0,556180.0024,11.1451,0.6296,0.0
2022-02-28,106.55,1287656150.0,551008.6402,11.0415,0.6237,0.0
2022-03-31,111.6,1024638076.0,577124.0192,7.3566,0.6299,0.0
2022-04-30,112.9,528432987.0,583846.79,7.4423,0.6372,0.0
2022-05-31,100.25,540642645.0,518429.0584,6.6084,0.5658,0.0
2022-06-30,97.4,523220285.0,503690.6762,5.8534,0.5358,2.85
2022-07-31,116.25,604700552.0,601170.8533,6.9862,0.6395,2.85
2022-08-31,130.85,637383376.0,676672.7411,7.8636,0.7198,2.85
2022-09-30,132.4,562863141.0,684688.3525,6.9574,0.7031,2.85
2022-10-31,147.7,459231490.0,763810.1938,7.7614,0.7843,2.85
2022-11-30,166.25,709328627.0,859738.9623,8.7362,0.8828,2.85
2022-12-31,185.7,785362844.0,960321.9566,8.2168,0.9372,2.85
2023-01-31,167.85,499765402.0,868013.1417,7.427,0.8472,2.85
2023-02-28,159.0,809687924.0,822246.5865,7.0354,0.8025,2.85
2023-03-31,168.85,546067149.0,873184.5039,5.8567,0.8334,2.85
2023-04-30,187.75,357042994.0,970923.2491,6.5123,0.9266,2.85
2023-05-31,185.0,462638851.0,956702.0031,6.4169,0.9131,2.85
2023-06-30,190.35,320729362.0,984368.7908,5.6517,0.9,5.5
2023-07-31,202.2,447483032.0,1045649.433,6.0036,0.9561,5.5
2023-08-31,187.15,422140816.0,967820.4318,5.5567,0.8849,5.5
2023-09-30,213.95,449946395.0,1106412.938,6.0098,0.9728,5.5
2023-10-31,196.2,366538542.0,1014621.26,5.5112,0.8921,5.5
2023-11-30,197.1,352959882.0,1019275.486,5.5365,0.8962,5.5
2023-12-31,231.1,451236402.0,1195101.8,6.3263,1.0095,5.5
2024-01-31,247.6,509314719.0,1280429.276,6.778,1.0815,5.5
2024-02-29,265.45,543315808.0,1372738.09,7.2666,1.1595,5.5
2024-03-31,264.05,272468702.0,1365498.183,7.2761,1.1437,5.5
2024-04-30,281.5,307487303.0,1455738.453,7.757,1.2192,5.5
2024-05-31,264.9,442961696.0,1369893.841,7.2995,1.1473,5.5
2024-06-30,275.4,552997653.0,1424193.144,7.5397,1.1113,7.6
2024-07-31,253.65,397101138.0,1311716.017,6.9442,1.0235,7.6
2024-08-31,250.1,354653597.0,1293357.681,6.8471,1.0092,7.6
2024-09-30,247.8,295092820.0,1281463.548,6.4554,0.9492,7.6
2024-10-31,250.96,330184065.0,1297805.052,6.5377,0.9613,7.6
2024-11-30,246.4,266523008.0,1274223.641,6.4189,0.9438,7.6
2024-12-31,240.55,235998030.0,1243971.172,6.1354,0.8907,7.6
2025-01-31,213.39,286360962.0,1103516.975,5.4427,0.7901,7.6
2025-02-28,197.07,186250673.0,1019120.345,5.0264,0.7297,7.6
2025-03-31,228.53,233099323.0,1181811.399,5.7468,0.8088,7.6
2025-04-30,249.93,215734665.0,1292478.549,6.2849,0.8846,7.6
2025-05-31,249.55,286574159.0,1290513.432,6.2754,0.8832,7.6
2025-06-30,248.78,254771704.0,1286531.483,6.653,0.8372,8.35
2025-07-31,237.87,187991668.0,1230111.922,6.3612,0.8004,8.35
2025-08-31,232.83,117993273.0,1204048.256,6.2264,0.7835,8.35
2025-09-30,258.54,223860443.0,1337003.978,6.9944,0.8425,8.35
2025-10-31,278.4,207788886.0,1439707.231,7.5317,0.9072,8.35
2025-11-30,289.8,197217597.0,1498660.76,7.8401,0.9443,8.35
2025-12-31,295.9,196357927.0,1530206.069,7.9089,0.933,8.35
2026-01-31,299.4,211689600.0,1548305.836,8.0024,0.944,8.35
2026-02-28,321.95,232996697.0,1664920.054,8.6051,1.0151,8.35
2026-03-31,302.15,38654961.0,1562527.051,8.0759,0.9527,8.35
