BOB IN Equity,price,volume,mc,pe,bm,div
2017-03-31,172.95,292633527.0,398504.4146,21.9263,0.9253,0.0
2017-04-30,187.55,159710540.0,432145.1457,23.7773,1.0034,0.0
2017-05-31,178.05,275185643.0,410255.6289,22.5729,0.9526,0.0
2017-06-30,161.65,175054249.0,372467.4103,23.6474,0.8655,1.2
2017-07-31,166.05,205786569.0,382605.7129,24.291,0.889,1.2
2017-08-31,137.85,286489435.0,317628.4102,20.1657,0.738,1.2
2017-09-30,137.6,337079921.0,317052.3703,17.0521,0.727,1.2
2017-10-31,169.9,376683532.0,391476.7276,21.0549,0.8976,1.2
2017-11-30,169.1,398826954.0,389633.3833,20.9557,0.8934,1.2
2017-12-31,160.65,208289929.0,370163.2349,21.4627,0.8504,1.2
2018-01-31,156.8,307023282.0,361292.2206,20.9483,0.83,1.2
2018-02-28,141.95,388078118.0,327075.4549,18.9644,0.7514,1.2
2018-03-31,142.3,444359732.0,327881.9108,19.1982,0.8084,1.2
2018-04-30,148.95,272016689.0,394049.6279,19.1982,0.8462,1.2
2018-05-31,136.85,309235727.0,362038.8827,19.1982,0.7775,1.2
2018-06-30,112.65,376399155.0,298017.3923,19.1982,0.5485,1.2
2018-07-31,153.35,447607288.0,405689.8988,19.1982,0.7467,0.0
2018-08-31,152.95,333504565.0,404631.6924,19.1982,0.7447,0.0
2018-09-30,99.5,663330453.0,263228.8551,19.1982,0.472,0.0
2018-10-31,110.65,587059242.0,292726.36,19.1982,0.5249,0.0
2018-11-30,105.05,398577764.0,277911.4697,19.1982,0.4983,0.0
2018-12-31,118.8,295538480.0,314287.3165,19.1982,0.561,0.0
2019-01-31,112.45,373066623.0,297488.289,19.1982,0.531,0.0
2019-02-28,101.0,247009607.0,267197.1293,19.1982,0.4769,0.0
2019-03-31,128.65,424178490.0,340345.6504,21.2091,0.6189,0.0
2019-04-30,116.65,401346995.0,398729.3054,19.2308,0.5611,0.0
2019-05-31,133.25,616487192.0,455470.8953,21.9674,0.641,0.0
2019-06-30,121.6,471491721.0,467762.0465,21.6504,0.6978,0.0
2019-07-31,106.7,564990751.0,410445.8089,18.9975,0.6123,0.0
2019-08-31,92.6,591631161.0,356206.9532,16.4871,0.5314,0.0
2019-09-30,93.05,567664739.0,357937.9805,19.137,0.4769,0.0
2019-10-31,97.2,597796820.0,373901.899,19.9905,0.4982,0.0
2019-11-30,104.9,667725319.0,416358.6727,21.5741,0.5376,0.0
2019-12-31,101.9,542180031.0,470835.7351,21.1628,0.625,0.0
2020-01-31,92.7,505904577.0,428326.5225,21.1628,0.5685,0.0
2020-02-29,76.3,408746247.0,352549.2305,21.1628,0.468,0.0
2020-03-31,53.55,637530922.0,247431.3407,23.6435,0.3261,0.0
2020-04-30,49.2,465049599.0,227331.876,21.7229,0.2996,0.0
2020-05-31,38.95,678935668.0,179971.0685,17.1973,0.2372,0.0
2020-06-30,48.6,1350324776.0,224559.5361,21.7449,0.2967,0.0
2020-07-31,46.8,821606793.0,216242.5162,21.7449,0.2857,0.0
2020-08-31,48.95,803086924.0,226176.7344,21.7449,0.2988,0.0
2020-09-30,41.05,558065188.0,189674.2584,2052.5,0.2448,0.0
2020-10-31,41.7,643653861.0,192677.6191,2085.0,0.2487,0.0
2020-11-30,51.35,793207197.0,237266.0849,2567.5,0.3062,0.0
2020-12-31,61.45,1313745569.0,283933.8056,10.5766,0.3599,0.0
2021-01-31,68.05,1268745107.0,314429.5439,11.7126,0.3985,0.0
2021-02-28,85.4,1782446700.0,394596.3711,14.6988,0.5002,0.0
2021-03-31,74.1,1270570784.0,383197.9323,22.0536,0.4663,0.0
2021-04-30,66.75,923167522.0,345188.4208,19.8661,0.4201,0.0
2021-05-31,80.7,1647032256.0,417328.9222,24.0179,0.5079,0.0
2021-06-30,85.9,1314506416.0,444220.0052,12.0646,0.5295,0.0
2021-07-31,80.3,674392821.0,415260.383,11.2781,0.495,0.0
2021-08-31,77.35,741989057.0,400004.8645,10.8638,0.4768,0.0
