ARBP IN Equity,price,volume,mc,pe,bm,div
2005-07-31,36.7,81709610.0,18630.0517,12.4065,2.612,0.225
2005-08-31,37.67,40235880.0,19122.5207,12.4065,2.6811,0.225
2005-09-30,35.5,42381400.0,18023.3502,12.4065,2.527,0.05
2005-10-31,29.1,15500300.0,14774.0701,12.4065,2.0714,0.05
2005-11-30,37.69,48096850.0,19135.2132,12.4065,2.6829,0.05
2005-12-31,41.07,79398670.0,20848.7007,12.4065,2.9231,0.05
2006-01-31,53.9,198482610.0,27367.5687,12.4065,3.8371,0.05
2006-02-28,55.57,62397660.0,28212.8893,12.4065,3.9556,0.05
2006-03-31,68.32,66772210.0,34686.0643,51.4446,4.4662,0.05
2006-04-30,72.4,46402050.0,36214.2413,54.513,4.7326,0.05
2006-05-31,57.98,31392200.0,29436.4463,43.6586,3.7903,0.05
2006-06-30,58.21,27213030.0,29550.6788,43.828,3.805,0.05
2006-07-31,61.93,20992230.0,32987.4478,46.6292,4.0482,0.05
2006-08-31,62.27,16776610.0,33168.5658,46.8852,4.0704,0.05
2006-09-30,62.92,25716530.0,33514.8208,47.3746,4.1129,0.15
2006-10-31,60.9,23229020.0,32453.8079,45.8536,3.9809,0.15
2006-11-30,62.13,41049200.0,33111.9975,46.7835,4.0616,0.15
2006-12-31,70.6,47295750.0,37623.3939,53.1576,4.615,0.15
2007-01-31,71.81,25170450.0,38309.6286,54.0725,4.6944,0.15
2007-02-28,63.29,31270470.0,33761.6605,47.6532,4.1371,0.15
2007-03-31,67.85,18675410.0,36199.6915,17.9978,4.0857,0.15
2007-04-30,68.5,14978500.0,36541.1225,18.1675,4.1242,0.15
2007-05-31,68.45,27007180.0,36514.4482,18.1542,4.1212,0.15
2007-06-30,81.03,82156730.0,43228.3693,21.4923,4.879,0.15
2007-07-31,65.08,47376990.0,34719.2679,17.2617,3.9186,0.15
2007-08-31,60.4,53193170.0,32455.8501,16.0191,3.6365,0.15
2007-09-30,60.13,27136890.0,32310.5728,15.9475,3.6203,0.25
2007-10-31,58.36,33669440.0,31364.7664,15.4806,3.5143,0.25
2007-11-30,49.33,22247400.0,26506.761,13.0829,2.97,0.25
2007-12-31,54.3,43821710.0,29191.87,14.4011,3.2692,0.25
2008-01-31,29.29,100650920.0,15745.0801,7.7675,1.7633,0.25
2008-02-29,32.97,67286690.0,17726.3203,8.7449,1.9852,0.25
2008-03-31,29.13,48272770.0,15661.7443,6.552,1.3934,0.25
2008-04-30,32.96,42604970.0,17723.632,7.4145,1.5768,0.25
2008-05-31,30.32,45385770.0,16301.5478,6.8196,1.4503,0.25
2008-06-30,27.16,76611800.0,14599.8856,6.1077,1.2989,0.25
2008-07-31,27.86,34056030.0,14978.9288,6.2663,1.3326,0.25
2008-08-31,31.57,20737990.0,16970.9221,7.0996,1.5098,0.325
2008-09-30,27.73,15986720.0,14906.3461,6.2359,1.3262,0.325
2008-10-31,12.57,31986690.0,6758.2604,2.8273,0.6013,0.325
2008-11-30,11.07,74960270.0,5951.7854,2.4899,0.5295,0.325
2008-12-31,16.84,58854110.0,9054.0259,3.7877,0.8055,0.325
2009-01-31,16.04,34235880.0,8621.2177,3.6066,0.767,0.325
2009-02-28,14.98,54299830.0,8053.9969,3.3693,0.7165,0.6
2009-03-31,18.82,45954010.0,10115.8846,10.0885,0.815,0.6
2009-04-30,21.8,31542510.0,11718.0816,11.6863,0.9441,0.6
2009-05-31,38.8,71543970.0,20858.1315,20.8016,1.6804,0.6
2009-06-30,46.57,56822270.0,25035.672,24.9678,2.017,0.6
2009-07-31,59.02,75105000.0,31732.1026,31.6461,2.5565,0.6
2009-08-31,70.53,45375760.0,37920.4541,37.8177,3.055,0.6
2009-09-30,78.08,37508880.0,41979.7115,41.866,3.382,0.6
2009-10-31,75.08,46418290.0,40366.7615,40.2574,3.2521,0.6
2009-11-30,85.81,48937400.0,46204.6197,46.008,3.7166,0.6
2009-12-31,91.19,48457430.0,49238.4425,48.8928,3.9497,0.45
2010-01-31,84.29,38906110.0,46478.6019,45.1957,3.651,0.45
2010-02-28,91.28,46414670.0,50376.6803,48.941,3.9536,0.45
2010-03-31,95.94,46248430.0,53466.2124,9.2215,2.9231,0.45
2010-04-30,95.23,19302290.0,53067.7514,9.1527,2.9013,0.45
2010-05-31,85.28,28930520.0,47806.2722,8.1964,2.5982,0.45
2010-06-30,91.02,48253730.0,51383.7038,8.7486,2.7732,0.45
2010-07-31,96.99,35507720.0,54777.3236,9.3219,2.955,0.45
2010-08-31,103.84,81838890.0,60460.2164,9.9813,3.164,0.45
2010-09-30,103.8,51545310.0,60434.0204,9.9769,3.1626,0.5
2010-10-31,118.49,42526140.0,68989.6808,11.3894,3.6103,0.5
2010-11-30,124.77,39110030.0,72640.1787,11.992,3.8014,0.7
2010-12-31,131.39,32602140.0,76497.3597,12.6288,4.0032,0.7
2011-01-31,118.68,32237040.0,69094.4833,11.4067,3.6158,0.7
2011-02-28,84.95,128622628.0,49461.5101,8.1651,2.5883,0.7
2011-03-31,97.98,136687126.0,57045.2202,10.0128,2.3333,0.7
2011-04-30,97.25,42332078.0,56623.0943,9.9387,2.316,0.7
2011-05-31,88.3,75323486.0,51412.0229,9.024,2.1029,0.7
2011-06-30,86.08,45557274.0,50116.5331,8.7966,2.0499,0.7
2011-07-31,85.38,55744478.0,49708.9632,8.7251,2.0332,1.0
2011-08-31,62.85,74803608.0,36593.9483,6.4231,1.4968,1.0
2011-09-30,62.03,49671686.0,36113.5982,6.3388,1.4771,1.0
2011-10-31,64.1,30825182.0,37321.7516,6.5508,1.5266,1.0
2011-11-30,45.53,92339194.0,26506.595,4.6525,1.0842,1.0
2011-12-31,42.58,45953396.0,24788.9793,4.351,1.0139,1.0
2012-01-31,57.5,60381494.0,33478.9503,5.8763,1.3694,0.5
2012-02-29,56.05,79151134.0,32634.6986,5.7282,1.3348,0.5
2012-03-31,59.5,67604270.0,34643.4356,5.9019,1.4807,0.5
2012-04-30,65.38,74683194.0,38064.1109,5.9019,1.6269,0.5
2012-05-31,54.43,63938650.0,31688.5543,5.9019,1.3544,0.5
2012-06-30,55.0,41995510.0,32023.3438,5.9019,1.3687,0.5
2012-07-31,54.5,33703184.0,31732.2225,5.9019,1.3563,0.5
2012-08-31,55.15,59469728.0,32110.6802,5.9019,1.3725,0.5
2012-09-30,71.0,106593974.0,41339.2256,5.9019,1.7669,0.5
2012-10-31,79.22,92053974.0,46128.1712,5.9019,1.9716,0.5
2012-11-30,94.0,127966282.0,54730.8058,5.9019,2.3393,0.5
2012-12-31,94.7,98433212.0,55138.3756,5.9019,2.3567,0.5
2013-01-31,93.7,89642474.0,54572.9983,5.9019,2.3318,0.5
2013-02-28,80.45,103364580.0,46855.8988,5.9019,2.0021,1.0
2013-03-31,72.97,88697692.0,42502.2898,14.4648,1.6311,1.0
2013-04-30,95.45,120919458.0,55592.2379,18.9197,2.1334,1.0
2013-05-31,85.2,90249334.0,49622.4062,16.888,1.9043,1.0
2013-06-30,90.3,111375790.0,52592.7559,17.8989,2.0183,1.0
2013-07-31,84.65,100704526.0,49302.0686,16.779,1.892,0.75
2013-08-31,90.78,116825872.0,52869.4066,17.9931,2.0289,0.75
2013-09-30,101.18,95055956.0,58926.6011,20.0545,2.2614,0.75
2013-10-31,108.35,92190164.0,63105.4829,21.4767,2.4218,0.75
2013-11-30,146.78,156999630.0,85485.0692,29.0932,3.2806,1.375
2013-12-31,196.4,262957816.0,114387.7881,38.9296,4.3898,1.375
2014-01-31,235.78,274684416.0,137380.814,46.7344,5.2699,1.375
2014-02-28,262.08,255876714.0,152705.2352,51.9475,5.8577,0.875
2014-03-31,255.75,137261048.0,149080.2715,12.7018,3.9753,0.875
2014-04-30,286.55,110806942.0,167034.0246,14.2314,4.4541,0.875
2014-05-31,334.9,119988136.0,195217.9195,16.6327,5.2056,0.875
2014-06-30,370.43,76414898.0,215925.9416,18.3971,5.7578,1.75
2014-07-31,356.1,83994938.0,207575.6977,17.6856,5.5351,1.5
2014-08-31,408.78,67331404.0,238280.6959,20.3017,6.3539,2.25
2014-09-30,484.13,99312280.0,282203.2705,24.044,7.5251,2.25
2014-10-31,484.23,54830892.0,282269.0097,24.0489,7.5267,2.25
2014-11-30,545.42,57801510.0,317944.2916,27.0884,8.478,1.625
2014-12-31,567.85,47630518.0,331016.4662,28.2021,8.8265,1.625
2015-01-31,623.88,32649314.0,364088.3704,30.9846,9.6974,1.625
2015-02-28,541.72,68835950.0,316146.3471,26.9046,8.4204,2.625
2015-03-31,610.8,68497148.0,356685.5402,22.6013,6.918,2.625
2015-04-30,642.83,73001742.0,375387.0045,23.7863,7.2807,2.625
2015-05-31,687.1,60311672.0,401242.0162,25.4246,7.7822,2.625
2015-06-30,726.0,56862142.0,423958.255,26.864,8.2228,2.25
2015-07-31,759.9,48403769.0,443754.6529,28.1184,8.6067,2.25
2015-08-31,753.0,50492796.0,439725.2975,27.8631,8.5286,2.0
2015-09-30,769.2,43128135.0,449185.5231,28.4625,8.7121,2.0
2015-10-31,835.95,35839018.0,488165.156,30.9325,9.4681,2.0
2015-11-30,809.75,27507888.0,472865.2851,29.963,9.1713,2.2
2015-12-31,875.95,34803956.0,511523.7376,32.4126,9.9211,2.2
2016-01-31,834.25,32397432.0,487885.6838,30.8696,9.4488,2.2
2016-02-29,655.65,91973503.0,383436.9177,24.2609,7.426,2.4
2016-03-31,744.9,53091017.0,435892.802,21.4854,5.9815,2.4
2016-04-30,759.95,32742154.0,444699.6038,21.9195,6.1024,2.4
2016-05-31,785.3,39973174.0,459533.6521,22.6507,6.306,2.4
2016-06-30,742.5,35245565.0,434488.3951,21.4162,5.9623,2.5
2016-07-31,791.45,32563362.0,463132.4448,22.8281,6.3553,2.5
2016-08-31,790.85,49288700.0,462781.3431,22.8108,6.3505,2.5
2016-09-30,855.45,53008866.0,500583.2964,24.6741,6.8693,2.5
2016-10-31,818.05,47488493.0,478697.955,23.5953,6.5689,2.0
2016-11-30,740.8,54146455.0,433493.6068,21.3672,5.9486,3.25
2016-12-31,669.3,47867470.0,391653.9836,19.3049,5.3745,3.25
2017-01-31,681.8,31100950.0,398968.6031,19.6654,5.4748,2.65
2017-02-28,677.2,62203871.0,396276.8231,19.5327,5.4379,2.65
2017-03-31,675.2,50452556.0,395577.6898,17.1676,4.221,2.65
2017-04-30,606.75,33525503.0,355484.1743,15.4272,3.7931,1.95
2017-05-31,574.15,93450112.0,336384.4065,14.5983,3.5893,1.95
2017-06-30,684.6,92109927.0,401095.1227,17.4066,4.2798,2.5
2017-07-31,718.6,66067780.0,421015.1259,18.271,4.4923,2.5
2017-08-31,725.25,59534722.0,424911.2442,18.4401,4.5339,2.5
2017-09-30,691.65,61557335.0,405225.594,17.5858,4.3238,2.5
2017-10-31,760.0,44485019.0,445270.6592,19.3237,4.7511,2.5
2017-11-30,692.85,71314142.0,405928.6361,17.6163,4.3313,2.75
2017-12-31,687.95,42283936.0,403057.8122,17.4917,4.3007,2.75
2018-01-31,629.55,43564629.0,368842.2788,16.0069,3.9356,2.75
2018-02-28,613.9,60905271.0,359673.2109,15.6089,3.8378,2.5
2018-03-31,557.85,63194111.0,326834.5019,13.4877,2.7983,2.5
2018-04-30,642.0,40912435.0,376152.685,15.5222,3.2204,2.5
2018-05-31,556.3,43404529.0,325940.4029,13.4502,2.7905,2.5
2018-06-30,607.1,66706044.0,355704.5094,14.6784,3.0453,2.5
2018-07-31,591.55,42878323.0,346593.6461,14.3025,2.9673,2.5
2018-08-31,712.75,71787510.0,417605.6483,17.2328,3.5753,2.5
2018-09-30,744.45,132584251.0,436178.9195,17.9993,3.7343,2.5
2018-10-31,791.55,67653718.0,463775.1679,19.1381,3.9705,2.5
2018-11-30,810.7,48617805.0,474995.2986,19.6011,4.0666,2.25
2018-12-31,732.95,71060609.0,429440.982,17.7212,3.6766,2.25
2019-01-31,787.8,52562651.0,461578.0144,19.0474,3.9517,2.25
2019-02-28,712.05,53375651.0,417195.513,17.2159,3.5718,2.5
2019-03-31,784.25,42382391.0,459498.0424,19.4314,3.308,2.5
2019-04-30,819.05,40999458.0,479894.1796,20.2936,3.4548,2.5
2019-05-31,672.4,69276562.0,393969.6555,16.6601,2.8362,2.5
2019-06-30,608.05,67886698.0,356265.9861,15.0657,2.5648,2.5
2019-07-31,571.25,64129872.0,334704.2916,14.1539,2.4095,2.5
2019-08-31,600.7,62905859.0,351973.3224,14.8835,2.5338,2.5
2019-09-30,589.0,38417729.0,345117.8407,14.5937,2.4844,2.5
2019-10-31,469.85,118722507.0,275303.2554,11.6415,1.9818,2.5
2019-11-30,449.9,126828630.0,263613.7802,11.1472,1.8977,2.5
2019-12-31,456.85,57804826.0,267686.0535,11.3194,1.927,2.5
2020-01-31,481.4,76273457.0,282070.8464,11.9277,2.0306,2.5
2020-02-29,505.5,153010639.0,296191.9668,12.5248,2.1322,3.0
2020-03-31,413.15,117207267.0,242080.5363,8.508,1.4388,3.0
2020-04-30,625.85,237418638.0,366709.6784,12.8882,2.1796,3.0
2020-05-31,745.65,136090944.0,436905.1238,15.3552,2.5968,3.0
2020-06-30,771.7,120801990.0,452168.8246,15.8917,2.6875,3.0
2020-07-31,874.6,84217806.0,512461.9074,18.0107,3.0459,3.0
2020-08-31,808.9,107606264.0,473965.7408,16.6577,2.8171,3.0
2020-09-30,796.5,99128009.0,466700.1021,16.4024,2.7739,3.0
2020-10-31,772.65,73697211.0,452725.4771,15.9112,2.6908,3.0
2020-11-30,868.55,86561446.0,508916.991,17.8861,3.0248,4.25
2020-12-31,921.3,65623134.0,539825.2534,18.9724,3.2085,4.25
2021-01-31,905.25,75221990.0,530420.9385,18.6419,3.1526,4.25
2021-02-28,855.2,64265697.0,501094.7104,17.6112,2.9783,6.0
2021-03-31,881.3,43988656.0,516387.7084,9.6793,2.3547,6.0
2021-04-30,980.85,59242821.0,574717.8984,10.7727,2.6207,6.0
2021-05-31,997.95,53078309.0,584737.4488,10.9605,2.6664,6.0
2021-06-30,965.2,54739726.0,565547.9589,10.6008,2.5789,6.0
2021-07-31,916.6,39196456.0,537071.329,10.067,2.449,6.0
2021-08-31,727.3,117290167.0,426153.1503,7.9879,1.9433,4.25
2021-09-30,724.8,51460910.0,424688.3038,7.9605,1.9366,4.25
2021-10-31,689.35,43709628.0,403916.7801,7.5711,1.8419,4.25
2021-11-30,660.25,62801724.0,386865.9666,7.2515,1.7641,4.5
2021-12-31,734.35,43181623.0,430284.0175,8.0653,1.9621,4.5
2022-01-31,634.45,46714504.0,371748.7505,6.9681,1.6952,4.5
2022-02-28,625.25,49473566.0,366358.1153,6.8671,1.6706,4.5
2022-03-31,668.55,59592764.0,391729.257,14.7942,1.594,4.5
2022-04-30,629.05,24643463.0,368584.682,13.9201,1.4998,4.5
2022-05-31,530.8,61055750.0,311016.2137,11.746,1.2655,4.5
2022-06-30,513.1,45301977.0,300645.1003,11.3543,1.2233,7.5
2022-07-31,547.0,23675234.0,320508.4191,12.1044,1.3042,7.5
2022-08-31,545.4,34266514.0,319570.9173,12.069,1.3003,7.5
2022-09-30,510.6,29294016.0,299180.2538,11.299,1.2174,7.5
2022-10-31,538.15,22391851.0,315322.8624,11.9086,1.2831,7.5
2022-11-30,467.35,59272692.0,273838.4089,10.3419,1.1143,7.5
2022-12-31,438.3,28932668.0,256816.8923,9.699,1.045,7.5
2023-01-31,408.15,27976233.0,239150.8433,9.0319,0.9731,6.0
2023-02-28,462.75,44450937.0,271143.0913,10.2401,1.1033,7.5
2023-03-31,518.1,45835155.0,303574.7933,15.7477,1.1311,7.5
2023-04-30,617.0,36677701.0,361524.1218,18.7538,1.347,7.5
2023-05-31,658.6,43646836.0,385899.1679,20.0182,1.4378,7.5
2023-06-30,727.35,36344936.0,426182.4473,22.1079,1.5879,3.0
2023-07-31,822.25,43288369.0,481788.0213,24.9924,1.795,3.0
2023-08-31,830.0,44193911.0,486329.0455,25.228,1.812,3.0
2023-09-30,914.35,42943284.0,535752.9671,27.7918,1.9961,3.0
2023-10-31,849.5,36633463.0,497754.8483,25.8207,1.8545,3.0
2023-11-30,1041.55,53924321.0,610284.3582,31.6581,2.2738,6.0
2023-12-31,1084.0,42130479.0,635157.4522,32.9483,2.3665,6.0
2024-01-31,1150.4,54658241.0,674063.7758,34.9666,2.5114,6.0
2024-02-29,1028.1,85329678.0,602403.4839,31.2492,2.2444,4.5
2024-03-31,1088.75,37038018.0,637940.6605,20.1025,2.1377,4.5
2024-04-30,1153.5,35730672.0,675880.1855,21.298,2.2648,4.5
2024-05-31,1185.7,35473094.0,694747.4087,21.8925,2.328,4.5
2024-06-30,1207.6,31579514.0,707579.4642,22.2969,2.371,4.5
2024-07-31,1434.15,31380353.0,840323.8561,26.4799,2.8158,4.5
2024-08-31,1569.4,35359160.0,919572.053,28.9771,3.0814,4.5
2024-09-30,1460.7,27140634.0,848376.9307,26.9701,2.868,4.5
2024-10-31,1396.5,19237062.0,811089.4665,25.7847,2.7419,4.5
2024-11-30,1262.6,22305492.0,733320.1292,23.3124,2.479,4.5
2024-12-31,1334.5,24627698.0,775079.7659,24.64,2.6202,4.5
2025-01-31,1171.9,22345054.0,680641.422,21.6377,2.3009,1.5
2025-02-28,1058.3,20242285.0,614662.3576,19.5403,2.0779,1.5
2025-03-31,1160.5,15036914.0,674020.2835,19.3357,2.0642,1.5
2025-04-30,1229.1,36890021.0,713863.2748,20.4787,2.1862,0.0
2025-05-31,1147.8,26009889.0,666644.1029,19.1241,2.0416,0.0
2025-06-30,1134.8,23868432.0,659093.6818,18.9075,2.0185,0.0
2025-07-31,1139.8,27382759.0,661997.6899,18.9908,2.0274,0.0
2025-08-31,1027.9,29208978.0,597005.9883,17.1264,1.8283,4.0
2025-09-30,1083.9,32844207.0,629530.8792,18.0595,1.9279,4.0
2025-10-31,1138.9,27948334.0,661474.9684,18.9758,2.0258,4.0
2025-11-30,1226.7,25714144.0,712469.3509,20.4387,2.1819,4.0
2025-12-31,1183.0,15926121.0,687088.32,19.7106,2.1042,4.0
2026-01-31,1207.7,24924580.0,701434.1201,20.1222,2.1481,4.0
2026-02-28,1220.4,48508019.0,708810.3007,20.3338,2.1707,4.0
2026-03-31,1225.0,2779215.0,711481.9882,20.4104,2.1789,4.0
