LTF IN Equity,price,volume,mc,pe,bm,div
2011-08-31,46.32,246551346.0,85393.5469,17.6596,2.4408,0.0
2011-09-30,44.78,68061796.0,82564.2427,17.0745,2.3599,0.0
2011-10-31,47.62,27486486.0,87794.1688,18.156,2.5094,0.0
2011-11-30,42.18,27730266.0,77762.9991,16.0816,2.2227,0.0
2011-12-31,39.86,8944047.0,73476.1744,15.195,2.1001,0.0
2012-01-31,45.62,16728324.0,84107.4996,17.3936,2.404,0.0
2012-02-29,45.34,37296277.0,83594.6278,17.2872,2.3893,0.0
2012-03-31,44.51,22431856.0,82051.3366,17.0285,1.7264,0.0
2012-04-30,40.79,45102160.0,75192.2907,15.605,1.5821,0.0
2012-05-31,38.51,16956006.0,70991.125,14.7331,1.4937,0.0
2012-06-30,40.97,13142108.0,75535.243,15.6762,1.5893,0.0
2012-07-31,41.44,19724489.0,76392.6237,15.8541,1.6073,0.0
2012-08-31,39.39,13548315.0,72620.1484,15.0712,1.528,0.0
2012-09-30,44.92,19193362.0,82822.9792,17.1886,1.7426,0.0
2012-10-31,50.37,92961971.0,92854.3339,19.2705,1.9537,0.0
2012-11-30,69.62,518121618.0,128353.7887,26.637,2.7005,0.0
2012-12-31,82.87,70847445.0,152912.3824,31.7082,3.2147,0.0
2013-01-31,76.41,36077586.0,140984.8733,29.2349,2.9639,0.0
2013-02-28,73.06,23055601.0,134835.3228,27.9537,2.834,0.0
2013-03-31,68.64,43389233.0,126681.6909,17.3647,2.3161,0.0
2013-04-30,72.13,49987247.0,133134.7766,18.2471,2.4338,0.0
2013-05-31,71.43,71987456.0,131853.4969,18.0706,2.4103,0.0
2013-06-30,73.2,39135533.0,135115.4974,18.5176,2.4699,0.0
2013-07-31,57.16,36168470.0,105505.5318,14.4588,1.9285,0.6976
2013-08-31,51.57,35889783.0,95203.9339,13.0471,1.7402,0.6976
2013-09-30,59.99,76981714.0,110742.1774,15.1765,2.0243,0.6976
2013-10-31,76.69,117897238.0,141615.9469,19.4,2.5876,0.6976
2013-11-30,69.57,60881326.0,128476.3229,17.6,2.3475,0.6976
2013-12-31,69.57,84680944.0,128476.3229,17.6,2.3475,0.6976
2014-01-31,63.85,58689035.0,117913.0959,16.1529,2.1545,0.6976
2014-02-28,71.62,76562974.0,132320.571,18.1176,2.4166,0.6976
2014-03-31,68.41,357984234.0,126391.9221,28.3881,2.1696,0.6976
2014-04-30,59.71,242807221.0,110324.4242,24.7793,1.8938,0.6976
2014-05-31,67.43,198632322.0,124603.7109,27.9829,2.1386,0.6976
2014-06-30,69.29,268024301.0,128041.0547,28.7548,2.1976,0.6976
2014-07-31,63.57,135130325.0,117501.9518,26.3811,2.0162,0.6976
2014-08-31,61.2,64768140.0,113118.1921,25.3969,1.941,0.6976
2014-09-30,61.39,121348448.0,113462.0164,25.474,1.9469,0.6976
2014-10-31,64.46,63168245.0,119158.3723,26.7478,2.0442,0.6976
2014-11-30,65.71,123896545.0,121479.6393,27.2688,2.084,0.6976
2014-12-31,62.97,96586704.0,116407.241,26.1302,1.997,0.6976
2015-01-31,64.04,101549476.0,118384.6166,26.5741,2.0309,0.6976
2015-02-28,62.22,96462924.0,115087.1341,25.8214,1.9734,0.6976
2015-03-31,58.41,101539272.0,108033.9538,14.6047,1.6943,0.6976
2015-04-30,58.64,83609796.0,108464.0253,14.6628,1.701,0.6976
2015-05-31,60.04,81432596.0,111071.1346,15.0116,1.7415,0.6976
2015-06-30,61.39,65516093.0,113566.1484,15.3488,1.7806,0.6976
2015-07-31,65.85,186249139.0,121851.3806,16.4651,1.9101,0.6976
2015-08-31,59.76,76000576.0,110578.4068,14.9419,1.7334,0.6976
2015-09-30,62.09,169305874.0,114881.0685,15.5233,1.8008,0.7441
2015-10-31,62.18,42372349.0,115053.175,15.5465,1.8035,0.7441
2015-11-30,62.04,27753192.0,114814.7843,15.5116,1.7995,0.7441
2015-12-31,60.6,41255379.0,114220.8496,15.1512,1.7577,0.7441
2016-01-31,54.27,46306240.0,102299.1032,13.5698,1.5742,0.7441
2016-02-29,47.44,40942854.0,89423.3328,11.8605,1.3759,0.7441
2016-03-31,59.39,49994240.0,111954.5058,16.847,1.5346,0.7441
2016-04-30,66.64,109502879.0,125631.0155,18.905,1.722,0.7441
2016-05-31,73.29,133750747.0,138167.8161,20.7916,1.8939,0.7441
2016-06-30,73.43,81702118.0,138430.8259,20.8311,1.8975,0.7441
2016-07-31,80.04,140222060.0,150879.9566,22.7045,2.0681,0.7441
2016-08-31,90.17,242406745.0,169992.0022,25.5805,2.3301,0.7441
2016-09-30,85.24,128518018.0,160698.9892,24.1821,2.2027,0.7441
2016-10-31,100.27,212151214.0,189016.3779,28.4433,2.5909,0.7441
2016-11-30,83.11,179038279.0,156666.1722,23.5752,2.1474,0.7441
