MRL IN Equity,price,volume,mc,pe,bm,div
2012-11-30,128.0,999069.0,19060.6602,30.8434,0.5025,2.0
2012-12-31,138.05,920484.0,20557.2198,33.2651,0.542,2.0
2013-01-31,140.9,2399984.0,20981.6173,33.9518,0.5531,2.0
2013-02-28,124.6,462353.0,18554.3614,30.0241,0.4892,2.0
2013-03-31,122.4,1674928.0,18226.7563,28.5542,0.8995,2.0
2013-04-30,108.65,675415.0,16179.2244,28.5542,0.7985,2.0
2013-05-31,99.25,374466.0,14779.4572,28.5542,0.7294,2.0
2013-06-30,84.1,613106.0,12523.4494,28.5542,0.618,2.0
2013-07-31,71.9,384410.0,10706.7302,28.5542,0.5284,2.0
2013-08-31,58.45,515637.0,8703.8718,28.5542,0.4295,2.0
2013-09-30,55.5,1706622.0,8264.5831,28.5542,0.4079,2.0
2013-10-31,52.8,1563440.0,7862.5223,28.5542,0.388,0.0
2013-11-30,65.05,11935299.0,9686.6871,28.5542,0.478,0.0
2013-12-31,69.55,6472647.0,10356.7884,28.5542,0.5111,0.0
2014-01-31,64.8,5562358.0,9649.4592,28.5542,0.4762,0.0
2014-02-28,58.45,3068693.0,8703.8718,28.5542,0.4295,0.0
2014-03-31,68.45,3625257.0,10192.9858,28.5542,0.4942,0.0
2014-04-30,79.7,11754335.0,11868.2392,28.5542,0.4942,0.0
2014-05-31,90.6,12505077.0,13491.3735,28.5542,0.4942,0.0
2014-06-30,96.2,17755939.0,14325.2774,28.5542,0.4942,0.0
2014-07-31,84.5,8559618.0,12583.0139,28.5542,0.4942,0.0
2014-08-31,89.2,14844153.0,13282.8975,28.5542,0.4942,0.0
2014-09-30,102.0,35584175.0,15188.9636,28.5542,0.4942,0.0
2014-10-31,102.15,16238447.0,15211.3003,28.5542,0.4942,0.0
2014-11-30,90.2,15544313.0,13431.809,28.5542,0.4942,0.0
2014-12-31,70.45,8297189.0,10490.8087,28.5542,0.4942,0.0
2015-01-31,77.35,8581249.0,11518.2974,28.5542,0.4942,0.0
2015-02-28,74.85,10443590.0,11145.988,28.5542,0.4942,0.0
2015-03-31,68.35,11634666.0,10178.0947,28.5542,0.615,0.0
2015-04-30,91.3,13951172.0,13595.6115,28.5542,0.8214,0.0
2015-05-31,117.35,34344718.0,17474.7537,28.5542,1.0558,0.0
2015-06-30,170.4,74736096.0,25374.5038,28.5542,1.5331,0.0
2015-07-31,191.9,53821819.0,28576.0991,28.5542,1.7266,0.0
2015-08-31,230.9,136417893.0,34383.644,28.5542,2.0775,0.0
2015-09-30,222.9,50107741.0,33192.3527,28.5542,2.0055,0.0
2015-10-31,214.5,38310745.0,31941.4969,28.5542,1.9299,0.0
2015-11-30,196.4,39184685.0,29246.2004,28.5542,1.7671,0.0
2015-12-31,200.5,23775624.0,29856.7372,28.5542,1.8039,0.0
2016-01-31,186.2,13091260.0,27727.3041,28.5542,1.6753,0.0
2016-02-29,172.3,10226435.0,25657.4355,28.5542,1.5502,0.0
2016-03-31,199.2,16148483.0,29663.1524,3.8952,2.0195,0.0
2016-04-30,213.75,14624024.0,31829.8133,4.1797,2.167,0.0
2016-05-31,200.4,16318965.0,29841.8461,3.9187,2.0316,0.0
2016-06-30,197.35,11295015.0,29387.6663,3.859,2.0007,0.0
2016-07-31,266.85,49155706.0,39737.0091,5.218,2.7053,0.0
2016-08-31,294.5,45698054.0,43854.4095,5.7587,2.9856,4.0
2016-09-30,287.25,21900280.0,42774.8018,5.6169,2.9121,4.0
2016-10-31,283.5,11430671.0,42216.384,5.5436,2.8741,4.0
2016-11-30,278.85,11134677.0,41523.946,5.4527,2.827,4.0
2016-12-31,273.9,7966897.0,40786.8345,5.3559,2.7768,4.0
2017-01-31,329.8,26138047.0,49110.9822,6.449,3.3435,4.0
2017-02-28,379.85,21002222.0,56563.9981,7.4276,3.8509,4.0
2017-03-31,363.05,7616660.0,54062.2865,5.1445,1.5711,4.0
2017-04-30,380.95,8795162.0,56727.8007,5.3982,1.6485,4.0
2017-05-31,381.0,16297796.0,56735.2462,5.3989,1.6488,4.0
2017-06-30,353.95,8071169.0,52707.1927,5.0156,1.5317,4.0
2017-07-31,387.0,16566358.0,57628.7147,5.4839,1.6747,4.0
2017-08-31,448.35,44971381.0,66764.4295,6.3533,1.9402,21.0
2017-09-30,402.95,20424675.0,60003.8516,5.7099,1.7437,21.0
2017-10-31,468.8,16624833.0,69809.6678,6.643,2.0287,21.0
2017-11-30,425.0,15963658.0,63287.3454,6.0224,1.8392,21.0
2017-12-31,428.6,10467256.0,63823.4265,6.0734,1.8547,21.0
2018-01-31,413.7,14149791.0,61604.6466,5.8623,1.7903,21.0
2018-02-28,364.7,13417746.0,54307.9876,5.1679,1.5782,21.0
2018-03-31,327.35,9221644.0,48746.1468,5.2569,1.2196,21.0
2018-04-30,321.05,11081176.0,47808.005,5.1558,1.1961,21.0
2018-05-31,283.4,18646185.0,42201.4908,4.5511,1.0558,21.0
2018-06-30,304.05,14342900.0,45276.5112,4.8828,1.1328,21.0
2018-07-31,315.05,19186168.0,46914.5366,5.0594,1.1737,21.0
2018-08-31,314.65,21624310.0,46854.972,5.053,1.1723,18.5
2018-09-30,278.4,10586333.0,41456.9338,4.4709,1.0372,18.5
2018-10-31,256.1,16432902.0,38136.2095,4.1127,0.9541,18.5
2018-11-30,274.3,10116620.0,40846.397,4.405,1.0219,18.5
2018-12-31,296.5,13305399.0,44152.2301,4.7615,1.1046,18.5
2019-01-31,242.15,11519786.0,36058.8955,3.8887,0.9021,18.5
2019-02-28,228.25,15102090.0,33989.027,3.6655,0.8504,18.5
2019-03-31,273.3,10232113.0,40697.4856,4.2516,1.1774,18.5
2019-04-30,253.55,7272768.0,37756.4855,4.2516,1.0923,18.5
2019-05-31,220.85,14382831.0,32887.0827,4.2516,0.9514,18.5
2019-06-30,208.1,7561036.0,30988.4623,4.2516,0.8965,18.5
2019-07-31,197.4,8324501.0,29395.1104,4.2516,0.8504,18.5
2019-08-31,192.85,3095049.0,28717.5635,4.2516,0.8308,18.5
2019-09-30,173.8,4256160.0,25880.8013,4.2516,0.7487,0.0
2019-10-31,158.2,6059891.0,23557.7835,4.2516,0.6815,0.0
2019-11-30,125.7,3106123.0,18718.163,4.2516,0.5415,0.0
2019-12-31,123.55,4784744.0,18398.0035,4.2516,0.5323,0.0
2020-01-31,124.7,21242827.0,18569.2516,4.2516,0.5372,0.0
2020-02-29,101.2,5618768.0,15069.8337,4.2516,0.436,0.0
2020-03-31,60.55,5524179.0,9016.5853,4.2516,0.6633,0.0
2020-04-30,62.45,11241287.0,9299.5169,4.2516,0.6842,0.0
2020-05-31,54.75,15549831.0,8152.8992,4.2516,0.5998,0.0
2020-06-30,77.6,52876525.0,11555.5246,4.2516,0.8501,0.0
2020-07-31,79.7,43697012.0,11868.2386,4.2516,0.8731,0.0
2020-08-31,80.35,23483555.0,11965.031,4.2516,0.8803,0.0
2020-09-30,68.95,10832902.0,10267.441,4.2516,0.7554,0.0
2020-10-31,77.0,42257094.0,11466.1779,4.2516,0.8436,0.0
2020-11-30,85.5,19546067.0,12731.9248,4.2516,0.9367,0.0
2020-12-31,106.65,47132701.0,15881.4009,4.2516,1.1684,0.0
2021-01-31,90.75,37465877.0,13513.7096,4.2516,0.9942,0.0
2021-02-28,100.05,24149894.0,14898.5857,4.2516,1.0961,0.0
2021-03-31,100.15,30805290.0,14913.4768,5.7957,0.9256,0.0
2021-04-30,110.55,20678178.0,16462.1554,6.3976,1.0217,0.0
2021-05-31,131.05,43103800.0,19514.8391,7.5839,1.2112,0.0
2021-06-30,145.8,28013391.0,21711.2823,8.4375,1.3475,0.0
2021-07-31,114.2,12428378.0,17005.6819,6.6088,1.0555,0.0
2021-08-31,107.35,10353456.0,15985.6388,6.2124,0.9922,0.0
2021-09-30,122.15,14811179.0,18189.5275,7.0689,1.1289,0.0
2021-10-31,122.65,21813568.0,18263.9832,7.0978,1.1336,0.0
2021-11-30,104.55,6588247.0,15568.6869,6.0503,0.9663,0.0
2021-12-31,102.65,7915194.0,15285.7552,5.9404,0.9487,0.0
2022-01-31,110.55,16927181.0,16462.1553,6.3976,1.0217,0.0
2022-02-28,100.35,8991712.0,14943.259,5.8073,0.9275,0.0
2022-03-31,127.65,31959192.0,19008.5402,1.4058,0.6364,0.0
2022-04-30,279.25,107558473.0,41583.5084,3.0754,1.3923,0.0
2022-05-31,281.25,64950856.0,41881.3312,3.0975,1.4022,0.0
2022-06-30,313.6,150574290.0,46698.615,3.4537,1.5635,0.0
2022-07-31,276.0,75855439.0,41099.5464,3.0396,1.3761,0.0
2022-08-31,291.95,55837385.0,43474.6832,3.2153,1.4556,2.0
2022-09-30,234.9,29907292.0,34979.2879,2.587,1.1712,2.0
2022-10-31,208.7,24343977.0,31077.8092,2.2985,1.0405,2.0
2022-11-30,215.8,15273651.0,32135.0801,2.3767,1.0759,2.0
2022-12-31,206.8,18100565.0,30794.8775,2.2775,1.0311,2.0
2023-01-31,248.3,26930475.0,36974.7006,2.7346,1.238,2.0
2023-02-28,224.6,13518207.0,33445.5004,2.4736,1.1198,2.0
2023-03-31,237.5,29445426.0,35366.4575,1.0014,0.5462,2.0
2023-04-30,303.75,49359075.0,45231.8378,1.2808,0.6986,2.0
2023-05-31,375.6,60278021.0,55931.1218,1.5837,0.8638,2.0
2023-06-30,387.75,24183911.0,57740.3953,1.635,0.8917,2.0
2023-07-31,403.4,47083696.0,60070.8588,1.701,0.9277,2.0
2023-08-31,419.65,32522591.0,62490.669,1.7695,0.9651,27.0
2023-09-30,510.2,55213465.0,75974.5963,2.1513,1.1733,27.0
2023-10-31,575.2,64123202.0,85653.8373,2.4254,1.3228,27.0
2023-11-30,665.45,44718139.0,99093.0911,2.8059,1.5304,27.0
2023-12-31,696.0,27497546.0,103642.3344,2.9347,1.6006,27.0
2024-01-31,854.0,39614616.0,127170.3356,3.6009,1.964,27.0
2024-02-29,884.05,34106870.0,131645.1232,3.7277,2.0331,27.0
2024-03-31,906.8,18824128.0,135032.8575,4.9192,1.5308,27.0
2024-04-30,1022.85,42280548.0,152314.0255,5.5487,1.7267,27.0
