UTCEM IN Equity,price,volume,mc,pe,bm,div
2004-08-31,265.95,6480030.0,33083.8071,192.4597,3.1393,0.0
2004-09-30,266.6,1817127.0,33164.6662,192.9301,3.147,0.5
2004-10-31,303.75,3453510.0,37786.0741,219.8143,3.5855,0.5
2004-11-30,295.2,1038040.0,36722.466,213.627,3.4846,0.5
2004-12-31,340.3,1782638.0,42332.8428,246.2644,4.017,0.5
2005-01-31,343.75,7056487.0,42762.018,248.7611,4.0577,0.5
2005-02-28,373.6,5277099.0,46475.3161,270.3626,4.4101,0.5
2005-03-31,354.75,3773868.0,44130.4025,252.1623,4.5323,0.5
2005-04-30,334.15,2422658.0,41567.7914,252.1623,4.2691,0.5
2005-05-31,325.55,2204496.0,40497.9635,252.1623,4.1593,0.5
2005-06-30,353.7,4456549.0,43999.784,252.1623,4.5189,0.5
2005-07-31,381.6,4505244.0,47470.5049,252.1623,4.8754,0.5
2005-08-31,438.0,6038419.0,54486.5858,252.1623,5.5959,0.75
2005-09-30,466.0,3206758.0,57969.7465,252.1623,5.9537,0.75
2005-10-31,399.85,1879552.0,49740.7793,252.1623,5.1085,0.75
2005-11-30,450.2,1830886.0,56004.2487,252.1623,5.7518,0.75
2005-12-31,427.45,2378968.0,53174.1806,252.1623,5.4612,0.75
2006-01-31,518.2,2654724.0,64463.3533,252.1623,6.6206,0.75
2006-02-28,561.45,2102091.0,69843.5927,252.1623,7.1732,0.75
2006-03-31,683.05,3723658.0,84970.4622,37.7793,8.1595,0.75
2006-04-30,854.1,4315512.0,96589.2912,47.24,10.2028,0.75
2006-05-31,602.05,4835665.0,74894.1758,33.2992,7.1919,0.75
2006-06-30,747.7,3778887.0,93012.8315,41.3551,8.9318,0.75
2006-07-31,722.25,1323557.0,89909.9419,39.9475,8.6278,0.75
2006-08-31,769.35,1808862.0,95773.2278,42.5525,9.1904,1.75
2006-09-30,892.75,2057210.0,111134.788,49.3778,10.6645,1.75
2006-10-31,882.75,1722893.0,109889.929,48.8247,10.545,1.75
2006-11-30,897.45,1751542.0,111719.8717,49.6377,10.7206,1.75
2006-12-31,1099.65,2194567.0,136890.9209,60.8213,13.1361,1.75
2007-01-31,995.15,2149821.0,123882.1443,55.0415,11.8877,1.75
2007-02-28,888.05,2914485.0,110549.7043,49.1178,10.6084,1.75
2007-03-31,772.1,3128132.0,96115.5641,12.2458,5.4358,4.0
2007-04-30,821.25,3539900.0,102234.0461,13.0254,5.7818,4.0
2007-05-31,831.5,1830370.0,103510.0266,13.1879,5.8539,4.0
2007-06-30,900.4,2034055.0,112087.1052,14.2807,6.339,4.0
2007-07-31,933.4,4038491.0,116195.1399,14.8041,6.5713,4.0
2007-08-31,920.35,2860563.0,114570.5989,14.5971,6.4795,4.0
2007-09-30,1047.3,2143682.0,130374.1879,16.6106,7.3732,4.0
2007-10-31,997.2,3053766.0,124137.4393,15.816,7.0205,4.0
2007-11-30,984.25,2729743.0,122525.3456,15.6106,6.9293,4.0
2007-12-31,1013.5,2764700.0,126166.5611,16.0745,7.1353,4.0
2008-01-31,873.45,3193592.0,108732.2968,13.8533,6.1493,4.0
2008-02-29,904.5,2156096.0,112597.5871,14.3458,6.3679,4.0
2008-03-31,784.55,1596110.0,97665.4913,9.6691,3.6138,4.0
2008-04-30,762.95,1683108.0,94976.5937,9.4029,3.5143,4.0
2008-05-31,649.55,1218406.0,80859.8813,8.0053,2.9919,0.0
2008-06-30,545.45,1677349.0,67900.8887,6.7223,2.5124,0.0
2008-07-31,577.05,1346603.0,71834.6463,7.1118,2.658,5.0
2008-08-31,591.05,2161108.0,73577.4503,7.2843,2.7225,5.0
2008-09-30,528.75,1339795.0,65821.9725,6.5165,2.4355,5.0
2008-10-31,355.05,2435484.0,44198.7543,4.3758,1.6354,5.0
2008-11-30,269.0,4385361.0,33486.734,3.3153,1.2391,5.0
2008-12-31,385.5,4098673.0,47989.353,4.751,1.7757,5.0
2009-01-31,395.95,3020542.0,49290.2317,4.8798,1.8238,5.0
