DCMS IN Equity,price,volume,mc,pe,bm,div
2011-06-30,44.85,1058202.0,7440.7495,35.315,0.5772,0.4
2011-07-31,55.65,4451784.0,9232.5019,43.8189,0.5772,0.4
2011-08-31,44.55,1241489.0,7390.9786,35.0787,0.5772,0.4
2011-09-30,45.8,1336482.0,7598.3574,63.6111,0.5889,0.4
2011-10-31,47.0,1302272.0,7797.441,65.2778,0.6043,0.4
2011-11-30,42.4,816063.0,7034.2872,58.8889,0.5451,0.4
2011-12-31,40.0,661767.0,6636.12,55.2083,0.5223,0.4
2012-01-31,42.65,332872.0,7075.7629,55.2083,0.5569,0.4
2012-02-29,40.9,505838.0,6785.4327,55.2083,0.5341,0.4
2012-03-31,45.75,3594118.0,7590.0762,63.6477,0.5771,0.4
2012-04-30,44.55,1399700.0,7390.9922,61.9783,0.562,0.4
2012-05-31,46.4,407732.0,7697.9134,64.552,0.5853,0.4
2012-06-30,50.8,531303.0,8427.8879,50.3569,0.6452,0.4
2012-07-31,51.8,421980.0,8593.7912,51.3481,0.6452,0.4
2012-08-31,57.0,2057581.0,9456.4884,56.5028,0.6452,0.4
2012-09-30,52.8,388715.0,8759.6945,10.4579,0.6371,0.4
2012-10-31,71.0,6121691.0,11779.1347,14.0627,0.8567,0.4
2012-11-30,71.65,1383438.0,11886.9718,14.1915,0.8645,0.4
2012-12-31,68.45,1376835.0,11356.0812,6.6919,0.8156,0.4
2013-01-31,66.75,516418.0,11074.0456,6.5257,0.8156,0.4
2013-02-28,52.5,881091.0,8709.9235,5.1326,0.8156,1.2
2013-03-31,52.75,551053.0,8751.3993,4.3167,0.5852,1.2
2013-04-30,57.4,313841.0,9522.8497,4.6972,0.6368,1.2
2013-05-31,58.0,1453243.0,9622.3917,4.7463,0.6435,1.2
2013-06-30,58.1,1046895.0,9638.9829,3.3801,0.6429,1.2
2013-07-31,55.25,592861.0,9166.1584,3.2143,0.6429,1.6
2013-08-31,52.1,615260.0,8643.563,3.031,0.6429,1.6
2013-09-30,59.0,490983.0,9788.2959,3.7993,0.6051,1.6
2013-10-31,55.0,1488922.0,9124.6826,3.5418,0.5641,1.6
2013-11-30,54.1,874452.0,8975.3696,3.4838,0.5548,1.6
2013-12-31,55.6,1491696.0,9224.2246,3.8242,0.5953,1.6
2014-01-31,55.45,536636.0,9199.3391,3.8139,0.5953,1.6
2014-02-28,68.85,4508937.0,11422.4436,4.7355,0.5953,1.6
2014-03-31,92.25,10393757.0,15230.4108,6.3319,0.9287,1.6
2014-04-30,93.9,4086120.0,15502.8247,6.4452,0.9453,1.6
2014-05-31,128.95,8289628.0,21289.5553,8.851,1.2982,1.6
2014-06-30,192.4,6851796.0,31765.1061,10.3164,1.8263,1.6
2014-07-31,174.3,5409103.0,28776.8087,9.3458,1.8263,2.0
2014-08-31,209.1,5376155.0,34522.2645,11.2118,1.8263,3.8
2014-09-30,238.55,4286364.0,38744.3696,11.1368,2.0747,3.8
2014-10-31,222.9,1781850.0,36202.5571,10.4062,1.9386,3.8
2014-11-30,166.1,5188913.0,26977.3205,7.7544,1.4446,3.8
2014-12-31,158.5,2274136.0,25742.9578,7.7582,1.4024,3.8
2015-01-31,146.45,2312331.0,23785.8434,7.1684,1.4024,3.8
2015-02-28,123.85,2010622.0,20115.2216,6.0622,1.4024,3.0
2015-03-31,107.4,1403508.0,17443.4932,8.2806,0.9386,3.0
2015-04-30,119.1,983186.0,19343.762,9.1827,1.0408,3.0
2015-05-31,113.6,1182211.0,18450.4732,8.7587,0.9927,3.0
2015-06-30,111.5,748476.0,18109.3994,11.4712,0.9464,3.0
2015-07-31,124.9,4289951.0,20285.7756,12.8498,0.9464,2.2
2015-08-31,118.4,4132469.0,19230.0707,12.1811,0.9464,0.4
2015-09-30,107.2,1285403.0,17411.01,10.0375,0.8545,0.4
2015-10-31,128.95,3476896.0,20943.561,12.074,1.0278,0.4
2015-11-30,141.7,3639515.0,23014.3667,13.2678,1.1295,1.6
2015-12-31,139.35,1744531.0,22632.6888,10.9294,1.0621,1.6
2016-01-31,126.55,1831305.0,20553.7622,9.9255,1.0621,1.6
2016-02-29,115.6,1523774.0,18775.3055,9.0667,1.0621,2.8
2016-03-31,139.0,2363207.0,22575.8431,7.5667,1.0797,2.8
2016-04-30,157.75,5051515.0,25621.1457,8.5874,1.2254,2.8
2016-05-31,192.6,8998753.0,31281.3481,10.4845,1.4961,2.8
2016-06-30,217.9,6782488.0,35390.4764,10.399,1.6394,2.8
2016-07-31,237.3,3938778.0,38541.3495,11.3249,1.6394,3.2
2016-08-31,227.05,3636915.0,36876.5841,10.8357,1.6394,3.2
2016-09-30,212.8,2285488.0,34562.1541,9.344,1.4847,3.2
2016-10-31,261.5,6267762.0,42471.82,11.4825,1.8245,3.2
2016-11-30,211.5,2917148.0,34351.0131,9.287,1.4756,4.2
2016-12-31,213.85,1949772.0,34732.691,7.8056,1.4603,4.2
2017-01-31,265.1,4277378.0,43056.5181,9.6762,1.4603,4.2
2017-02-28,274.55,3003458.0,44591.3506,10.0212,1.4603,5.8
2017-03-31,295.35,3193619.0,47969.6063,8.7183,1.8977,5.8
2017-04-30,354.7,2685309.0,57609.004,10.4702,2.2791,5.8
2017-05-31,360.75,3397004.0,58591.6217,10.6488,2.318,5.8
2017-06-30,343.7,2471061.0,55822.4265,9.044,2.1798,5.8
2017-07-31,369.05,1533393.0,59939.6756,9.711,2.1798,5.8
2017-08-31,402.2,6907620.0,65323.7706,10.5833,2.1798,5.8
2017-09-30,422.55,3126208.0,68628.939,9.8464,2.366,5.8
2017-10-31,523.8,3459415.0,85073.5729,12.2057,2.933,5.8
2017-11-30,562.55,5355692.0,91367.1984,13.1087,3.1499,12.0
2017-12-31,557.3,4281898.0,90514.5137,11.6881,3.1726,12.0
2018-01-31,572.8,5371655.0,93031.9638,12.0132,3.1726,12.0
2018-02-28,565.75,3055868.0,91886.9295,11.8653,3.1726,12.0
2018-03-31,424.25,2505485.0,68905.0461,10.3046,2.267,11.1
2018-04-30,332.5,7701765.0,54003.3656,8.0761,1.7767,11.1
2018-05-31,283.55,10482392.0,46053.0956,6.8871,1.5152,11.1
2018-06-30,296.15,12042210.0,48099.539,7.3594,1.4943,11.1
2018-07-31,329.85,9461900.0,53572.9628,8.1969,1.4943,8.2
2018-08-31,384.5,5955798.0,62449.0047,9.5549,1.4943,8.2
2018-09-30,436.0,13047180.0,70813.4357,10.8296,2.1596,8.2
2018-10-31,411.85,5982645.0,66891.086,10.2298,2.04,8.2
2018-11-30,356.95,2454523.0,57974.4401,8.8661,1.7681,8.2
2018-12-31,338.4,1692583.0,54961.6208,8.1464,1.6799,8.2
2019-01-31,335.6,1696182.0,54506.8556,8.079,1.6799,8.2
2019-02-28,392.15,2081066.0,61152.7714,9.4403,1.6799,9.0
2019-03-31,414.0,3981670.0,64560.1105,7.2517,1.8311,9.0
2019-04-30,434.95,2205480.0,67827.1016,7.6187,1.9238,9.0
2019-05-31,555.0,10294999.0,86547.9743,9.7215,2.4548,9.0
2019-06-30,562.3,3389285.0,87686.353,9.7233,2.4325,9.0
2019-07-31,398.8,3070800.0,62189.7876,6.8961,2.4325,9.8
2019-08-31,382.45,2842792.0,59640.1311,6.6133,2.4325,9.8
2019-09-30,404.45,4048939.0,63070.8616,7.367,1.655,9.8
2019-10-31,367.8,2057827.0,57355.5765,6.6995,1.505,9.8
2019-11-30,340.75,3041344.0,53137.3374,6.2067,1.3943,9.8
2019-12-31,394.9,3540571.0,61581.6127,7.6339,1.5187,9.8
2020-01-31,371.05,3171369.0,57862.3889,7.1728,1.5187,9.8
2020-02-29,328.5,1217276.0,51227.0442,6.3503,1.5187,9.8
2020-03-31,215.2,2049656.0,33558.7821,4.6803,0.8287,9.8
2020-04-30,275.0,3918518.0,42884.1314,5.9809,1.0589,9.8
2020-05-31,278.65,2397343.0,43453.3208,6.0602,1.073,9.8
2020-06-30,317.35,4928106.0,49488.2876,8.7593,1.248,9.8
2020-07-31,339.25,4328100.0,52903.4239,9.3638,1.248,8.2
2020-08-31,361.05,3434454.0,56302.966,9.9655,1.248,8.2
2020-09-30,363.5,1473421.0,56685.0246,10.0331,1.345,8.2
2020-10-31,339.65,1811452.0,52978.0904,9.3748,1.2567,8.2
2020-11-30,370.75,3060351.0,57829.0211,10.2332,1.3718,4.2
2020-12-31,394.8,6382513.0,61580.3035,9.5756,1.4408,4.2
2021-01-31,431.65,4950027.0,67328.1105,10.4693,1.4408,5.5
2021-02-28,455.0,2951523.0,70970.2079,11.0357,1.4408,5.5
2021-03-31,501.15,3986057.0,78168.6148,11.6088,1.7234,5.5
2021-04-30,702.4,14776717.0,109559.2836,16.2706,2.4154,5.5
2021-05-31,690.4,10808104.0,107687.5419,15.9926,2.3742,5.5
2021-06-30,912.0,12368784.0,142252.3728,18.6656,3.0282,5.5
2021-07-31,929.35,10773205.0,144924.9728,19.0207,3.0282,9.3
2021-08-31,890.5,3016740.0,138866.6146,18.2255,3.0282,9.3
2021-09-30,1010.9,2393198.0,157642.067,19.6711,3.2167,9.3
2021-10-31,987.7,3380582.0,154024.2058,19.2197,3.1429,13.9
2021-11-30,958.65,939442.0,149494.0821,18.6544,3.0505,13.9
2021-12-31,958.4,842686.0,149455.0965,16.6476,3.0384,13.9
2022-01-31,1131.45,4449829.0,176440.9108,19.6535,3.0384,13.6
2022-02-28,1047.1,2587967.0,163287.1781,18.1883,3.0384,13.6
2022-03-31,1130.1,2921030.0,176230.3887,16.5123,3.2832,13.6
2022-04-30,1186.1,3839244.0,184963.1573,17.3305,3.4459,13.6
2022-05-31,992.1,4259770.0,154710.3519,14.4959,2.8823,13.6
2022-06-30,944.45,1466651.0,147279.7015,12.6585,2.7465,13.6
2022-07-31,1000.05,2091976.0,155950.0931,13.4037,2.7465,14.7
2022-08-31,1050.2,1686375.0,163770.5993,14.0759,2.7465,14.7
2022-09-30,998.6,1325776.0,155723.9768,13.7416,2.6847,14.7
2022-10-31,1045.6,1561468.0,163053.2647,14.3883,2.8111,14.7
2022-11-30,871.95,2302703.0,135973.885,11.9988,2.3442,14.7
2022-12-31,898.9,893729.0,140176.5299,12.4536,2.3159,14.7
2023-01-31,863.85,565224.0,134710.7524,11.968,2.3159,14.7
2023-02-28,815.25,446688.0,127131.9568,11.2947,2.3159,15.3
2023-03-31,747.4,603893.0,116551.272,12.7936,1.9288,15.3
2023-04-30,817.4,1732992.0,127467.2328,13.9918,2.1095,15.3
2023-05-31,860.85,1185317.0,134242.9255,14.7355,2.2216,15.3
2023-06-30,902.75,4496104.0,140776.9077,19.7279,2.3278,15.3
2023-07-31,838.3,1771940.0,130726.4267,18.3195,2.3278,14.0
