JUBLINGR IN Equity,price,volume,mc,pe,bm,div
2021-03-31,259.7,6336198.0,41365.3118,12.4976,2.1512,0.0
2021-04-30,410.15,26976926.0,65329.1592,19.7377,3.3974,0.0
2021-05-31,485.3,20173241.0,77299.1368,23.3542,4.0198,0.0
2021-06-30,523.45,21634933.0,83375.7122,25.1901,4.3358,0.0
2021-07-31,593.3,50390297.0,94501.5004,28.5515,4.9144,0.0
2021-08-31,745.5,50198764.0,118744.0899,35.8758,6.1751,0.35
2021-09-30,755.75,38095114.0,120376.7216,36.3691,6.26,0.35
2021-10-31,669.3,34604838.0,106606.867,32.2089,5.544,0.35
2021-11-30,551.9,15575399.0,87907.2612,26.5592,4.5715,0.35
2021-12-31,573.7,10890493.0,91379.59,27.6083,4.7521,0.35
2022-01-31,572.35,14112256.0,91164.5605,27.5433,4.7409,0.35
2022-02-28,497.7,12087452.0,79274.2234,23.9509,4.1226,2.85
2022-03-31,449.85,21190521.0,71652.6208,15.005,2.9449,2.85
2022-04-30,503.15,13589288.0,80142.3056,16.7829,3.2938,2.85
2022-05-31,506.1,11238007.0,80612.185,16.8813,3.3131,2.85
2022-06-30,485.85,7188393.0,77386.7419,16.2058,3.1806,2.85
2022-07-31,529.85,14001748.0,84395.1115,17.6734,3.4686,2.85
2022-08-31,471.0,9520055.0,75021.4165,15.7105,3.0833,5.0
2022-09-30,515.5,20620357.0,82109.4272,17.1948,3.3747,5.0
2022-10-31,514.7,13950371.0,81982.0022,17.1681,3.3694,5.0
2022-11-30,537.4,12366650.0,85597.6841,17.9253,3.518,5.0
2022-12-31,528.55,9266817.0,84188.046,17.6301,3.4601,5.0
2023-01-31,489.95,5108583.0,78039.7941,16.3426,3.2074,5.0
2023-02-28,445.95,3525984.0,71031.4239,14.8749,2.9194,5.0
2023-03-31,359.95,10523264.0,57333.246,18.6117,2.1503,5.0
2023-04-30,421.45,8084067.0,67129.036,21.7916,2.5177,5.0
2023-05-31,392.2,10295553.0,62470.0627,20.2792,2.343,5.0
2023-06-30,426.5,10136448.0,67933.4058,22.0527,2.5479,5.0
2023-07-31,414.75,7055847.0,66061.8524,21.4452,2.4777,5.0
2023-08-31,515.1,15153305.0,82045.7147,26.6339,3.0772,5.0
2023-09-30,479.05,6593824.0,76303.6296,24.7699,2.8619,5.0
2023-10-31,419.8,4187175.0,66866.2222,21.7063,2.5079,5.0
2023-11-30,430.55,5534915.0,68578.4944,22.2622,2.5721,5.0
2023-12-31,508.6,8750162.0,81010.3873,26.2978,3.0384,5.0
2024-01-31,437.8,7077580.0,69733.2827,22.637,2.6154,5.0
2024-02-29,481.8,19397811.0,76741.6528,24.9121,2.8783,5.0
2024-03-31,452.7,4792553.0,72106.5716,39.1609,2.6341,5.0
2024-04-30,553.0,28272480.0,88082.4699,47.8374,3.2177,5.0
2024-05-31,500.15,9358690.0,79664.4617,43.2656,2.9101,5.0
2024-06-30,518.85,6445675.0,82643.019,44.8832,3.019,5.0
2024-07-31,605.2,29785139.0,96396.9453,52.3529,3.5214,5.0
2024-08-31,657.2,30996805.0,104679.5646,56.8512,3.8239,5.0
2024-09-30,775.6,40024146.0,123538.4514,67.0934,4.5129,5.0
2024-10-31,716.75,22876563.0,114164.7564,62.0026,4.1704,5.0
2024-11-30,784.65,5807328.0,124979.9457,67.8763,4.5655,5.0
2024-12-31,823.05,20066207.0,131096.3415,71.1981,4.789,5.0
2025-01-31,696.75,12947602.0,110979.1336,60.2725,4.0541,5.0
2025-02-28,616.2,7140321.0,98149.0379,53.3045,3.5854,5.0
2025-03-31,649.9,7962321.0,103516.8122,40.8999,3.5365,5.0
2025-04-30,642.45,6726607.0,102330.1678,40.4311,3.496,5.0
2025-05-31,702.4,10240605.0,111879.072,44.2039,3.8222,5.0
2025-06-30,762.6,54718311.0,121467.7966,47.9924,4.1498,5.0
2025-07-31,782.7,11990635.0,124669.3475,49.2574,4.2592,5.0
2025-08-31,725.4,4975582.0,115542.5382,45.6514,3.9474,5.0
2025-09-30,639.35,5986997.0,101836.3962,40.236,3.4791,5.0
2025-10-31,689.95,14848079.0,109896.0219,43.4204,3.7545,5.0
2025-11-30,708.05,5263357.0,112779.0105,44.5595,3.853,5.0
2025-12-31,703.45,4327339.0,112046.3172,44.27,3.8279,5.0
2026-01-31,635.25,5822943.0,101183.3435,39.978,3.4568,5.0
2026-02-28,585.4,4372772.0,93243.1788,36.8408,3.1855,5.0
2026-03-31,568.5,626440.0,90551.3275,35.7772,3.0936,5.0
