GAIL IN Equity,price,volume,mc,pe,bm,div
2012-03-31,70.55,168403190.0,477264.6281,10.7408,1.9156,1.5938
2012-04-30,61.96,149654943.0,419168.3624,9.4333,1.6824,1.5938
2012-05-31,60.23,143310113.0,407434.9463,9.1693,1.6353,1.5938
2012-06-30,66.02,163490334.0,446630.8985,10.0514,1.7927,1.5938
2012-07-31,66.35,92862326.0,448850.734,10.1013,1.8016,1.5938
2012-08-31,66.57,111070175.0,450372.9069,10.1356,1.8077,1.6313
2012-09-30,71.77,112691237.0,485509.7314,10.9263,1.9487,1.6313
2012-10-31,65.42,120864414.0,442571.7708,9.96,1.7764,1.6313
2012-11-30,66.25,97424319.0,448216.4953,10.0871,1.799,1.6313
2012-12-31,66.89,80810124.0,452529.3185,10.1841,1.8163,1.6313
2013-01-31,64.17,194083392.0,434136.396,9.7702,1.7425,1.6313
2013-02-28,62.35,131139618.0,421832.165,9.4933,1.6931,1.8188
2013-03-31,59.67,136777155.0,403692.938,9.23,1.402,1.8188
2013-04-30,65.84,86518391.0,445425.845,10.1842,1.5469,1.8188
2013-05-31,57.38,134086309.0,388217.5135,8.8762,1.3482,1.8188
2013-06-30,58.74,123066872.0,397413.9747,9.0864,1.3802,1.8188
2013-07-31,56.48,165765501.0,382065.398,8.7355,1.3269,1.8188
2013-08-31,55.4,139654080.0,374771.6529,8.5687,1.3015,1.8188
2013-09-30,61.46,132216570.0,415806.8973,9.507,1.444,1.8
2013-10-31,66.3,112482117.0,448533.6146,10.2552,1.5577,1.8
2013-11-30,63.46,92047619.0,429316.1818,9.8158,1.491,1.8
2013-12-31,64.18,89101238.0,434199.8198,9.9275,1.5079,1.8
2014-01-31,67.18,112450347.0,454495.4585,10.3915,1.5784,1.8
2014-02-28,69.52,86232264.0,470288.0023,10.7526,1.6332,1.8938
2014-03-31,70.51,153686964.0,477010.9327,9.9669,1.4697,1.8938
2014-04-30,69.39,180024204.0,469463.492,9.8092,1.4464,1.8938
2014-05-31,70.84,248370741.0,479230.7681,10.0133,1.4765,1.8938
2014-06-30,86.82,300269169.0,587368.4679,12.2727,1.8097,1.8938
2014-07-31,81.74,156483842.0,552992.7299,11.5545,1.7038,1.8938
2014-08-31,83.14,165253930.0,562442.8867,11.7519,1.7329,1.95
2014-09-30,84.27,129399111.0,570117.1751,11.9123,1.7565,1.95
2014-10-31,99.15,176396342.0,670770.8581,14.0154,2.0666,1.95
2014-11-30,91.54,184524181.0,619270.675,12.9393,1.908,1.95
2014-12-31,83.4,209132054.0,564218.7551,11.789,1.7384,1.95
2015-01-31,79.31,212968044.0,536565.9474,11.2112,1.6532,1.95
2015-02-28,77.48,168960805.0,524198.1412,10.9528,1.6151,1.95
2015-03-31,72.71,178259248.0,491915.5423,15.568,1.4458,1.6688
2015-04-30,67.56,126830937.0,457032.4133,14.4641,1.3433,1.6688
2015-05-31,72.91,135820693.0,493247.4436,15.6102,1.4498,1.6688
2015-06-30,73.54,136254964.0,497496.8429,15.7447,1.4623,1.6688
2015-07-31,66.55,140768877.0,450246.0592,14.2493,1.3234,1.6688
2015-08-31,55.52,224005784.0,375596.1632,11.8868,1.104,1.125
2015-09-30,56.68,136361977.0,383460.7232,12.1357,1.1271,1.125
2015-10-31,57.83,96262967.0,391261.8593,12.3826,1.15,1.125
