BOS IN Equity,price,volume,mc,pe,bm,div
2009-12-31,4636.95,143873.0,145595.131,24.7729,4.3009,25.0
2010-01-31,4644.75,258385.0,145840.0365,24.8146,4.3081,25.0
2010-02-28,4604.9,66584.0,144588.7864,24.6017,4.2712,25.0
2010-03-31,4780.1,258966.0,150089.8814,25.5377,4.4337,25.0
2010-04-30,4867.4,318577.0,152830.9974,26.0041,4.5146,25.0
2010-05-31,4900.25,108593.0,153862.4552,26.1796,4.5451,30.0
2010-06-30,5372.95,340661.0,168704.7207,28.705,4.9836,30.0
2010-07-31,5653.8,311006.0,177523.0897,30.2054,5.2441,30.0
2010-08-31,5976.1,476810.0,187642.9647,31.9273,5.543,30.0
2010-09-30,6180.75,251103.0,194068.7455,33.0206,5.7328,30.0
2010-10-31,6261.35,175501.0,196599.5007,33.4513,5.8076,30.0
2010-11-30,6386.55,199885.0,200530.633,34.1201,5.9237,30.0
2010-12-31,6300.35,126221.0,197824.0577,23.0321,4.8273,30.0
2011-01-31,6021.35,108712.0,189063.7649,22.0122,4.6135,30.0
2011-02-28,5999.3,165535.0,188371.4094,21.9316,4.5966,30.0
2011-03-31,6708.5,240339.0,210639.5145,24.5242,5.14,30.0
2011-04-30,6646.55,175441.0,208694.3468,24.2977,5.0925,30.0
2011-05-31,7047.35,248904.0,221279.0353,25.7629,5.3996,40.0
2011-06-30,6882.9,121157.0,216115.4785,25.1618,5.2736,125.0
2011-07-31,7088.9,112299.0,222583.6518,25.9148,5.4315,125.0
2011-08-31,7209.5,137113.0,226370.3629,26.3557,5.5239,125.0
2011-09-30,7051.2,89794.0,221399.9231,25.777,5.4026,125.0
2011-10-31,6938.35,111460.0,217856.5553,25.3645,5.3161,125.0
2011-11-30,6979.75,136107.0,219156.4658,25.5158,5.3478,125.0
2011-12-31,6775.6,137721.0,212746.3845,18.9495,4.4993,125.0
2012-01-31,7249.85,153809.0,227637.3124,20.2759,4.8143,125.0
2012-02-29,7731.6,205596.0,242763.732,21.6232,5.1342,125.0
2012-03-31,8228.5,146643.0,258365.8411,23.0129,5.4641,125.0
2012-04-30,8685.55,130084.0,272716.702,24.2912,5.7676,125.0
2012-05-31,8681.95,169214.0,272603.6777,24.2811,5.7652,135.0
2012-06-30,9112.2,104525.0,286113.0541,25.4844,6.0509,50.0
2012-07-31,8944.15,88395.0,280836.475,25.0144,5.9394,50.0
2012-08-31,8510.45,111466.0,267218.7665,23.8015,5.6514,50.0
2012-09-30,8730.6,173979.0,274131.2165,24.4172,5.7975,50.0
2012-10-31,8898.15,115404.0,279392.1256,24.8858,5.9088,50.0
2012-11-30,9118.8,105908.0,286320.275,25.5029,6.0553,50.0
2012-12-31,9516.7,138266.0,298813.9087,31.1816,5.3615,50.0
2013-01-31,9260.0,111123.0,290753.8055,30.3406,5.2169,50.0
2013-02-28,8761.9,108576.0,275114.0256,28.7085,4.9363,50.0
2013-03-31,8983.8,218371.0,282081.4237,29.4356,5.0613,50.0
2013-04-30,8898.05,106743.0,279388.9681,29.1546,5.013,50.0
2013-05-31,9148.25,73966.0,287244.9785,29.9744,5.1539,60.0
2013-06-30,9047.9,115518.0,284094.128,29.6456,5.0974,60.0
2013-07-31,9004.15,93966.0,282720.4261,29.5023,5.0728,60.0
2013-08-31,8251.65,103831.0,259092.7531,27.0367,4.6488,60.0
2013-09-30,9048.65,91567.0,284117.6772,29.6481,5.0978,60.0
2013-10-31,8795.4,77391.0,276165.9055,28.8183,4.9552,60.0
2013-11-30,8695.4,128333.0,273026.0154,28.4906,4.8988,60.0
2013-12-31,10068.15,414390.0,316128.8567,35.7331,5.0225,60.0
2014-01-31,8973.75,191463.0,281765.8877,31.8489,4.4765,60.0
2014-02-28,9404.75,135229.0,295298.814,33.3786,4.6915,60.0
2014-03-31,10892.35,191004.0,342007.8074,38.6583,5.4336,60.0
2014-04-30,10537.35,163163.0,330861.1975,37.3983,5.2565,60.0
2014-05-31,12355.2,225034.0,387939.7073,43.8501,6.1633,55.0
2014-06-30,13557.05,228039.0,425676.4647,48.1156,6.7629,55.0
2014-07-31,13405.3,209436.0,420911.6815,47.577,6.6872,55.0
2014-08-31,14809.9,185352.0,465014.5955,52.5621,7.3879,55.0
2014-09-30,15014.75,252716.0,471446.6486,53.2891,7.4901,55.0
2014-10-31,14900.75,92880.0,467867.1739,52.8845,7.4332,55.0
2014-11-30,18919.85,506474.0,594062.485,67.1488,9.4381,55.0
2014-12-31,19459.55,772112.0,611008.5092,251.0314,21.576,55.0
