PFIZ IN Equity,price,volume,mc,pe,bm,div
2003-09-30,418.3,1129417.0,9805.0775,12.9114,3.1832,7.5
2003-10-31,424.35,607033.0,9946.8913,13.0982,3.2292,7.5
2003-11-30,451.85,640527.0,13013.3701,47.308,4.2192,7.5
2003-12-31,536.4,827074.0,15448.427,56.1603,5.0087,7.5
2004-01-31,488.0,675784.0,14054.4974,51.0929,4.5568,7.5
2004-02-29,451.45,348634.0,13001.8501,47.2661,4.2155,7.5
2004-03-31,456.85,476866.0,13157.3711,47.8315,4.2659,7.5
2004-04-30,457.15,524207.0,13166.0112,47.8629,4.2687,7.5
2004-05-31,382.85,164771.0,11026.1564,40.0838,3.5749,7.5
2004-06-30,450.95,263777.0,12987.45,47.2138,4.2108,7.5
2004-07-31,436.8,365438.0,12579.9271,45.7323,4.0787,7.5
2004-08-31,450.6,168730.0,12977.3699,47.1772,4.2076,7.5
2004-09-30,512.25,714965.0,14752.9022,53.6318,4.7832,7.5
2004-10-31,522.1,219681.0,15036.5842,54.6631,4.8752,7.5
2004-11-30,581.9,493268.0,16758.8361,36.8148,4.8889,7.5
2004-12-31,689.9,480570.0,19869.2576,43.6476,5.7963,7.5
2005-01-31,674.2,898317.0,19417.0945,42.6543,5.6644,7.5
2005-02-28,661.9,674426.0,19062.8521,41.8761,5.5611,7.5
2005-03-31,716.35,1123343.0,20631.0229,45.321,6.0185,7.5
2005-04-30,700.45,332155.0,20902.4087,44.3151,5.8849,10.0
2005-05-31,753.35,431704.0,22481.0188,47.6619,6.3294,10.0
2005-06-30,796.6,406105.0,23773.8108,50.3981,6.6928,10.0
2005-07-31,811.05,874741.0,24205.0581,51.3123,6.8142,10.0
2005-08-31,810.45,493274.0,24187.1516,51.2744,6.8091,10.0
2005-09-30,816.5,607683.0,24367.7084,51.6571,6.86,10.0
2005-10-31,774.4,529271.0,23111.2718,48.9936,6.5063,10.0
2005-11-30,895.35,357940.0,26720.9158,39.2245,7.0953,10.0
2005-12-31,1016.6,893542.0,30339.513,44.5363,8.0562,10.0
2006-01-31,1074.2,1184023.0,32058.5332,47.0597,8.5126,10.0
2006-02-28,1008.5,900901.0,30097.7758,44.1815,7.992,10.0
2006-03-31,1153.65,910736.0,34429.6471,50.5404,9.1422,10.0
2006-04-30,1036.05,593273.0,30679.7358,45.3884,8.2103,10.0
2006-05-31,879.05,696910.0,26234.4569,38.5104,6.9661,10.0
2006-06-30,774.7,810037.0,23120.225,33.9389,6.1392,10.0
2006-07-31,698.5,360602.0,20846.1045,30.6007,5.5353,10.0
2006-08-31,819.85,1539049.0,24467.6862,35.9169,6.497,10.0
2006-09-30,921.05,892241.0,27487.9092,40.3504,7.299,10.0
2006-10-31,858.95,440341.0,25634.5905,37.6298,6.8069,10.0
2006-11-30,775.1,877152.0,23132.1626,21.8776,5.2597,10.0
2006-12-31,763.0,503140.0,22771.049,21.536,5.1776,10.0
2007-01-31,792.1,1342761.0,23639.5124,22.3574,5.3751,10.0
2007-02-28,734.05,460530.0,21907.0623,20.7189,4.9812,10.0
2007-03-31,802.3,723808.0,23943.9222,22.6453,5.4443,22.5
2007-04-30,854.0,373326.0,25486.8622,24.1046,5.7951,22.5
2007-05-31,867.7,316019.0,25895.7264,24.4912,5.8881,22.5
2007-06-30,805.0,976227.0,24024.5013,22.7215,5.4626,22.5
2007-07-31,768.05,1325145.0,22921.7617,21.6786,5.2119,22.5
2007-08-31,688.4,400419.0,20544.6791,19.4304,4.6714,22.5
2007-09-30,718.85,790795.0,21453.3593,20.2899,4.878,22.5
2007-10-31,690.35,937076.0,20602.8053,19.4855,4.6846,22.5
2007-11-30,652.4,397532.0,19470.2255,5.7442,3.0014,22.5
2007-12-31,807.0,1279724.0,24084.1079,7.1054,3.7127,22.5
2008-01-31,642.25,341937.0,19167.3089,5.6548,2.9547,22.5
2008-02-29,671.8,583808.0,20049.1991,5.915,3.0907,22.5
2008-03-31,685.3,506416.0,20452.0931,6.0339,3.1528,22.5
2008-04-30,655.15,393757.0,19552.2965,5.7684,3.0141,12.5
2008-05-31,621.9,218751.0,18559.9835,5.4757,2.8611,12.5
2008-06-30,571.15,463412.0,17045.4005,5.0288,2.6276,12.5
2008-07-31,563.5,281679.0,16817.0939,4.9615,2.5924,12.5
2008-08-31,587.0,158246.0,17518.4279,5.1684,2.7005,12.5
2008-09-30,562.15,171806.0,16776.8045,4.9496,2.5862,12.5
2008-10-31,470.3,232295.0,14035.6331,4.1409,2.1637,12.5
2008-11-30,467.15,113122.0,13941.6245,4.6605,1.5497,12.5
2008-12-31,499.55,158037.0,14908.5701,4.9837,1.6572,12.5
2009-01-31,527.3,184175.0,15736.7411,5.2606,1.7492,12.5
2009-02-28,501.8,69028.0,14975.7191,5.0062,1.6646,12.5
2009-03-31,584.15,265808.0,17433.3725,5.8277,1.9378,12.5
2009-04-30,721.1,836651.0,21520.5083,7.194,2.3921,12.5
2009-05-31,755.55,472866.0,22548.6341,7.5377,2.5064,12.5
2009-06-30,819.75,1884533.0,24464.6189,8.1782,2.7194,12.5
2009-07-31,783.45,166994.0,23381.2817,7.816,2.599,12.5
2009-08-31,810.3,93455.0,24182.5931,8.0839,2.688,12.5
2009-09-30,866.3,242179.0,25853.8571,8.6426,2.8738,12.5
2009-10-31,892.05,176631.0,26622.3401,8.8995,2.9592,12.5
2009-11-30,957.4,204486.0,28572.6455,21.1364,2.8733,12.5
2009-12-31,948.95,179814.0,28320.4637,20.9498,2.8479,12.5
2010-01-31,880.75,255063.0,26285.1029,19.4442,2.6433,12.5
2010-02-28,915.95,149299.0,27335.6117,20.2213,2.7489,12.5
2010-03-31,951.55,215686.0,28398.0581,21.0072,2.8557,12.5
2010-04-30,1005.05,335160.0,29992.0992,22.1883,3.0163,12.5
2010-05-31,1056.15,184867.0,31516.9948,23.3164,3.1697,12.5
2010-06-30,1144.25,321898.0,34146.0221,25.2614,3.4341,12.5
2010-07-31,1170.7,368744.0,34935.3253,25.8453,3.5134,12.5
2010-08-31,1103.1,156763.0,32918.0485,24.3529,3.3106,12.5
2010-09-30,1084.85,237370.0,32373.4429,23.95,3.2558,12.5
2010-10-31,1128.8,386296.0,33684.9744,24.9203,3.3877,12.5
2010-11-30,1043.8,122780.0,31148.4553,19.0858,2.7958,12.5
2010-12-31,1134.5,255875.0,33855.0685,20.7442,3.0388,12.5
2011-01-31,1203.45,319428.0,35912.6311,22.0049,3.2234,25.0
2011-02-28,1200.1,228318.0,35812.6643,21.9437,3.2145,25.0
2011-03-31,1243.9,75411.0,37119.7176,22.7446,3.3318,25.0
2011-04-30,1367.05,201785.0,40794.6879,24.9963,3.6616,25.0
2011-05-31,1260.7,163384.0,37621.0513,23.0517,3.3768,25.0
2011-06-30,1488.8,261860.0,44427.8784,27.2225,3.9877,25.0
2011-07-31,1534.2,251172.0,45782.6742,28.0527,4.1093,16.5
2011-08-31,1383.5,162445.0,41285.5771,25.2971,3.7057,16.5
2011-09-30,1350.6,63128.0,40303.795,24.6956,3.6176,16.5
2011-10-31,1334.05,129804.0,39809.9217,24.3929,3.5732,16.5
2011-11-30,1171.2,96901.0,34950.246,21.4152,3.1371,16.5
2011-12-31,1101.0,119985.0,32855.3816,20.1317,2.949,16.5
2012-01-31,1191.55,135149.0,35557.5222,21.7873,3.1916,16.5
2012-02-29,1232.7,183528.0,36785.4921,22.5398,3.3018,16.5
2012-03-31,1203.9,91661.0,35926.0616,19.4585,2.7536,4.0
2012-04-30,1313.05,370614.0,39183.2523,21.2227,3.0032,4.0
2012-05-31,1088.4,485232.0,32479.3799,17.5917,2.4894,4.0
2012-06-30,1195.85,135187.0,35685.8384,19.3284,2.7352,4.0
2012-07-31,1213.6,227143.0,36215.5232,19.6153,2.7758,12.5
2012-08-31,1277.75,263739.0,38129.849,20.6522,2.9225,12.5
2012-09-30,1251.95,206832.0,37359.939,20.2352,2.8635,12.5
2012-10-31,1139.1,115077.0,33992.3389,18.4112,2.6054,12.5
2012-11-30,1163.6,306046.0,34723.4532,18.8072,2.6614,12.5
2012-12-31,1196.25,199404.0,35697.7749,19.3349,2.7361,12.5
2013-01-31,1152.45,233332.0,34390.7197,18.627,2.6359,12.5
2013-02-28,1053.8,71414.0,31446.8693,17.0325,2.4103,12.5
2013-03-31,1060.05,134054.0,31633.3781,6.2862,1.8669,12.5
2013-04-30,1037.6,80027.0,30963.4368,6.1531,1.8274,12.5
2013-05-31,1049.0,202999.0,31303.6288,6.2207,1.8475,12.5
2013-06-30,1084.15,282312.0,32352.5974,6.4292,1.9094,12.5
2013-07-31,1059.25,189893.0,31609.5455,6.2815,1.8655,12.5
2013-08-31,1041.05,89942.0,31066.4332,6.1736,1.8335,45.0
2013-09-30,1085.75,110232.0,32400.3437,6.4387,1.9122,45.0
2013-10-31,1082.75,142245.0,32310.8194,6.4209,1.9069,45.0
2013-11-30,1704.0,2946990.0,50849.8141,10.105,3.001,45.0
2013-12-31,1154.15,2385038.0,34441.4982,6.8443,2.0326,392.5
2014-01-31,1042.85,400177.0,31120.1459,6.1842,1.8366,392.5
2014-02-28,1125.35,1005446.0,33582.0647,6.6735,1.9819,392.5
2014-03-31,1273.15,1030359.0,37992.6296,17.2024,5.7703,392.5
2014-04-30,1274.7,593696.0,38038.882,17.2233,5.7774,392.5
2014-05-31,1231.4,438471.0,36746.7495,16.6383,5.5811,392.5
2014-06-30,1419.75,700770.0,42367.3847,19.1832,6.4348,392.5
2014-07-31,1358.25,451329.0,40532.1362,18.3522,6.156,392.5
2014-08-31,1422.95,345406.0,42462.8755,19.2265,6.4493,372.5
2014-09-30,1663.05,1119378.0,49627.809,22.4706,7.5375,372.5
2014-10-31,1649.1,271810.0,49211.519,22.2821,7.4743,360.0
2014-11-30,1771.15,493931.0,52853.6668,23.9312,8.0274,360.0
2014-12-31,2154.6,883950.0,64296.3708,29.1123,9.7654,360.0
2015-01-31,2047.35,675599.0,93661.6233,27.6632,9.2793,360.0
2015-02-28,1993.0,613270.0,91175.7662,26.9288,9.0329,0.0
2015-03-31,2230.15,722305.0,102024.3034,101.694,5.171,0.0
2015-04-30,2087.95,416250.0,95518.9785,95.2098,4.8413,0.0
2015-05-31,2216.85,314726.0,101415.87,101.0876,5.1402,0.0
2015-06-30,2018.2,412056.0,92328.074,92.0292,4.6795,0.0
2015-07-31,2175.9,613751.0,99542.4888,99.2202,5.0452,12.5
2015-08-31,2360.35,751093.0,107980.6698,107.6311,5.4729,12.5
2015-09-30,2425.25,1195714.0,110949.6921,110.5905,5.6234,12.5
2015-10-31,2547.1,581721.0,116524.0592,116.1468,5.9059,12.5
2015-11-30,2472.65,628359.0,113118.1289,112.7519,5.7333,12.5
2015-12-31,2358.75,352767.0,107907.4677,107.5581,5.4692,12.5
2016-01-31,2236.25,336520.0,102303.3703,101.9722,5.1851,12.5
2016-02-29,1840.35,262678.0,84191.8424,83.9193,4.2672,12.5
2016-03-31,1793.35,1757525.0,82041.6989,36.8244,3.8736,12.5
2016-04-30,1738.55,416536.0,79534.7259,35.6992,3.7552,12.5
2016-05-31,1892.8,1068403.0,86591.3139,38.8665,4.0884,12.5
2016-06-30,1895.35,608805.0,86707.9678,38.9189,4.0939,15.0
2016-07-31,1999.0,393962.0,91449.7204,41.0472,4.3178,15.0
2016-08-31,1992.15,334184.0,91136.3484,40.9066,4.303,15.0
2016-09-30,1917.9,321530.0,87739.5792,39.3819,4.1426,15.0
2016-10-31,1845.45,229942.0,84425.153,37.8942,3.9861,15.0
2016-11-30,1833.15,357166.0,83862.4587,37.6417,3.9595,15.0
2016-12-31,1823.9,286367.0,83439.2922,37.4517,3.9395,15.0
2017-01-31,1780.1,213930.0,81435.5414,36.5524,3.8449,15.0
2017-02-28,1759.15,190880.0,80477.1264,36.1222,3.7997,15.0
2017-03-31,1915.25,1009744.0,87618.3477,26.0189,3.6225,15.0
2017-04-30,1737.6,304998.0,79491.2627,23.6055,3.2865,15.0
2017-05-31,1666.25,519585.0,76227.1619,22.6362,3.1515,15.0
2017-06-30,1806.9,420572.0,82661.5807,24.5469,3.4175,15.0
2017-07-31,1782.6,213326.0,81549.9108,24.2168,3.3716,15.0
2017-08-31,1818.75,404186.0,83203.6913,24.7079,3.44,20.0
2017-09-30,1817.3,274967.0,83137.3571,24.6882,3.4372,20.0
2017-10-31,1735.05,227625.0,79374.606,23.5708,3.2817,20.0
2017-11-30,1924.7,585265.0,88050.6617,26.1473,3.6404,20.0
2017-12-31,2062.95,540377.0,94375.2858,28.0254,3.9018,20.0
2018-01-31,2320.85,1070524.0,106173.6261,31.529,4.3896,20.0
2018-02-28,2272.2,459308.0,103947.9967,30.8681,4.2976,20.0
2018-03-31,2185.2,362507.0,99967.944,27.7662,3.7259,20.0
2018-04-30,2278.85,467374.0,104252.2191,28.9562,3.8856,20.0
2018-05-31,2491.05,848921.0,113959.8878,31.6525,4.2474,20.0
2018-06-30,2579.5,564037.0,118006.2747,32.7764,4.3982,20.0
2018-07-31,2672.45,758065.0,122258.5264,33.9574,4.5567,20.0
2018-08-31,3621.3,3676288.0,165666.2619,46.014,6.1746,20.0
2018-09-30,2986.5,1033127.0,136625.6016,37.9479,5.0922,20.0
2018-10-31,2918.2,573149.0,133501.0315,37.0801,4.9757,20.0
2018-11-30,2734.0,433740.0,125074.2993,34.7395,4.6617,20.0
2018-12-31,2854.35,627971.0,130580.0388,36.2687,4.8669,20.0
2019-01-31,3037.15,816868.0,138942.7242,38.5915,5.1785,20.0
2019-02-28,3237.4,519463.0,148103.7076,41.136,5.52,20.0
2019-03-31,3326.0,395317.0,152156.9566,35.466,5.0531,20.0
2019-04-30,3142.9,219818.0,143780.5469,33.5135,4.7749,20.0
2019-05-31,3179.55,308522.0,145457.2013,33.9044,4.8306,20.0
2019-06-30,3355.5,267178.0,153506.5147,35.7806,5.0979,20.0
2019-07-31,3034.25,382786.0,138810.0558,32.355,4.6098,20.0
2019-08-31,2925.35,671157.0,133828.1278,31.1938,4.4444,22.5
2019-09-30,3351.05,609034.0,153302.9373,35.7331,5.0911,22.5
2019-10-31,4057.85,926761.0,185637.4343,43.2699,6.165,22.5
2019-11-30,4140.3,789262.0,189409.3348,44.1491,6.2902,22.5
2019-12-31,4224.7,832862.0,193270.4434,45.0491,6.4185,22.5
2020-01-31,4146.75,556185.0,189704.4077,44.2179,6.3,22.5
2020-02-29,4194.1,1009315.0,191870.5628,44.7228,6.372,22.5
2020-03-31,4023.0,1780038.0,184043.1258,36.152,5.4205,22.5
2020-04-30,4901.95,1714088.0,224253.0949,44.0506,6.6048,22.5
2020-05-31,4038.6,1540614.0,184756.7905,36.2922,5.4416,342.5
2020-06-30,3963.8,1921820.0,181334.8601,35.6201,5.3408,342.5
2020-07-31,4277.75,1644333.0,195697.3606,38.4413,5.7638,342.5
2020-08-31,4596.2,1388082.0,210265.7258,41.303,6.1929,330.0
2020-09-30,4899.65,1860755.0,224147.8751,44.0299,6.6017,330.0
2020-10-31,4984.95,803563.0,228050.1616,44.7965,6.7167,330.0
2020-11-30,5104.5,4010495.0,233519.3031,45.8708,6.8777,330.0
2020-12-31,5106.8,4112843.0,233624.5229,45.8914,6.8808,330.0
2021-01-31,4637.1,1944871.0,212136.8127,41.6706,6.248,330.0
2021-02-28,4551.75,1248073.0,208232.2437,40.9036,6.133,330.0
2021-03-31,4524.9,1092336.0,207003.9171,41.6006,8.6507,330.0
2021-04-30,5273.5,4238053.0,241250.67,48.483,10.0819,330.0
2021-05-31,5136.05,2123280.0,234962.6441,47.2194,9.8192,10.0
2021-06-30,5670.8,2271355.0,259426.2443,52.1357,10.8415,10.0
2021-07-31,5874.05,2383805.0,268724.4652,54.0043,11.2301,10.0
2021-08-31,5725.05,1203381.0,261908.0531,52.6345,10.9452,35.0
2021-09-30,5581.1,1085230.0,255322.6671,51.311,10.67,35.0
2021-10-31,5047.35,685191.0,230904.8151,46.4039,9.6496,35.0
2021-11-30,5196.45,1303627.0,237725.802,47.7747,9.9346,35.0
2021-12-31,5055.3,1537224.0,231268.5096,46.477,9.6648,35.0
2022-01-31,4529.75,707047.0,207225.789,41.6452,8.66,35.0
2022-02-28,4402.45,1120610.0,201402.1027,40.4749,8.4166,35.0
2022-03-31,4348.15,970156.0,198918.0009,32.4755,6.9449,35.0
2022-04-30,4385.9,724034.0,200644.9778,32.7575,7.0052,35.0
2022-05-31,4312.95,819530.0,197307.6807,32.2126,6.8886,35.0
2022-06-30,4080.35,270018.0,186666.7583,30.4754,6.5171,35.0
2022-07-31,4183.7,179719.0,191394.7864,31.2473,6.6822,35.0
2022-08-31,4188.7,584127.0,191623.525,31.2846,6.6902,35.0
2022-09-30,4265.35,496938.0,195130.0887,31.8571,6.8126,65.0
2022-10-31,4378.05,564832.0,200285.8581,32.6989,6.9926,65.0
2022-11-30,4599.4,423015.0,210412.1186,34.3521,7.3462,65.0
2022-12-31,4431.7,372734.0,202740.2239,33.0996,7.0783,65.0
2023-01-31,3869.15,158806.0,177004.8373,28.898,6.1798,65.0
2023-02-28,3794.2,174188.0,173576.0448,28.3382,6.0601,65.0
2023-03-31,3467.15,223999.0,158614.249,25.4227,4.9457,65.0
2023-04-30,3751.65,225922.0,171629.4788,27.5088,5.3515,65.0
2023-05-31,3800.7,221432.0,173873.405,27.8685,5.4215,65.0
2023-06-30,3777.15,596022.0,172796.0459,27.6958,5.3879,65.0
2023-07-31,3993.75,562040.0,182705.0047,29.284,5.6969,65.0
2023-08-31,3818.55,428275.0,174690.002,27.9993,5.447,70.0
2023-09-30,3859.65,827388.0,176570.2338,28.3007,5.5056,40.0
2023-10-31,3934.4,502613.0,179989.8768,28.8488,5.6122,40.0
2023-11-30,4084.8,332567.0,186870.3357,29.9516,5.8267,40.0
2023-12-31,4268.95,562738.0,195294.7805,31.3019,6.0894,40.0
2024-01-31,4323.0,378376.0,197767.4454,31.6982,6.1665,40.0
2024-02-29,4604.9,904658.0,210663.7311,33.7652,6.5686,40.0
2024-03-31,4194.95,646023.0,191909.4484,34.81,5.3377,40.0
2024-04-30,4257.2,597433.0,194757.2447,35.3265,5.4169,40.0
2024-05-31,4609.75,561706.0,210885.6076,38.252,5.8655,40.0
2024-06-30,4528.55,895759.0,207170.8917,37.5782,5.7622,40.0
2024-07-31,5650.8,1234761.0,258511.284,46.8907,7.1902,40.0
2024-08-31,6065.05,1223325.0,277462.282,50.3282,7.7173,35.0
2024-09-30,5722.05,1366648.0,261770.8099,47.482,7.2809,35.0
2024-10-31,5097.9,1007328.0,233217.363,42.3027,6.4867,35.0
2024-11-30,5313.25,335982.0,243069.137,44.0897,6.7607,35.0
2024-12-31,5281.5,1139326.0,241616.6466,43.8262,6.7203,35.0
2025-01-31,4538.2,656720.0,207612.3574,37.6583,5.7745,35.0
2025-02-28,4050.75,1913695.0,185312.6254,33.6134,5.1543,35.0
2025-03-31,4004.5,645907.0,183196.7928,23.8661,4.3438,35.0
2025-04-30,4292.8,431629.0,196385.8639,25.5844,4.6566,35.0
2025-05-31,5613.3,2429631.0,256795.744,33.4543,6.0889,35.0
2025-06-30,5677.5,785735.0,259732.7484,33.8369,6.1586,35.0
2025-07-31,5194.5,874703.0,237636.5939,30.9583,5.6347,165.0
2025-08-31,5156.0,1362137.0,235875.3062,30.7289,5.5929,165.0
2025-09-30,5036.0,376119.0,230385.5784,30.0137,5.4627,165.0
2025-10-31,5209.0,762437.0,238299.936,31.0448,5.6504,165.0
2025-11-30,4975.0,867717.0,227594.9667,29.6502,5.3966,165.0
2025-12-31,4987.7,464210.0,228175.9629,29.7258,5.4103,165.0
2026-01-31,4563.6,262427.0,208774.3498,27.1983,4.9503,165.0
2026-02-28,5062.2,1468534.0,231584.1689,30.1699,5.4911,165.0
2026-03-31,4816.0,41509.0,220321.0773,28.7025,5.2241,165.0
