PFIZ IN Equity,price,volume,mc,pe,bm,div
1996-05-31,103.0,11400.0,2414.3201,22.5679,4.2518,1.0
1996-06-30,134.75,780300.0,3158.5401,29.5245,5.5625,1.0
1996-07-31,132.5,165900.0,3105.8001,29.0316,5.4696,1.5
1996-08-31,135.13,52936.0,3167.3301,29.6067,5.578,1.5
1996-09-30,104.0,18304.0,2437.7601,22.787,4.2931,1.5
1996-10-31,102.0,142298.0,2390.8801,22.3488,4.2106,1.5
1996-11-30,99.0,61908.0,2320.5601,21.6915,4.0867,1.5
1996-12-31,103.5,62580.0,2426.0401,22.6775,4.2725,1.5
1997-01-31,112.88,83648.0,2645.7901,24.7316,4.6595,1.5
1997-02-28,117.5,107970.0,2754.2001,25.745,4.8504,1.5
1997-03-31,116.0,92168.0,2719.0401,25.4163,4.7885,1.5
1997-04-30,115.0,244878.0,2695.6001,25.1972,4.7472,1.5
1997-05-31,100.75,53474.0,2361.5801,22.0749,4.159,1.5
1997-06-30,123.25,514496.0,2888.9801,27.0048,5.0878,1.0
1997-07-31,162.63,785222.0,3811.9301,35.6321,6.7132,1.0
1997-08-31,154.75,992996.0,3627.3401,33.9067,6.3881,2.0
1997-09-30,174.88,1002136.0,4099.0701,38.3162,7.2188,2.0
1997-10-31,183.0,898528.0,4515.1301,40.0964,7.5542,2.0
1997-11-30,193.0,586860.0,4523.9201,13.802,5.7512,2.0
1997-12-31,204.13,525072.0,4784.6901,14.5976,6.0827,2.0
1998-01-31,195.75,593114.0,4588.3801,13.9986,5.8332,2.0
1998-02-28,241.0,1041292.0,5649.0401,17.2346,7.1816,2.0
1998-03-31,272.38,1646568.0,6384.4701,19.4783,8.1165,1.5
1998-04-30,319.13,2307898.0,7480.2902,22.8215,9.5096,1.5
1998-05-31,322.0,1348850.0,7547.6802,23.0271,9.5953,1.5
1998-06-30,275.25,712900.0,6451.8601,19.6839,8.2022,1.5
1998-07-31,291.88,364546.0,6841.5502,20.8728,8.6976,1.5
1998-08-31,298.63,933416.0,6999.7702,21.3555,8.8987,1.5
1998-09-30,323.63,759778.0,7585.7702,23.1433,9.6437,1.5
1998-10-31,337.88,710764.0,7919.7902,24.1624,10.0684,1.5
1998-11-30,380.5,793542.0,8918.9202,70.9028,10.7771,1.5
1998-12-31,422.5,1581688.0,9903.4002,78.7292,11.9667,1.5
1999-01-31,427.75,1508382.0,10026.4602,79.7074,12.1154,1.5
1999-02-28,513.88,1117942.0,12045.2303,95.7561,14.5548,1.5
1999-03-31,649.13,1470450.0,15215.4903,120.9587,18.3856,2.0
1999-04-30,499.63,2093750.0,11711.2103,93.1007,14.1512,2.0
1999-05-31,607.5,696770.0,14239.8003,113.2023,17.2066,2.0
1999-06-30,492.6,395302.0,11546.5443,91.7917,13.9522,2.0
1999-07-31,492.5,2672308.0,11544.2003,91.773,13.9494,2.0
1999-08-31,490.0,2401506.0,11485.6003,91.3072,13.8786,2.0
1999-09-30,485.0,2200776.0,11368.4003,90.3755,13.737,2.0
1999-10-31,524.5,1610564.0,12294.2803,97.736,14.8558,2.0
1999-11-30,506.98,583050.0,11883.4943,38.4232,11.0921,2.0
1999-12-31,487.5,1007390.0,11427.0003,36.9472,10.666,2.0
2000-01-31,600.5,1396224.0,14075.7203,45.5114,13.1384,2.0
2000-02-29,453.48,1273706.0,10629.4542,34.3685,9.9216,2.0
2000-03-31,460.0,1782880.0,10782.4002,34.863,10.0643,2.5
2000-04-30,434.5,609336.0,10184.6802,32.9304,9.5064,2.5
2000-05-31,541.0,817568.0,12681.0403,41.0019,11.8366,2.5
2000-06-30,561.65,441331.0,13165.0763,42.567,12.2884,2.5
2000-07-31,580.6,268268.0,13609.2643,44.0032,12.703,2.5
2000-08-31,577.65,195475.0,13541.8494,43.7796,12.6384,2.5
2000-09-30,564.4,857427.0,13231.2296,42.7754,12.3485,2.5
2000-10-31,584.9,177437.0,13711.8112,44.3291,12.797,2.5
2000-11-30,617.5,431712.0,14476.053,36.673,10.7131,2.5
2000-12-31,609.85,946998.0,14296.714,36.2187,10.5804,2.5
2001-01-31,599.2,624419.0,14047.0461,35.5862,10.3956,2.5
2001-02-28,607.15,508419.0,14233.4179,36.0583,10.5336,2.5
2001-03-31,560.25,435760.0,13133.9412,33.273,9.7199,4.0
2001-04-30,527.55,406279.0,12365.9303,31.3309,9.1526,4.0
2001-05-31,505.35,241372.0,11845.5556,30.0125,8.7674,4.0
2001-06-30,457.55,133631.0,10725.1093,27.1737,7.9381,4.0
2001-07-31,432.0,102181.0,10126.2096,25.6563,7.4949,4.0
2001-08-31,420.45,34005.0,9855.4741,24.9703,7.2945,4.0
2001-09-30,401.0,61919.0,9399.5603,23.8152,6.957,4.0
2001-10-31,401.5,27862.0,9411.2804,23.8449,6.9657,4.0
2001-11-30,440.0,123782.0,10313.732,21.7177,6.0709,4.0
2001-12-31,445.25,87041.0,10436.7936,21.9768,6.1433,4.0
2002-01-31,425.45,78388.0,9972.6756,20.9995,5.8701,4.0
2002-02-28,447.9,89330.0,10498.9104,22.1076,6.1799,4.0
2002-03-31,450.05,104133.0,10549.307,22.2137,6.2095,4.0
2002-04-30,483.55,139767.0,11334.5571,23.8672,6.6717,5.0
2002-05-31,475.8,59615.0,11152.8947,23.4847,6.5648,5.0
2002-06-30,450.75,22962.0,10565.7152,22.2483,6.2192,5.0
2002-07-31,450.0,76730.0,10548.135,22.2113,6.2088,5.0
2002-08-31,436.25,127998.0,10225.8309,21.5326,6.0191,5.0
2002-09-30,414.75,126306.0,9721.8644,20.4714,5.7225,5.0
2002-10-31,390.0,82022.0,9141.717,19.2498,5.381,5.0
2002-11-30,394.2,18023.0,9240.1663,12.1676,2.9998,5.0
2002-12-31,381.5,359193.0,8942.4744,11.7756,2.9031,5.0
2003-01-31,350.0,156323.0,8204.105,10.8033,2.6634,5.0
2003-02-28,346.1,259656.0,8112.6878,10.6829,2.6337,5.0
2003-03-31,310.0,112209.0,7266.493,9.5686,2.359,7.5
2003-04-30,317.0,95741.0,7430.5751,9.7847,2.4123,7.5
2003-05-31,398.85,193421.0,9349.1637,12.3111,3.0352,7.5
2003-06-30,365.15,300422.0,8559.2255,11.2709,2.7787,7.5
2003-07-31,434.55,453581.0,10185.9824,13.413,3.3068,7.5
2003-08-31,418.7,487200.0,9814.4536,12.9238,3.1862,7.5
