ITC IN Equity,price,volume,mc,pe,bm,div
2005-02-28,27.21,467320005.0,321134.2837,19.0975,4.6992,0.4444
2005-03-31,28.21,455765355.0,333125.3933,16.6435,3.9694,0.4444
2005-04-30,30.22,367629075.0,356867.7604,17.8297,4.2523,0.4444
2005-05-31,33.62,532470465.0,396967.9112,19.8332,4.7302,0.4444
2005-06-30,34.94,509406840.0,414580.2538,20.6127,4.9161,0.4444
2005-07-31,35.38,452503575.0,419755.9594,20.87,4.9774,0.6889
2005-08-31,36.4,368289540.0,432507.4636,21.4752,5.1218,0.6889
2005-09-30,43.12,732026883.0,512542.1383,25.4387,6.0671,0.6889
2005-10-31,37.9,780440841.0,451129.528,22.36,5.3328,0.6889
2005-11-30,42.41,620795526.0,504799.6798,25.0202,5.9672,0.6889
2005-12-31,44.81,574276713.0,533332.9395,26.434,6.3044,0.6889
2006-01-31,48.81,482995326.0,581015.2693,28.7965,6.8679,0.6889
2006-02-28,54.38,482163861.0,647266.74,32.0798,7.6509,0.6889
2006-03-31,61.54,598625454.0,732472.0841,30.1725,7.5179,0.6889
2006-04-30,64.25,464054571.0,754060.5418,31.5021,7.8492,0.6889
2006-05-31,52.16,651538755.0,620820.8642,25.5728,6.3718,0.6889
2006-06-30,57.52,807776433.0,684632.032,28.2012,7.0267,0.6889
2006-07-31,52.79,497106630.0,628346.6895,25.882,6.4489,0.8833
2006-08-31,60.39,356617812.0,719047.4821,29.6081,7.3773,0.8833
2006-09-30,59.19,354454230.0,704779.1769,29.0206,7.2309,0.8833
2006-10-31,59.91,291385896.0,713697.7051,29.3762,7.3195,0.8833
2006-11-30,58.37,318214626.0,695550.261,28.6186,7.1307,0.8833
2006-12-31,55.53,294522441.0,661731.2194,27.2271,6.784,0.8833
2007-01-31,55.06,380786121.0,656250.6393,26.9952,6.7262,0.8833
2007-02-28,54.14,330174510.0,645408.1435,26.5468,6.6145,0.8833
2007-03-31,47.66,727573653.0,568430.2773,19.501,5.0529,0.8833
2007-04-30,50.47,368110626.0,602143.7752,20.6493,5.3504,0.8833
2007-05-31,51.65,317211447.0,616252.1111,21.1331,5.4758,0.8833
2007-06-30,48.78,354277176.0,582015.8827,19.959,5.1716,0.8833
2007-07-31,53.92,595122024.0,643340.116,22.062,5.7165,1.0333
2007-08-31,53.86,451008720.0,642587.6714,22.0362,5.7098,1.0333
2007-09-30,59.85,368954070.0,714232.4135,24.4876,6.3449,1.0333
2007-10-31,56.41,423334515.0,673369.598,23.0813,5.9806,1.0333
2007-11-30,59.39,462831627.0,709120.9659,24.3005,6.2965,1.0333
2007-12-31,66.05,380727120.0,788560.5856,27.0228,7.0018,1.0333
2008-01-31,61.66,796099860.0,736565.8104,25.2294,6.5372,1.0333
2008-02-29,63.93,367215828.0,763815.9764,26.1583,6.7779,1.0333
2008-03-31,65.04,473026767.0,777001.4557,23.2585,5.9841,1.0333
2008-04-30,69.34,305842443.0,828717.3626,24.7977,6.3801,1.0333
2008-05-31,68.66,364506117.0,820614.8509,24.5553,6.3177,1.0333
2008-06-30,59.22,386602185.0,707744.9782,21.1779,5.4488,1.0333
2008-07-31,58.91,467334924.0,703976.3681,21.0651,5.4198,1.1667
2008-08-31,59.5,250375305.0,711209.7011,21.2794,5.4749,1.1667
2008-09-30,59.3,381559848.0,708857.8724,21.2061,5.456,1.1667
2008-10-31,48.92,637829286.0,584941.1058,17.496,4.5015,1.1667
2008-11-30,54.74,318958116.0,654609.0236,19.5766,5.0368,1.1667
2008-12-31,54.14,330637494.0,647568.2687,19.3623,4.9817,1.1667
2009-01-31,56.79,322056702.0,679318.9526,20.3096,5.2254,1.1667
2009-02-28,57.72,191606541.0,690657.303,20.6422,5.311,1.1667
2009-03-31,58.29,327507597.0,697697.8219,19.8266,4.705,1.1667
2009-04-30,59.57,314045142.0,712984.1416,20.261,4.8081,1.1667
2009-05-31,57.91,483543096.0,693168.5421,19.6979,4.6745,1.1667
2009-06-30,60.15,704326383.0,719966.7814,20.4594,4.8552,1.1667
2009-07-31,78.58,542875548.0,940580.4557,26.7286,6.343,1.2333
2009-08-31,72.83,298960470.0,872099.621,24.7712,5.8784,1.2333
2009-09-30,73.49,356583570.0,880855.2615,24.9964,5.9319,1.2333
2009-10-31,80.35,313829913.0,963189.5978,27.3293,6.4855,1.2333
2009-11-30,81.07,280889595.0,973874.6513,27.576,6.544,1.2333
2009-12-31,79.09,219528732.0,950039.5846,26.9002,6.3837,1.2333
2010-01-31,78.88,285721680.0,950575.4354,26.8305,6.3671,1.2333
2010-02-28,73.24,280018422.0,883572.5577,24.9106,5.9115,1.2333
2010-03-31,82.95,298703973.0,1003621.228,22.6021,6.5716,1.2333
2010-04-30,83.83,173904612.0,1015062.291,22.8426,6.6416,1.2333
2010-05-31,89.3,284998947.0,1081307.727,24.3334,7.075,1.2333
2010-06-30,96.32,258927474.0,1166262.165,26.2452,7.6309,3.3333
2010-07-31,97.36,225686751.0,1180905.583,26.5287,7.7133,3.3333
2010-08-31,102.89,199225793.0,1249633.723,28.0367,8.1518,3.3333
2010-09-30,112.45,261618006.0,1366752.469,30.6402,8.9088,3.3333
2010-10-31,107.97,275809331.0,1315421.302,29.4201,8.554,3.3333
2010-11-30,108.41,223300074.0,1323446.517,29.5404,8.589,3.3333
2010-12-31,110.15,213666047.0,1345512.81,30.0129,8.7264,3.3333
2011-01-31,102.55,247852616.0,1253860.921,27.9422,8.1243,3.3333
2011-02-28,106.58,276569436.0,1304966.673,29.042,8.4441,3.3333
2011-03-31,114.85,288258647.0,1408962.561,26.3812,8.084,3.3333
2011-04-30,121.31,217498104.0,1488432.007,27.8661,8.539,3.3333
2011-05-31,121.94,254501142.0,1496170.151,28.011,8.5834,3.3333
2011-06-30,128.0,212493671.0,1570456.334,29.4017,9.0096,2.9667
2011-07-31,131.4,241147682.0,1614492.654,30.184,9.2493,2.9667
2011-08-31,126.14,296150018.0,1552720.606,28.9744,8.8786,2.9667
2011-09-30,124.87,240816216.0,1539061.251,28.6846,8.7898,2.9667
2011-10-31,134.43,232993494.0,1656822.756,30.8794,9.4624,2.9667
2011-11-30,126.58,225950220.0,1563343.34,29.0758,8.9097,2.9667
2011-12-31,126.95,216571448.0,1569366.941,29.1627,8.9363,2.9667
2012-01-31,128.63,229588160.0,1590255.909,29.5466,9.054,2.9667
2012-02-29,130.96,264517953.0,1620037.139,30.0826,9.2182,2.9667
2012-03-31,143.1,361090035.0,1774000.477,26.6646,8.6246,2.9667
2012-04-30,154.83,193164282.0,1919423.17,28.8505,9.3316,2.9667
2012-05-31,144.65,243817265.0,1793155.617,26.9526,8.7177,2.9667
2012-06-30,163.28,175912665.0,2024190.056,30.4252,9.841,3.0
2012-07-31,162.81,175816526.0,2022105.337,30.3371,9.8124,3.0
2012-08-31,168.8,169447310.0,2099609.699,31.4535,10.1735,3.0
2012-09-30,171.8,221417492.0,2140054.604,32.0117,10.3541,3.0
2012-10-31,178.2,187408392.0,2221721.278,33.2045,10.7399,3.0
2012-11-30,188.26,145606287.0,2349514.051,35.0789,11.3462,3.0
2012-12-31,180.88,200061972.0,2259490.362,33.7039,10.9015,3.0
2013-01-31,194.03,314516988.0,2424916.078,36.1541,11.694,3.0
2013-02-28,185.92,248067717.0,2325209.666,34.6441,11.2055,3.0
2013-03-31,195.16,222932976.0,2445222.224,30.2109,9.9889,3.0
2013-04-30,207.4,199775175.0,2598517.785,32.1049,10.6151,3.0
2013-05-31,214.37,242413275.0,2685833.039,33.1837,10.9718,3.5
2013-06-30,204.56,218477259.0,2562959.536,31.6656,10.4698,3.5
2013-07-31,215.5,253726134.0,2702143.245,33.3594,11.0299,3.5
2013-08-31,194.69,303852111.0,2443797.323,30.1377,9.9647,3.5
2013-09-30,214.68,269780415.0,2695960.853,33.2325,10.9879,3.5
2013-10-31,211.28,218682605.0,2655363.433,32.7053,10.8136,3.5
2013-11-30,202.07,191272458.0,2541237.112,31.2799,10.3423,3.5
2013-12-31,202.98,212371332.0,2554039.418,31.4215,10.3891,3.5
2014-01-31,205.03,215053649.0,2581357.496,31.7388,10.494,3.5
2014-02-28,206.64,157148456.0,2602959.43,31.9877,10.5764,3.5
2014-03-31,222.53,227348819.0,2806280.487,29.7505,9.747,3.5
2014-04-30,214.9,189579065.0,2710046.977,28.7303,9.4127,3.5
2014-05-31,215.53,256279106.0,2718000.159,28.8146,9.4403,3.5
2014-06-30,205.0,304828566.0,2585182.01,27.4066,8.979,4.0
2014-07-31,224.55,268054443.0,2834709.808,30.0203,9.8354,4.0
2014-08-31,224.08,133622372.0,2830799.663,29.9571,9.8146,4.0
2014-09-30,233.48,201766845.0,2952069.338,31.2134,10.2262,4.0
2014-10-31,224.02,149004020.0,2834743.842,29.9486,9.8119,4.0
2014-11-30,229.03,213503951.0,2900397.306,30.619,10.0315,4.0
2014-12-31,232.53,247731362.0,2947916.906,31.0869,10.1848,4.0
2015-01-31,232.44,313516089.0,2948362.029,31.0743,10.1807,4.0
2015-02-28,227.89,291387734.0,2891728.253,30.4672,9.9818,4.0
2015-03-31,205.51,429286407.0,2611857.039,25.4549,7.7858,4.0
2015-04-30,203.3,231726246.0,2583802.721,25.1814,7.7021,4.0
2015-05-31,206.29,249898490.0,2621876.439,25.5525,7.8156,4.0
2015-06-30,198.76,237444711.0,2526090.98,24.619,7.5301,4.1667
2015-07-31,205.6,183952676.0,2614101.039,25.4666,7.7893,4.1667
2015-08-31,205.06,246028269.0,2608814.035,25.4002,7.769,4.1667
2015-09-30,207.37,214898028.0,2639111.595,25.6853,7.8563,4.1667
2015-10-31,211.06,205176183.0,2686852.888,26.1423,7.996,4.1667
2015-11-30,216.04,185879343.0,2750280.761,26.7594,8.1848,4.1667
2015-12-31,206.74,246420996.0,2634426.963,25.6072,7.8324,4.1667
2016-01-31,201.94,197886957.0,2573348.119,25.0135,7.6508,4.1667
2016-02-29,186.46,294260366.0,2376511.211,23.0957,7.0642,4.1667
2016-03-31,207.02,379924611.0,2641495.708,40.0682,5.855,4.1667
2016-04-30,204.94,197947526.0,2614939.925,39.6654,5.7961,4.1667
2016-05-31,221.4,294225654.0,2824972.028,42.8513,6.2617,5.6667
2016-06-30,232.34,244111053.0,2964591.07,44.9692,6.5712,5.6667
2016-07-31,238.82,218217715.0,3047276.123,46.2234,6.7544,5.6667
2016-08-31,246.01,199013325.0,3139014.283,47.615,6.9578,5.6667
2016-09-30,228.32,195368091.0,2913290.126,44.191,6.4575,5.6667
2016-10-31,228.6,190023239.0,2916911.369,44.2459,6.4655,5.6667
2016-11-30,219.95,310352718.0,2806463.452,42.5706,6.2207,5.6667
2016-12-31,228.6,200792916.0,2929126.965,44.2459,6.4655,5.6667
2017-01-31,244.17,209187630.0,3128523.359,47.2579,6.9056,5.6667
2017-02-28,248.04,244196206.0,3180597.128,48.0086,7.0153,5.6667
2017-03-31,265.17,314951815.0,3404911.402,31.1962,6.9401,5.6667
2017-04-30,262.99,177975134.0,3376972.422,30.9402,6.8831,5.6667
2017-05-31,294.97,302432386.0,3787553.961,34.702,7.72,4.3333
2017-06-30,306.18,227499537.0,3931500.447,36.0208,8.0134,4.75
2017-07-31,269.85,504564189.0,3469158.687,31.7471,7.0626,4.75
2017-08-31,267.01,254457995.0,3436681.237,31.4132,6.9884,4.75
2017-09-30,244.36,283401877.0,3146173.205,28.7477,6.3954,4.75
2017-10-31,251.36,198277237.0,3236307.474,29.5713,6.5786,4.75
2017-11-30,242.23,250752606.0,3120100.476,28.4973,6.3397,4.75
2017-12-31,249.04,195663601.0,3209137.813,29.2986,6.5179,4.75
2018-01-31,256.75,334216538.0,3309227.059,30.2056,6.7197,4.75
2018-02-28,250.74,305188809.0,3232470.18,29.4989,6.5625,4.75
2018-03-31,241.71,213739675.0,3117784.315,26.1022,5.6177,4.75
2018-04-30,266.26,214342149.0,3434443.817,28.7533,6.1883,4.75
2018-05-31,256.98,207242852.0,3314900.785,27.7521,5.9728,5.15
2018-06-30,251.83,206278401.0,3248395.321,27.1953,5.853,5.15
2018-07-31,281.63,370500277.0,3637171.97,30.4134,6.5455,5.15
2018-08-31,302.58,280108900.0,3911736.64,32.6763,7.0326,5.15
2018-09-30,281.68,250863296.0,3644603.59,30.4185,6.5466,5.15
2018-10-31,264.98,268497240.0,3428793.105,28.6154,6.1586,5.15
2018-11-30,270.37,195318143.0,3499235.493,29.1977,6.2839,5.15
2018-12-31,266.44,201743945.0,3448426.639,28.7737,6.1927,5.15
2019-01-31,263.61,278717927.0,3412212.897,28.4672,6.1267,5.15
2019-02-28,261.15,338954921.0,3381460.454,28.2016,6.0695,5.15
2019-03-31,281.2,256467730.0,3643469.689,27.3012,5.8287,5.15
2019-04-30,285.08,199720719.0,3693724.444,27.6778,5.9091,5.15
2019-05-31,263.51,306766310.0,3414275.29,25.5837,5.462,5.75
2019-06-30,259.07,226869992.0,3356665.906,25.152,5.3699,5.75
2019-07-31,255.61,274362719.0,3315907.555,24.8168,5.2983,5.75
2019-08-31,232.39,243645484.0,3015564.831,22.562,4.8169,5.75
2019-09-30,245.82,343871630.0,3191919.117,23.8662,5.0954,5.75
2019-10-31,243.74,363895364.0,3165868.323,23.6641,5.0522,5.75
2019-11-30,233.1,234231438.0,3028327.479,22.6308,4.8316,5.75
2019-12-31,224.87,253788488.0,2921836.669,21.8318,4.661,5.75
2020-01-31,222.45,227117873.0,2890491.766,21.5976,4.611,5.75
2020-02-29,186.88,472590336.0,2428432.284,18.1442,3.8737,5.75
2020-03-31,162.43,918219579.0,2110747.055,13.0257,3.0589,5.75
2020-04-30,172.22,554586833.0,2237981.953,13.8109,3.2433,5.75
2020-05-31,186.7,574443615.0,2426068.324,14.9716,3.5158,5.75
2020-06-30,184.14,799692990.0,2392882.262,14.7668,3.4677,5.75
2020-07-31,183.67,632331184.0,2387421.098,14.7288,3.4588,10.15
2020-08-31,180.78,593249620.0,2351629.725,14.4974,3.4045,10.15
2020-09-30,162.43,676285047.0,2112898.083,13.0257,3.0589,10.15
2020-10-31,156.33,558228280.0,2033407.318,12.5364,2.944,10.15
2020-11-30,183.2,702466963.0,2382870.361,14.6909,3.4499,10.15
2020-12-31,197.72,695227262.0,2571769.002,15.8554,3.7234,10.15
2021-01-31,192.28,816106238.0,2501014.591,15.4192,3.621,10.15
2021-02-28,192.84,1047890199.0,2508447.987,15.4647,3.6316,5.0
2021-03-31,206.7,882400260.0,2689482.53,19.3181,4.2161,5.0
2021-04-30,191.66,388649863.0,2493771.902,17.9124,3.9093,5.0
2021-05-31,204.91,579050971.0,2666095.725,19.1501,4.1794,5.0
2021-06-30,191.76,604434430.0,2495002.786,17.9212,3.9112,20.9
2021-07-31,193.89,458811725.0,2522914.899,18.1201,3.9546,10.75
2021-08-31,199.89,377375125.0,2601082.791,18.6815,4.0771,10.75
2021-09-30,223.4,748757638.0,2906983.915,20.8786,4.5566,10.75
2021-10-31,211.15,665718138.0,2747570.653,19.7337,4.3068,10.75
2021-11-30,209.21,418943537.0,2725167.161,19.5524,4.2672,10.75
2021-12-31,206.28,488444982.0,2687192.632,19.2783,4.2074,10.75
2022-01-31,208.31,282719955.0,2713710.347,19.4684,4.2489,10.75
2022-02-28,204.2,486945230.0,2660101.628,19.0838,4.1649,10.5
2022-03-31,237.12,736257158.0,3088824.099,19.1688,4.6786,10.5
2022-04-30,245.54,466363635.0,3198501.077,19.8494,4.8448,10.5
2022-05-31,256.04,483046957.0,3335289.218,20.6983,5.052,11.5
2022-06-30,258.73,274906280.0,3370410.497,20.9163,5.1052,11.5
2022-07-31,286.69,331598193.0,3744492.967,23.1762,5.6567,11.5
2022-08-31,303.2,261652517.0,3971921.226,24.5107,5.9825,11.5
2022-09-30,314.27,328679868.0,4119007.165,25.4055,6.2008,11.5
2022-10-31,329.87,266389416.0,4325228.556,26.6673,6.5088,11.5
2022-11-30,321.64,266460823.0,4219508.871,26.002,6.3464,11.5
2022-12-31,313.65,197878121.0,4115301.049,25.3557,6.1887,11.5
2023-01-31,333.33,226116667.0,4374078.171,26.9465,6.577,11.5
2023-02-28,356.36,385025684.0,4677293.268,28.8087,7.0315,12.25
2023-03-31,362.8,244872401.0,4766144.804,23.4062,6.5199,12.25
2023-04-30,402.58,179880101.0,5288742.95,25.9726,7.2348,12.25
2023-05-31,421.45,297965022.0,5536681.904,27.1902,7.5739,15.5
2023-06-30,427.22,170680516.0,5612492.812,27.5625,7.6776,15.5
2023-07-31,440.56,297320870.0,5801815.804,28.4231,7.9174,15.5
2023-08-31,415.96,238926164.0,5480789.929,26.8363,7.4753,15.5
2023-09-30,420.41,213087081.0,5542074.413,27.1231,7.5552,15.5
2023-10-31,405.27,190534905.0,5342769.031,26.1466,7.2832,15.5
2023-11-30,412.27,163979354.0,5435721.948,26.5982,7.409,15.5
2023-12-31,437.15,266990011.0,5764978.767,28.2034,7.8561,15.5
2024-01-31,417.71,303756044.0,5510153.229,26.9492,7.5068,15.5
2024-02-29,384.37,398003313.0,5070881.818,24.7977,6.9075,15.75
2024-03-31,405.22,943206360.0,5347830.442,25.3768,6.7901,15.75
2024-04-30,412.13,272920832.0,5438968.909,25.8092,6.9058,15.75
2024-05-31,403.43,344759124.0,5324109.471,25.2642,6.76,13.0
2024-06-30,401.96,368073870.0,5304758.153,25.1724,6.7354,13.75
2024-07-31,468.61,435299268.0,6189831.112,29.346,7.8522,13.75
2024-08-31,474.8,260608521.0,6276502.907,29.7341,7.956,13.75
2024-09-30,490.18,265108671.0,6480812.267,30.6968,8.2136,13.75
2024-10-31,462.41,282487343.0,6114737.616,28.958,7.7484,13.75
2024-11-30,451.01,192077980.0,5964529.55,28.2441,7.5574,13.75
2024-12-31,457.54,314167074.0,6051288.731,28.6529,7.6667,13.75
2025-01-31,447.5,381600582.0,5598990.4,28.0242,7.4985,13.75
2025-02-28,395.0,325650258.0,4942429.403,24.7364,6.6188,14.0
2025-03-31,409.75,280989491.0,5127660.58,25.9664,7.3221,14.0
2025-04-30,425.8,338416191.0,5328512.203,26.9835,7.6089,14.0
2025-05-31,418.05,768293478.0,5231527.774,26.4924,7.4704,14.35
2025-06-30,416.45,297622778.0,5211505.183,26.391,7.4418,14.35
2025-07-31,411.95,227739699.0,5159109.972,26.1058,7.3614,14.35
2025-08-31,409.75,282808172.0,5132271.624,25.9664,7.3221,14.35
2025-09-30,401.55,320357535.0,5030269.225,25.4468,7.1756,14.35
2025-10-31,420.35,330861744.0,5266076.561,26.6381,7.5115,14.35
2025-11-30,404.25,228417484.0,5064753.074,25.6179,7.2238,14.35
2025-12-31,403.0,254427227.0,5049170.788,25.5387,7.2015,14.35
2026-01-31,322.15,974208249.0,4036291.245,20.4151,5.7567,14.35
2026-02-28,313.6,493824281.0,3929166.334,19.8733,5.6039,14.35
2026-03-31,311.8,70015655.0,3906613.568,19.7592,5.5718,14.35
