ITC IN Equity,price,volume,mc,pe,bm,div
2002-03-31,14.65,167389560.0,170968.2913,13.9225,3.6804,0.2222
2002-04-30,13.23,245947230.0,154427.3269,12.5756,3.3243,0.2222
2002-05-31,12.85,153070830.0,151279.2744,12.2148,3.229,0.2222
2002-06-30,13.45,143183565.0,158382.866,12.7884,3.3806,0.2222
2002-07-31,13.27,245267505.0,156254.2636,12.6165,3.3352,0.3
2002-08-31,14.71,292080465.0,173134.5753,13.9795,3.6955,0.3
2002-09-30,13.66,130482135.0,160845.6094,12.9872,3.4332,0.3
2002-10-31,12.93,109006740.0,152244.5708,12.2928,3.2496,0.3
2002-11-30,13.37,115885350.0,157368.0672,12.7065,3.3589,0.3
2002-12-31,13.88,108879705.0,163456.86,13.1981,3.4889,0.3
2003-01-31,13.44,135915480.0,158259.11,12.7784,3.3779,0.3
2003-02-28,13.65,74358495.0,160746.6047,12.9793,3.431,0.3
2003-03-31,13.23,64339560.0,155808.7422,10.7356,2.736,0.3
2003-04-30,14.34,76099590.0,168827.8683,11.6327,2.9647,0.3
2003-05-31,14.58,135588420.0,171711.3819,11.8314,3.0153,0.3
2003-06-30,16.11,193503465.0,189680.746,13.0695,3.3308,0.3
2003-07-31,15.06,129134880.0,177305.1509,12.2168,3.1135,0.3333
2003-08-31,17.5,178785810.0,206028.9071,14.1959,3.6179,0.3333
2003-09-30,16.84,110418975.0,198251.7096,13.6596,3.4812,0.3333
2003-10-31,18.26,117034875.0,215021.2375,14.815,3.7757,0.3333
2003-11-30,17.96,101377755.0,211517.8094,14.572,3.7138,0.3333
2003-12-31,20.7,157891545.0,243760.9,16.7907,4.2792,0.3333
2004-01-31,21.5,158443335.0,253181.5513,17.4397,4.4446,0.3333
2004-02-29,23.11,120796020.0,272268.3012,18.7511,4.7788,0.3333
2004-03-31,21.89,89935335.0,257894.9967,15.3683,3.7816,0.3333
2004-04-30,22.61,62394390.0,266390.9515,15.8722,3.9056,0.3333
2004-05-31,18.48,153295155.0,217697.2834,12.971,3.1917,0.3333
2004-06-30,18.67,95076270.0,219914.0087,13.103,3.2242,0.3333
2004-07-31,21.75,110611440.0,256248.4891,15.2679,3.7569,0.4444
2004-08-31,22.01,76923900.0,259495.625,15.4494,3.8015,0.4444
2004-09-30,23.92,125565390.0,282113.7394,16.7924,4.132,0.4444
2004-10-31,22.86,110516085.0,269707.5201,16.0493,3.9491,0.4444
2004-11-30,27.07,117414945.0,319366.1808,19.0023,4.6757,0.4444
2004-12-31,27.54,83606265.0,324958.3856,19.3292,4.7562,0.4444
2005-01-31,28.62,666850905.0,337833.7591,20.0921,4.9439,0.4444
