BOMH IN Equity,price,volume,mc,pe,bm,div
2020-03-31,8.9,10612439.0,51802.8575,13.2461,0.4751,0.0
2020-04-30,9.55,13432198.0,55604.6733,14.2135,0.5098,0.0
2020-05-31,8.55,9022537.0,49787.524,12.7252,0.4565,0.0
2020-06-30,11.0,105584559.0,64054.1245,15.4517,0.5901,0.0
2020-07-31,12.15,156725638.0,70754.0327,17.0671,0.6518,0.0
2020-08-31,13.5,130159270.0,78615.5918,18.9634,0.7242,0.0
2020-09-30,11.15,39674117.0,73139.4288,15.688,0.6102,0.0
2020-10-31,11.05,26431442.0,72489.7525,15.5473,0.6047,0.0
2020-11-30,12.2,36785598.0,80033.9348,17.1654,0.6677,0.0
2020-12-31,13.05,128183134.0,85610.0697,18.0184,0.7151,0.0
2021-01-31,14.95,160869487.0,98074.371,20.6417,0.8192,0.0
2021-02-28,24.1,464024591.0,158099.8221,33.2753,1.3206,0.0
2021-03-31,20.8,242926065.0,136451.2988,23.6676,1.1086,0.0
2021-04-30,24.05,371604531.0,157771.8142,27.3657,1.2818,0.0
2021-05-31,24.3,235949416.0,159411.8538,27.6502,1.2952,0.0
2021-06-30,25.4,494061807.0,166628.0361,24.6881,1.3307,0.0
2021-07-31,21.9,137237547.0,147397.8722,21.2862,1.1473,0.0
2021-08-31,18.05,138705882.0,121485.8436,17.5441,0.9456,0.0
2021-09-30,20.05,211531058.0,134946.8789,16.1694,1.0223,0.0
2021-10-31,20.8,223577963.0,139994.7671,16.7742,1.0606,0.0
2021-11-30,19.2,88866981.0,129225.9389,15.4839,0.979,0.0
2021-12-31,19.2,89316105.0,129225.9389,13.1507,0.9565,0.0
2022-01-31,21.0,160219458.0,141340.8707,14.3836,1.0462,0.0
2022-02-28,17.8,114364753.0,119803.2142,12.1918,0.8868,0.0
2022-03-31,16.7,104090184.0,112399.6448,9.6532,0.7993,0.0
2022-04-30,17.95,86475662.0,120812.7918,10.3757,0.8591,0.0
2022-05-31,17.65,67509083.0,118793.6365,10.2023,0.8448,0.0
2022-06-30,15.55,40948545.0,104659.5495,7.5121,0.7211,0.5
2022-07-31,16.85,60333611.0,113408.8651,8.1401,0.7813,0.5
2022-08-31,18.05,65206222.0,121485.4609,8.7198,0.837,0.5
2022-09-30,17.8,109298045.0,119802.8368,7.2653,0.7961,0.5
2022-10-31,20.3,160664987.0,136629.0779,8.2857,0.9079,0.5
2022-11-30,26.45,788248255.0,178021.631,10.7959,1.1829,0.5
2022-12-31,30.6,1943878370.0,205953.1913,9.7452,1.3015,0.5
2023-01-31,30.4,825878170.0,204607.092,9.6815,1.293,0.5
2023-02-28,25.5,282628389.0,171627.6594,8.121,1.0846,0.5
2023-03-31,24.75,281527056.0,166579.7871,6.4119,1.055,0.5
2023-04-30,30.2,356193236.0,203260.9927,7.8238,1.2873,0.5
2023-05-31,30.35,317620405.0,204270.5672,7.8627,1.2937,1.3
2023-06-30,28.9,394106893.0,204651.6982,6.5146,1.1579,1.3
2023-07-31,33.65,1177554872.0,238288.223,7.5853,1.3482,1.3
2023-08-31,38.7,1068285242.0,274049.1598,8.7237,1.5506,1.3
2023-09-30,47.65,1600023294.0,337427.4539,9.6336,1.8147,1.3
2023-10-31,41.75,1038022911.0,295647.3494,8.4408,1.59,1.3
2023-11-30,44.0,393535266.0,311580.4401,8.8957,1.6757,1.3
2023-12-31,45.15,650624033.0,319724.0198,8.5735,1.6286,1.3
2024-01-31,55.25,1254641903.0,391245.8936,10.4914,1.9929,1.3
2024-02-29,59.7,1476777608.0,422758.0062,11.3364,2.1534,1.3
2024-03-31,62.35,659672447.0,441523.6464,10.8318,2.229,1.3
2024-04-30,70.1,739700254.0,496404.2921,12.1781,2.5061,1.3
2024-05-31,69.05,540903938.0,488968.8498,11.9957,2.4685,1.4
2024-06-30,64.81,513716795.0,458943.8255,10.2274,2.1484,1.4
2024-07-31,66.94,563896017.0,474027.1514,10.5636,2.219,1.4
2024-08-31,62.57,226217917.0,443081.5486,9.8739,2.0741,1.4
2024-09-30,60.29,224520361.0,426936.0167,8.7164,1.8651,1.4
2024-10-31,54.9,403270232.0,422266.3668,7.9371,1.6984,1.4
2024-11-30,57.03,280111036.0,438649.3788,8.245,1.7643,1.4
2024-12-31,52.19,356721829.0,401422.2528,7.1622,1.4469,1.4
2025-01-31,51.29,471571769.0,394499.8534,7.0387,1.4219,1.4
2025-02-28,46.41,172863373.0,356965.0652,6.369,1.2866,1.4
2025-03-31,46.34,220587957.0,356426.6564,6.1812,1.2845,1.4
2025-04-30,50.66,268183710.0,389654.1738,6.7575,1.4042,1.4
2025-05-31,53.98,298516498.0,415190.1362,7.2003,1.4962,1.5
2025-06-30,57.11,454863011.0,439264.7032,7.3774,1.467,1.5
2025-07-31,56.08,302977293.0,431342.4016,7.2443,1.4405,1.5
2025-08-31,51.95,111332602.0,399576.2797,6.7108,1.3344,1.5
2025-09-30,55.98,210227967.0,430573.2461,6.9703,1.3716,1.5
2025-10-31,59.03,493992296.0,454032.4887,7.3501,1.4463,1.5
2025-11-30,58.56,327474211.0,450417.4579,7.2915,1.4348,1.5
2025-12-31,62.05,570347897.0,477260.9846,7.2742,1.4287,1.5
2026-01-31,65.27,544485699.0,502027.7916,7.6517,1.5028,2.5
2026-02-28,74.76,492905175.0,575020.6481,8.7642,1.7213,2.5
2026-03-31,71.08,106930206.0,546715.7399,8.3328,1.6366,2.5
