CCRI IN Equity,price,volume,mc,pe,bm,div
1997-07-31,37.55,637500.0,28596.0388,30.0136,10.8994,0.1024
1997-08-31,40.96,1172.0,31195.6787,32.7422,11.8903,0.1707
1997-09-30,35.84,2636719.0,27296.2189,28.6494,10.404,0.1707
1997-10-31,35.84,3516.0,27296.2189,28.6494,10.404,0.1707
1997-11-30,36.27,692578.0,27621.1739,28.9905,10.5279,0.1707
1997-12-31,35.84,1127344.0,27296.2189,28.6494,10.404,0.1707
1998-01-31,35.84,827344.0,27296.2189,28.6494,10.404,0.1707
1998-02-28,35.65,72656.0,27149.9891,28.4959,10.3483,0.1707
1998-03-31,39.0,605859.0,29700.8858,31.1733,11.3205,0.1707
1998-04-30,40.96,124219.0,31195.6787,26.936,8.5734,0.1707
1998-05-31,40.96,124219.0,31195.6787,26.936,8.5734,0.1707
1998-06-30,39.0,57422.0,29700.8858,25.6453,8.1626,0.1707
1998-07-31,39.0,117188.0,29700.8858,25.6453,8.1626,0.1707
1998-08-31,37.55,11719.0,28596.0388,24.6914,7.8589,0.1707
1998-10-31,32.26,2344.0,24566.597,21.2121,6.7515,0.1707
1998-11-30,21.33,1172.0,16247.7493,14.0292,4.4653,0.1707
1998-12-31,20.41,110156.0,15545.8466,13.4231,4.2724,0.1707
1999-01-31,20.48,2808984.0,15597.8394,13.468,4.2867,0.1707
1999-02-28,17.04,6298828.0,12978.7022,11.2065,3.5669,0.1707
1999-03-31,15.01,2171484.0,11431.9164,9.8709,3.1418,0.1707
1999-04-30,11.95,554297.0,9098.7396,7.8563,2.5006,0.1707
1999-05-31,17.05,9327305.0,12985.2013,11.2121,3.5687,0.1707
1999-06-30,15.53,10952613.0,11828.3615,10.2132,3.2507,0.1707
1999-07-31,22.36,4862590.0,17027.6413,14.7026,4.6796,0.2133
1999-08-31,29.87,15564539.0,22746.8491,19.6409,6.2514,0.2133
1999-09-30,26.45,2710477.0,20147.2092,17.3962,5.537,0.2133
1999-10-31,25.77,5406316.0,19627.2812,16.9473,5.3941,0.2133
1999-11-30,24.75,925184.0,18847.3892,16.2738,5.1797,0.2133
1999-12-31,20.91,4745168.0,15922.7943,13.7486,4.376,0.2133
2000-01-31,22.7,1732734.0,17290.8548,14.9299,4.752,0.2133
2000-02-29,17.92,1956668.0,13648.1094,11.7845,3.7509,0.3413
2000-03-31,13.05,1658941.0,9937.1235,5.5966,1.6351,0.3413
2000-04-30,14.08,3579773.0,10723.5146,6.0395,1.7644,0.3413
2000-05-31,14.51,1565355.0,11048.4695,6.2225,1.8179,0.3413
2000-06-30,14.68,1781133.0,11178.4515,6.2958,1.8393,0.3413
2000-07-31,12.37,14403984.0,9423.6946,5.3075,1.5506,0.3413
2000-08-31,11.09,8676715.0,8448.8297,4.7584,1.3902,0.4693
2000-09-30,10.24,381574.0,7798.9197,4.3924,1.2832,0.4693
2000-10-31,10.24,958629.0,7802.1692,4.3942,1.2838,0.4693
2000-11-30,11.62,2306355.0,8848.5243,4.9835,1.4559,0.4693
2000-12-31,14.42,5733797.0,10983.4785,6.1859,1.8072,0.4693
2001-01-31,15.31,2504449.0,11659.3849,6.5666,1.9184,0.4693
2001-02-28,15.36,2242992.0,11698.3795,6.5886,1.9248,0.4693
2001-03-31,12.13,295816.0,9238.4703,5.2031,1.5201,0.4693
2001-04-30,11.78,1047352.0,8968.7576,5.0512,1.4757,0.2987
2001-05-31,11.52,599250.0,8770.5351,4.9396,1.4431,0.2987
2001-06-30,10.84,623004.0,8253.8567,4.6486,1.3581,0.2987
2001-07-31,11.52,4202227.0,8773.7846,4.9414,1.4436,0.2987
2001-08-31,11.61,597586.0,8838.7756,4.978,1.4543,0.5717
2001-09-30,11.09,2164336.0,8448.8822,4.7584,1.3902,0.5717
2001-10-31,11.16,12873703.0,8497.6258,4.7859,1.3982,0.5717
2001-11-30,13.48,3410953.0,10268.6415,5.7833,1.6896,0.5717
2001-12-31,12.54,1038398.0,9553.736,5.3807,1.572,0.5717
2002-01-31,18.25,46384969.0,13898.4112,7.8276,2.2868,0.5717
2002-02-28,21.55,52099875.0,16410.3289,9.2423,2.7001,0.5717
2002-03-31,21.27,14059406.0,16202.3564,9.1252,2.6659,0.5717
2002-04-30,25.99,40507008.0,19796.3809,11.1493,3.2573,0.5717
2002-05-31,24.32,22162055.0,18519.2999,10.4301,3.0471,0.5717
2002-06-30,25.45,29505129.0,19380.436,10.9151,3.1888,0.5717
2002-07-31,23.34,9918363.0,17775.1484,10.011,2.9247,0.5717
2002-08-31,23.06,14038359.0,17563.9263,9.892,2.8899,0.5717
2002-09-30,19.5,4574426.0,14850.5353,8.3638,2.4435,0.8533
2002-10-31,20.15,2012402.0,15347.7195,8.6439,2.5253,0.8533
2002-11-30,19.79,3300949.0,15074.7556,8.4901,2.4804,0.8533
2002-12-31,19.58,16491586.0,14915.5267,8.4004,2.4542,0.8533
2003-01-31,19.9,7548363.0,15155.9949,8.5359,2.4937,0.8533
2003-02-28,20.22,25090723.0,15402.9622,8.675,2.5344,0.8533
2003-03-31,18.44,12546023.0,14044.6419,7.91,2.3109,0.8533
2003-04-30,20.01,4934578.0,15237.2341,8.5816,2.5071,0.8533
2003-05-31,26.78,8865129.0,20397.5514,11.4879,3.3562,0.8533
2003-06-30,29.38,8207742.0,22373.29,12.6007,3.6813,0.8533
2003-07-31,32.26,3839871.0,24573.249,13.8397,4.0433,0.8533
2003-08-31,35.24,4863047.0,26841.4489,15.1171,4.4165,0.8533
2003-09-30,43.14,7225441.0,32859.6527,18.5066,5.4067,0.9387
2003-10-31,42.36,9271324.0,32258.4822,18.168,5.3078,0.9387
2003-11-30,48.61,7454637.0,37025.6015,20.8529,6.0921,0.9387
2003-12-31,56.79,6102070.0,43248.5282,24.3576,7.1161,0.9387
2004-01-31,60.72,11448668.0,46247.8814,26.0469,7.6096,0.9387
2004-02-29,56.23,3615703.0,42829.3337,24.1215,7.0471,0.9387
2004-03-31,61.06,3322078.0,46507.847,26.1933,7.6523,0.9387
2004-04-30,65.7,5335066.0,50036.8801,28.1808,8.233,0.9387
2004-05-31,44.46,3417727.0,33863.7698,19.0721,5.5719,0.9387
2004-06-30,48.2,7529332.0,36710.3932,20.6753,6.0403,0.9387
2004-07-31,52.89,1764551.0,40278.4212,22.6848,6.6274,0.9387
2004-08-31,57.38,116180.0,43700.2185,24.612,7.1904,0.9387
2004-09-30,62.68,2319035.0,47739.4341,26.8869,7.855,1.0667
2004-10-31,59.11,881285.0,45016.2944,25.3532,7.4069,1.0667
2004-11-30,59.31,8195297.0,45169.0242,25.4392,7.4321,1.0667
2004-12-31,78.25,2735285.0,59597.1153,33.5652,9.806,1.0667
2005-01-31,71.44,7695410.0,54407.5519,30.6424,8.9521,1.024
2005-02-28,70.8,13938656.0,53920.1164,30.3679,8.8719,1.024
2005-03-31,68.3,9046441.0,52019.1179,29.2972,8.5592,1.024
2005-04-30,74.61,4371023.0,56821.9825,32.0022,9.3494,1.024
2005-05-31,77.94,5668746.0,59359.8967,33.4316,9.767,1.024
2005-06-30,80.73,6203520.0,61485.1156,34.6285,10.1167,1.024
2005-07-31,90.98,3189445.0,69290.5829,39.0245,11.401,1.024
2005-08-31,102.49,5201707.0,78057.923,43.9623,12.8435,1.024
2005-09-30,113.11,19532156.0,86146.1029,48.5176,14.1744,1.2373
2005-10-31,113.66,4494527.0,86562.0479,48.7518,14.2428,1.2373
2005-11-30,118.25,4692949.0,90065.0844,50.7247,14.8192,1.2373
2005-12-31,123.68,8368887.0,94198.5376,53.0527,15.4993,1.2373
2006-01-31,114.05,8575453.0,86861.0083,48.9202,14.292,1.2373
2006-02-28,123.43,5782430.0,94010.0625,52.9466,15.4683,1.3653
2006-03-31,123.35,10124684.0,93941.8215,52.9081,15.4571,0.64
2006-04-30,151.25,6452203.0,107547.7715,64.8792,18.9544,0.64
2006-05-31,149.03,4538438.0,113507.483,63.9275,18.6764,0.64
2006-06-30,122.87,7692023.0,93581.1193,52.705,15.3977,0.64
2006-07-31,141.79,7539434.0,107989.713,60.8199,17.7685,0.64
2006-08-31,136.93,5450285.0,104291.7023,58.7372,17.16,1.344
2006-09-30,144.12,17362090.0,109760.7287,61.8173,18.0599,1.344
2006-10-31,174.8,12533848.0,133128.3872,74.978,21.9048,1.344
2006-11-30,183.51,17771953.0,139760.7597,78.7134,22.9961,1.344
2006-12-31,181.36,24449566.0,138129.4755,77.7947,22.7276,1.344
2007-01-31,171.56,8250281.0,130665.2131,73.5908,21.4995,1.8773
2007-02-28,161.66,10452152.0,123122.9609,69.343,20.2585,1.8773
2007-03-31,166.23,2704770.0,126603.2505,17.9929,4.8145,1.8773
2007-04-30,176.99,4655285.0,134798.6662,19.1576,5.1261,1.8773
2007-05-31,194.87,2520398.0,148417.6144,21.0931,5.644,1.8773
2007-06-30,199.23,12635332.0,151735.4255,21.5647,5.7702,1.8773
2007-07-31,187.25,10545715.0,142613.8823,20.2683,5.4233,1.8773
2007-08-31,178.23,5328141.0,135741.0415,19.2915,5.162,1.8773
2007-09-30,179.67,6932813.0,136838.5448,19.4476,5.2037,1.8773
2007-10-31,168.63,43215574.0,128428.7098,18.2524,4.8839,1.8773
2007-11-30,151.92,11180531.0,115706.7221,16.4444,4.4001,1.8773
2007-12-31,164.4,9383484.0,125211.6554,17.7952,4.7616,1.8773
2008-01-31,153.31,20905477.0,116766.0753,16.5949,4.4404,1.8773
2008-02-29,150.09,18057000.0,114309.4156,16.2458,4.347,1.8773
2008-03-31,147.27,6245555.0,112161.4632,15.2795,3.5432,1.8773
2008-04-30,146.65,5978438.0,111693.528,15.2157,3.5284,1.8773
2008-05-31,147.65,5154639.0,112453.9227,15.3193,3.5524,1.8773
2008-06-30,132.36,7658924.0,100808.1631,13.7328,3.1845,1.8773
2008-07-31,143.35,8117631.0,109179.0557,14.8731,3.4489,1.8773
2008-08-31,149.93,9136588.0,114189.8927,15.5557,3.6072,2.2187
2008-09-30,141.34,5797969.0,107645.2586,14.6642,3.4005,2.2187
2008-10-31,109.56,15595852.0,83442.5879,11.3671,2.6359,2.2187
2008-11-30,97.27,7284779.0,74083.8118,10.0922,2.3403,2.2187
2008-12-31,105.29,2993994.0,80193.0129,10.9244,2.5333,2.2187
2009-01-31,121.48,6306691.0,92521.9006,12.6039,2.9227,2.2187
2009-02-28,108.4,7434557.0,82558.7035,11.2467,2.608,2.304
2009-03-31,122.69,6227766.0,93444.7799,11.9937,2.504,2.304
2009-04-30,129.75,4254580.0,98819.577,12.6835,2.648,2.304
2009-05-31,160.12,8384256.0,121950.0522,15.6523,3.2678,2.304
2009-06-30,166.57,9565195.0,126863.4097,16.2829,3.3995,2.304
2009-07-31,187.78,7137486.0,143013.7976,18.3559,3.8323,2.304
2009-08-31,202.27,6090275.0,154049.3545,19.7723,4.128,2.304
2009-09-30,204.24,15543398.0,155550.65,19.965,4.1682,2.3893
2009-10-31,187.81,7316631.0,143039.7861,18.3592,3.833,2.3893
2009-11-30,201.34,9772635.0,153340.939,19.6813,4.109,2.3893
2009-12-31,223.29,4370314.0,170063.2603,21.8277,4.5571,2.3893
2010-01-31,208.51,13757672.0,158806.7323,20.3829,4.2555,2.3893
2010-02-28,205.81,7092334.0,156746.5018,20.1185,4.2003,2.3893
2010-03-31,224.95,10749363.0,171324.1035,22.0299,3.9871,2.3893
2010-04-30,221.24,6677994.0,168496.9732,21.6664,3.9213,2.3893
2010-05-31,219.72,7972107.0,167346.6074,21.5185,3.8945,2.3893
2010-06-30,230.4,6970770.0,175477.0523,22.5639,4.0837,2.3893
2010-07-31,234.55,10851504.0,178635.6474,22.9701,4.1572,2.3893
2010-08-31,222.62,4747230.0,169549.8274,21.8018,3.9458,2.3893
2010-09-30,221.85,17500670.0,168964.9039,21.7266,3.9322,2.3893
2010-10-31,224.6,8778615.0,171057.6302,21.9957,3.9809,2.3893
2010-11-30,217.51,5020102.0,165663.3357,21.302,3.8554,2.3893
2010-12-31,216.25,5932980.0,164701.4615,21.1783,3.833,2.3893
2011-01-31,205.74,4989949.0,156694.5086,20.1488,3.6466,2.6453
2011-02-28,189.74,8301979.0,144508.6021,18.5818,3.363,2.6453
2011-03-31,204.81,3407701.0,155986.1093,17.7996,3.1584,2.6453
2011-04-30,195.44,8549496.0,148850.0344,16.9853,3.0139,2.6453
2011-05-31,187.13,3180188.0,142519.8541,16.263,2.8857,2.6453
2011-06-30,177.45,3714041.0,135149.826,15.422,2.7365,2.6453
2011-07-31,187.03,2400633.0,142441.8724,16.2541,2.8841,2.6453
2011-08-31,159.48,5190275.0,121462.6159,13.8601,2.4594,2.6453
2011-09-30,165.41,8297402.0,125979.5253,14.3756,2.5508,2.6453
2011-10-31,168.11,5000900.0,128033.2567,14.6099,2.5924,2.6453
2011-11-30,154.09,6041936.0,117355.1531,13.3914,2.3762,2.6453
2011-12-31,143.19,6234047.0,109055.7384,12.4444,2.2081,2.6453
2012-01-31,166.06,9362297.0,126473.4607,14.4319,2.5608,2.6453
2012-02-29,166.05,12330357.0,126466.9615,14.4312,2.5607,2.6453
2012-03-31,162.96,10597617.0,124114.0798,14.3371,2.2342,2.6453
2012-04-30,152.56,7108752.0,116191.6279,13.4219,2.0916,2.6453
2012-05-31,150.43,8283662.0,114566.8429,13.2342,2.0623,2.6453
2012-06-30,157.0,4206686.0,119571.1808,13.8123,2.1524,2.6453
2012-07-31,161.23,6069873.0,122794.7543,14.1847,2.2105,2.6453
2012-08-31,159.82,6082494.0,121722.3962,14.0608,2.1911,2.6453
2012-09-30,163.11,5401740.0,124231.0643,14.3506,2.2363,2.816
2012-10-31,171.36,3798211.0,130509.2337,15.0758,2.3493,2.816
2012-11-30,158.55,3959578.0,120754.0243,13.9489,2.1737,2.816
2012-12-31,157.0,10890709.0,119577.6799,13.8131,2.1525,2.816
2013-01-31,159.52,5813508.0,121494.9263,14.0345,2.1871,2.816
2013-02-28,177.15,17357947.0,134922.1499,15.5856,2.4288,2.9013
2013-03-31,175.88,24186709.0,133953.7861,14.3932,2.1534,2.9013
2013-04-30,191.93,12383660.0,146178.6606,15.7067,2.35,2.9013
2013-05-31,195.3,9643963.0,148745.821,15.9825,2.3912,2.9013
2013-06-30,184.07,5457662.0,140192.9442,15.0635,2.2537,2.9013
2013-07-31,169.53,5384707.0,129118.4025,13.8736,2.0757,2.9013
2013-08-31,177.81,4537500.0,135422.5678,14.551,2.177,2.9867
2013-09-30,183.59,12264623.0,139825.7457,15.0241,2.2478,2.9867
2013-10-31,193.78,6434148.0,147585.7187,15.8579,2.3726,2.9867
2013-11-30,186.23,1368738.0,141833.9799,15.2399,2.2801,2.9867
2013-12-31,186.87,1142406.0,142321.4154,15.2922,2.288,2.9867
2014-01-31,188.1,2235449.0,143257.2915,15.3928,2.303,2.9867
2014-02-28,195.56,887063.0,148940.7894,16.0035,2.3944,3.4133
