PHNX IN Equity,price,volume,mc,pe,bm,div
2006-12-31,122.96,4075340.0,15061.9883,89.1149,29.0969,0.2
2007-01-31,148.24,19004540.0,18160.0117,107.4445,35.0816,0.2
2007-02-28,148.86,2486050.0,18235.35,107.8902,35.2272,0.2
2007-03-31,160.35,2918730.0,19642.875,244.5791,22.4413,0.2
2007-04-30,163.8,9141270.0,19855.4125,249.8414,22.9241,0.2
2007-05-31,199.89,859460.0,19855.4125,304.8888,27.975,0.2
2007-06-30,205.42,916980.0,29242.4681,313.316,28.7482,0.2
2007-07-31,204.0,1390840.0,29041.0316,311.1578,28.5502,0.2
2007-08-31,211.63,9328520.0,40496.1355,322.788,29.6173,0.2
2007-09-30,198.3,2132680.0,37945.7306,302.456,27.7518,0.2
2007-10-31,199.56,1364430.0,54152.601,304.3855,27.9288,0.3
2007-11-30,238.72,1641000.0,64777.7016,364.108,33.4086,0.3
2007-12-31,237.7,5620720.0,64500.9144,362.5522,33.2659,0.3
2008-01-31,200.01,3372670.0,54274.713,305.0719,27.9918,0.3
2008-02-29,207.5,2905678.0,56307.197,316.4962,29.04,0.3
2008-03-31,189.25,1381634.0,51354.8772,92.9975,3.9978,0.3
2008-04-30,194.98,578098.0,52908.4131,95.8108,4.1188,0.3
2008-05-31,168.58,883342.0,45744.5095,82.8378,3.5611,0.3
2008-06-30,77.53,3775462.0,21037.1829,38.0958,1.6377,0.3
2008-07-31,96.28,14249862.0,26125.1826,47.3096,2.0338,0.3
2008-08-31,95.1,6038954.0,25806.3346,46.7322,2.009,0.3
2008-09-30,72.0,18946988.0,20857.7373,35.3808,1.521,0.5
2008-10-31,25.13,6544360.0,7278.4613,12.3464,0.5308,0.5
2008-11-30,31.63,3550770.0,9161.4463,15.5405,0.6681,0.5
2008-12-31,37.98,3084074.0,11000.9778,18.6609,0.8022,0.5
2009-01-31,33.88,1965706.0,9813.2488,16.6462,0.7156,0.5
2009-02-28,27.48,1007734.0,7959.2328,13.5012,0.5804,0.5
2009-03-31,33.92,11398256.0,9827.7333,12.5416,0.6488,0.5
2009-04-30,54.68,3747110.0,15838.8009,20.2126,1.0457,0.5
2009-05-31,68.55,4848426.0,19858.2497,25.342,1.311,0.5
2009-06-30,50.13,7669316.0,14520.7114,18.5305,0.9586,0.5
2009-07-31,59.13,5911286.0,17127.9214,21.8577,1.1308,0.5
2009-08-31,79.83,20068610.0,23124.5044,29.5102,1.5266,0.5
2009-09-30,89.18,10727330.0,25833.106,32.9667,1.7055,0.5
2009-10-31,76.38,11510798.0,22125.0739,28.2348,1.4607,0.5
2009-11-30,92.9,13236234.0,26912.2012,34.3438,1.7767,0.5
2009-12-31,99.5,11894190.0,28824.1552,36.7837,1.9029,0.5
2010-01-31,99.15,14044214.0,28722.7637,36.6543,1.8962,0.5
2010-02-28,90.88,3457160.0,26325.579,33.5952,1.738,0.5
2010-03-31,92.93,6101412.0,26919.4435,43.4229,1.6774,0.5
2010-04-30,106.43,11356884.0,30830.2585,49.7313,1.9211,0.5
2010-05-31,99.2,4258848.0,28737.2482,46.3551,1.7907,0.5
2010-06-30,109.13,12655556.0,31612.4215,50.993,1.9698,0.5
2010-07-31,109.53,6300004.0,31728.2975,51.1799,1.977,0.5
2010-08-31,118.98,6362720.0,34465.868,55.5958,2.1476,0.5
2010-09-30,113.58,5134464.0,32901.542,53.0724,2.0501,0.6
2010-10-31,125.48,3925740.0,36348.8531,58.6332,2.265,0.6
2010-11-30,110.95,5104298.0,32141.1058,51.8458,2.0028,0.6
2010-12-31,111.4,2459382.0,32271.4663,52.0561,2.0109,0.6
2011-01-31,100.08,972846.0,28990.727,46.764,1.8065,0.6
2011-02-28,88.55,4976110.0,25652.0497,41.3785,1.5984,0.6
2011-03-31,91.38,8705570.0,26470.424,31.4544,1.5851,0.6
2011-04-30,102.48,3664012.0,29685.983,35.2754,1.7776,0.6
2011-05-31,93.9,3307602.0,27201.8912,32.3236,1.6289,0.6
2011-06-30,95.0,1978030.0,27520.5502,32.7022,1.6479,0.6
2011-07-31,106.05,3550054.0,30721.6248,36.506,1.8396,0.6
2011-08-31,107.2,1807178.0,31054.7683,36.9019,1.8596,0.6
2011-09-30,107.88,1435578.0,31250.309,37.1343,1.8713,0.9
2011-10-31,100.55,1004636.0,29128.3297,34.6127,1.7442,0.9
2011-11-30,94.0,1934566.0,27230.8602,32.358,1.6306,0.9
2011-12-31,83.18,855902.0,24094.966,28.6317,1.4428,0.9
2012-01-31,90.83,1063146.0,26311.0945,31.2651,1.5755,0.9
2012-02-29,99.08,5778636.0,28701.037,34.105,1.7186,0.9
2012-03-31,104.9,3207668.0,30388.5645,28.7791,1.7766,0.9
2012-04-30,104.88,781408.0,30381.3222,28.7723,1.7761,0.9
2012-05-31,93.73,3665408.0,27151.2698,25.7133,1.5873,0.9
2012-06-30,88.78,1662320.0,25717.3004,24.3553,1.5035,0.9
2012-07-31,92.0,1493724.0,26651.5532,25.2401,1.5581,0.9
2012-08-31,88.28,4126354.0,25572.455,24.2181,1.495,1.0
2012-09-30,98.63,3638288.0,28570.7547,27.0576,1.6703,1.0
2012-10-31,100.35,5820624.0,29070.4714,27.5309,1.6995,1.0
2012-11-30,102.15,4027350.0,29591.9148,28.0247,1.73,1.0
2012-12-31,128.45,9054226.0,37210.7827,35.2401,2.1754,1.0
2013-01-31,136.0,2702512.0,39397.9482,37.3114,2.3033,1.0
2013-02-28,126.08,2561344.0,36522.7671,34.5885,2.1352,1.0
2013-03-31,137.35,4142534.0,39789.0308,47.2806,2.2497,1.0
2013-04-30,135.73,2216248.0,39318.2833,46.7212,2.2231,1.0
2013-05-31,140.53,5560812.0,40708.7991,48.3735,2.3017,1.0
2013-06-30,128.85,1683930.0,37326.6708,44.3546,2.1105,1.0
2013-07-31,122.25,929120.0,35414.711,42.0826,2.0024,1.0
2013-08-31,94.78,2234538.0,27455.4539,32.6248,1.5523,1.1
2013-09-30,115.45,4573420.0,33444.813,39.7418,1.891,1.1
2013-10-31,117.1,2441002.0,33922.8029,40.3098,1.918,1.1
2013-11-30,115.03,2483210.0,33321.6943,39.5955,1.884,1.1
2013-12-31,113.83,6334622.0,32974.0653,39.1824,1.8644,1.1
2014-01-31,101.5,1651192.0,29403.6251,34.9398,1.6625,1.1
2014-02-28,114.28,11059580.0,33104.4262,39.3373,1.8717,1.1
2014-03-31,124.3,4756004.0,36008.5773,28.0271,2.089,1.1
2014-04-30,124.15,1332880.0,35965.1237,27.9932,2.0865,1.1
2014-05-31,138.93,3261992.0,40245.3065,31.3247,2.3348,1.1
2014-06-30,160.6,8419162.0,46524.3565,36.212,2.699,1.1
2014-07-31,176.4,3540682.0,51101.4725,39.7745,2.9646,1.1
2014-08-31,160.95,631572.0,46625.7483,36.2909,2.7049,1.1
2014-09-30,169.38,2527780.0,49086.7182,38.1905,2.8465,1.1
2014-10-31,190.63,1951082.0,55245.1995,42.982,3.2036,1.1
2014-11-30,189.63,1388090.0,54955.3886,42.7565,3.1868,1.1
2014-12-31,186.78,8217656.0,54129.4276,42.1139,3.1389,1.1
2015-01-31,203.1,6809838.0,58860.5902,45.7948,3.4133,1.1
2015-02-28,193.8,2682752.0,56165.1775,43.6979,3.257,1.1
2015-03-31,178.48,6615490.0,51742.2925,145.6939,3.0915,1.1
2015-04-30,182.13,1337774.0,52800.4764,148.6735,3.1547,1.1
2015-05-31,187.33,2376410.0,54308.026,152.9184,3.2448,1.1
2015-06-30,189.15,2291894.0,54852.3455,154.4082,3.2764,1.1
2015-07-31,179.6,3654136.0,54953.5989,146.6122,3.111,1.1
2015-08-31,170.03,1428940.0,52023.8622,138.7959,2.9451,1.1
2015-09-30,161.93,1832616.0,49545.4427,132.1837,2.8048,1.1
2015-10-31,166.98,4768830.0,51090.6302,136.3061,2.8923,1.1
2015-11-30,173.98,2065534.0,53232.4742,142.0204,3.0136,1.1
2015-12-31,167.85,390896.0,51358.3607,137.0204,2.9075,1.1
2016-01-31,150.0,1726512.0,45896.6583,122.449,2.5983,1.1
2016-02-29,121.2,4095222.0,37084.4999,98.9388,2.0994,1.1
2016-03-31,150.15,1424300.0,45942.555,55.4059,2.4586,1.975
2016-04-30,160.55,971072.0,49124.7233,59.2435,2.6289,1.975
2016-05-31,150.23,3037394.0,45965.5033,55.4336,2.4599,1.975
2016-06-30,173.0,2163548.0,52957.4973,63.8376,2.8328,1.975
2016-07-31,180.7,926910.0,55314.5651,66.679,2.9589,1.975
2016-08-31,198.0,4745158.0,60610.3149,73.0627,3.2421,2.2
2016-09-30,193.0,3035016.0,59079.7514,71.2177,3.1603,1.1
2016-10-31,189.8,944146.0,58100.1907,70.0369,3.1079,1.1
2016-11-30,196.63,1944474.0,60189.4099,72.5554,3.2196,1.1
2016-12-31,187.58,1630968.0,57423.0512,69.2159,3.0714,1.1
