TATA IN Equity,price,volume,mc,pe,bm,div
2002-03-31,5.4,136562862.0,35912.9272,18.8876,1.0207,0.2764
2002-04-30,6.15,152069243.0,40896.2366,21.5085,1.1623,0.0
2002-05-31,6.07,138263762.0,40362.9673,21.228,1.1471,0.4422
2002-06-30,7.77,445228475.0,51671.9536,27.1757,1.4686,0.4422
2002-07-31,6.92,424116426.0,46045.0433,24.2164,1.3086,0.4422
2002-08-31,6.83,356091898.0,45456.6083,23.9069,1.2919,0.4422
2002-09-30,6.42,125385122.0,42698.3189,22.4563,1.2135,0.4422
2002-10-31,6.92,141105945.0,46063.4319,24.2261,1.3092,0.4422
2002-11-30,7.71,308066377.0,51322.5703,26.992,1.4586,0.4422
2002-12-31,8.37,396141889.0,55717.4446,29.3034,1.5835,0.4422
2003-01-31,8.41,451334237.0,55956.4964,29.4291,1.5903,0.4422
2003-02-28,8.3,409204866.0,55202.5639,29.0326,1.5689,0.4422
2003-03-31,7.39,446553717.0,49189.4932,4.7762,1.4931,0.4422
2003-04-30,7.31,306291971.0,48619.4467,4.7209,1.4758,0.4422
2003-05-31,8.72,371435073.0,58034.4077,5.635,1.7616,0.4422
2003-06-30,9.35,544560970.0,62413.2373,6.0404,1.8883,0.6633
2003-07-31,11.51,1064488305.0,76803.5196,7.4331,2.3237,0.4422
2003-08-31,13.93,1409616108.0,93020.2608,9.0025,2.8143,0.4422
2003-09-30,15.02,1780817617.0,100252.3001,9.7024,3.0331,0.4422
2003-10-31,19.81,2759696899.0,132261.4538,12.8003,4.0016,0.4422
2003-11-30,19.96,1726062131.0,133220.8059,12.8931,4.0306,0.4422
2003-12-31,24.54,1307993990.0,163846.2785,15.8571,4.9572,0.4422
2004-01-31,22.36,1646347378.0,149234.6073,14.4429,4.5151,0.4422
2004-02-29,23.75,1922474294.0,158551.3926,15.3446,4.797,0.4422
2004-03-31,21.2,1917240919.0,141504.4428,7.8906,3.031,0.4422
2004-04-30,19.78,1210341680.0,132021.6157,7.3618,2.8279,0.4422
2004-05-31,16.37,1959265032.0,109310.7984,6.0954,2.3414,0.4422
2004-06-30,16.63,1658752030.0,110989.6646,6.189,2.3774,0.5527
2004-07-31,21.67,1895868166.0,144640.7864,8.0655,3.0982,0.5527
2004-08-31,20.89,1178330467.0,139419.7006,7.7744,2.9864,0.5527
2004-09-30,23.96,793515190.0,159925.9593,8.9178,3.4256,0.5527
2004-10-31,23.85,751343038.0,159206.4447,8.8777,3.4102,0.5527
2004-11-30,26.81,453656662.0,178993.0965,9.9811,3.834,0.5527
2004-12-31,31.96,519947761.0,213336.0824,11.8961,4.5697,0.5527
2005-01-31,32.04,1887802552.0,213889.5552,11.927,4.5815,0.5527
2005-02-28,35.01,1887203122.0,233703.8806,13.0318,5.0059,0.5527
2005-03-31,33.25,1892737618.0,221970.2577,6.1446,3.0176,0.5527
2005-04-30,28.27,1715156534.0,188706.5438,5.2238,2.5654,0.5527
2005-05-31,30.12,1568469037.0,201076.6604,5.5663,2.7336,0.5527
2005-06-30,28.17,1680868036.0,188042.3764,5.2054,2.5564,1.0778
2005-07-31,30.48,1434935850.0,203484.2669,5.6329,2.7663,1.0778
2005-08-31,32.38,1577508346.0,215610.4646,5.9838,2.9386,1.0778
