SRCM IN Equity,price,volume,mc,pe,bm,div
2013-06-30,4667.2,138633.0,162592.3118,16.1954,4.2302,16.0
2013-07-31,4354.75,220550.0,151707.4137,15.1112,3.947,16.0
2013-08-31,3595.8,636131.0,125267.7025,12.4776,3.2591,16.0
2013-09-30,4123.65,356811.0,143656.5262,14.3093,3.7375,16.0
2013-10-31,4435.35,214090.0,154515.2985,15.3909,4.02,20.0
2013-11-30,4371.0,296359.0,152273.5186,15.1676,3.9617,20.0
2013-12-31,4342.2,273892.0,151270.213,15.0677,3.9356,20.0
2014-01-31,4436.7,596378.0,154562.331,15.3956,4.0213,30.0
2014-02-28,4688.5,233660.0,163334.3382,16.2693,4.2495,30.0
2014-03-31,5670.95,724036.0,197560.1782,19.6785,5.14,30.0
2014-04-30,5701.45,249255.0,198622.7137,19.7843,5.1676,30.0
2014-05-31,6851.05,487312.0,238671.5766,23.7735,6.2096,22.0
2014-06-30,7204.05,583692.0,250969.1177,31.8806,5.3275,22.0
2014-07-31,7394.75,220491.0,257612.5834,32.7245,5.4685,22.0
2014-08-31,7889.5,383988.0,274848.3014,34.9139,5.8344,44.0
2014-09-30,8399.8,550333.0,292625.7317,37.1722,6.2118,44.0
2014-10-31,9089.6,236604.0,316656.4443,40.2248,6.7219,32.0
2014-11-30,8976.55,214988.0,312718.1023,39.7245,6.6383,32.0
2014-12-31,9405.65,217148.0,327666.776,41.6234,6.9556,32.0
2015-01-31,10969.7,354649.0,382153.9341,48.5449,8.1123,22.0
2015-02-28,10528.6,542051.0,366784.8441,46.5929,7.7861,22.0
2015-03-31,10793.8,463747.0,376026.0528,47.7665,7.9822,22.0
2015-04-30,10192.85,442467.0,355090.6148,45.1071,7.5378,22.0
2015-05-31,11336.2,1818105.0,394921.7777,50.1668,8.3833,22.0
2015-06-30,11341.05,348286.0,395090.7252,92.6784,7.488,22.0
2015-07-31,11421.35,246624.0,397888.148,93.3346,7.541,22.0
2015-08-31,10779.7,245196.0,375534.861,88.091,7.1174,12.0
2015-09-30,11740.05,270956.0,408990.7788,95.939,7.7515,12.0
2015-10-31,12272.05,248069.0,427524.1834,100.2864,8.1027,0.0
2015-11-30,11107.25,243828.0,386945.7881,90.7678,7.3336,14.0
2015-12-31,11499.2,204718.0,400600.2457,93.9707,7.5924,14.0
2016-01-31,10549.75,248132.0,367524.0341,86.2119,6.9656,14.0
2016-02-29,10003.7,203943.0,348501.1729,81.7496,6.605,26.0
2016-03-31,12420.5,380893.0,432695.7763,99.6752,7.0013,38.0
2016-04-30,12693.9,218243.0,442220.2872,99.6752,7.1554,38.0
2016-05-31,13129.95,249936.0,457411.0534,99.6752,7.4012,38.0
2016-06-30,14546.45,270263.0,506757.9853,99.6752,8.1997,38.0
2016-07-31,16110.25,371287.0,561236.4341,99.6752,9.0812,38.0
2016-08-31,17174.8,298557.0,598322.4323,99.6752,9.6812,54.0
2016-09-30,17042.7,296946.0,593720.3802,99.6752,9.6068,54.0
2016-10-31,16888.65,229139.0,588353.7446,99.6752,9.5199,54.0
2016-11-30,15571.6,482990.0,542471.3488,99.6752,8.7775,40.0
2016-12-31,14733.4,404666.0,513270.8114,99.6752,8.3051,40.0
2017-01-31,15456.1,378136.0,538447.6491,99.6752,8.7124,40.0
2017-02-28,16111.25,367955.0,561271.2714,99.6752,9.0817,128.0
2017-03-31,17083.2,379842.0,595131.2879,44.4435,7.731,116.0
2017-04-30,19187.55,367759.0,668441.0607,49.9182,8.6833,116.0
2017-05-31,18004.85,460897.0,627239.0442,46.8413,8.1481,116.0
2017-06-30,16953.3,305338.0,590605.9583,44.1056,7.6722,116.0
2017-07-31,18601.7,337923.0,648031.643,48.394,8.4182,140.0
2017-08-31,17591.05,345501.0,612823.3997,45.7647,7.9608,124.0
2017-09-30,18580.1,489001.0,647279.1589,48.3378,8.4084,124.0
2017-10-31,18930.4,343214.0,659482.6395,49.2492,8.5669,124.0
2017-11-30,17197.45,615647.0,599111.4351,44.7408,7.7827,124.0
2017-12-31,18074.5,821074.0,629665.4233,47.0225,8.1796,124.0
2018-01-31,17206.3,667967.0,599419.7445,44.7638,7.7867,144.0
