HYUNDAI IN Equity,price,volume,mc,pe,bm,div
2024-10-31,1822.55,51644290.0,1480896.782,24.4375,13.8847,0.0
2024-11-30,1916.55,18341845.0,1557275.645,25.6979,14.6008,0.0
2024-12-31,1806.1,10043371.0,1467530.481,24.2169,13.7594,0.0
2025-01-31,1677.55,17891771.0,1363078.322,22.4933,12.7801,0.0
2025-02-28,1729.9,58728633.0,1405614.849,23.1952,13.1789,0.0
2025-03-31,1707.65,19749671.0,1387535.809,24.6024,8.5143,0.0
2025-04-30,1707.6,18006654.0,1387495.182,24.6016,8.5141,0.0
2025-05-31,1847.2,16917731.0,1500925.92,26.6129,9.2101,0.0
2025-06-30,2219.7,36568769.0,1803597.48,31.9795,11.0674,0.0
2025-07-31,2151.8,13026653.0,1748425.939,31.0013,10.7289,0.0
2025-08-31,2460.4,20507217.0,1999176.122,35.4473,12.2675,21.0
2025-09-30,2584.4,18394134.0,2099931.219,37.2338,12.8858,21.0
2025-10-31,2438.7,27538764.0,1981543.981,35.1347,12.1593,21.0
2025-11-30,2326.0,14552418.0,1889970.599,33.511,11.5974,21.0
2025-12-31,2298.0,16181769.0,1867219.448,33.1076,11.4578,21.0
2026-01-31,2196.2,13153270.0,1784502.764,31.641,10.9502,21.0
2026-02-28,2165.4,10731581.0,1759476.498,31.1972,10.7967,21.0
2026-03-31,2134.9,2262193.0,1734693.915,30.7578,10.6446,21.0
