ENGR IN Equity,price,volume,mc,pe,bm,div
2002-03-31,21.9,16302192.0,14756.04,53.7954,2.0314,0.5583
2002-04-30,26.03,41315064.0,17540.7633,63.9505,2.4148,0.5583
2002-05-31,28.75,80574672.0,19377.1103,70.6455,2.6676,0.5583
2002-06-30,31.14,49880160.0,20986.0197,76.5112,2.8891,0.5583
2002-07-31,26.2,20797008.0,17658.6939,64.3804,2.4311,0.5583
2002-08-31,26.5,9707460.0,17860.8605,65.1175,2.4589,0.5583
2002-09-30,25.28,34055592.0,17032.5389,62.0976,2.3449,0.2292
2002-10-31,22.63,12162900.0,15252.3494,55.6073,2.0998,0.2292
2002-11-30,18.25,14246676.0,12301.2781,44.8482,1.6935,0.2292
2002-12-31,23.58,21015108.0,15886.928,57.9209,2.1871,0.2292
2003-01-31,22.72,5836260.0,15308.5068,55.8121,2.1075,0.2292
2003-02-28,21.8,3569640.0,14690.7754,53.5599,2.0225,0.2292
2003-03-31,20.42,2563836.0,13761.3704,21.7056,1.8002,0.2292
2003-04-30,20.83,1185576.0,14039.3496,22.1441,1.8366,0.2292
2003-05-31,24.31,2352216.0,16383.9209,25.8421,2.1433,0.2292
2003-06-30,27.35,5809776.0,18428.0502,29.0663,2.4107,0.2292
2003-07-31,24.63,3924264.0,16597.319,26.1787,2.1712,0.2292
2003-08-31,25.08,2361360.0,16900.569,26.657,2.2108,0.2292
2003-09-30,24.4,5085336.0,16445.6941,25.9396,2.1513,0.3333
2003-10-31,29.49,11037228.0,19874.1032,31.3472,2.5998,0.3333
2003-11-30,32.59,4186644.0,21960.3506,34.6378,2.8727,0.3333
2003-12-31,32.67,3744240.0,22013.7001,34.7219,2.8797,0.3333
2004-01-31,33.56,6717576.0,22617.3921,35.6741,2.9587,0.3333
2004-02-29,27.05,1968756.0,18225.8836,28.7474,2.3842,0.3333
2004-03-31,26.77,1981824.0,18040.5642,21.9341,2.24,0.3333
2004-04-30,29.43,2739456.0,19831.9852,24.1121,2.4624,0.3333
2004-05-31,17.92,2383776.0,12076.6485,14.683,1.4995,0.3333
2004-06-30,18.88,4698972.0,12722.4586,15.4682,1.5797,0.3333
2004-07-31,19.35,3679224.0,13036.94,15.8506,1.6187,0.3333
2004-08-31,20.76,2518140.0,13991.6158,17.0113,1.7373,0.3333
2004-09-30,23.96,9409248.0,16148.0599,19.6331,2.005,0.5417
2004-10-31,23.59,2399100.0,15898.1594,19.3293,1.974,0.5417
2004-11-30,28.03,2595816.0,18885.733,22.9616,2.3449,0.5417
2004-12-31,27.46,1750236.0,18503.8627,22.4973,2.2975,0.5417
2005-01-31,27.54,4944468.0,18560.0201,22.5656,2.3045,0.5417
2005-02-28,28.86,3650700.0,19447.307,23.6444,2.4147,0.5417
2005-03-31,27.25,4316580.0,18363.4692,15.5592,2.0792,0.5417
2005-04-30,32.34,16948152.0,21791.8784,18.464,2.4673,0.5417
2005-05-31,33.18,13740024.0,22361.876,18.947,2.5319,0.5417
2005-06-30,30.7,11756004.0,20688.3855,17.5291,2.3424,0.5417
2005-07-31,32.75,5169492.0,22067.0496,18.6972,2.4985,0.5417
2005-08-31,36.96,19735860.0,24908.614,21.1048,2.8202,0.5417
2005-09-30,45.13,20845428.0,30409.2311,25.7654,3.443,0.625
2005-10-31,50.89,81824940.0,34291.7232,29.0557,3.8827,0.625
2005-11-30,54.88,9488748.0,36984.4083,31.3372,4.1876,0.625
2005-12-31,55.8,5643996.0,37599.3176,31.8582,4.2572,0.625
2006-01-31,69.78,39399624.0,47022.3114,39.8424,5.3241,0.625
2006-02-28,65.55,4985880.0,44169.5814,37.4253,5.0011,0.5
2006-03-31,71.57,15016812.0,48229.6675,33.7687,4.9492,0.5
