3M IN Equity,price,volume,mc,pe,bm,div
2016-02-29,10382.15,49886.0,116955.6503,107.9562,14.4798,0.0
2016-03-31,10724.95,38873.0,120817.3142,62.0334,12.2275,0.0
2016-04-30,13323.85,77418.0,150094.0982,77.0655,15.1905,0.0
2016-05-31,12415.15,32733.0,139857.5376,71.8095,14.1545,0.0
2016-06-30,12823.35,18960.0,144455.9307,74.1706,14.6199,0.0
2016-07-31,14619.65,32574.0,164691.3843,84.5604,16.6678,0.0
2016-08-31,12880.8,40135.0,145103.111,74.5029,14.6854,0.0
2016-09-30,12883.9,34764.0,145138.0391,74.5208,14.6889,0.0
2016-10-31,13296.35,16954.0,149784.3088,76.9064,15.1591,0.0
2016-11-30,11293.45,25711.0,127221.5065,65.3216,12.8756,0.0
2016-12-31,11123.1,113185.0,125302.4955,64.3363,12.6814,0.0
2017-01-31,11957.5,25440.0,134702.0741,69.1625,13.6327,0.0
2017-02-28,11164.8,24881.0,125772.251,64.5775,12.729,0.0
2017-03-31,11567.55,37450.0,130309.2579,54.1248,12.819,0.0
2017-04-30,11499.7,28632.0,129544.9271,53.8073,12.819,0.0
2017-05-31,13835.2,138478.0,155854.4959,64.7352,12.819,0.0
2017-06-30,13236.5,43268.0,149110.0985,61.9338,12.819,0.0
2017-07-31,13378.25,35779.0,150706.9222,62.5971,12.819,0.0
2017-08-31,14743.8,46974.0,166089.9385,68.9865,12.819,0.0
2017-09-30,14301.4,30384.0,161106.2715,66.9165,12.819,0.0
2017-10-31,14190.3,19075.0,159854.7223,66.3967,12.819,0.0
2017-11-30,15441.15,44875.0,173945.6356,72.2494,12.819,0.0
2017-12-31,19126.45,60017.0,215460.7981,89.493,12.819,0.0
2018-01-31,18796.15,60192.0,211739.9455,87.9475,12.819,0.0
2018-02-28,20717.4,103177.0,233382.9612,96.9371,12.819,0.0
2018-03-31,19412.85,37524.0,218687.1141,70.4232,14.2313,0.0
2018-04-30,20524.1,33798.0,231205.4232,74.4544,15.0459,0.0
2018-05-31,19543.6,54017.0,220160.0221,70.8975,14.3271,0.0
2018-06-30,19637.1,37168.0,221213.3061,71.2367,14.3957,0.0
2018-07-31,23420.9,57491.0,263838.078,84.963,17.1695,0.0
2018-08-31,25945.0,110721.0,292272.2412,94.1196,19.0199,0.0
2018-09-30,22568.05,45759.0,254230.663,81.8692,16.5443,0.0
2018-10-31,19842.75,57228.0,223529.9677,71.9827,14.5464,0.0
2018-11-30,21634.0,25200.0,243708.5244,78.4807,15.8596,0.0
2018-12-31,20824.4,94291.0,234588.3237,75.5438,15.266,0.0
2019-01-31,20151.6,46368.0,227009.1846,73.1031,14.7728,0.0
2019-02-28,22896.25,59969.0,257927.859,83.0597,16.7849,0.0
2019-03-31,24260.85,154114.0,273300.1735,79.6456,19.0741,0.0
2019-04-30,22926.7,69577.0,258270.8804,75.2657,18.0252,0.0
2019-05-31,22741.8,42607.0,256187.9689,74.6587,17.8798,0.0
2019-06-30,23215.8,29106.0,261527.6121,76.2148,18.2524,0.0
2019-07-31,21107.9,30401.0,237781.9711,69.2948,16.5952,0.0
2019-08-31,20233.45,27311.0,227931.2306,66.4241,15.9077,0.0
2019-09-30,20671.05,392151.0,232860.8252,67.8607,16.2517,0.0
2019-10-31,22488.2,345801.0,253331.1472,73.8262,17.6804,0.0
2019-11-30,22241.75,34393.0,250554.8707,73.0171,17.4866,0.0
2019-12-31,21304.7,25514.0,239998.9368,69.9409,16.7499,0.0
2020-01-31,22981.25,70322.0,258885.3899,75.4448,18.068,0.0
2020-02-29,20575.25,141413.0,231781.6315,67.5462,16.1764,0.0
2020-03-31,18827.95,326198.0,212098.1747,65.8343,12.1139,0.0
2020-04-30,19400.2,138783.0,218544.611,67.8352,12.482,0.0
2020-05-31,18299.15,59763.0,206141.2057,63.9853,11.7736,0.0
2020-06-30,18795.25,220137.0,211729.8069,65.72,12.0928,0.0
2020-07-31,21078.0,144858.0,237445.1455,73.7019,13.5615,0.0
2020-08-31,20264.45,79621.0,228280.4478,70.8572,13.0381,0.0
2020-09-30,18307.15,102313.0,206231.3263,64.0133,11.7788,0.0
2020-10-31,18675.35,63036.0,210379.125,65.3007,12.0157,0.0
2020-11-30,21866.9,194039.0,246332.1592,76.4604,14.0691,0.0
2020-12-31,20830.55,110870.0,234657.6039,72.8366,13.4023,0.0
2021-01-31,19161.5,152551.0,215855.6388,67.0006,12.3285,0.0
2021-02-28,22832.75,212075.0,257212.527,79.8376,14.6905,0.0
2021-03-31,30436.65,190640.0,342870.9928,211.1603,17.9483,0.0
2021-04-30,25537.95,111030.0,287686.7944,177.1746,15.0595,0.0
2021-05-31,25536.15,85293.0,287666.5173,177.1621,15.0585,0.0
2021-06-30,24331.55,60317.0,274096.614,168.805,14.3481,0.0
2021-07-31,24660.9,55502.0,277806.7648,171.0899,14.5424,0.0
2021-08-31,24391.45,156983.0,274771.3917,169.2205,14.3835,0.0
2021-09-30,24832.5,114183.0,279739.8508,172.2804,14.6435,0.0
2021-10-31,25400.7,149959.0,286140.6635,176.2224,14.9786,0.0
2021-11-30,25034.4,59940.0,282014.2684,173.6811,14.7626,0.0
2021-12-31,25360.8,75836.0,285691.1873,175.9456,14.9551,0.0
2022-01-31,24989.9,61942.0,281512.9728,173.3724,14.7364,0.0
2022-02-28,21208.4,70452.0,238914.1106,147.1375,12.5064,0.0
2022-03-31,19697.3,171645.0,221891.4633,81.586,10.1619,0.0
2022-04-30,19964.55,56287.0,224902.0533,82.6929,10.2997,0.0
2022-05-31,20193.8,168250.0,227484.5706,83.6425,10.418,0.0
2022-06-30,21854.05,226446.0,246187.403,90.5192,11.2745,0.0
2022-07-31,22742.8,63783.0,256199.234,94.2004,11.733,0.0
2022-08-31,23314.35,130070.0,262637.7848,96.5677,12.0279,0.0
2022-09-30,24606.3,126945.0,277191.6919,101.919,12.6944,0.0
2022-10-31,23288.3,90987.0,262344.3297,96.4598,12.0145,0.0
2022-11-30,23353.5,118599.0,263078.8122,96.7299,12.0481,850.0
2022-12-31,21943.1,44778.0,247190.5575,90.888,11.3205,850.0
2023-01-31,23329.05,59610.0,262803.3813,96.6286,12.0355,850.0
2023-02-28,22888.85,247181.0,257844.4975,94.8053,11.8084,850.0
2023-03-31,22963.85,73849.0,258689.3777,57.3566,15.4214,850.0
2023-04-30,22548.2,67577.0,254007.0514,56.3184,15.1423,850.0
2023-05-31,25153.45,101620.0,283355.375,62.8255,16.8918,850.0
2023-06-30,27012.7,93154.0,304299.9564,67.4693,18.1404,850.0
2023-07-31,28922.55,82206.0,325814.5503,72.2396,19.423,950.0
2023-08-31,31153.55,106532.0,350946.9215,77.8119,20.9212,950.0
2023-09-30,31805.85,89874.0,358295.1267,79.4411,21.3593,950.0
2023-10-31,29762.7,44709.0,335278.8989,74.338,19.9872,950.0
2023-11-30,31037.8,59730.0,349642.9896,77.5228,20.8435,100.0
2023-12-31,37309.15,220399.0,420290.1864,93.1867,25.055,100.0
2024-01-31,34408.35,111348.0,387612.4713,85.9414,23.107,100.0
2024-02-29,31977.65,110149.0,360230.4657,79.8702,21.4746,100.0
2024-03-31,31193.35,119390.0,351395.2713,60.2304,16.3675,100.0
2024-04-30,30468.1,96042.0,343225.2793,58.8301,15.987,100.0
2024-05-31,33385.0,361887.0,376084.362,64.4623,17.5175,100.0
2024-06-30,36804.3,188163.0,414603.0158,71.0645,19.3117,100.0
2024-07-31,39285.8,181037.0,442557.287,75.856,20.6137,685.0
2024-08-31,35663.65,118964.0,401753.5137,68.862,18.7132,685.0
2024-09-30,33834.0,132041.0,381142.3784,65.3292,17.7531,685.0
2024-10-31,36047.6,103898.0,406078.7373,69.6034,18.9146,685.0
2024-11-30,32245.3,105450.0,363245.5617,62.2616,16.9195,685.0
2024-12-31,30393.15,106129.0,342380.9623,58.6854,15.9477,685.0
2025-01-31,29892.25,171054.0,336738.2887,57.7182,15.6848,685.0
2025-02-28,26297.3,181825.0,296240.9253,50.7768,13.7985,685.0
2025-03-31,28889.15,107137.0,325438.297,68.3597,17.6246,685.0
2025-04-30,30110.0,86041.0,339191.2577,71.2486,18.3694,685.0
2025-05-31,29275.0,96115.0,329784.9243,69.2727,17.86,685.0
2025-06-30,28500.0,63411.0,321054.495,67.4389,17.3872,685.0
2025-07-31,30755.0,171506.0,346457.2278,72.7748,18.7629,535.0
2025-08-31,30760.0,150779.0,346513.5532,72.7867,18.766,535.0
2025-09-30,29445.0,109244.0,331699.9862,69.675,17.9637,535.0
2025-10-31,29560.0,55798.0,332995.4692,69.9471,18.0339,535.0
2025-11-30,34840.0,459271.0,392475.0388,82.4411,21.2551,535.0
2025-12-31,35115.0,82582.0,395572.9331,83.0918,21.4229,535.0
2026-01-31,34235.0,79115.0,385659.6714,81.0095,20.886,535.0
2026-02-28,37505.0,115767.0,422496.4504,88.7472,22.881,535.0
2026-03-31,34530.0,14788.0,388982.8671,81.7075,21.066,535.0
