3M IN Equity,price,volume,mc,pe,bm,div
2011-03-31,3364.7,13839.0,37903.346,38.3616,7.027,0.0
2011-04-30,4107.2,17504.0,46267.6115,46.827,8.5777,0.0
2011-05-31,3929.9,170582.0,44270.3234,44.8056,8.2074,0.0
2011-06-30,4187.3,10609.0,47169.9338,47.7403,8.745,0.0
2011-07-31,4501.2,17719.0,50706.0217,51.3191,9.4005,0.0
2011-08-31,4602.6,255119.0,51848.292,52.4752,9.6123,0.0
2011-09-30,4156.4,10267.0,46821.846,47.388,8.6804,0.0
2011-10-31,4270.1,8492.0,48102.6794,48.6843,8.9179,0.0
2011-11-30,3814.6,101512.0,42971.4717,43.4911,7.9666,0.0
2011-12-31,3544.05,14091.0,39923.7252,40.4065,7.4016,0.0
2012-01-31,3597.75,10134.0,40528.655,41.0187,7.5137,0.0
2012-02-29,3800.0,22009.0,42807.0013,43.3246,7.9361,0.0
2012-03-31,3657.45,23118.0,41201.1748,63.6078,6.8195,0.0
2012-04-30,4084.95,15155.0,46017.3676,71.0426,7.6166,0.0
2012-05-31,3590.25,12404.0,40444.5236,62.4391,6.6942,0.0
2012-06-30,3887.85,7225.0,43797.0186,67.6148,7.2491,0.0
2012-07-31,3696.35,128470.0,41639.752,64.2844,6.892,0.0
2012-08-31,4047.5,11638.0,45595.4903,70.3913,7.5468,0.0
2012-09-30,4047.35,15491.0,45593.802,70.3887,7.5465,0.0
2012-10-31,3835.65,21409.0,43208.9776,66.707,7.1518,0.0
2012-11-30,4116.1,26013.0,46368.2776,71.5844,7.6747,0.0
2012-12-31,4061.55,34910.0,45753.7657,70.6357,7.573,0.0
2013-01-31,3961.45,23919.0,44626.1278,68.8948,7.3863,0.0
2013-02-28,3521.25,30029.0,39667.2317,61.2391,6.5655,0.0
2013-03-31,3756.5,48366.0,42317.3464,80.9591,6.4465,0.0
2013-04-30,3531.35,12007.0,39781.0106,76.1067,6.0601,0.0
2013-05-31,3592.3,13457.0,40467.6177,77.4203,6.1647,0.0
2013-06-30,3475.0,107744.0,39146.1181,74.8922,5.9634,0.0
2013-07-31,3440.95,102054.0,38762.5418,74.1584,5.905,0.0
2013-08-31,2984.3,100395.0,33618.349,64.3168,5.1213,0.0
2013-09-30,3040.45,58544.0,34250.8813,65.5269,5.2177,0.0
2013-10-31,3310.05,10368.0,37287.9455,71.3373,5.6804,0.0
2013-11-30,3306.1,9554.0,37243.4492,71.2522,5.6736,0.0
2013-12-31,3650.0,57225.0,41117.5054,78.6638,6.2637,0.0
2014-01-31,3610.0,10639.0,40666.9026,77.8017,6.1951,0.0
2014-02-28,3674.35,7050.0,41391.8112,79.1886,6.3055,0.0
2014-03-31,3527.55,10878.0,39738.0982,92.441,5.6815,0.0
2014-04-30,3753.65,26612.0,42285.1285,98.3661,6.0457,0.0
2014-05-31,4396.05,13693.0,49521.8087,115.2005,7.0803,0.0
2014-06-30,4500.9,78006.0,50702.952,117.9481,7.2492,0.0
2014-07-31,4903.35,38437.0,55236.5822,128.4945,7.8974,0.0
2014-08-31,5909.95,56311.0,66576.0023,154.8729,9.5187,0.0
2014-09-30,6297.15,35083.0,70937.8339,165.0197,10.1423,0.0
2014-10-31,6199.8,10119.0,69841.1786,162.4685,9.9855,0.0
2014-11-30,6302.65,46038.0,70999.7918,165.1638,10.1511,0.0
2014-12-31,6450.05,30442.0,72660.2624,169.0265,10.3885,0.0
2015-01-31,6812.7,23655.0,76745.5442,178.5299,10.9726,0.0
2015-02-28,7840.45,34702.0,88322.6741,205.4625,12.6279,0.0
2015-03-31,7935.3,36014.0,89391.7076,82.5133,11.0673,0.0
2015-04-30,7958.75,32804.0,89655.8756,82.7571,11.1,0.0
2015-05-31,7986.05,12781.0,89963.4099,83.041,11.138,0.0
2015-06-30,8331.3,26372.0,93852.6753,86.631,11.6196,0.0
2015-07-31,8688.05,53181.0,97871.489,90.3405,12.1171,0.0
2015-08-31,10788.95,121781.0,121538.2787,112.1862,15.0472,0.0
2015-09-30,10948.0,27243.0,123329.9859,113.8401,15.269,0.0
2015-10-31,11675.1,27194.0,131520.8141,121.4006,16.2831,0.0
2015-11-30,11451.85,20881.0,129005.8872,119.0792,15.9717,0.0
2015-12-31,11397.55,33744.0,128394.196,118.5146,15.896,0.0
2016-01-31,9881.15,17540.0,111311.8503,102.7467,13.7811,0.0
