DIVI IN Equity,price,volume,mc,pe,bm,div
2006-03-31,93.81,23975040.0,24049.1628,34.5862,7.0759,0.4
2006-04-30,94.6,18859920.0,24108.7697,34.8793,7.1359,0.4
2006-05-31,69.0,17326240.0,17690.4467,25.4414,5.205,0.4
2006-06-30,65.15,13707500.0,16701.484,24.0192,4.914,0.4
2006-07-31,76.65,14593120.0,19649.785,28.2592,5.7815,0.4
2006-08-31,89.59,19954120.0,22967.2645,33.0303,6.7576,0.5
2006-09-30,110.33,99087880.0,28285.7431,40.679,8.3224,0.5
2006-10-31,134.48,35132020.0,34477.1751,49.5832,10.1441,0.5
2006-11-30,150.25,58966320.0,38520.193,55.3976,11.3337,0.5
2006-12-31,152.79,71671500.0,39172.0239,56.3351,11.5255,0.5
2007-01-31,161.62,43846220.0,41433.8835,59.5879,12.191,0.5
2007-02-28,145.43,48974900.0,37283.1885,53.6186,10.9697,0.5
2007-03-31,153.74,53666380.0,39414.9383,21.2134,7.4148,0.5
2007-04-30,182.39,41467100.0,47098.2043,25.1666,8.7966,0.5
2007-05-31,248.74,83654880.0,64232.9231,34.3225,11.9969,0.5
2007-06-30,292.52,120171040.0,75538.1448,40.3633,14.1084,0.5
2007-07-31,335.04,119794300.0,86516.7081,46.2297,16.1589,0.5
2007-08-31,293.59,45236612.0,75812.6285,40.5099,14.1597,0.5
2007-09-30,305.02,22555516.0,78765.9947,42.0881,14.7113,0.5
2007-10-31,430.4,37100624.0,111141.3298,59.3877,20.7581,0.5
2007-11-30,406.09,20102888.0,104863.1617,56.033,19.5855,0.5
2007-12-31,469.03,13306472.0,121115.3862,64.7173,22.621,0.5
2008-01-31,352.48,14916792.0,91018.9132,48.6354,16.9998,0.5
2008-02-29,343.86,7776532.0,88794.9246,47.447,16.5844,0.5
2008-03-31,317.21,8194468.0,81913.1484,23.5655,9.5094,0.5
2008-04-30,375.45,11062056.0,96951.7054,27.8919,11.2552,0.5
2008-05-31,370.36,12162832.0,95809.8067,27.514,11.1027,0.0
2008-06-30,334.21,19926700.0,86458.0954,24.8284,10.019,1.0
2008-07-31,351.26,7700632.0,90868.7978,26.095,10.5301,1.0
2008-08-31,381.61,12150508.0,98798.0957,28.3497,11.4399,1.0
2008-09-30,333.8,18152852.0,86419.6119,24.7978,10.0066,1.0
2008-10-31,276.42,10025480.0,71565.3217,20.5354,8.2866,1.0
2008-11-30,306.61,10291864.0,79410.7901,22.778,9.1916,1.0
2008-12-31,333.81,7316284.0,86455.4306,24.7987,10.007,1.0
2009-01-31,221.2,41626296.0,57289.9157,16.4328,6.6311,1.0
2009-02-28,217.1,21502468.0,56235.85,16.1282,6.5082,1.0
2009-03-31,236.08,18666656.0,61150.9825,14.6676,4.926,1.0
2009-04-30,213.5,14431016.0,55380.1916,13.265,4.455,1.0
2009-05-31,287.74,16649856.0,74636.8011,17.8774,6.004,1.0
2009-06-30,278.49,14104496.0,72237.4251,17.3027,5.811,1.5
2009-07-31,268.02,10535690.0,69523.5403,16.6527,5.5927,1.5
2009-08-31,263.23,19703610.0,68731.7362,16.3545,5.4926,1.5
2009-09-30,283.08,22735770.0,73914.8494,17.5878,5.9068,1.5
2009-10-31,266.68,19403196.0,69632.5796,16.5688,5.5645,1.5
2009-11-30,302.65,11931802.0,79139.7054,18.804,6.3152,1.5
2009-12-31,338.4,17796430.0,88487.9442,21.0252,7.0612,1.5
2010-01-31,305.52,11547220.0,79891.4868,18.9826,6.3752,1.5
2010-02-28,311.5,11138532.0,81598.9783,19.3538,6.4999,1.5
2010-03-31,339.15,10805054.0,88842.0337,25.9786,5.9055,1.5
2010-04-30,336.78,9313968.0,89005.6613,25.7966,5.8641,1.5
2010-05-31,371.7,11118494.0,98235.9269,28.4718,6.4722,1.5
2010-06-30,386.73,7130792.0,102206.8572,29.6227,6.7339,1.5
2010-07-31,374.88,6743028.0,99075.042,28.7151,6.5275,3.0
2010-08-31,371.98,7777772.0,98596.5894,28.4929,6.477,3.0
2010-09-30,344.93,9188630.0,91426.6512,26.4209,6.006,3.0
2010-10-31,346.15,6629864.0,91751.3527,26.5147,6.0274,3.0
2010-11-30,308.48,11697472.0,81786.223,23.6289,5.3713,3.0
2010-12-31,323.43,7202856.0,85749.9285,24.774,5.6317,3.0
2011-01-31,317.43,3848966.0,84159.1437,24.3144,5.5272,3.0
2011-02-28,294.75,9034812.0,78164.8072,22.5776,5.1323,3.0
2011-03-31,337.48,4896010.0,89495.0579,20.8189,4.9789,3.0
2011-04-30,353.4,6156342.0,93718.2116,21.8014,5.2139,3.0
2011-05-31,387.93,29349476.0,102873.9027,23.9312,5.7232,3.0
2011-06-30,393.75,10024064.0,104461.8702,24.2906,5.8092,5.0
2011-07-31,412.23,7678786.0,109363.2875,25.4303,6.0817,5.0
2011-08-31,362.6,6707614.0,96216.9966,22.3689,5.3496,5.0
2011-09-30,367.75,5107236.0,97583.5646,22.6866,5.4256,5.0
2011-10-31,385.48,4280780.0,102286.9465,23.7801,5.6871,5.0
2011-11-30,374.1,6307106.0,99288.4553,23.0783,5.5193,5.0
2011-12-31,388.33,6681444.0,103063.8583,23.9559,5.7291,5.0
2012-01-31,392.7,7499640.0,104225.0104,24.2258,5.7937,5.0
2012-02-29,363.9,10698516.0,96581.3122,22.4491,5.3688,5.0
2012-03-31,383.03,6568086.0,101673.8273,19.0607,4.7704,5.0
2012-04-30,428.1,7458178.0,113638.9673,21.3038,5.3317,5.0
2012-05-31,466.75,12294586.0,123898.5938,23.2272,5.8131,5.0
2012-06-30,512.58,8771768.0,136062.821,25.5076,6.3838,5.0
2012-07-31,548.35,7716788.0,145559.2716,27.2879,6.8294,6.5
2012-08-31,569.97,10827782.0,151299.6189,28.364,7.0987,6.5
2012-09-30,541.3,13341944.0,143687.8603,26.937,6.7416,6.5
2012-10-31,599.58,10662638.0,159156.9349,29.837,7.4674,6.5
2012-11-30,592.45,19698900.0,157265.6066,29.4825,7.3786,6.5
2012-12-31,552.2,15382964.0,146581.2608,27.4795,6.8773,6.5
2013-01-31,525.1,7290746.0,139387.5688,26.1309,6.5398,6.5
2013-02-28,505.0,5591646.0,134052.0404,25.1306,6.2895,6.5
2013-03-31,493.75,7089162.0,131075.12,21.7751,5.2418,6.5
2013-04-30,537.42,5555562.0,142669.461,23.7012,5.7054,6.5
2013-05-31,488.8,8931648.0,129761.0504,21.5568,5.1892,6.5
2013-06-30,495.55,6690048.0,131552.9483,21.8545,5.2609,6.5
2013-07-31,468.35,8719402.0,124332.2033,20.6549,4.9721,7.5
2013-08-31,497.13,8139038.0,131971.0613,21.9239,5.2776,7.5
2013-09-30,485.18,8007780.0,128798.7119,21.3969,5.1507,7.5
2013-10-31,486.25,7542218.0,129084.0907,21.4443,5.1621,7.5
2013-11-30,576.15,14459532.0,152949.7231,25.409,6.1165,7.5
2013-12-31,610.67,8053840.0,162115.0171,26.9316,6.4831,7.5
2014-01-31,657.75,9626020.0,174611.9499,29.0077,6.9828,7.5
2014-02-28,712.28,8234168.0,189086.6318,31.4123,7.5617,7.5
2014-03-31,682.95,8347564.0,181301.7578,23.4449,6.1181,7.5
2014-04-30,690.63,6503328.0,183339.229,23.7084,6.1869,7.5
2014-05-31,637.6,8240752.0,169262.75,21.8881,5.7119,7.5
2014-06-30,729.58,11583110.0,193679.2297,25.0455,6.5358,7.5
2014-07-31,737.97,7149178.0,195909.1574,25.3338,6.6111,10.0
2014-08-31,782.38,7541722.0,207695.97,26.8581,7.0088,10.0
2014-09-30,900.18,8852628.0,238968.1672,30.902,8.0641,10.0
2014-10-31,937.75,4923772.0,248943.1486,32.1919,8.4007,10.0
2014-11-30,863.9,8161972.0,229338.3032,29.6567,7.7392,10.0
2014-12-31,861.63,6209102.0,228734.354,29.5786,7.7188,10.0
2015-01-31,871.18,6849966.0,231269.5788,29.9065,7.8043,10.0
2015-02-28,860.58,7240638.0,228455.113,29.5426,7.7094,10.0
2015-03-31,892.72,7732924.0,236990.4181,55.6562,6.7801,10.0
2015-04-30,861.72,6270264.0,228760.8925,53.7235,6.5447,10.0
2015-05-31,909.95,9419546.0,241563.1224,56.73,6.911,10.0
2015-06-30,939.93,6125504.0,249520.5427,58.5988,7.1386,10.0
2015-07-31,980.8,5516758.0,260371.5704,61.1471,7.4491,10.0
2015-08-31,1182.05,15221438.0,313797.1361,73.6939,8.9775,10.0
2015-09-30,1114.95,18223958.0,295984.1621,69.5106,8.4679,10.0
2015-10-31,1153.85,8023140.0,306310.9059,71.9358,8.7634,10.0
2015-11-30,1150.3,6744325.0,305368.5091,71.7145,8.7364,10.0
2015-12-31,1154.85,5592935.0,306576.3745,71.9981,8.771,10.0
2016-01-31,1140.95,6490662.0,302886.3448,71.1315,8.6654,10.0
2016-02-29,950.55,10228733.0,252341.1463,59.2612,7.2193,10.0
2016-03-31,987.25,10379035.0,262083.8427,23.2787,6.1045,10.0
2016-04-30,1051.1,6220843.0,279034.0107,24.7842,6.4993,10.0
2016-05-31,1099.45,6826972.0,291869.3993,25.9243,6.7982,10.0
2016-06-30,1109.65,9807466.0,294577.1953,26.1648,6.8613,10.0
2016-07-31,1198.5,7693829.0,318164.0774,28.2598,7.4107,10.0
2016-08-31,1322.5,9522505.0,351082.1797,31.1837,8.1774,10.0
2016-09-30,1290.8,7817966.0,342666.8427,30.4362,7.9814,10.0
2016-10-31,1288.95,8214821.0,342175.6927,30.3926,7.97,10.0
2016-11-30,1174.0,8158678.0,311660.0975,27.6822,7.2592,10.0
2016-12-31,783.7,66209849.0,208047.7159,18.4791,4.8459,10.0
2017-01-31,700.1,60114687.0,185854.5437,16.5079,4.3289,10.0
2017-02-28,758.85,31786405.0,201450.822,17.8932,4.6922,10.0
2017-03-31,623.85,68306060.0,165612.5655,15.6158,3.0913,10.0
2017-04-30,628.4,28285509.0,166820.4474,15.7297,3.1138,10.0
2017-05-31,582.15,33521003.0,154542.5262,14.572,2.8847,0.0
2017-06-30,647.25,28501845.0,171824.5299,16.2015,3.2072,0.0
2017-07-31,672.9,32876556.0,178633.7987,16.8436,3.3343,0.0
2017-08-31,696.4,21166316.0,184872.31,17.4318,3.4508,0.0
2017-09-30,855.75,162558323.0,227174.7261,21.4205,4.2404,10.0
2017-10-31,882.5,25454513.0,234276.0103,22.0901,4.373,10.0
2017-11-30,1041.0,40348340.0,276352.7907,26.0576,5.1583,10.0
2017-12-31,1098.35,12900385.0,291577.4137,27.4931,5.4425,10.0
2018-01-31,1039.4,16337871.0,275928.041,26.0175,5.1504,10.0
2018-02-28,1025.9,12052495.0,272344.2162,25.6796,5.0835,10.0
2018-03-31,1090.2,12432047.0,289413.8459,32.9964,4.8848,10.0
2018-04-30,1197.5,11719152.0,317898.6245,36.2439,5.3656,10.0
2018-05-31,1047.45,13005170.0,278065.0641,31.7025,4.6932,10.0
2018-06-30,1038.6,16383459.0,275715.6672,31.4346,4.6536,10.0
2018-07-31,1149.45,17672291.0,305142.8593,34.7896,5.1503,10.0
2018-08-31,1305.9,25299044.0,346675.4186,39.5248,5.8513,10.0
2018-09-30,1310.9,24761262.0,348002.7615,39.6762,5.8737,10.0
2018-10-31,1484.5,28485077.0,394088.107,44.9304,6.6515,10.0
2018-11-30,1439.35,35559053.0,382102.2006,43.5639,6.4492,10.0
2018-12-31,1482.65,13722972.0,393596.9901,44.8744,6.6432,10.0
2019-01-31,1506.2,11661925.0,399848.7752,45.5872,6.7487,10.0
2019-02-28,1654.25,19745488.0,439151.3985,50.0681,7.4121,10.0
2019-03-31,1703.1,13018350.0,452119.5386,33.4203,6.4986,10.0
2019-04-30,1746.85,8962276.0,463733.789,34.2788,6.6656,10.0
