KSB IN Equity,price,volume,mc,pe,bm,div
2001-12-31,5.0,153550.0,870.15,15.0421,0.9405,0.2
2002-01-31,4.7,120090.0,817.941,14.1396,0.884,0.2
2002-02-28,5.06,844650.0,881.4619,15.2377,0.9527,0.2
2002-03-31,5.01,158170.0,871.8903,15.0722,0.9423,0.2
2002-04-30,5.41,458830.0,941.5023,16.2756,1.0176,0.2
2002-05-31,5.13,470360.0,892.7739,15.4332,0.9649,0.2
2002-06-30,7.86,1656000.0,1367.0056,23.6312,1.4775,0.2
2002-07-31,6.7,318970.0,1166.001,20.1564,1.2602,0.2
2002-08-31,7.0,246770.0,1217.3398,21.0439,1.3157,0.2
2002-09-30,6.04,182390.0,1051.1412,18.1709,1.1361,0.2
2002-10-31,5.51,122270.0,958.9053,16.5764,1.0364,0.2
2002-11-30,5.7,247480.0,991.971,17.148,1.0721,0.2
2002-12-31,6.0,185000.0,1043.3098,17.3887,1.0872,0.2
2003-01-31,6.4,541890.0,1113.792,17.3887,1.0872,0.2
2003-02-28,6.78,230370.0,1179.9234,17.3887,1.0872,0.2
2003-03-31,5.75,389010.0,1000.6725,17.3887,1.0872,0.2
2003-04-30,6.72,304920.0,1168.6114,17.3887,1.0872,0.3
2003-05-31,8.36,1899650.0,1454.8908,17.3887,1.0872,0.3
2003-06-30,10.49,2345090.0,1824.7045,17.3887,1.0872,0.3
2003-07-31,9.78,3529780.0,1701.2312,17.3887,1.0872,0.3
2003-08-31,9.0,1236490.0,1566.351,17.3887,1.0872,0.3
2003-09-30,9.08,550520.0,1580.2741,17.3887,1.0872,0.3
2003-10-31,8.76,687060.0,1524.5817,17.3887,1.0872,0.3
2003-11-30,10.48,1568200.0,1823.9287,17.3887,1.0872,0.3
2003-12-31,12.58,4123200.0,2188.5404,10.7888,1.9376,0.3
2004-01-31,10.47,1799930.0,1821.3182,8.9785,1.6125,0.3
2004-02-29,9.6,954480.0,1669.9042,8.2321,1.4785,0.3
2004-03-31,9.17,1157970.0,1595.9376,7.8675,1.413,0.3
2004-04-30,11.01,1395330.0,1916.1694,9.4461,1.6965,0.35
2004-05-31,9.82,719500.0,1709.063,8.4251,1.5131,0.35
2004-06-30,9.61,155010.0,1672.5148,8.245,1.4808,0.35
2004-07-31,10.76,2545070.0,1872.6597,9.2316,1.658,0.35
2004-08-31,14.86,5642190.0,2586.2196,12.7492,2.2897,0.35
2004-09-30,17.29,5335300.0,3009.1343,14.8341,2.6641,0.35
2004-10-31,20.26,3892580.0,3526.0302,17.3822,3.1218,0.35
2004-11-30,19.99,4553860.0,3479.0396,17.1506,3.0802,0.4
2004-12-31,24.33,3946690.0,4234.3689,20.8741,3.7489,0.4
2005-01-31,22.13,3766600.0,3851.4831,18.9866,3.4099,0.4
2005-02-28,23.51,4062580.0,4091.6569,20.1706,3.6226,0.4
2005-03-31,24.74,7867070.0,4305.7249,21.2259,3.8121,0.4
2005-04-30,28.98,4496840.0,5042.7801,24.8593,4.4646,0.4
2005-05-31,29.9,2767680.0,5202.8959,25.6486,4.6064,0.4
2005-06-30,32.62,4791860.0,5677.1522,27.9866,5.0263,0.4
2005-07-31,32.49,1452580.0,5655.3974,27.8793,5.007,0.4
2005-08-31,39.72,5645520.0,6912.8291,34.0781,6.1203,0.4
2005-09-30,39.86,2535380.0,6937.1946,34.1982,6.1419,0.4
2005-10-31,35.51,2393230.0,6179.2547,30.4618,5.4708,0.4
2005-11-30,38.52,1318040.0,6703.1121,33.0442,5.9346,0.4
2005-12-31,41.52,1633200.0,7225.2291,19.0659,4.3376,0.4
2006-01-31,42.44,2776090.0,7386.2152,19.4907,4.4343,0.4
2006-02-28,41.41,2035970.0,7206.0849,19.0153,4.3261,0.4
2006-03-31,45.96,5131950.0,7997.9623,21.1049,4.8015,0.4
2006-04-30,55.11,4102870.0,9712.2465,25.3117,5.7586,0.45
2006-05-31,51.6,2785360.0,8980.4125,23.6974,5.3913,0.45
2006-06-30,41.03,2731660.0,7139.95,18.8408,4.2864,0.45
2006-07-31,47.53,1618470.0,8271.2035,21.826,4.9656,0.45
2006-08-31,51.67,1163200.0,8992.5952,23.7296,5.3986,0.45
2006-09-30,54.5,705110.0,9485.1256,25.0293,5.6943,0.45
2006-10-31,55.7,1477680.0,9693.9724,25.5804,5.8197,0.45
2006-11-30,55.35,1233720.0,9632.1885,25.4173,5.7826,0.5
2006-12-31,67.86,1980950.0,11810.2866,21.6406,5.6226,0.5
2007-01-31,57.5,501660.0,10007.2426,18.3368,4.7642,0.5
2007-02-28,52.0,189060.0,9050.0281,16.5828,4.3085,0.5
2007-03-31,50.02,868260.0,8704.5607,15.9498,4.144,0.5
2007-04-30,52.74,1593590.0,9177.9467,16.8172,4.3694,0.55
2007-05-31,50.0,1581800.0,8701.9501,15.945,4.1428,0.55
2007-06-30,56.61,1286320.0,9851.4777,18.0514,4.69,0.55
2007-07-31,53.72,1388610.0,9349.3752,17.1314,4.451,0.55
2007-08-31,50.05,270270.0,8709.7818,15.9594,4.1465,0.55
2007-09-30,48.99,399230.0,8526.2193,15.623,4.0591,0.55
2007-10-31,44.98,2059410.0,7827.4487,14.3426,3.7264,0.55
2007-11-30,45.26,1476120.0,7876.1799,14.4319,3.7496,0.55
2007-12-31,46.07,973250.0,8017.1523,15.7341,3.2104,0.55
2008-01-31,33.81,3067190.0,5884.2922,11.5482,2.3563,0.55
2008-02-29,36.28,841260.0,6313.3008,12.3902,2.5281,0.55
2008-03-31,33.57,4822240.0,5841.6524,11.4646,2.3393,0.55
2008-04-30,32.03,284930.0,5573.6308,10.9385,2.2319,0.55
2008-05-31,29.4,850150.0,5116.7758,10.0419,2.049,0.55
2008-06-30,23.56,312620.0,4100.3822,8.0472,1.642,0.55
2008-07-31,29.86,352980.0,5196.8342,10.1991,2.081,0.55
2008-08-31,30.7,954370.0,5343.0278,10.486,2.1396,0.55
2008-09-30,29.31,845510.0,5100.242,10.0095,2.0424,0.55
2008-10-31,21.79,689690.0,3792.3315,7.4427,1.5186,0.55
2008-11-30,20.42,1249040.0,3553.0265,6.973,1.4228,0.55
2008-12-31,22.45,304410.0,3906.3276,5.4625,1.26,0.55
2009-01-31,22.0,471750.0,3828.8799,5.3542,1.235,0.55
2009-02-28,20.68,2100390.0,3598.2769,5.0317,1.1606,0.55
2009-03-31,27.0,568470.0,4699.0798,6.5711,1.5157,0.55
2009-04-30,23.46,1695570.0,4082.108,5.7083,1.3167,0.55
2009-05-31,42.86,1890560.0,7459.3541,10.431,2.406,0.55
2009-06-30,36.5,1265650.0,6352.4598,8.8831,2.049,0.55
2009-07-31,38.5,3505960.0,6700.5397,9.3698,2.1612,0.55
2009-08-31,42.4,3781620.0,7378.4255,10.3178,2.3799,0.55
2009-09-30,39.03,3442700.0,6791.9107,9.4976,2.1907,0.55
2009-10-31,37.3,3544600.0,6491.6917,9.0778,2.0939,0.55
2009-11-30,37.4,858600.0,6509.0957,9.1021,2.0995,0.55
2009-12-31,42.53,9488070.0,7401.9209,10.4548,2.0833,0.55
2010-01-31,39.48,4075330.0,6870.2287,9.7038,1.9337,0.55
