FSOL IN Equity,price,volume,mc,pe,bm,div
2008-12-31,12.95,39003516.0,5545.0605,51.8,2.0276,0.0
2009-01-31,11.45,71813809.0,4902.7755,45.8,2.0276,0.0
2009-02-28,13.3,211241825.0,5694.927,53.2,2.0276,0.0
2009-03-31,15.45,167812712.0,6615.5355,21.7606,0.4796,0.0
2009-04-30,15.65,131294321.0,6701.1735,22.0423,0.4858,0.0
2009-05-31,26.0,363918022.0,11132.9401,36.6197,0.8071,0.0
2009-06-30,24.6,416770206.0,10540.6766,8.8809,0.8241,0.0
2009-07-31,26.85,482118336.0,11504.7629,9.6931,0.8241,0.0
2009-08-31,35.85,870490583.0,15366.8014,12.9422,0.8241,0.0
2009-09-30,37.25,337372605.0,15974.8151,13.3513,0.8241,0.0
2009-10-31,34.7,194551437.0,14881.2371,12.4373,0.8241,0.0
2009-11-30,35.6,256776670.0,15272.5,12.7599,0.8241,0.0
2009-12-31,34.1,131774391.0,14633.2374,10.3333,0.8241,0.0
2010-01-31,31.35,141239155.0,13453.1376,9.5,0.8241,0.0
2010-02-28,27.55,89502832.0,11824.1762,8.3485,0.8241,0.0
2010-03-31,28.7,95609426.0,12318.318,9.0252,0.8648,0.0
2010-04-30,30.9,105952966.0,13267.2151,9.717,0.9311,0.0
2010-05-31,26.4,43120415.0,11337.9259,8.3019,0.7955,0.0
2010-06-30,28.35,49229899.0,12183.8382,9.3257,0.8528,0.0
2010-07-31,25.1,55112649.0,10787.1019,8.2566,0.8528,0.0
2010-08-31,24.9,53540160.0,10701.3381,8.1908,0.8528,0.0
2010-09-30,26.9,66003541.0,11568.751,8.5942,0.8235,0.0
2010-10-31,27.2,78363625.0,11697.7706,8.6901,0.8327,0.0
2010-11-30,21.25,64738998.0,9140.437,6.7891,0.6505,0.0
2010-12-31,24.8,80779296.0,10667.4277,7.8481,0.7592,0.0
2011-01-31,19.7,62288017.0,8473.7228,6.2342,0.7592,0.0
2011-02-28,16.2,46885401.0,6968.2391,5.1266,0.7592,0.0
2011-03-31,17.95,36151338.0,7720.9809,5.5745,0.5433,0.0
2011-04-30,19.35,40939885.0,8332.8494,6.0093,0.5857,0.0
2011-05-31,17.45,28801695.0,7514.6368,5.4193,0.5282,0.0
2011-06-30,17.8,86443832.0,7665.6378,6.5441,0.5327,0.0
2011-07-31,17.5,56665470.0,7538.5854,6.4338,0.5327,0.0
2011-08-31,12.1,63473292.0,5212.3933,4.4485,0.5327,0.0
2011-09-30,11.3,57943930.0,4867.7723,4.6122,0.3466,0.0
2011-10-31,11.1,34076137.0,4781.617,4.5306,0.3405,0.0
2011-11-30,7.95,57064636.0,3424.6716,3.2449,0.2438,0.0
2011-12-31,6.1,63753474.0,2627.7355,3.3889,0.1764,0.0
2012-01-31,8.4,51335566.0,3618.521,4.6667,0.1764,0.0
2012-02-29,12.65,152205856.0,5449.3203,7.0278,0.1764,0.0
2012-03-31,9.55,53677201.0,4113.9137,6.5862,0.2877,0.0
2012-04-30,9.0,28220679.0,3876.9868,6.2069,0.2711,0.0
2012-05-31,8.6,26233941.0,3704.6762,5.931,0.2591,0.0
2012-06-30,8.65,16210536.0,3726.215,4.6257,0.2516,0.0
2012-07-31,9.3,39779390.0,4006.2196,4.9733,0.2516,0.0
2012-08-31,9.4,39117786.0,4049.2973,5.0267,0.2516,0.0
2012-09-30,9.5,29966097.0,4092.3749,4.3182,0.282,0.0
2012-10-31,11.8,206398473.0,5083.1604,5.3636,0.3503,0.0
2012-11-30,12.0,39788911.0,5169.3157,5.4545,0.3562,0.0
2012-12-31,12.05,35924701.0,7924.9682,4.1986,0.3577,0.0
2013-01-31,10.8,40498445.0,7102.876,3.7631,0.3577,0.0
2013-02-28,10.3,17721258.0,6774.0392,3.5889,0.3577,0.0
2013-03-31,10.2,23085117.0,6708.2718,3.4694,0.3915,0.0
2013-04-30,10.7,9689367.0,7037.1087,3.6395,0.4107,0.0
2013-05-31,10.35,12462861.0,6806.9229,3.5204,0.3972,0.0
2013-06-30,9.45,9307794.0,6219.7415,3.2699,0.3665,0.0
2013-07-31,11.8,142196345.0,7766.4497,4.0831,0.3665,0.0
2013-08-31,12.8,31996423.0,8424.6234,4.4291,0.3665,0.0
2013-09-30,18.05,79585519.0,11882.4051,6.5876,0.5998,0.0
2013-10-31,20.7,136112281.0,13630.0176,7.5548,0.6879,0.0
2013-11-30,21.55,67592525.0,14195.7389,7.865,0.7161,0.0
2013-12-31,22.05,65184621.0,14525.1064,8.3523,0.7311,0.0
2014-01-31,24.25,131515880.0,15974.3234,9.1856,0.7311,0.0
2014-02-28,28.15,93838749.0,18545.2695,10.6629,0.7311,0.0
2014-03-31,25.25,46796963.0,16658.3053,8.6473,0.7965,0.0
2014-04-30,31.9,100142019.0,21045.5421,10.9247,1.0062,0.0
2014-05-31,31.75,119992133.0,20966.2668,10.8733,1.0015,0.0
2014-06-30,41.05,139449029.0,27133.3259,13.1994,1.257,0.0
2014-07-31,38.5,54984466.0,25478.423,12.3794,1.257,0.0
2014-08-31,37.3,30438191.0,24695.0883,11.9936,1.257,0.0
2014-09-30,40.25,76180527.0,26685.9392,11.9792,1.1709,0.0
2014-10-31,39.0,27526485.0,25886.6261,11.6071,1.1346,0.0
2014-11-30,35.05,48730805.0,23291.4417,10.4315,1.0197,0.0
2014-12-31,34.7,48695459.0,23080.3564,9.9143,0.9804,0.0
2015-01-31,28.45,45963113.0,18938.3805,8.1286,0.9804,0.0
2015-02-28,31.9,54248406.0,21244.666,9.1143,0.9804,0.0
2015-03-31,30.85,37055103.0,20555.091,8.6901,0.9841,0.0
2015-04-30,29.7,45456746.0,19793.7938,8.3662,0.9475,0.0
2015-05-31,31.0,28397905.0,20665.9672,8.7324,0.9889,0.0
2015-06-30,29.7,19025554.0,19805.3138,8.4136,0.9427,0.0
2015-07-31,34.35,44154204.0,22959.8637,9.7309,0.9427,0.0
2015-08-31,28.25,43691049.0,18887.2389,8.0028,0.9427,0.0
2015-09-30,26.4,22985008.0,17687.291,7.5862,1.5702,0.0
2015-10-31,32.2,61120179.0,21583.2587,9.2529,1.9151,0.0
2015-11-30,44.55,107673877.0,29877.7958,12.8017,2.6497,0.0
2015-12-31,43.2,77568723.0,29024.383,11.9337,1.2411,0.0
2016-01-31,37.45,48166023.0,25200.9151,10.3453,1.0759,0.0
2016-02-29,30.05,32377050.0,20227.3952,8.3011,0.8633,0.0
2016-03-31,33.55,29003080.0,22589.7142,8.7161,1.2712,0.0
2016-04-30,40.95,44838525.0,27585.771,10.6385,1.5516,0.0
2016-05-31,39.75,65026792.0,26790.0419,10.3268,1.5061,0.0
2016-06-30,46.4,109529805.0,31311.317,11.1829,1.7183,0.0
2016-07-31,46.55,133359163.0,31412.5389,11.219,1.7183,0.0
2016-08-31,43.85,52962780.0,29590.5442,10.5683,1.7183,0.0
2016-09-30,40.55,36274411.0,27363.6617,9.3883,1.425,0.0
2016-10-31,40.45,33425336.0,27296.1804,9.3651,1.4215,0.0
2016-11-30,36.9,35320233.0,24900.5948,8.5432,1.2967,0.0
2016-12-31,37.8,31098215.0,25566.6359,8.7113,1.2772,0.0
2017-01-31,39.75,32464881.0,26885.5496,9.1607,1.3431,0.0
2017-02-28,43.85,118986031.0,29800.202,10.1055,1.4817,0.0
2017-03-31,41.7,58185185.0,28410.5582,10.0969,1.4009,0.0
2017-04-30,43.3,62814550.0,29516.26,10.4843,1.4547,0.0
2017-05-31,33.65,78299960.0,22943.2884,8.1477,1.1305,0.0
2017-06-30,34.1,58403936.0,23251.386,8.525,1.1144,0.0
2017-07-31,36.45,70339626.0,24854.5017,9.1125,1.1912,0.0
2017-08-31,38.1,72564918.0,25979.6026,9.525,1.2451,0.0
