DLPL IN Equity,price,volume,mc,pe,bm,div
2023-09-30,1262.18,11783736.0,210707.1209,69.8788,11.8939,6.0
2023-10-31,1209.6,7904496.0,201930.266,66.968,11.3984,6.0
2023-11-30,1348.9,14766936.0,225206.5491,74.6802,12.7111,6.0
2023-12-31,1288.85,11117292.0,215180.8591,65.2082,12.0802,6.0
2024-01-31,1258.7,7968146.0,210147.1446,63.6828,12.0802,6.0
2024-02-29,1175.85,8872014.0,196314.8645,59.4911,12.0802,9.0
2024-03-31,1131.43,13281890.0,188897.8574,52.8051,10.1823,9.0
2024-04-30,1186.22,11156982.0,198047.03,55.3627,10.6754,9.0
2024-05-31,1323.93,13944486.0,221043.45,61.7894,11.9147,9.0
2024-06-30,1390.35,9876246.0,232133.8148,60.6359,12.3651,9.0
2024-07-31,1545.3,13696586.0,258004.3759,67.3936,12.3651,9.0
2024-08-31,1708.7,12236082.0,285606.6488,74.5198,12.3651,12.0
2024-09-30,1651.35,6736518.0,276020.6821,68.4871,13.79,12.0
2024-10-31,1556.5,12706420.0,260166.6465,64.5533,12.9979,12.0
2024-11-30,1501.45,4390428.0,250980.1358,62.2702,12.5382,15.0
2024-12-31,1500.2,8082422.0,250796.6401,59.9411,12.3378,15.0
2025-01-31,1426.53,13687200.0,238479.9873,56.9974,12.3378,15.0
2025-02-28,1155.22,7839552.0,193134.5241,46.1575,12.3378,12.0
2025-03-31,1239.4,7070720.0,207207.1927,42.4088,9.5112,12.0
2025-04-30,1384.55,11986006.0,231473.8734,47.3754,10.6251,12.0
2025-05-31,1393.3,5972548.0,232936.7288,47.6748,10.6922,12.0
2025-06-30,1398.15,5768466.0,234261.4586,45.5838,10.6243,12.0
2025-07-31,1575.45,7575868.0,263968.2545,51.3643,10.6243,12.0
2025-08-31,1654.45,4880282.0,277204.785,53.94,10.6243,12.0
2025-09-30,1559.05,6566968.0,261220.4177,48.8264,10.9398,12.0
2025-10-31,1567.75,5666662.0,262678.1116,49.0989,11.0008,12.0
2025-11-30,1525.9,4921224.0,255666.1014,47.7882,10.7072,12.5
2025-12-31,1482.6,7191369.0,248411.1423,46.9681,10.2307,12.5
2026-01-31,1409.5,7786251.0,236163.1627,44.6523,10.2307,12.5
2026-02-28,1399.9,4641439.0,234560.2725,44.3482,10.2307,13.0
2026-03-31,1338.3,1440000.0,224238.8914,42.3967,10.2307,13.0
