EIM IN Equity,price,volume,mc,pe,bm,div
2012-07-31,195.63,5685010.0,52815.8172,17.0881,3.5365,1.6
2012-08-31,214.48,5575620.0,57906.3863,18.7352,3.8773,1.6
2012-09-30,231.12,3283930.0,62398.9334,20.1887,4.1782,1.6
2012-10-31,232.0,3027530.0,62636.5219,20.2655,4.1941,1.6
2012-11-30,273.83,9637040.0,73935.4867,23.919,4.9502,1.6
2012-12-31,290.66,5922190.0,78481.1084,24.1995,4.4721,1.6
2013-01-31,282.04,3337700.0,76152.2722,23.4814,4.3394,1.6
2013-02-28,277.06,5879410.0,74810.3158,23.0676,4.263,1.6
2013-03-31,256.22,4033140.0,69181.9591,21.3321,3.9422,2.0
2013-04-30,295.84,5169090.0,79879.7534,24.6308,4.5518,2.0
2013-05-31,370.16,9176390.0,99976.5207,30.8184,5.6953,2.0
2013-06-30,327.69,5827250.0,88505.735,27.2825,5.0419,2.0
2013-07-31,348.93,6774780.0,94241.0961,29.0505,5.3686,2.0
2013-08-31,318.98,7111060.0,86153.2576,26.5573,4.9079,2.0
2013-09-30,356.04,6637960.0,96161.4382,29.6424,5.478,2.0
2013-10-31,395.79,3010420.0,106897.5092,32.9519,6.0896,2.0
2013-11-30,468.73,4686140.0,126739.3433,39.0251,7.2119,2.0
2013-12-31,497.59,7418890.0,134541.4209,34.1186,6.5457,2.0
2014-01-31,464.61,3008170.0,125625.3498,31.8575,6.1119,2.0
2014-02-28,514.03,7430700.0,139069.6953,35.2462,6.762,2.0
2014-03-31,596.15,7954060.0,161287.0881,40.877,7.8423,3.0
2014-04-30,620.13,5001400.0,167773.4723,42.5209,8.1577,3.0
2014-05-31,667.55,7487180.0,180861.2087,45.7724,8.7815,3.0
2014-06-30,799.45,6477710.0,216600.2145,54.8173,10.5168,3.0
2014-07-31,849.9,4728960.0,230266.1784,58.2759,11.1803,3.0
2014-08-31,975.6,9340820.0,264413.4029,66.8949,12.8339,3.0
2014-09-30,1197.2,18031550.0,324474.5205,82.09,15.7491,3.0
2014-10-31,1277.28,8057050.0,346177.0742,87.5806,16.8024,3.0
2014-11-30,1451.87,12258440.0,393526.205,99.5523,19.0992,3.0
2014-12-31,1507.5,14473360.0,408604.5902,66.3454,16.2412,3.0
2015-01-31,1627.59,10323290.0,441154.7332,71.6306,17.5349,3.0
2015-02-28,1625.55,11100350.0,440606.6702,71.541,17.513,3.0
2015-03-31,1590.82,27886830.0,431226.6981,70.0121,17.1388,5.0
2015-04-30,1519.16,13772940.0,411802.9558,66.8585,16.3668,5.0
2015-05-31,1889.64,41515930.0,512894.6738,83.1637,20.3582,5.0
2015-06-30,1958.67,39726940.0,531629.704,86.2015,21.1019,5.0
2015-07-31,1907.12,20812930.0,517637.8053,83.9327,20.5465,5.0
2015-08-31,1901.48,17384670.0,516107.0173,83.6845,20.4857,5.0
2015-09-30,1779.16,16664860.0,482906.4214,78.3012,19.1679,5.0
2015-10-31,1774.24,12160760.0,481572.3631,78.0849,19.1149,5.0
2015-11-30,1672.89,12768450.0,454257.9535,73.6242,18.023,5.0
2015-12-31,1685.56,10011570.0,457697.03,74.1816,18.1594,5.0
2016-01-31,1654.66,10035620.0,449307.7438,72.8219,17.8266,5.0
2016-02-29,1890.06,16483120.0,513362.634,83.1819,20.3627,5.0
2016-03-31,1918.06,15394110.0,520967.765,45.5564,14.261,10.0
2016-04-30,2003.5,8405770.0,544174.2895,47.5857,14.8963,10.0
2016-05-31,1848.58,26367890.0,502097.5335,43.9063,13.7445,10.0
2016-06-30,1922.24,6916580.0,522103.1228,45.6557,14.2921,10.0
2016-07-31,2246.08,9019750.0,610063.2336,53.3474,16.6999,10.0
2016-08-31,2275.09,10555560.0,617942.6824,54.0364,16.9156,10.0
2016-09-30,2482.78,12268060.0,674352.4265,58.9692,18.4598,10.0
2016-10-31,2401.69,7668020.0,652328.7394,57.0433,17.8569,10.0
2016-11-30,2161.98,16672080.0,587219.3534,51.3498,16.0746,10.0
2016-12-31,2180.31,14776160.0,593121.0973,51.785,16.2108,10.0
2017-01-31,2302.84,10340720.0,626456.3251,54.6955,17.1219,10.0
2017-02-28,2413.01,9524960.0,656586.0179,57.3121,17.941,10.0
2017-03-31,2558.75,10132370.0,696242.2449,41.7333,13.0259,10.0
2017-04-30,2606.8,6554990.0,709316.7696,42.517,13.2705,10.0
2017-05-31,2843.5,11439680.0,774058.9836,46.3775,14.4755,0.0
2017-06-30,2703.94,12690030.0,736067.891,44.1013,13.765,0.0
2017-07-31,3008.12,9363630.0,818871.9218,49.0625,15.3135,10.0
2017-08-31,3145.09,10560650.0,856156.6022,51.2964,16.0107,10.0
2017-09-30,3121.33,8641330.0,849705.6024,50.909,15.8898,10.0
2017-10-31,3223.34,5463890.0,877475.3251,52.5727,16.4091,10.0
2017-11-30,2994.41,7773170.0,815153.3684,48.8388,15.2437,10.0
2017-12-31,3034.09,8914660.0,826384.8416,49.486,15.4457,10.0
2018-01-31,2692.36,18052480.0,733310.2046,43.9124,13.706,10.0
2018-02-28,2743.78,12248170.0,747313.9849,44.751,13.9678,10.0
2018-03-31,2837.27,8313790.0,773312.1523,39.4234,11.0001,10.0
2018-04-30,3118.86,8636270.0,850083.1871,43.3362,12.0918,10.0
2018-05-31,3078.07,8222980.0,839274.4371,42.7693,11.9336,10.0
2018-06-30,2859.05,8677630.0,779555.7868,39.7261,11.0845,10.0
2018-07-31,2779.86,12291800.0,757963.6039,38.6257,10.7775,10.0
2018-08-31,2805.98,11253400.0,765124.8451,38.9887,10.8788,11.0
2018-09-30,2418.54,13414800.0,659480.2316,33.6053,9.3767,11.0
2018-10-31,2186.46,31731320.0,596197.3534,30.3806,8.4769,11.0
2018-11-30,2340.53,21045480.0,638373.7062,32.5214,9.0742,11.0
2018-12-31,2315.84,13541890.0,631638.2067,32.1782,8.9785,11.0
2019-01-31,1900.58,37110240.0,518377.0798,26.4082,7.3685,11.0
2019-02-28,1986.91,26486670.0,542080.1116,27.6079,7.7032,11.0
2019-03-31,2054.77,31270690.0,560602.8991,25.4476,6.2856,11.0
2019-04-30,2036.83,21004170.0,555708.3289,25.2255,6.2307,11.0
2019-05-31,1994.78,26655710.0,544335.1794,24.7046,6.1021,11.0
2019-06-30,1913.88,16075440.0,522260.5122,23.7028,5.8546,11.0
2019-07-31,1634.8,30376330.0,446106.3895,20.2465,5.0009,12.5
2019-08-31,1625.85,40130610.0,443673.8993,20.1356,4.9735,12.5
2019-09-30,1776.52,40847960.0,484791.3273,22.0016,5.4344,12.5
2019-10-31,2253.81,33389680.0,615038.1315,27.9127,6.8945,12.5
2019-11-30,2288.14,28259930.0,624745.943,28.3379,6.9995,12.5
2019-12-31,2251.53,27022340.0,614748.7083,27.8844,6.8875,12.5
2020-01-31,2028.93,36109800.0,553972.1285,25.1276,6.2065,12.5
2020-02-29,1660.24,39004830.0,453320.0277,20.5615,5.0787,12.5
2020-03-31,1309.59,45611940.0,357577.9183,19.5639,3.5826,12.5
2020-04-30,1470.8,46595690.0,401594.2503,21.9721,4.0236,12.5
2020-05-31,1654.85,54872020.0,451848.3114,24.7216,4.5271,12.5
2020-06-30,1833.43,65189440.0,500610.1778,27.3895,5.0157,12.5
2020-07-31,2063.87,62830430.0,563530.8289,30.832,5.6461,12.5
2020-08-31,2092.0,68636275.0,571248.0931,31.2522,5.723,12.5
2020-09-30,2202.8,32447080.0,601503.4892,32.9075,6.0261,12.5
2020-10-31,2085.6,28935552.0,569827.876,31.1566,5.7055,12.5
2020-11-30,2534.65,41337406.0,692587.5439,37.865,6.934,12.5
2020-12-31,2530.9,30677683.0,691562.8646,37.8089,6.9237,12.5
2021-01-31,2744.3,40065960.0,749873.9458,40.9969,7.5075,12.5
2021-02-28,2498.6,35266215.0,682949.1217,37.3264,6.8354,12.5
2021-03-31,2603.95,22906708.0,711753.0507,52.8185,6.2227,12.5
2021-04-30,2421.65,19503775.0,661923.9137,49.1207,5.787,12.5
2021-05-31,2676.15,16235685.0,731487.9036,54.283,6.3952,0.0
2021-06-30,2671.15,13373276.0,730261.4995,54.1815,6.3833,0.0
2021-07-31,2530.25,13091154.0,691741.0548,51.3235,6.0465,0.0
2021-08-31,2679.25,28261110.0,732506.0712,54.3458,6.4026,17.0
2021-09-30,2790.2,19522677.0,762839.7648,56.5963,6.6677,17.0
