LICHF IN Equity,price,volume,mc,pe,bm,div
2002-03-31,14.41,37933720.0,5407.9217,3.6654,0.7321,0.8
2002-04-30,14.77,6108080.0,5543.0259,3.7569,0.7504,0.8
2002-05-31,14.25,3638890.0,5347.8753,3.6247,0.724,0.8
2002-06-30,16.59,6008655.0,6226.0528,4.2199,0.8429,0.8
2002-07-31,14.4,3538260.0,5404.1688,3.6628,0.7316,1.0
2002-08-31,14.49,2302820.0,5428.867,3.6857,0.7362,1.0
2002-09-30,14.78,1827805.0,5537.5193,3.7595,0.7509,1.0
2002-10-31,12.96,2593130.0,4855.6326,3.2965,0.6585,1.0
2002-11-30,12.96,1944450.0,4855.6326,3.2965,0.6585,1.0
2002-12-31,12.86,2975170.0,4818.1663,3.2711,0.6534,1.0
2003-01-31,12.65,4206645.0,4739.4871,3.2177,0.6427,1.0
2003-02-28,14.12,3739060.0,5290.2417,3.5916,0.7174,1.0
2003-03-31,13.16,2087165.0,4930.5652,2.7561,0.5661,1.0
2003-04-30,15.77,3262735.0,5908.4357,3.3027,0.6783,1.0
2003-05-31,22.22,11694565.0,8325.0121,4.6535,0.9558,1.0
2003-06-30,25.26,19207050.0,9463.9876,5.2902,1.0865,1.0
2003-07-31,26.14,43589185.0,9810.0675,5.4745,1.1244,1.1
2003-08-31,27.53,28343400.0,10331.7199,5.7656,1.1842,1.1
2003-09-30,27.28,10078995.0,10237.8975,5.7132,1.1734,1.1
2003-10-31,34.23,38033980.0,12846.1595,7.1687,1.4723,1.1
2003-11-30,35.97,19497805.0,13499.1632,7.5331,1.5472,1.1
2003-12-31,43.8,39785515.0,16437.68,9.173,1.884,1.1
2004-01-31,42.11,12672210.0,15803.4407,8.819,1.8113,1.1
2004-02-29,37.0,8737460.0,13885.7114,7.7489,1.5915,1.1
2004-03-31,36.52,6904070.0,13705.5724,8.0904,1.4043,1.1
2004-04-30,36.71,5344925.0,13776.8774,8.1325,1.4116,1.1
2004-05-31,26.68,6846210.0,10012.7238,5.9105,1.0259,1.1
2004-06-30,27.52,13457210.0,10327.967,6.0966,1.0582,1.1
2004-07-31,29.03,5606300.0,10894.6541,6.4311,1.1163,1.0
2004-08-31,29.11,2364565.0,10924.6773,6.4489,1.1194,1.0
2004-09-30,29.32,11454985.0,11003.4881,6.4954,1.1274,1.0
