TRP IN Equity,price,volume,mc,pe,bm,div
2002-03-31,13.44,1477568.0,4550.4149,9.8841,2.0182,0.4688
2002-04-30,14.69,977472.0,4972.5529,10.801,2.2054,0.4688
2002-05-31,12.58,1936896.0,4258.4097,9.2498,1.8887,0.4688
2002-06-30,12.63,2767616.0,4274.2795,9.2843,1.8957,0.5
2002-07-31,12.5,1024912.0,4231.9599,9.1924,1.8769,0.5
2002-08-31,12.42,939936.0,4203.3942,9.1303,1.8643,0.5
2002-09-30,11.35,206544.0,3841.5616,8.3444,1.7038,0.5
2002-10-31,13.42,351264.0,4541.951,9.8657,2.0144,0.5
2002-11-30,11.73,293616.0,3970.6364,8.6247,1.761,0.5
2002-12-31,12.55,647600.0,4247.8298,9.2268,1.884,0.5
2003-01-31,12.19,1867680.0,4127.2189,8.9648,1.8305,0.5
2003-02-28,11.72,240032.0,3967.4624,8.6178,1.7596,0.5
2003-03-31,9.81,449904.0,3322.0885,7.5011,1.3252,0.5
2003-04-30,10.44,274560.0,3533.6865,7.9788,1.4096,0.5
2003-05-31,11.88,1064048.0,4022.4779,9.0825,1.6046,0.5
2003-06-30,15.04,5243248.0,5093.1638,11.5,2.0317,0.5
2003-07-31,16.68,14598352.0,5648.6085,12.7542,2.2533,0.5
2003-08-31,22.91,19976192.0,7757.1825,17.5152,3.0944,0.5
2003-09-30,24.53,13957056.0,8306.2793,18.755,3.3134,0.5
2003-10-31,21.45,7105152.0,7260.9852,16.3948,2.8965,0.5
2003-11-30,21.46,4760976.0,7265.2172,16.4044,2.8981,0.5
2003-12-31,25.03,9795536.0,8475.5577,19.1372,3.381,0.5
2004-01-31,22.25,4104160.0,7532.8886,17.0088,3.0049,0.5
2004-02-29,22.85,3507232.0,7734.9647,17.465,3.0855,0.5
2004-03-31,20.36,3600784.0,6892.8047,12.6537,2.4086,0.5
2004-04-30,22.21,2268048.0,7519.1348,13.8035,2.6275,0.5
2004-05-31,21.62,2446720.0,7320.2327,13.4383,2.558,0.5
2004-06-30,19.7,4403312.0,6668.5108,12.2419,2.3303,0.5
2004-07-31,26.98,5495536.0,9135.7435,16.7712,3.1924,0.5
2004-08-31,27.33,4684304.0,9248.004,16.9829,3.2327,0.5
2004-09-30,28.57,3240272.0,9667.8871,17.754,3.3795,0.5
2004-10-31,30.08,1477792.0,10181.9001,18.6979,3.5592,0.5
2004-11-30,31.41,1407488.0,10630.3394,19.5214,3.7159,0.5
2004-12-31,35.89,2097168.0,12148.0528,22.3085,4.2464,0.5
2005-01-31,31.08,6772048.0,10519.2872,19.3175,3.6771,0.5
2005-02-28,28.73,6191152.0,9723.942,17.8569,3.3991,0.5
2005-03-31,27.67,7194464.0,9363.2867,19.205,2.9674,0.5
2005-04-30,27.28,1843664.0,9234.2547,18.9403,2.9265,0.5
2005-05-31,29.51,3446912.0,9986.2367,20.4827,3.1648,0.5
2005-06-30,31.2,8994352.0,10560.5352,21.6606,3.3468,0.5
2005-07-31,33.73,4216288.0,11415.1083,23.4134,3.6176,0.5
2005-08-31,34.63,3746752.0,11718.651,24.036,3.7138,0.5
2005-09-30,36.27,6436800.0,12276.0273,25.1793,3.8905,0.5
2005-10-31,37.52,3553808.0,12698.0256,26.0448,4.0242,0.5
2005-11-30,40.17,1155824.0,13594.9043,27.8844,4.3084,0.5
2005-12-31,52.57,65334416.0,17791.6197,36.4922,5.6384,0.5
2006-01-31,57.69,10297568.0,19525.0917,40.0478,6.1878,0.5
2006-02-28,57.13,12979064.0,19333.7042,39.6551,6.1271,0.5
2006-03-31,54.29,6783608.0,18373.3648,36.1233,5.283,0.5
2006-04-30,57.59,7426280.0,19638.3052,38.3191,5.6041,0.5
2006-05-31,52.14,8017188.0,17644.706,34.6927,5.0738,0.5
2006-06-30,48.93,5355528.0,16557.5112,32.555,4.7611,0.625
2006-07-31,44.93,2447768.0,15203.8056,29.8934,4.3719,0.625
2006-08-31,47.51,3603364.0,16079.4839,31.6152,4.6237,0.625
2006-09-30,45.21,3615076.0,15301.1032,30.0847,4.3999,0.625
2006-10-31,48.89,3249684.0,16544.8202,32.5301,4.7575,0.625
2006-11-30,48.54,5699476.0,16426.371,32.2972,4.7234,0.625
2006-12-31,52.66,9039608.0,17822.6756,35.042,5.1249,0.625
2007-01-31,51.71,2976940.0,17501.1652,34.4099,5.0324,0.625
2007-02-28,50.66,3810680.0,17145.9321,33.7112,4.9302,0.625
2007-03-31,48.95,3459512.0,16566.3633,17.716,4.0382,0.75
2007-04-30,48.63,1395984.0,16456.4507,17.5984,4.0114,0.75
2007-05-31,65.29,11989808.0,22095.6407,23.6289,5.386,0.75
2007-06-30,64.9,4148512.0,21964.5224,23.4887,5.3541,0.75
2007-07-31,56.08,3334248.0,18977.8212,20.2947,4.626,0.75
2007-08-31,51.68,2592300.0,17488.701,18.7023,4.263,0.75
2007-09-30,47.4,6401184.0,16041.8666,17.1551,3.9104,0.75
2007-10-31,46.2,23773780.0,15635.7434,16.7208,3.8114,0.75
2007-11-30,44.38,8844592.0,15018.0977,16.0602,3.6608,0.75
2007-12-31,50.15,12460460.0,16972.5656,18.1503,4.1372,0.75
2008-01-31,39.75,11133476.0,13452.8312,14.3864,3.2793,0.75
2008-02-29,39.25,3172096.0,13283.6288,14.2054,3.238,0.75
2008-03-31,35.2,3145544.0,11912.9613,8.8442,2.3379,0.75
2008-04-30,39.19,2277100.0,13262.4609,9.8461,2.6028,0.75
2008-05-31,39.38,5275664.0,13325.9177,9.8932,2.6152,0.0
2008-06-30,40.23,57873980.0,13613.5883,10.1068,2.6717,0.875
