TRP IN Equity,price,volume,mc,pe,bm,div
2008-07-31,45.44,8773012.0,15377.686,11.4165,3.0179,0.875
2008-08-31,49.34,9886816.0,16697.5864,12.3964,3.2769,0.875
2008-09-30,41.3,2844504.0,13977.407,10.3769,2.7431,0.875
2008-10-31,33.83,2752356.0,11447.5979,8.4987,2.2466,0.875
2008-11-30,30.16,606068.0,10208.076,7.5785,2.0034,0.875
2008-12-31,34.28,1165028.0,11599.8941,8.6118,2.2765,0.875
2009-01-31,33.15,1684356.0,11219.1536,8.3291,2.2018,0.875
2009-02-28,33.06,633156.0,11189.5404,8.3072,2.196,0.875
2009-03-31,33.5,1425644.0,11337.6062,6.1496,1.7419,0.875
2009-04-30,36.5,2269308.0,12352.9142,6.7003,1.8979,0.875
2009-05-31,44.63,6082508.0,15102.7067,8.1918,2.3204,0.875
2009-06-30,44.94,22951800.0,15208.468,8.2492,2.3366,1.0
2009-07-31,53.81,6445868.0,18212.0875,9.8784,2.7981,1.0
2009-08-31,66.61,12099572.0,22544.0684,12.2281,3.4637,1.0
2009-09-30,78.79,13591344.0,26664.5267,14.4631,4.0967,1.0
2009-10-31,81.91,8108564.0,27722.1392,15.0367,4.2592,1.0
2009-11-30,94.11,7242764.0,31851.0585,17.2763,4.8936,1.0
2009-12-31,98.53,19350048.0,33344.4074,18.0863,5.123,1.0
2010-01-31,110.95,13165028.0,37549.4747,20.3671,5.7691,1.0
2010-02-28,109.43,5825180.0,37033.3598,20.0872,5.6898,1.0
2010-03-31,136.36,8145476.0,46149.9797,19.9652,5.5538,1.0
2010-04-30,134.24,2573184.0,45430.8032,19.6541,5.4673,1.0
2010-05-31,140.64,2815836.0,47596.7936,20.5911,5.728,1.0
2010-06-30,137.28,22337344.0,46458.8025,20.0988,5.591,1.5
2010-07-31,141.81,2401364.0,47994.4559,20.7632,5.7758,1.5
2010-08-31,136.28,5729004.0,46120.3665,19.9524,5.5503,1.5
2010-09-30,141.6,16732972.0,47922.5383,20.7321,5.7672,1.5
2010-10-31,138.24,9447936.0,46784.5472,20.2398,5.6302,1.5
2010-11-30,139.35,3482548.0,47161.0572,20.4026,5.6755,1.5
2010-12-31,144.56,2359196.0,48925.1549,21.1658,5.8878,1.5
2011-01-31,145.98,3592388.0,49403.1958,21.3726,5.9453,1.5
2011-02-28,132.26,2504376.0,44762.3921,19.3649,5.3869,1.5
2011-03-31,145.11,4297460.0,49111.2947,18.1788,4.8036,1.5
2011-04-30,150.13,2491976.0,50807.7052,18.8068,4.9696,1.5
2011-05-31,154.84,3339888.0,52402.5849,19.3971,5.1256,1.5
2011-06-30,159.81,3335924.0,54086.304,20.0204,5.2903,2.0
2011-07-31,163.57,10993548.0,55359.6695,20.4917,5.4148,2.0
2011-08-31,149.95,3349332.0,50748.4789,18.7848,4.9638,2.0
2011-09-30,134.76,2467656.0,45608.4821,16.8822,4.461,2.0
2011-10-31,144.74,2500636.0,48984.3812,18.1319,4.7912,2.0
2011-11-30,139.86,2366628.0,47334.5057,17.5211,4.6299,2.0
2011-12-31,135.03,1286632.0,45697.3215,16.9151,4.4697,2.0
2012-01-31,138.06,3666160.0,46725.3209,17.2956,4.5703,3.5
2012-02-29,137.32,5467116.0,46475.7243,17.2033,4.5459,3.5
2012-03-31,157.65,4669072.0,53354.7489,18.7846,4.4693,3.5
2012-04-30,166.74,2521684.0,56430.3041,19.8674,4.7269,3.5
2012-05-31,154.38,3453424.0,52246.3644,18.3944,4.3765,3.5
2012-06-30,150.14,4142900.0,50812.2335,17.8895,4.2563,2.125
2012-07-31,166.64,6931804.0,56396.4603,19.8555,4.7241,2.125
2012-08-31,176.25,1808288.0,59649.6954,21.0009,4.9966,2.125
2012-09-30,173.63,4486628.0,58761.2957,20.6881,4.9222,2.125
2012-10-31,168.48,7458116.0,57018.3401,20.0745,4.7762,2.125
2012-11-30,167.11,6743268.0,56557.2183,19.9121,4.7376,2.125
2012-12-31,181.11,5889520.0,61295.3502,21.5803,5.1345,2.125
2013-01-31,175.04,3319896.0,59239.3394,20.8564,4.9622,2.125
2013-02-28,167.91,1601956.0,56827.9687,20.0074,4.7602,2.125
2013-03-31,173.89,1726128.0,58850.1357,27.1912,4.1388,2.125
2013-04-30,172.44,2059696.0,58359.4006,26.9644,4.1043,2.125
2013-05-31,197.04,5107320.0,66684.9751,30.8112,4.6899,2.125
2013-06-30,205.56,8594700.0,69570.1464,32.1443,4.8928,5.75
2013-07-31,214.48,6917028.0,72586.4744,33.5379,5.1049,5.75
2013-08-31,203.8,3665374.0,68971.8086,31.8686,4.8508,5.75
2013-09-30,219.1,3517828.0,74149.7707,34.2611,5.215,5.75
2013-10-31,225.75,3498674.0,76400.3228,35.301,5.3733,5.75
2013-11-30,231.03,2576194.0,78185.5352,36.1259,5.4988,5.75
2013-12-31,236.13,17868856.0,79911.5226,36.9234,5.6202,5.75
2014-01-31,269.58,13591804.0,91231.9691,42.154,6.4164,6.75
2014-02-28,276.9,3255304.0,93710.9608,43.2995,6.5907,6.75
2014-03-31,262.13,4115954.0,88710.6739,13.3635,4.6632,6.75
2014-04-30,289.0,5185948.0,97805.9504,14.7336,5.1414,6.75
2014-05-31,305.68,9913224.0,103449.2522,15.5837,5.438,6.75
2014-06-30,355.03,4816462.0,120150.7181,18.0997,6.316,5.0
2014-07-31,371.85,5053396.0,125844.7842,18.9574,6.6153,5.0
2014-08-31,416.38,3283532.0,140913.3308,21.2274,7.4074,5.0
2014-09-30,435.73,4178630.0,147461.9299,22.2139,7.7516,5.0
2014-10-31,440.95,2964560.0,149230.2208,22.4802,7.8446,5.0
2014-11-30,513.78,3418782.0,173876.3156,26.193,9.1401,5.0
2014-12-31,565.17,5749262.0,191271.5502,28.8134,10.0546,5.0
2015-01-31,549.85,4405706.0,186085.1168,28.0321,9.7819,5.0
2015-02-28,537.2,3088314.0,181803.5265,27.3872,9.5569,5.0
2015-03-31,579.3,4657222.0,196051.8583,26.1064,7.8722,5.0
2015-04-30,600.92,4681354.0,203370.3832,27.0809,8.166,5.0
2015-05-31,602.38,5795362.0,203861.105,27.1462,8.1858,5.0
2015-06-30,650.72,5847200.0,220224.1315,29.3251,8.8428,5.625
2015-07-31,720.83,10503356.0,243948.0075,32.4842,9.7954,5.625
2015-08-31,803.5,7989410.0,271927.6164,36.21,10.9189,5.625
2015-09-30,751.13,10660766.0,254202.403,33.8497,10.2071,5.625
2015-10-31,770.58,7401082.0,260784.845,34.7262,10.4714,5.625
2015-11-30,712.78,6552336.0,241223.6655,32.1215,9.686,5.625
2015-12-31,725.83,6605458.0,245640.152,32.7096,9.8633,5.625
2016-01-31,699.43,7764788.0,236705.6292,31.5198,9.5046,5.625
2016-02-29,630.5,10385538.0,213379.4177,28.4137,8.5679,13.125
2016-03-31,670.13,11904882.0,226790.7261,13.0858,6.491,20.625
2016-04-30,715.13,5013844.0,242020.0977,13.9646,6.9268,20.625
2016-05-31,670.88,5252240.0,227044.5489,13.1005,6.4982,20.625
2016-06-30,686.43,5934612.0,232307.1429,13.4041,6.6488,17.5
2016-07-31,720.22,7540088.0,243746.0826,14.0641,6.9762,17.5
2016-08-31,815.97,11960692.0,276150.8011,15.9339,7.9037,17.5
2016-09-30,811.78,8445192.0,274729.4143,15.8519,7.863,17.5
2016-10-31,708.3,7818662.0,239710.3097,13.8313,6.8607,17.5
2016-11-30,688.58,10281424.0,233034.7684,13.4461,6.6697,17.5
2016-12-31,658.58,5606758.0,222883.4417,12.8603,6.3791,17.5
2017-01-31,649.97,4636978.0,219972.948,12.6923,6.2958,17.5
2017-02-28,680.97,10831136.0,230464.3695,13.2977,6.5961,12.5
2017-03-31,776.3,47983990.0,262725.5013,28.1421,6.0397,5.0
2017-04-30,709.38,5110402.0,240075.8759,25.716,5.519,5.0
2017-05-31,616.6,6879640.0,208677.7587,22.3527,4.7972,5.0
2017-06-30,610.28,7608984.0,206537.1703,22.1234,4.748,7.0
2017-07-31,659.03,9819464.0,223035.7768,23.8907,5.1273,7.0
2017-08-31,601.75,6752428.0,203652.0294,21.8144,4.6817,7.0
2017-09-30,615.48,9250566.0,208297.0217,22.3119,4.7885,7.0
2017-10-31,634.92,7716234.0,214879.5426,23.017,4.9398,7.0
2017-11-30,643.08,10778444.0,217638.2928,23.3125,5.0032,7.0
2017-12-31,709.28,7370282.0,240042.608,25.7123,5.5182,7.0
2018-01-31,681.2,6380904.0,230546.3021,24.6946,5.2998,7.0
2018-02-28,684.33,8281230.0,231603.9384,24.8079,5.3241,6.5
2018-03-31,624.88,10623180.0,211483.5948,31.1892,4.5755,6.5
2018-04-30,709.25,9453322.0,240040.1587,35.4005,5.1933,6.5
2018-05-31,705.75,6891356.0,238856.1755,35.2259,5.1676,6.5
2018-06-30,700.58,15950384.0,237105.2932,34.9676,5.1297,7.0
2018-07-31,764.3,9368076.0,258672.6269,38.1482,5.5963,7.0
2018-08-31,906.4,20870834.0,306765.4966,45.2408,6.6368,7.0
2018-09-30,826.3,12583862.0,279656.145,41.2428,6.0503,7.0
2018-10-31,833.8,9150828.0,282194.4738,41.6172,6.1052,7.0
2018-11-30,886.9,9855742.0,300165.8417,44.2675,6.494,7.0
2018-12-31,885.7,8635320.0,299759.7091,44.2076,6.4853,7.0
2019-01-31,909.4,12807108.0,307780.8281,45.3906,6.6588,7.0
2019-02-28,900.98,7425578.0,304929.4387,44.9701,6.5971,9.0
2019-03-31,974.88,8099452.0,329940.4385,75.6303,6.9839,9.0
2019-04-30,895.95,12564286.0,303228.7584,69.5074,6.4185,9.0
2019-05-31,782.43,15519398.0,264806.9215,60.7002,5.6052,9.0
2019-06-30,773.65,8432218.0,261837.0768,60.0194,5.5423,8.5
2019-07-31,835.43,23369174.0,282744.445,64.8119,5.9849,8.5
2019-08-31,853.8,10150556.0,288963.3506,66.2374,6.1165,8.5
2019-09-30,833.7,7041114.0,282160.6294,64.678,5.9725,8.5
2019-10-31,888.15,16895114.0,300588.8965,68.9022,6.3626,8.5
2019-11-30,949.3,7891566.0,321284.7373,73.6462,6.8006,8.5
2019-12-31,924.53,7674280.0,312899.7912,71.7242,6.6232,8.5
2020-01-31,965.55,18303810.0,326784.4497,74.9069,6.9171,8.5
2020-02-29,1075.15,15285438.0,363877.8946,83.4096,7.7022,8.5
2020-03-31,985.9,19026794.0,333671.7819,32.5648,6.9181,18.0
2020-04-30,1172.7,35250786.0,396893.0912,38.7349,8.2288,18.0
2020-05-31,1181.28,48479114.0,399795.2471,39.0182,8.289,18.0
2020-06-30,1186.05,28775586.0,401411.3164,39.1759,8.3225,18.0
2020-07-31,1331.8,34066322.0,450739.5061,43.9901,9.3452,18.0
2020-08-31,1330.8,39717586.0,450401.0623,43.9571,9.3382,16.0
2020-09-30,1399.98,33134578.0,473812.9149,46.2419,9.8236,16.0
2020-10-31,1283.43,26253056.0,434367.2956,42.3922,9.0058,16.0
2020-11-30,1307.55,24035590.0,442532.2535,43.1891,9.1751,16.0
2020-12-31,1401.35,19026438.0,474278.2864,46.2874,9.8333,16.0
2021-01-31,1304.08,14578806.0,441356.1611,43.0743,9.1507,16.0
2021-02-28,1214.1,21926140.0,410904.6759,40.1024,8.5193,26.0
2021-03-31,1272.53,11369132.0,430680.2759,34.4019,7.3782,18.5
2021-04-30,1254.63,11581690.0,424622.1026,33.918,7.2745,18.5
2021-05-31,1370.68,16949066.0,463898.6952,37.0553,7.9473,10.0
2021-06-30,1450.8,10988536.0,491016.6356,39.2214,8.4119,17.5
2021-07-31,1535.55,10461862.0,519699.8954,41.5126,8.9033,17.5
2021-08-31,1552.95,8000390.0,525588.846,41.983,9.0042,17.5
2021-09-30,1542.75,6019026.0,522136.7026,41.7072,8.945,17.5
2021-10-31,1430.2,5818276.0,484044.6683,38.6645,8.2925,17.5
2021-11-30,1521.03,14724444.0,514783.9754,41.1199,8.8191,17.5
2021-12-31,1639.23,11018266.0,554788.2264,44.3154,9.5044,17.5
2022-01-31,1335.73,12050104.0,452070.0353,36.1104,7.7447,17.5
2022-02-28,1374.95,8049174.0,465345.5577,37.1709,7.9721,20.0
2022-03-31,1395.98,7514558.0,472461.3731,60.7871,7.9366,20.0
2022-04-30,1407.18,5689270.0,476251.962,61.2748,8.0003,20.0
2022-05-31,1416.3,14249774.0,479340.2767,61.6721,8.0521,20.0
2022-06-30,1430.13,5180052.0,484019.2849,62.2741,8.1307,24.0
2022-07-31,1528.8,7021314.0,517392.1509,66.5709,8.6917,24.0
2022-08-31,1550.55,5539000.0,524753.0086,67.518,8.8154,24.0
2022-09-30,1559.85,7968780.0,527900.4099,67.9229,8.8683,24.0
2022-10-31,1650.0,5988502.0,558409.896,71.8485,9.3808,24.0
2022-11-30,1659.9,6204702.0,561760.3554,72.2796,9.4371,24.0
2022-12-31,1550.6,5386840.0,524769.9301,67.5201,8.8157,24.0
2023-01-31,1521.75,3588343.0,515006.2177,66.2639,8.6517,24.0
2023-02-28,1459.85,4437667.0,494057.3859,63.5685,8.2997,25.5
2023-03-31,1537.15,5103712.0,520218.0434,41.7817,8.3936,25.5
2023-04-30,1652.3,5799770.0,559188.2856,44.9117,9.0224,25.5
2023-05-31,1835.8,11018519.0,621290.2346,49.8994,10.0244,25.5
2023-06-30,1904.95,8341216.0,644692.6857,51.779,10.402,22.0
2023-07-31,2002.85,5136624.0,677825.0062,54.4401,10.9366,22.0
2023-08-31,1842.5,8922168.0,623557.7172,50.0815,10.061,22.0
2023-09-30,1929.1,12996203.0,652865.776,52.4354,10.5338,22.0
2023-10-31,1924.25,7793255.0,651224.3893,52.3036,10.5074,22.0
2023-11-30,2126.55,5469986.0,719688.8269,57.8024,11.612,22.0
2023-12-31,2305.55,6593377.0,780267.8398,62.6678,12.5894,22.0
2024-01-31,2531.1,6010969.0,856600.7805,68.7986,13.8211,22.0
2024-02-29,2666.1,4604274.0,902288.8629,72.4681,14.5582,30.0
2024-03-31,2600.6,6154207.0,880121.6821,53.1385,12.8375,30.0
2024-04-30,2642.55,4681405.0,894318.8307,53.9957,13.0446,30.0
2024-05-31,2696.05,6303669.0,912424.8486,55.0889,13.3087,30.0
2024-06-30,2791.3,4525378.0,944660.3289,57.0351,13.7789,28.0
2024-07-31,3171.75,7914390.0,1073416.114,64.8089,15.657,28.0
2024-08-31,3485.15,6837196.0,1179480.151,71.2127,17.204,28.0
2024-09-30,3396.55,5351582.0,1149495.232,69.4023,16.7667,28.0
2024-10-31,3202.65,22353685.0,1083873.608,65.4403,15.8095,28.0
2024-11-30,3324.2,6298479.0,1125009.804,67.924,16.4095,28.0
2024-12-31,3360.05,7201977.0,1137142.528,68.6565,16.5865,28.0
2025-01-31,3269.1,6710674.0,1106362.298,66.7981,16.1375,32.0
2025-02-28,2948.1,9551333.0,997726.1905,60.2391,14.5529,32.0
2025-03-31,3227.95,5536134.0,1092435.893,57.1622,14.3924,32.0
2025-04-30,3322.0,8311513.0,1124265.257,58.8277,14.8118,32.0
2025-05-31,3174.7,6997719.0,1074414.483,56.2192,14.155,32.0
2025-06-30,3408.2,10100817.0,1153437.944,60.3542,15.1961,32.0
2025-07-31,3741.9,13948968.0,1266372.115,66.2635,16.684,32.0
2025-08-31,3559.8,5798440.0,1204743.968,63.0388,15.872,32.0
2025-09-30,3603.2,5396014.0,1219431.841,63.8073,16.0656,32.0
2025-10-31,3560.1,4418906.0,1204845.497,63.0441,15.8734,32.0
2025-11-30,3720.6,5886157.0,1259169.504,65.8863,16.589,32.0
2025-12-31,3850.0,4204473.0,1302962.584,68.1778,17.166,32.0
2026-01-31,3960.8,5512046.0,1340460.832,70.1399,17.66,32.0
2026-02-28,4333.3,8815093.0,1466526.692,76.7363,19.3208,35.0
2026-03-31,4354.1,966552.0,1473566.108,77.1047,19.4136,35.0
