ZEN IN Equity,price,volume,mc,pe,bm,div
2007-03-31,5.94,5424320.0,452.8405,6.4308,1.465,0.2
2007-04-30,6.8,6187080.0,518.4585,7.3626,1.6773,0.2
2007-05-31,6.61,8919880.0,503.9615,7.1568,1.6304,0.2
2007-06-30,8.33,8512670.0,635.579,9.0259,2.0562,0.2
2007-07-31,6.42,8239180.0,489.846,6.9563,1.5847,0.2
2007-08-31,6.39,2617240.0,487.557,6.9238,1.5773,0.2
2007-09-30,6.26,4237230.0,477.2565,6.7775,1.544,0.2
2007-10-31,6.56,4018800.0,500.1465,7.1026,1.6181,0.2
2007-11-30,7.56,7070610.0,576.4465,8.1861,1.8649,0.2
2007-12-31,13.22,7153480.0,1008.3045,14.3189,3.262,0.2
2008-01-31,16.63,8259440.0,1268.869,18.0192,4.105,0.2
2008-02-29,17.63,6303360.0,1345.5505,19.1082,4.3531,0.2
2008-03-31,15.26,2998390.0,1164.338,10.7997,2.6708,0.2
2008-04-30,16.95,2739050.0,1293.285,11.9958,2.9666,0.2
2008-05-31,16.32,4952930.0,1244.8345,11.5464,2.8555,0.2
2008-06-30,13.93,2843770.0,1063.2405,9.862,2.4389,0.2
2008-07-31,15.24,5573590.0,1162.812,10.7856,2.6673,0.2
2008-08-31,15.92,5729820.0,1214.696,11.2668,2.7863,0.2
2008-09-30,13.4,1698190.0,1022.42,9.4834,2.3453,0.3
2008-10-31,8.49,1986280.0,647.787,6.0085,1.4859,0.3
2008-11-30,8.34,1310610.0,636.342,5.9023,1.4597,0.3
2008-12-31,9.74,2533460.0,743.162,6.8931,1.7047,0.3
2009-01-31,9.6,353620.0,732.48,6.7941,1.6802,0.3
2009-02-28,9.17,316860.0,699.671,6.4897,1.6049,0.3
2009-03-31,9.23,643230.0,704.249,4.2012,1.2056,0.3
2009-04-30,11.86,1525140.0,904.5365,5.396,1.5484,0.3
2009-05-31,16.2,2662890.0,1235.6785,7.3714,2.1153,0.3
2009-06-30,18.63,7056590.0,1421.469,8.4797,2.4334,0.3
2009-07-31,19.47,4249460.0,1485.561,8.8621,2.5431,0.3
2009-08-31,21.66,10913390.0,1652.658,9.8589,2.8291,0.3
2009-09-30,27.87,16684590.0,2126.0995,12.6832,3.6396,0.45
2009-10-31,23.14,5301600.0,1765.582,10.5325,3.0224,0.45
2009-11-30,26.61,5868050.0,2272.0682,12.112,3.4757,0.45
2009-12-31,27.86,4566720.0,2378.7982,12.6809,3.6389,0.45
2010-01-31,22.47,9656480.0,1918.1515,10.2253,2.9343,0.45
2010-02-28,20.35,3469640.0,1737.1374,9.2604,2.6574,0.45
2010-03-31,18.15,5274550.0,1549.2926,9.3435,1.9722,0.45
2010-04-30,20.47,4006830.0,1747.3835,10.5381,2.2244,0.45
2010-05-31,20.13,9643110.0,1719.2068,10.3682,2.1885,0.45
2010-06-30,21.92,6173030.0,1871.6172,11.2873,2.3826,0.45
2010-07-31,19.35,2315430.0,1652.1803,9.964,2.1032,0.45
2010-08-31,19.26,5835060.0,1644.4958,9.9176,2.0934,0.45
2010-09-30,20.67,5769070.0,1764.4603,10.6411,2.2461,0.45
2010-10-31,20.54,4198440.0,1753.3604,10.5742,2.232,0.45
2010-11-30,15.76,2538230.0,1345.2249,8.1128,1.7125,0.45
2010-12-31,16.43,3378760.0,1402.8591,8.4604,1.7858,0.45
2011-01-31,13.83,627250.0,1180.4338,7.1189,1.5027,0.45
2011-02-28,10.82,1422820.0,923.8548,5.5716,1.1761,0.45
2011-03-31,12.79,1795320.0,1136.3819,6.743,1.4429,0.45
2011-04-30,15.35,1892100.0,1364.3694,6.743,1.7323,0.45
2011-05-31,14.19,394440.0,1261.7084,6.743,1.602,0.45
2011-06-30,14.24,665960.0,1265.7082,6.743,1.6071,0.45
2011-07-31,14.26,728120.0,1267.4859,6.743,1.6093,0.45
2011-08-31,9.62,1178070.0,854.6197,6.743,1.0851,0.45
2011-09-30,10.39,934310.0,923.5048,6.743,1.1726,0.15
2011-10-31,10.16,353040.0,903.0614,6.743,1.1466,0.15
2011-11-30,10.14,676770.0,901.2838,6.743,1.1444,0.15
2011-12-31,10.1,2529430.0,897.284,6.743,1.1393,0.15
2012-01-31,11.72,537840.0,1041.7205,6.743,1.3227,0.15
2012-02-29,16.03,2846780.0,1424.8105,6.743,1.8091,0.15
2012-03-31,13.44,668430.0,1194.601,3.7838,1.153,0.15
2012-04-30,13.86,604180.0,1231.9323,3.902,1.189,0.15
2012-05-31,14.57,1042670.0,1295.0399,4.1019,1.2499,0.15
2012-06-30,11.53,1235570.0,1024.3881,3.2447,0.9887,0.15
2012-07-31,10.0,1207450.0,888.84,2.8153,0.8579,0.15
2012-08-31,9.97,776610.0,885.7291,2.8055,0.8549,0.15
2012-09-30,9.39,897860.0,834.1763,2.6422,0.8051,0.65
2012-10-31,8.98,892620.0,797.7339,2.5267,0.7699,0.65
2012-11-30,8.12,1198250.0,721.2937,2.2846,0.6962,0.65
2012-12-31,8.45,942070.0,751.0698,2.3789,0.7249,0.65
2013-01-31,8.93,1011070.0,793.2897,2.5127,0.7656,0.65
2013-02-28,8.04,1030360.0,714.6274,2.2635,0.6897,0.65
2013-03-31,6.62,1041740.0,587.9677,12.5522,0.5482,0.65
2013-04-30,6.78,690000.0,602.1891,12.8558,0.5615,0.65
2013-05-31,6.9,509150.0,613.2996,13.093,0.5718,0.65
2013-06-30,6.15,10568480.0,546.6385,11.6698,0.5097,0.65
2013-07-31,6.9,830160.0,613.3018,13.093,0.5718,0.65
2013-08-31,6.02,528650.0,535.0836,11.4231,0.4989,0.65
2013-09-30,6.03,174370.0,535.528,11.4326,0.4993,0.1
2013-10-31,6.31,305470.0,560.86,11.9734,0.5229,0.1
2013-11-30,6.1,286900.0,542.1943,11.575,0.5055,0.1
2013-12-31,5.85,294110.0,519.9732,11.1006,0.4848,0.1
2014-01-31,5.55,826560.0,428.2383,10.5313,0.4599,0.1
2014-02-28,7.37,908680.0,568.2838,13.9753,0.6103,0.1
2014-03-31,9.02,1657170.0,695.5979,1001.6667,0.7062,0.1
2014-04-30,9.5,487590.0,732.6348,1055.0,0.7438,0.1
2014-05-31,11.08,2170480.0,854.9334,1231.1111,0.8679,0.1
2014-06-30,11.16,1734330.0,861.1062,1240.0,0.8742,0.1
2014-07-31,13.36,1135840.0,1030.4726,1483.8889,1.0461,0.1
2014-08-31,10.84,513990.0,836.0292,1203.8889,0.8487,0.1
2014-09-30,21.4,3208690.0,1650.8394,2377.2222,1.676,0.1
2014-10-31,32.39,10337410.0,2498.8285,3598.3333,2.5368,0.1
2014-11-30,48.1,7626477.0,3711.3987,5344.4444,3.7679,0.1
2014-12-31,41.45,2319753.0,3198.2844,4605.5556,3.2469,0.1
2015-01-31,58.0,4110039.0,4475.2833,6444.4444,4.5434,0.1
2015-02-28,58.4,3206622.0,4506.1442,6488.8889,4.5747,0.1
2015-03-31,55.95,2144525.0,4317.1052,27.4265,3.8897,0.1
2015-04-30,58.4,10251650.0,4506.1473,28.6275,4.06,0.1
2015-05-31,73.55,3581977.0,5675.1222,36.0539,5.1132,0.1
2015-06-30,76.25,5904424.0,5883.4544,37.3775,5.3009,0.1
2015-07-31,95.4,6241216.0,7361.0694,46.7647,6.6322,0.1
2015-08-31,71.0,5013935.0,5478.3641,34.8039,4.9359,0.1
2015-09-30,77.7,1882699.0,5995.3364,38.0882,5.4017,0.35
2015-10-31,82.95,3402434.0,6400.4267,40.6618,5.7667,0.35
2015-11-30,84.1,1640102.0,6489.1608,41.2255,5.8467,0.35
2015-12-31,122.7,10557490.0,9467.539,60.1471,8.5301,0.35
2016-01-31,90.25,5608111.0,6963.6952,44.2402,6.2742,0.35
2016-02-29,59.3,4285969.0,4575.5914,29.0686,4.1226,0.35
2016-03-31,73.8,4141415.0,5694.4122,246.0,5.0674,0.35
2016-04-30,80.2,2870286.0,6188.2366,267.3333,5.5069,0.35
2016-05-31,68.65,1292140.0,5297.0379,228.8333,4.7138,0.35
2016-06-30,83.35,4540624.0,6431.2908,277.8333,5.7232,0.35
2016-07-31,83.3,2307231.0,6427.4328,277.6667,5.7197,0.35
2016-08-31,77.45,1785663.0,5976.0464,258.1667,5.318,0.35
2016-09-30,79.0,3007466.0,6095.6445,263.3333,5.4245,0.1
2016-10-31,78.1,1400406.0,6026.2005,260.3333,5.3627,0.1
2016-11-30,66.7,1648150.0,5146.5758,222.3333,4.5799,0.1
2016-12-31,70.35,4753247.0,5428.21,234.5,4.8305,0.1
2017-01-31,72.4,5925036.0,5586.3881,241.3333,4.9713,0.1
2017-02-28,68.85,7568453.0,5312.4699,229.5,4.7275,0.1
2017-03-31,66.55,5035045.0,5135.0018,71.5591,4.2955,0.1
2017-04-30,61.9,4991088.0,4776.2075,66.5591,3.9953,0.1
2017-05-31,53.95,4335877.0,4162.7851,58.0108,3.4822,0.1
2017-06-30,50.0,2846064.0,3858.0029,53.7634,3.2273,0.1
2017-07-31,57.0,5406300.0,4398.1233,61.2903,3.6791,0.1
2017-08-31,50.25,2104994.0,3877.2929,54.0323,3.2434,0.1
2017-09-30,49.6,3027436.0,3827.1388,53.3333,3.2014,0.15
2017-10-31,87.1,15673424.0,6720.641,93.6559,5.6219,0.15
2017-11-30,107.35,21208076.0,8283.1323,115.4301,6.9289,0.15
2017-12-31,151.1,22832809.0,11658.8849,162.4731,9.7527,0.15
2018-01-31,121.0,9010215.0,9336.3671,130.1075,7.8099,0.15
2018-02-28,117.45,4735800.0,9062.449,126.2903,7.5808,0.15
2018-03-31,114.3,10533213.0,8819.3949,124.5161,7.4475,0.15
2018-04-30,120.3,4600984.0,9282.3552,124.5161,7.8385,0.15
2018-05-31,101.9,2570012.0,7862.6101,124.5161,6.6396,0.15
2018-06-30,95.2,10226567.0,7345.6377,124.5161,6.203,0.15
