SBIN IN Equity,price,volume,mc,pe,bm,div
2009-03-31,106.71,971262140.0,677480.4532,5.6035,0.936,2.15
2009-04-30,127.86,822429800.0,811757.5742,6.7141,1.1215,2.15
2009-05-31,186.89,818418370.0,1186495.497,9.8136,1.6393,2.15
2009-06-30,174.53,669822550.0,1108056.112,8.3923,1.5483,2.9
2009-07-31,181.17,656585140.0,1150180.361,8.7113,1.5483,2.9
2009-08-31,174.29,442144480.0,1106532.361,8.3807,1.5483,2.9
2009-09-30,219.49,499677060.0,1393529.827,10.0425,1.5483,2.9
2009-10-31,219.11,764504160.0,1391053.874,10.0247,1.5483,2.9
2009-11-30,223.96,638623610.0,1421845.555,10.2466,1.5483,2.9
2009-12-31,226.9,510386610.0,1440542.731,10.6144,1.5483,2.9
2010-01-31,205.66,477476780.0,1305694.297,9.6208,1.5483,2.9
2010-02-28,197.43,459558850.0,1253443.633,9.2358,1.5483,2.0
2010-03-31,207.82,369829260.0,1319407.587,10.5054,1.5871,2.0
2010-04-30,230.07,431446580.0,1460674.426,11.6302,1.757,2.0
2010-05-31,226.88,478090380.0,1440421.749,11.4689,1.7326,2.0
2010-06-30,230.2,385290010.0,1461501.78,11.1003,1.7497,3.0
2010-07-31,250.29,356505870.0,1589049.793,12.0691,1.7497,3.0
2010-08-31,276.64,484452690.0,1756658.686,13.3397,1.7497,3.0
2010-09-30,324.04,482760600.0,2057679.579,16.4865,1.7497,3.0
2010-10-31,315.06,299243490.0,2000625.118,16.0294,1.7497,3.0
2010-11-30,299.22,704421820.0,1900041.299,15.2235,1.7497,3.0
2010-12-31,281.19,710583200.0,1785551.1,13.8564,1.7497,3.0
2011-01-31,264.24,736887150.0,1677921.34,13.0212,1.7497,3.0
2011-02-28,263.04,620582590.0,1670333.142,12.9623,1.7497,3.0
2011-03-31,276.53,467872270.0,1755962.839,16.4327,1.7497,3.0
2011-04-30,280.46,345369090.0,1780918.341,16.6663,1.7497,2.0
2011-05-31,229.79,754149820.0,1459195.966,13.6555,1.7497,5.0
2011-06-30,240.46,491528240.0,1526950.322,16.0673,1.7497,5.0
2011-07-31,234.48,349904780.0,1488945.75,15.6674,1.7497,5.0
2011-08-31,197.38,563022530.0,1253361.112,13.1885,1.7497,3.0
2011-09-30,191.11,782298980.0,1213514.923,11.4379,1.3361,3.0
2011-10-31,190.63,763241600.0,1210499.725,11.4094,1.3328,3.0
2011-11-30,176.24,887746970.0,1119154.957,10.5485,1.2322,3.0
2011-12-31,161.91,842132660.0,1028096.098,9.1652,1.1388,3.0
2012-01-31,206.16,632074620.0,1309115.199,11.6705,1.1388,3.0
2012-02-29,224.76,894765000.0,1427193.329,12.7231,1.1388,3.0
2012-03-31,209.64,736670960.0,1331181.434,8.8699,1.3242,3.0
2012-04-30,213.81,544006650.0,1434760.97,9.0465,1.3506,3.0
2012-05-31,205.61,961243240.0,1379701.703,8.6994,1.2988,3.5
2012-06-30,215.9,828888420.0,1448785.723,7.8625,1.3255,3.5
2012-07-31,200.51,620117500.0,1345511.928,7.3021,1.3255,3.5
2012-08-31,183.74,750010800.0,1232944.163,6.6912,1.3255,3.5
2012-09-30,224.06,623901090.0,1503543.062,7.7765,1.2914,3.5
2012-10-31,211.03,576490150.0,1416073.319,7.3241,1.2163,3.5
2012-11-30,217.03,496339700.0,1456369.631,7.5325,1.2509,3.5
2012-12-31,238.55,461938840.0,1600778.535,8.2431,1.3109,3.5
2013-01-31,243.8,487324170.0,1636008.412,8.4245,1.3398,3.5
2013-02-28,208.09,507469860.0,1396378.056,7.1906,1.1435,3.5
2013-03-31,207.28,489047750.0,1390909.121,7.7679,1.134,3.5
2013-04-30,226.43,402773820.0,1548858.221,8.4857,1.2388,3.5
2013-05-31,204.68,597289280.0,1400046.583,7.6704,1.1197,4.15
2013-06-30,195.38,526742940.0,1336465.665,7.6013,1.0152,4.15
2013-07-31,170.84,581591780.0,1168603.68,6.6465,0.8877,4.15
2013-08-31,151.89,659978840.0,1039013.396,5.9095,0.7893,4.15
2013-09-30,161.49,576320720.0,1104646.501,6.9079,0.8097,4.15
