ADANIENS IN Equity,price,volume,mc,pe,bm,div
2025-02-28,650.9,33236640.0,781914.8717,63.6293,5.7436,0.0
2025-03-31,872.0,62319956.0,1047518.464,98.7767,4.7467,0.0
2025-04-30,899.65,47773548.0,1080733.929,101.9088,4.8972,0.0
2025-05-31,867.2,50269666.0,1041752.307,98.233,4.7206,0.0
2025-06-30,881.75,84091685.0,1059230.97,99.8811,4.7998,0.0
2025-07-31,808.4,40473888.0,971116.8878,91.5723,4.4005,0.0
2025-08-31,764.15,60988360.0,917960.1309,86.5599,4.1597,0.0
2025-09-30,872.25,56782834.0,1047818.785,98.805,4.7481,0.0
2025-10-31,986.2,37190537.0,1184704.942,111.7128,5.3684,0.0
2025-11-30,994.55,24428342.0,1194735.652,112.6587,5.4138,0.0
2025-12-31,1027.35,23515695.0,1234137.722,116.3741,5.5924,0.0
2026-01-31,894.8,38888360.0,1074907.708,101.3594,4.8708,0.0
2026-02-28,1011.55,31824752.0,1215157.457,114.5843,5.5064,0.0
2026-03-31,987.0,4277197.0,1185665.968,111.8034,5.3727,0.0
