ADANIENS IN Equity,price,volume,mc,pe,bm,div
2016-03-31,34.35,20398686.0,37778.4755,10.2537,1.414,0.0
2016-04-30,31.6,33232433.0,34753.9979,9.4328,1.3008,0.0
2016-05-31,31.9,27121037.0,35083.9409,9.5224,1.3131,0.0
2016-06-30,38.7,23769700.0,42562.6493,11.5522,1.593,0.0
2016-07-31,39.2,33087896.0,43112.5543,11.7015,1.6136,0.0
2016-08-31,39.75,45047443.0,43717.4498,11.8657,1.6362,0.0
2016-09-30,38.15,20623898.0,41957.7537,11.3881,1.5704,0.0
2016-10-31,45.55,34943314.0,50096.3482,13.597,1.875,0.0
2016-11-30,58.25,53802066.0,64063.9359,17.3881,2.3978,0.0
2016-12-31,56.75,38670668.0,62414.2208,16.9403,2.336,0.0
2017-01-31,63.25,22389008.0,69562.9862,18.8806,2.6036,0.0
2017-02-28,61.8,15323387.0,67968.2616,18.4478,2.5439,0.0
2017-03-31,64.15,16657095.0,70552.8153,16.9261,2.3944,0.0
2017-04-30,77.65,66840736.0,85400.251,20.4881,2.8983,0.0
2017-05-31,121.0,54753233.0,133077.0171,31.9261,4.5164,0.0
2017-06-30,124.05,39909058.0,136431.4378,32.7309,4.6302,0.0
2017-07-31,125.05,10007699.0,137531.2478,32.9947,4.6676,0.0
2017-08-31,127.05,12056771.0,139730.8679,33.5224,4.7422,0.0
2017-09-30,152.8,23164899.0,168050.977,40.3166,5.7034,0.0
2017-10-31,208.0,41051376.0,228760.4922,54.8813,7.7637,0.0
2017-11-30,183.7,28325762.0,202035.1078,48.4697,6.8567,0.0
2017-12-31,224.15,33019690.0,246522.4247,59.1425,8.3665,0.0
2018-01-31,208.9,25635947.0,229750.3213,55.1187,7.7973,0.0
2018-02-28,203.0,16319265.0,223261.4468,53.562,7.5771,0.0
2018-03-31,193.7,24316946.0,213033.2131,37.2781,5.0627,0.0
2018-04-30,168.6,64154789.0,185427.98,32.4475,4.4067,0.0
2018-05-31,136.05,36735591.0,149629.1618,26.1832,3.5559,0.0
2018-06-30,156.15,16051473.0,171735.3445,30.0515,4.0813,0.0
2018-07-31,169.85,17818326.0,186802.7426,32.6881,4.4394,0.0
2018-08-31,228.9,58842427.0,251746.528,44.0524,5.9828,0.0
2018-09-30,160.4,9518915.0,176409.5373,30.8694,4.1924,0.0
2018-10-31,166.45,2049859.0,183063.3883,32.0338,4.3505,0.0
2018-11-30,225.1,14626526.0,247567.2497,43.3211,5.8834,0.0
2018-12-31,198.4,5591171.0,218202.3205,38.1826,5.1856,0.0
2019-01-31,213.4,5518313.0,234699.4717,41.0694,5.5776,0.0
2019-02-28,203.85,5247013.0,224196.2854,39.2315,5.328,0.0
2019-03-31,217.4,7632509.0,239098.712,42.7573,5.1587,0.0
2019-04-30,219.05,2469609.0,240913.3987,43.0818,5.1979,0.0
2019-05-31,235.9,5490087.0,259445.1986,46.3958,5.5977,0.0
2019-06-30,224.15,2479509.0,246522.4301,44.0848,5.3189,0.0
2019-07-31,207.35,2711828.0,228045.6207,40.7807,4.9202,0.0
2019-08-31,234.15,1922186.0,257520.5309,46.0516,5.5562,0.0
2019-09-30,228.6,3274467.0,251416.585,44.96,5.4245,0.0
2019-10-31,274.1,6953594.0,301457.9438,53.9088,6.5042,0.0
2019-11-30,310.15,10634245.0,341106.0972,60.9989,7.3596,0.0
2019-12-31,331.4,14006051.0,364477.0615,65.1783,7.8638,0.0
2020-01-31,332.1,6027791.0,365246.9286,65.316,7.8804,0.0
2020-02-29,251.9,5276415.0,277042.1599,49.5426,5.9774,0.0
2020-03-31,189.05,8969572.0,207919.0962,29.4299,3.9835,0.0
2020-04-30,206.85,3221955.0,227495.7157,32.2008,4.3585,0.0
2020-05-31,173.9,7918995.0,191256.9734,27.0714,3.6642,0.0
2020-06-30,260.2,57566052.0,286170.5836,40.506,5.4827,0.0
2020-07-31,235.85,8031948.0,259390.2081,36.7153,4.9696,0.0
2020-08-31,253.3,18573453.0,278581.894,39.4318,5.3373,0.0
2020-09-30,241.8,11020663.0,265934.0781,37.6416,5.095,0.0
2020-10-31,290.15,10051427.0,319109.8886,45.1684,6.1138,0.0
2020-11-30,376.3,20048136.0,413858.5252,58.5795,7.929,0.0
2020-12-31,437.5,22364280.0,481166.9008,68.1067,9.2186,0.0
2021-01-31,460.15,16476095.0,506077.5986,71.6327,9.6958,0.0
2021-02-28,750.0,36077465.0,824857.5442,116.7543,15.8033,0.0
2021-03-31,908.4,26625375.0,999067.4576,81.6173,16.4062,0.0
2021-04-30,1049.9,27047924.0,1154690.581,94.3306,18.9617,0.0
2021-05-31,1473.6,62238342.0,1620680.103,132.3989,26.614,0.0
2021-06-30,1059.45,11893065.0,1165193.767,95.1887,19.1342,0.0
2021-07-31,893.45,4086383.0,982625.3187,80.274,16.1362,0.0
2021-08-31,1580.6,4423399.0,1738359.817,142.0126,28.5465,0.0
2021-09-30,1558.5,22289786.0,1714054.014,140.027,28.1473,0.0
2021-10-31,1767.4,2829340.0,1943804.341,158.796,31.9202,0.0
2021-11-30,1799.5,2829867.0,1979108.244,161.6801,32.4999,0.0
2021-12-31,1740.85,6348908.0,1914604.383,156.4106,31.4407,0.0
2022-01-31,1970.9,1912432.0,2167615.693,177.08,35.5955,0.0
2022-02-28,2134.4,4478211.0,2347434.641,191.77,38.5484,0.0
2022-03-31,2368.15,9068811.0,2604515.248,258.6436,37.9824,0.0
2022-04-30,2789.5,11401985.0,3067920.227,304.6624,44.7403,0.0
2022-05-31,2055.0,8649519.0,2292337.464,224.4421,32.9598,0.0
2022-06-30,2473.65,11623003.0,2759338.475,270.1661,39.6745,0.0
2022-07-31,3109.6,10676396.0,3468736.047,339.623,49.8744,0.0
2022-08-31,3960.7,11970293.0,4418131.87,432.5781,63.525,0.0
2022-09-30,3289.8,12499126.0,3669747.829,359.304,52.7646,0.0
2022-10-31,3348.7,12202263.0,3735450.348,365.7369,53.7092,0.0
2022-11-30,2908.5,16813029.0,3244410.469,317.6593,46.6489,0.0
2022-12-31,2589.25,13762365.0,2888289.43,282.7916,41.5285,0.0
2023-01-31,1774.0,21642546.0,1978884.02,193.752,28.4529,0.0
2023-02-28,642.9,21458873.0,717150.2459,70.216,10.3114,0.0
2023-03-31,993.05,44057035.0,1107740.009,89.7508,9.4984,0.0
2023-04-30,1029.45,13521155.0,1148343.943,93.0406,9.8465,0.0
2023-05-31,776.7,69968284.0,866403.1669,70.1974,7.429,0.0
2023-06-30,767.25,91962113.0,855861.761,69.3433,7.3386,0.0
2023-07-31,820.7,30531479.0,915484.8449,74.174,7.8499,0.0
2023-08-31,811.95,113536679.0,905724.284,73.3832,7.7662,0.0
2023-09-30,810.25,61509780.0,903827.9464,73.2296,7.7499,0.0
2023-10-31,769.8,10390589.0,858706.2674,69.5737,7.363,0.0
2023-11-30,872.65,36257105.0,973434.6898,78.8692,8.3467,0.0
2023-12-31,1045.75,133124501.0,1166526.473,94.5138,10.0024,0.0
2024-01-31,1067.85,57306444.0,1191178.862,96.5112,10.2138,0.0
2024-02-29,1064.85,64802511.0,1187832.384,96.2401,10.1851,0.0
2024-03-31,1026.7,53672312.0,1145276.338,100.366,9.0596,0.0
2024-04-30,1065.2,27692283.0,1188222.806,104.1296,9.3993,0.0
2024-05-31,1122.8,44035742.0,1252475.185,109.7603,9.9076,0.0
2024-06-30,997.35,71700705.0,1112536.627,97.4969,8.8006,0.0
2024-07-31,1138.05,47182741.0,1269486.448,111.2511,10.0422,0.0
2024-08-31,1007.4,114530229.0,1210172.134,98.4793,8.8893,0.0
2024-09-30,1009.65,42558488.0,1212875.02,98.6993,8.9092,0.0
2024-10-31,976.2,56971360.0,1172692.115,95.4293,8.614,0.0
2024-11-30,840.5,162566982.0,1009678.061,82.1638,7.4166,0.0
2024-12-31,806.2,61853726.0,968474.066,78.8108,7.1139,0.0
2025-01-31,748.35,58779924.0,898979.8651,73.1556,6.6035,0.0
