MDA IN Equity,price,volume,mc,pe,bm,div
2020-07-31,66.8,30606707.0,15178.4486,10.9688,1.5519,0.8
2020-08-31,73.55,31559969.0,16712.1991,12.0772,1.7087,0.8
2020-09-30,73.2,9499217.0,16632.6713,12.0197,1.7006,0.8
2020-10-31,67.65,6035030.0,15371.5879,11.1084,1.5717,0.8
2020-11-30,81.45,27410208.0,18507.2555,13.3744,1.8923,0.35
2020-12-31,89.7,32963317.0,20381.8394,14.7291,2.0839,0.35
2021-01-31,89.2,19362231.0,21325.8842,14.647,2.0723,0.35
2021-02-28,103.15,26309764.0,24661.0421,16.9376,2.3964,0.65
2021-03-31,100.5,17886856.0,24027.4816,24.3341,2.0955,0.65
2021-04-30,101.25,9607261.0,24206.7912,24.5157,2.1112,0.3
2021-05-31,125.6,28957094.0,30028.375,30.4116,2.6189,0.3
2021-06-30,128.2,26273807.0,30649.9815,31.0412,2.6731,0.3
2021-07-31,138.8,22275973.0,33184.2246,33.6077,2.8941,0.65
2021-08-31,119.75,10813458.0,28629.7615,28.9952,2.4969,0.65
2021-09-30,127.05,17582020.0,30375.0413,30.7627,2.6491,0.65
2021-10-31,155.7,23817620.0,37224.6669,37.6998,3.2465,0.65
2021-11-30,163.4,31922168.0,39065.5785,39.5642,3.4071,0.65
2021-12-31,168.6,22725792.0,40308.7916,40.8232,3.5155,0.65
2022-01-31,198.6,62963103.0,47481.1744,48.0872,4.141,0.65
2022-02-28,197.8,17678690.0,47289.9109,47.8935,4.1244,0.65
2022-03-31,206.8,28108063.0,49441.6257,25.3431,3.7171,0.65
2022-04-30,247.9,49189867.0,59267.7902,30.3799,4.4559,0.65
2022-05-31,209.95,31669630.0,50194.7259,25.7292,3.7738,0.65
2022-06-30,201.5,18218491.0,48174.5047,24.6936,3.6219,0.65
2022-07-31,222.25,12802561.0,53135.4029,27.2365,3.9948,1.0
2022-08-31,226.0,17579334.0,54031.9507,27.6961,4.0622,1.0
2022-09-30,207.25,10271666.0,49549.2115,25.3983,3.7252,1.0
2022-10-31,194.75,6219113.0,46560.7186,23.8664,3.5005,1.0
2022-11-30,210.6,11869797.0,50350.1275,25.8088,3.7854,1.0
2022-12-31,204.55,9577650.0,48903.697,25.0674,3.6767,1.0
2023-01-31,213.15,20920910.0,50959.7801,26.1213,3.8313,1.0
2023-02-28,192.9,17435238.0,46118.4217,23.6397,3.4673,1.1
2023-03-31,215.15,17941404.0,51437.9389,17.781,3.2335,1.1
2023-04-30,282.9,29707765.0,67635.5702,23.3802,4.2517,1.1
2023-05-31,283.95,19493607.0,67886.6036,23.4669,4.2675,1.1
2023-06-30,282.5,30053159.0,67539.9384,23.3471,4.2457,1.1
2023-07-31,308.85,37092462.0,73839.6813,25.5248,4.6417,1.2
2023-08-31,327.2,41864316.0,78226.7888,27.0413,4.9174,1.2
2023-09-30,333.0,17318275.0,79613.4495,27.5207,5.0046,1.2
2023-10-31,325.8,22992814.0,77892.0776,26.9256,4.8964,1.2
2023-11-30,365.25,40371509.0,87323.7611,30.186,5.4893,1.2
2023-12-31,386.25,18082624.0,92344.4291,31.9215,5.8049,1.2
2024-01-31,412.5,17556183.0,98620.2641,34.0909,6.1994,1.2
2024-02-29,420.7,25141305.0,100580.7154,34.7686,6.3226,1.3
2024-03-31,417.7,6050821.0,99863.4771,43.285,5.0421,1.3
2024-04-30,408.05,9902199.0,97556.3606,42.285,4.9256,1.3
2024-05-31,425.35,10375330.0,101692.4347,44.0777,5.1344,1.3
2024-06-30,481.4,20487451.0,115092.8366,49.886,5.811,1.3
2024-07-31,493.3,7649470.0,117937.8818,51.1192,5.9547,1.3
2024-08-31,567.95,35026261.0,135785.1611,58.8549,6.8558,1.4
2024-09-30,601.95,35824322.0,143913.8617,62.3782,7.2662,1.4
2024-10-31,513.95,10830830.0,122874.872,53.2591,6.2039,1.4
2024-11-30,495.55,6719515.0,118475.8105,51.3523,5.9818,1.4
2024-12-31,489.5,7414415.0,117029.38,50.7254,5.9088,1.4
2025-01-31,570.4,22162282.0,136370.9057,59.1088,6.8853,1.4
2025-02-28,480.3,8288104.0,114829.8493,49.772,5.7977,1.4
2025-03-31,539.3,6541994.0,128935.5355,49.7051,5.8549,1.4
2025-04-30,486.45,2882238.0,116300.1878,44.8341,5.2811,1.4
2025-05-31,522.75,6067430.0,124978.771,48.1797,5.6752,1.4
2025-06-30,521.5,6836419.0,124679.9217,48.0645,5.6616,1.4
2025-07-31,499.3,7690232.0,119372.3584,46.0184,5.4206,1.4
2025-08-31,498.85,7096842.0,119264.7727,45.977,5.4157,1.4
2025-09-30,569.45,38770642.0,136143.7803,52.4839,6.1822,1.4
2025-10-31,563.7,10790877.0,134769.0736,51.9539,6.1197,1.4
2025-11-30,581.25,16471323.0,138964.9175,53.5714,6.3103,1.4
2025-12-31,574.1,6506957.0,137255.4996,52.9124,6.2327,1.4
2026-01-31,562.85,6733355.0,134565.856,51.8756,6.1105,1.4
2026-02-28,555.55,5400773.0,132820.5762,51.2028,6.0313,1.5
2026-03-31,530.95,751560.0,126939.2252,48.9355,5.7642,1.5
