MDA IN Equity,price,volume,mc,pe,bm,div
2015-02-28,92.75,6908.0,19413.6877,24.4658,5.0766,0.4
2015-03-31,92.45,111230.0,19350.8616,21.6295,4.2422,0.4
2015-04-30,90.0,13749.0,18838.0481,21.0563,4.1297,0.4
2015-05-31,91.35,108475.0,19120.6188,21.3722,4.1917,0.4
2015-06-30,87.55,457929.0,18325.2346,20.4831,4.0173,0.4
2015-07-31,75.3,12833255.0,15761.1669,17.6171,3.4552,0.4
2015-08-31,73.85,3817838.0,15457.665,17.2779,3.3887,0.4
2015-09-30,71.85,2147018.0,15039.0417,16.81,3.2969,0.4
2015-10-31,75.85,428471.0,15876.2883,17.7458,3.4804,0.4
2015-11-30,91.75,5828302.0,19204.3435,21.4658,4.21,0.4
2015-12-31,96.8,6969857.0,20261.3673,22.6473,4.4418,0.4
2016-01-31,92.3,2082145.0,19319.4649,21.5944,4.2353,0.4
2016-02-29,93.9,1605866.0,19654.3635,21.9688,4.3087,0.4
2016-03-31,104.05,2571190.0,21778.8767,20.3223,3.9383,0.4
2016-04-30,115.6,1925202.0,24196.4262,22.5781,4.3755,0.4
2016-05-31,114.75,555506.0,24018.5113,22.4121,4.3433,0.4
2016-06-30,117.65,1611175.0,24625.5151,22.9785,4.4531,0.4
2016-07-31,117.65,3276381.0,24625.5151,22.9785,4.4531,0.4
2016-08-31,113.6,1776467.0,23777.8029,22.1875,4.2998,0.4
2016-09-30,99.25,23835331.0,20774.1808,19.3848,3.7566,0.5
2016-10-31,113.95,7252379.0,23851.062,22.2559,4.313,0.5
2016-11-30,95.05,2544189.0,19895.0719,18.5645,3.5977,0.5
2016-12-31,88.7,1478861.0,18565.943,17.3242,3.3573,0.5
2017-01-31,89.0,10180906.0,18628.7365,17.3828,3.3687,0.5
2017-02-28,96.2,8372013.0,20135.7803,18.7891,3.6412,0.5
2017-03-31,93.85,2950237.0,19643.8979,19.2316,3.1375,0.5
2017-04-30,112.25,13358771.0,23495.2322,23.002,3.7527,0.5
2017-05-31,101.7,4750138.0,21286.9943,20.8402,3.4,0.5
2017-06-30,109.25,3601147.0,22867.2973,22.3873,3.6524,0.5
2017-07-31,105.35,8032269.0,22050.9819,21.5881,3.522,0.5
2017-08-31,109.0,6741446.0,22814.9694,22.3361,3.644,0.5
2017-09-30,125.05,41074527.0,26174.4213,25.625,4.1806,0.5
2017-10-31,142.35,16252169.0,29795.5127,29.1701,4.7589,0.5
2017-11-30,195.4,30705489.0,40899.4956,40.041,6.5325,0.5
2017-12-31,214.35,20174924.0,44865.9513,43.9242,7.166,0.5
2018-01-31,199.6,9905181.0,41778.6045,40.9016,6.6729,0.5
2018-02-28,187.25,6589282.0,39193.6046,38.3709,6.26,0.55
2018-03-31,177.4,4837927.0,37131.8849,25.3791,4.9811,0.55
2018-04-30,184.3,18352288.0,38576.1353,26.3662,5.1748,0.55
2018-05-31,178.8,10844959.0,40627.3446,25.5794,5.0204,0.55
2018-06-30,166.7,10688821.0,37877.9549,23.8484,4.6807,0.55
2018-07-31,164.15,6338950.0,37298.5381,23.4835,4.6091,0.6
2018-08-31,152.45,6112222.0,34640.0373,21.8097,4.2805,0.6
2018-09-30,134.05,3653051.0,30459.1473,19.1774,3.7639,0.6
2018-10-31,120.35,3703593.0,27346.202,17.2175,3.3792,0.6
2018-11-30,138.7,4089934.0,31515.7309,19.8426,3.8945,0.6
2018-12-31,147.7,2558038.0,33560.7315,21.1302,4.1472,0.6
2019-01-31,140.65,2503871.0,31958.8144,20.1216,3.9492,0.6
2019-02-28,147.05,2867106.0,33413.037,21.0372,4.1289,0.6
2019-03-31,135.75,2998190.0,30845.4252,17.6528,2.5698,0.6
2019-04-30,127.05,1492450.0,28868.5913,16.5215,2.4051,0.6
2019-05-31,118.9,2690565.0,27016.7297,15.4616,2.2508,0.6
2019-06-30,110.5,1298417.0,25108.0625,14.3693,2.0918,0.6
2019-07-31,83.95,3038878.0,19075.3108,10.9168,1.5892,0.6
2019-08-31,99.25,4766414.0,22551.8118,12.9064,1.8788,0.6
2019-09-30,95.15,3141991.0,21620.2004,12.3732,1.8012,0.7
2019-10-31,99.6,2870215.0,22631.3396,12.9519,1.8854,0.7
2019-11-30,90.8,5309295.0,20631.7835,11.8075,1.7188,0.7
2019-12-31,100.35,6384620.0,22801.7563,13.0494,1.8996,0.7
2020-01-31,103.0,8821667.0,23403.8954,13.394,1.9498,0.7
2020-02-29,106.95,9436969.0,24301.4234,13.9077,2.0246,0.8
2020-03-31,57.7,4743344.0,13110.7258,9.4745,1.3405,0.8
2020-04-30,68.75,10096457.0,15621.5321,11.289,1.5972,0.8
2020-05-31,58.6,9755514.0,13315.2259,9.6223,1.3614,0.8
2020-06-30,73.3,46125426.0,16655.3935,12.0361,1.7029,0.8
