LTTS IN Equity,price,volume,mc,pe,bm,div
2017-06-30,717.05,479265.0,72917.0953,17.5835,4.9192,3.0
2017-07-31,761.15,854538.0,77401.6415,18.6649,4.9192,3.0
2017-08-31,768.95,369263.0,78425.5139,18.8562,4.9192,7.0
2017-09-30,781.95,474435.0,79751.3891,18.6847,4.7094,7.0
2017-10-31,833.0,342436.0,84957.9987,19.9046,5.0169,7.0
2017-11-30,1022.35,1349137.0,104534.1834,24.4291,6.1573,8.0
2017-12-31,1028.25,1119472.0,105137.452,23.5928,6.1672,8.0
2018-01-31,1209.4,2843352.0,123910.3372,27.7492,6.1672,8.0
2018-02-28,1393.7,3368198.0,142792.9927,31.9779,6.1672,8.0
2018-03-31,1235.6,1939248.0,126594.6917,24.9046,6.5376,8.0
2018-04-30,1329.6,4462424.0,136225.5601,26.7993,7.035,8.0
2018-05-31,1326.0,2339798.0,135862.0091,26.7267,7.0159,8.0
2018-06-30,1218.1,1468461.0,124806.5711,20.5383,6.0817,8.0
2018-07-31,1466.75,2929845.0,150309.3748,24.7308,7.3231,8.0
2018-08-31,1761.65,4146640.0,182591.2297,29.703,8.7955,24.0
2018-09-30,1736.25,3207750.0,179958.5744,26.3073,8.8837,24.0
2018-10-31,1700.8,3560592.0,176284.2582,25.7702,8.7024,24.0
2018-11-30,1549.1,1688296.0,161059.9843,23.4717,7.9262,19.5
2018-12-31,1708.35,1998790.0,177617.2127,23.9114,7.8825,19.5
2019-01-31,1585.25,2951180.0,164887.1235,22.1884,7.3145,19.5
2019-02-28,1535.75,2468928.0,159738.4639,21.4955,7.0861,19.5
2019-03-31,1572.25,1950873.0,163534.9502,21.1252,6.5965,19.5
2019-04-30,1737.3,2035751.0,180702.3495,23.3429,7.289,19.5
2019-05-31,1758.8,3036453.0,182953.0318,23.6317,7.3792,19.5
2019-06-30,1745.65,3214426.0,181585.1489,23.3719,6.8465,19.5
2019-07-31,1441.05,2674517.0,149901.0616,19.2937,5.6518,21.0
2019-08-31,1621.2,1619542.0,168640.6447,21.7057,6.3584,21.0
2019-09-30,1522.9,2488894.0,158415.2713,20.1042,6.0116,21.0
2019-10-31,1503.65,2381088.0,156896.9082,19.8501,5.9356,21.0
2019-11-30,1490.75,2187534.0,155550.8702,19.6798,5.8847,21.0
2019-12-31,1468.45,2556166.0,153223.9982,18.9575,5.573,21.0
