INMART IN Equity,price,volume,mc,pe,bm,div
2020-03-31,968.2,3340812.0,56000.688,47.9881,20.3296,5.0
2020-04-30,1123.78,1534586.0,64999.146,55.6991,23.5962,5.0
2020-05-31,1238.7,3399702.0,71646.408,61.3952,26.0093,5.0
2020-06-30,1162.55,4433398.0,67241.892,42.5129,24.8582,5.0
2020-07-31,1414.15,16436544.0,81794.436,51.7136,24.8582,5.0
2020-08-31,1842.83,8540858.0,106670.0823,67.3896,24.8582,5.0
2020-09-30,2497.53,13116344.0,145425.8857,65.8442,34.4696,5.0
2020-10-31,2423.0,3540114.0,141086.444,63.8794,33.441,5.0
2020-11-30,2546.2,2749720.0,148300.8728,67.1275,35.1414,5.0
2020-12-31,3203.6,4624534.0,186587.3709,69.0878,43.1369,5.0
2021-01-31,3901.28,9832874.0,227222.0769,84.1336,43.1369,5.0
2021-02-28,4297.88,7730252.0,260999.0064,92.6865,43.1369,5.0
2021-03-31,3868.98,6569656.0,234953.0013,80.4194,14.5626,5.0
2021-04-30,3974.33,5228450.0,241350.6386,82.6091,14.9591,5.0
2021-05-31,3684.83,9249878.0,223770.0407,76.5917,13.8694,0.0
2021-06-30,3496.08,4830198.0,212454.1983,70.2164,13.1623,0.0
2021-07-31,3572.63,3906906.0,217106.0919,71.7539,13.1623,0.0
2021-08-31,3924.1,3724954.0,239876.8897,78.813,13.1623,7.5
2021-09-30,4189.45,11080480.0,256097.5091,81.7773,14.7335,7.5
2021-10-31,3573.25,8977782.0,218429.7281,69.7492,12.5664,7.5
2021-11-30,3729.95,6725574.0,228008.6656,72.8079,13.1175,7.5
2021-12-31,3238.2,4629264.0,197948.4071,65.435,11.0903,7.5
2022-01-31,2494.35,11788032.0,152477.4903,50.4038,11.0903,7.5
2022-02-28,2387.03,7610010.0,145916.8045,48.2351,11.0903,7.5
2022-03-31,2161.32,6549160.0,132119.9558,43.6832,7.0473,7.5
2022-04-30,2457.38,9500834.0,151249.3376,49.6667,8.0126,7.5
2022-05-31,2277.25,6036032.0,140162.7973,46.0261,7.4253,7.5
2022-06-30,1904.6,6090764.0,117226.5073,44.6427,6.3748,7.5
2022-07-31,2127.07,7052048.0,130238.99,49.8573,6.3748,7.5
2022-08-31,2205.03,7423514.0,135011.8021,51.6844,6.3748,7.5
2022-09-30,2228.93,6171220.0,136475.1787,55.2285,7.262,1.0
2022-10-31,2295.73,3880924.0,140565.2858,56.8837,7.4797,1.0
2022-11-30,2191.8,4082392.0,134202.0466,54.3086,7.1411,1.0
2022-12-31,2159.75,3376900.0,132239.6524,46.2203,6.9692,1.0
2023-01-31,2269.3,3009464.0,138947.3056,48.5648,6.9692,1.0
2023-02-28,2424.48,2833154.0,148448.5386,51.8856,6.9692,1.0
2023-03-31,2509.88,4521496.0,153677.5078,53.9906,7.4569,1.0
2023-04-30,2683.33,4324566.0,164297.7036,57.7217,7.9722,1.0
2023-05-31,2790.28,5691332.0,170846.1609,60.0223,8.29,10.0
2023-06-30,2814.2,3849765.0,172311.0683,53.6996,8.2526,10.0
2023-07-31,3112.4,9500862.0,190569.6002,59.3897,9.127,10.0
2023-08-31,3061.05,3668251.0,187425.4835,58.4099,8.9764,10.0
2023-09-30,2876.3,3966846.0,172518.0234,54.7435,11.1529,10.0
2023-10-31,2649.6,3887627.0,158920.7505,50.4288,10.2739,10.0
2023-11-30,2604.05,4267920.0,156188.7003,49.5619,10.0973,10.0
2023-12-31,2721.9,7161060.0,163257.2429,56.9793,10.8324,10.0
2024-01-31,2521.35,5635619.0,151228.4248,52.781,10.8324,10.0
2024-02-29,2654.7,4824619.0,159226.6442,55.5725,10.8324,10.0
2024-03-31,2645.45,3065170.0,158671.8371,47.8901,9.1349,10.0
2024-04-30,2643.9,3527823.0,158578.8694,47.8621,9.1295,10.0
2024-05-31,2417.7,7199015.0,145011.5861,43.7672,8.3484,10.0
2024-06-30,2680.85,4756872.0,160795.0989,44.2093,9.2809,20.0
2024-07-31,2944.85,7960056.0,176629.594,48.5628,9.2809,20.0
2024-08-31,3000.05,6835003.0,179940.443,49.4731,9.2809,20.0
2024-09-30,2951.8,5334659.0,177046.4491,41.1,9.4342,20.0
2024-10-31,2500.0,13781095.0,149947.87,34.8092,7.9902,20.0
2024-11-30,2344.9,5271551.0,140645.1041,32.6497,7.4945,20.0
2024-12-31,2248.8,4291288.0,134881.108,28.7056,7.2513,20.0
2025-01-31,2066.4,10558480.0,124050.4306,26.3773,7.2513,20.0
2025-02-28,1964.95,3121760.0,117960.1692,25.0823,7.2513,20.0
2025-03-31,2068.7,2266461.0,124188.5046,22.5201,5.6804,20.0
2025-04-30,2308.1,3189567.0,138560.2008,25.1263,6.3377,20.0
2025-05-31,2332.5,3038896.0,140024.9852,25.3919,6.4047,20.0
2025-06-30,2598.0,3770052.0,155963.5205,26.389,7.162,50.0
2025-07-31,2589.2,3981772.0,155435.2376,26.2996,7.162,50.0
2025-08-31,2597.2,1627279.0,155915.4948,26.3809,7.162,50.0
2025-09-30,2356.4,2227716.0,141459.7535,26.2756,6.6174,50.0
2025-10-31,2457.9,2003430.0,147553.0166,27.4074,6.9024,50.0
2025-11-30,2310.0,2466114.0,138674.2619,25.7583,6.4871,50.0
2025-12-31,2223.5,1856984.0,133603.7736,22.0432,6.3099,50.0
2026-01-31,2201.9,4905416.0,132305.8912,21.8291,6.3099,50.0
2026-02-28,2132.0,2202835.0,128105.7995,21.1361,6.3099,50.0
2026-03-31,2062.45,332969.0,123926.7355,20.4466,6.3099,50.0
