NIACL IN Equity,price,volume,mc,pe,bm,div
2017-11-30,316.65,10843962.0,521839.2,24.6428,1.002,1.875
2017-12-31,300.55,4652500.0,495306.4,23.3898,0.9511,1.875
2018-01-31,318.58,5190038.0,525011.6,24.7926,1.0081,1.875
2018-02-28,355.43,3867666.0,585740.4,27.6604,1.1247,1.875
2018-03-31,356.43,1457634.0,587388.4,53.1581,2.2991,1.875
2018-04-30,331.4,1237466.0,546147.2,49.4258,2.1377,1.875
2018-05-31,341.18,3393498.0,562256.4,50.8837,2.2008,1.875
2018-06-30,317.45,1707645.0,523157.6,47.3453,2.0477,6.875
2018-07-31,284.2,1488349.0,468361.6,42.3863,1.8332,6.875
2018-08-31,250.1,1766315.0,412164.8,37.3005,1.6133,6.875
2018-09-30,224.7,2351524.0,370305.6,33.5123,1.4494,6.875
2018-10-31,216.95,2966435.0,357533.6,32.3565,1.3994,6.875
2018-11-30,197.25,735364.0,325068.0,29.4183,1.2724,5.0
2018-12-31,179.75,2201705.0,296228.0,26.8084,1.1595,5.0
2019-01-31,174.85,757140.0,288152.8,26.0776,1.1279,5.0
2019-02-28,172.5,708330.0,284280.0,25.7271,1.1127,5.0
2019-03-31,189.75,6713773.0,312708.0,51.703,1.147,5.0
2019-04-30,180.15,1465824.0,296887.2,49.0872,1.089,5.0
2019-05-31,163.45,943459.0,269365.6,44.5368,0.988,5.0
2019-06-30,149.35,1278548.0,246128.8,40.6948,0.9028,5.0
2019-07-31,114.2,3408410.0,188201.6,31.1172,0.6903,1.5
2019-08-31,105.4,1129731.0,173699.2,28.7193,0.6371,1.5
2019-09-30,109.35,3029054.0,180208.8,29.7956,0.661,1.5
2019-10-31,167.8,23110860.0,276534.4,45.7221,1.0143,1.5
2019-11-30,148.35,9554330.0,244480.8,40.4223,0.8967,1.5
2019-12-31,135.45,8868431.0,223221.6,36.9074,0.8188,1.5
2020-01-31,155.5,13913758.0,256264.0,42.3706,0.94,1.5
2020-02-29,109.45,8946528.0,180373.6,29.8229,0.6616,1.5
2020-03-31,112.3,7981644.0,185070.4,12.8343,0.6476,1.5
2020-04-30,119.85,9510958.0,197512.8,13.6971,0.6911,1.5
2020-05-31,120.8,5668668.0,199078.4,13.8057,0.6966,1.5
2020-06-30,116.65,14476724.0,192239.2,13.3314,0.6727,1.5
2020-07-31,112.7,24688150.0,185729.6,12.88,0.6499,1.5
2020-08-31,113.85,15188494.0,187624.8,13.0114,0.6565,1.5
2020-09-30,104.6,5381160.0,172380.8,11.9543,0.6032,0.0
2020-10-31,101.25,2273828.0,166860.0,11.5714,0.5839,0.0
2020-11-30,117.55,10692993.0,193722.4,13.4343,0.6779,0.0
2020-12-31,128.85,21165259.0,212344.8,14.7257,0.743,0.0
