COHANCE IN Equity,price,volume,mc,pe,bm,div
2020-03-31,100.53,7585522.0,25590.1422,8.0711,3.0293,2.5
2020-04-30,148.3,7416864.0,37751.983,11.9069,4.4689,2.5
2020-05-31,155.85,6874588.0,39673.9484,12.513,4.6965,2.5
2020-06-30,235.2,23254718.0,59873.6777,18.884,7.0876,2.5
2020-07-31,316.63,15874914.0,80601.6292,25.4215,9.5413,2.5
2020-08-31,317.2,18445812.0,80748.004,25.4677,9.5587,2.5
2020-09-30,380.1,18008339.0,96760.1398,30.5179,11.4541,2.5
2020-10-31,314.1,8242774.0,79958.8558,25.2188,9.4652,2.5
2020-11-30,396.95,11576258.0,101049.5633,31.8707,11.9619,2.5
2020-12-31,452.3,11615610.0,115139.7341,36.3147,13.6298,2.5
2021-01-31,461.9,10829740.0,117583.5578,37.0855,13.9191,1.25
2021-02-28,479.4,7678991.0,122038.4447,38.4906,14.4465,1.0
2021-03-31,496.8,6087654.0,126467.8751,34.9122,10.7104,1.0
2021-04-30,541.05,8248604.0,137732.3749,38.0218,11.6643,1.0
2021-05-31,514.15,5208077.0,130884.5773,36.1314,11.0844,1.0
2021-06-30,479.95,8868429.0,122178.4554,33.728,10.3471,1.0
2021-07-31,506.3,6384867.0,128886.2372,35.5798,10.9152,1.0
2021-08-31,536.05,11670461.0,136459.5447,37.6704,11.5565,2.0
2021-09-30,528.25,4880026.0,134473.938,37.1223,11.3884,2.0
2021-10-31,508.6,4966858.0,129471.7366,35.7414,10.9648,2.0
2021-11-30,486.65,4856951.0,123884.0358,34.1989,10.4915,2.0
2021-12-31,493.25,5274475.0,125564.1645,34.6627,10.6338,2.0
2022-01-31,536.85,10149103.0,136663.1966,37.7266,11.5738,2.0
2022-02-28,512.45,6158440.0,130451.8117,36.0119,11.0478,4.0
2022-03-31,618.45,12064901.0,157435.697,34.6859,10.3089,4.0
2022-04-30,603.55,5144194.0,153642.6792,33.8503,10.0605,4.0
2022-05-31,499.95,4466643.0,127269.7498,28.0398,8.3336,5.0
2022-06-30,462.3,3096097.0,117685.3792,25.9282,7.7061,5.0
2022-07-31,478.35,5338867.0,121771.1462,26.8284,7.9736,5.0
2022-08-31,491.1,7715483.0,125016.8499,27.5435,8.1861,5.0
2022-09-30,450.95,9163013.0,114796.0669,25.2916,7.5169,11.0
2022-10-31,398.35,5667766.0,101405.9502,22.3416,6.6401,11.0
2022-11-30,464.85,8005107.0,118334.5198,26.0712,7.7486,11.0
2022-12-31,494.9,12280221.0,125984.1967,27.7566,8.2495,11.0
2023-01-31,493.05,6121040.0,125513.2516,27.6528,8.2186,11.0
2023-02-28,479.95,5555145.0,122178.4506,26.9181,8.0003,8.0
2023-03-31,472.4,3405839.0,120256.4852,29.2327,6.9305,8.0
2023-04-30,471.9,8606553.0,120129.2027,29.2017,6.9231,8.0
2023-05-31,477.0,4517286.0,121427.484,29.5173,6.998,6.0
2023-06-30,485.85,5523975.0,123680.3839,30.065,7.1278,6.0
2023-07-31,494.8,5959723.0,125958.7402,30.6188,7.2591,6.0
2023-08-31,512.65,17487039.0,130502.7247,31.7234,7.521,6.0
2023-09-30,561.35,18879897.0,142900.0381,34.737,8.2354,1.0
2023-10-31,578.7,6183082.0,147316.74,35.8106,8.49,1.0
2023-11-30,659.7,7269432.0,167936.5015,40.823,9.6783,0.0
2023-12-31,722.8,5803603.0,183999.5502,44.7277,10.604,0.0
2024-01-31,672.8,4723791.0,171271.3024,41.6337,9.8705,0.0
2024-02-29,629.4,8112468.0,160223.1833,38.948,9.2338,0.0
2024-03-31,677.1,21519996.0,172365.9317,57.3814,8.4053,0.0
2024-04-30,660.45,3331362.0,168127.4252,55.9703,8.1987,0.0
2024-05-31,617.3,3256017.0,157142.9473,52.3136,7.663,0.0
2024-06-30,804.0,12047254.0,204670.2246,68.1356,9.9807,0.0
2024-07-31,997.2,16228303.0,253852.1741,84.5085,12.379,0.0
2024-08-31,1073.55,9526943.0,273288.2085,90.9788,13.3268,0.0
2024-09-30,1173.0,11711619.0,298604.6934,99.4068,14.5613,0.0
2024-10-31,1313.4,7234711.0,334345.6132,111.3051,16.3042,0.0
2024-11-30,1305.8,4551304.0,332410.9195,110.661,16.2099,0.0
2024-12-31,1138.75,7672595.0,289885.8436,96.5042,14.1362,0.0
2025-01-31,1054.75,5634239.0,268502.3873,89.3856,13.0934,0.0
2025-02-28,1214.7,14906994.0,309220.0521,102.9407,15.079,0.0
2025-03-31,1151.0,6467621.0,293004.2644,89.9922,17.2727,0.0
2025-04-30,1137.1,5736821.0,289465.8115,88.9054,17.0641,0.0
2025-05-31,1047.7,5154491.0,400815.5926,81.9156,15.7225,0.0
2025-06-30,967.9,6606085.0,370286.7348,75.6763,14.5249,0.0
2025-07-31,998.45,5510607.0,381974.1609,78.0649,14.9834,0.0
2025-08-31,880.6,7906244.0,336888.6235,68.8507,13.2149,0.0
2025-09-30,879.1,61455868.0,336314.7728,68.7334,13.1924,0.0
2025-10-31,753.4,15099926.0,288226.0833,58.9054,11.306,0.0
2025-11-30,564.4,22569914.0,215920.8938,44.1282,8.4698,0.0
2025-12-31,528.6,11742465.0,202224.9902,41.3292,7.9325,0.0
2026-01-31,381.3,14527396.0,145872.8505,29.8124,5.722,0.0
2026-02-28,309.95,36735700.0,118576.685,24.2338,4.6513,0.0
2026-03-31,292.8,2051906.0,112015.6539,22.8929,4.3939,0.0
