PCBL IN Equity,price,volume,mc,pe,bm,div
2015-11-30,14.0,37933560.0,4823.7366,45.2913,0.9511,0.1
2015-12-31,12.93,42687300.0,4456.657,41.8447,0.8787,0.1
2016-01-31,10.7,20338560.0,3686.3067,34.6117,0.7268,0.1
2016-02-29,8.28,14743650.0,2852.1915,26.7799,0.5624,0.1
2016-03-31,9.55,25678940.0,3289.9297,20.1517,0.3149,0.1
2016-04-30,11.96,44408970.0,4122.3215,25.2504,0.3945,0.1
2016-05-31,11.83,29050630.0,4075.7903,24.9653,0.3901,0.1
2016-06-30,16.21,114524080.0,5587.1933,34.2231,0.5348,0.1
2016-07-31,20.59,107596540.0,7095.1495,43.4597,0.6791,0.25
2016-08-31,24.81,175761200.0,8551.4044,52.3797,0.8185,0.25
2016-09-30,25.12,120669180.0,8656.5305,53.0236,0.8285,0.25
2016-10-31,27.84,71616950.0,9595.7718,58.7767,0.9184,0.25
2016-11-30,22.97,78927560.0,7915.4777,48.4845,0.7576,0.25
2016-12-31,22.24,36105270.0,7663.8645,46.9433,0.7335,0.25
2017-01-31,25.87,70433130.0,8915.0373,54.607,0.8533,0.25
2017-02-28,30.25,70315160.0,10426.4403,63.8648,0.9979,0.25
2017-03-31,32.99,70536930.0,11370.8518,16.4117,1.0056,0.85
2017-04-30,42.43,68893100.0,14622.8671,21.1054,1.2933,0.85
2017-05-31,43.84,65714410.0,15108.8599,21.8069,1.3362,0.85
2017-06-30,61.06,201657460.0,21045.899,30.3759,1.8613,0.85
2017-07-31,58.34,84930210.0,20106.6577,29.0203,1.7782,0.6
2017-08-31,70.82,138505230.0,24408.2106,35.2288,2.1587,0.6
2017-09-30,80.54,147275750.0,27758.4585,40.0642,2.455,0.6
2017-10-31,92.43,143569610.0,31856.6527,45.9792,2.8174,0.6
2017-11-30,94.37,150715370.0,32525.3243,46.9443,2.8766,1.2
2017-12-31,97.53,38183930.0,33616.223,48.5188,2.973,1.2
2018-01-31,120.68,391578710.0,41595.4659,60.0354,3.6787,1.2
2018-02-28,119.97,77019510.0,41350.7461,59.6822,3.6571,1.2
2018-03-31,108.56,57059500.0,37417.9962,81.5015,2.7162,0.6
2018-04-30,130.4,65645770.0,44945.7139,97.8979,3.2627,0.6
2018-05-31,117.33,47392044.0,40439.0788,88.0818,2.9355,0.6
