MAZDOCKS IN Equity,price,volume,mc,pe,bm,div
2020-10-31,83.38,195623432.0,33631.8077,9.8756,1.0993,0.0
2020-11-30,89.5,97020612.0,36102.5102,10.6011,1.1801,0.0
2020-12-31,109.23,184933478.0,44059.1807,12.9375,1.4401,0.0
2021-01-31,105.43,60917702.0,42526.3367,12.4874,1.39,0.0
2021-02-28,106.6,56633812.0,43000.3082,12.6266,1.4055,2.705
2021-03-31,106.15,48205172.0,42818.7872,8.332,1.2477,2.705
2021-04-30,100.15,18982508.0,40398.5072,7.8611,1.1772,2.705
2021-05-31,104.85,30456870.0,42294.3932,8.23,1.2325,2.705
2021-06-30,121.5,190757976.0,49010.6702,9.5369,1.4282,2.705
2021-07-31,129.73,50895130.0,52328.4705,10.1825,1.5249,2.705
2021-08-31,118.55,32058218.0,47820.699,9.3053,1.3935,2.705
2021-09-30,125.58,29872288.0,50654.4435,9.8568,1.4761,3.62
2021-10-31,128.55,40039898.0,51854.499,10.0903,1.511,3.62
2021-11-30,130.15,63819124.0,52499.907,10.2159,1.5298,3.62
2021-12-31,139.4,16540322.0,56231.172,10.9419,1.6386,3.62
2022-01-31,135.48,14231320.0,54647.9055,10.6338,1.5924,7.17
2022-02-28,120.3,8299532.0,48526.614,9.4427,1.4141,4.465
2022-03-31,119.85,9150148.0,48345.093,7.9135,1.2532,4.465
2022-04-30,150.1,82894490.0,60547.338,9.9109,1.5695,4.465
2022-05-31,138.38,22276480.0,55817.7075,9.1367,1.4469,4.465
2022-06-30,123.13,13690838.0,49666.1625,8.1297,1.2875,4.465
2022-07-31,139.15,6915864.0,56130.327,9.1879,1.455,4.465
2022-08-31,195.8,106046858.0,78981.804,12.9284,2.0474,4.465
2022-09-30,246.73,143927368.0,99523.9305,16.2909,2.5799,0.815
2022-10-31,318.18,237206384.0,128345.4315,21.0086,3.327,0.815
2022-11-30,454.38,365355732.0,183285.7875,30.0017,4.7512,8.915
2022-12-31,396.58,174103354.0,159970.4235,26.1852,4.1468,8.915
2023-01-31,396.63,104731758.0,159990.5925,26.1885,4.1473,5.365
2023-02-28,359.78,54715258.0,145126.0395,23.7554,3.762,5.365
2023-03-31,331.53,36721854.0,133730.5545,11.9512,2.8094,5.365
2023-04-30,377.15,35253516.0,152134.767,13.5959,3.196,5.365
2023-05-31,404.1,68204506.0,163005.858,14.5674,3.4244,5.365
2023-06-30,623.2,326051866.0,251386.416,22.4658,5.281,5.365
2023-07-31,948.5,170327886.0,382605.93,34.1925,8.0377,5.365
2023-08-31,924.48,76652642.0,372914.7255,33.3264,7.8341,5.365
2023-09-30,1096.1,165264638.0,442144.818,39.5133,9.2884,6.86
2023-10-31,983.4,48132752.0,396683.892,35.4506,8.3334,6.86
2023-11-30,1006.4,41225698.0,405961.632,36.2797,8.5283,11.1
2023-12-31,1140.45,79276922.0,460034.721,41.1121,9.6643,11.1
2024-01-31,1145.47,64367600.0,462061.7055,41.2933,9.7069,11.1
2024-02-29,1042.45,44040680.0,420503.481,37.5793,8.8338,11.1
2024-03-31,932.05,31115878.0,375970.329,19.4096,6.0218,11.1
2024-04-30,1174.47,104224636.0,473759.7255,24.458,7.5881,11.1
2024-05-31,1592.03,164601012.0,642191.0445,33.1534,10.2858,11.1
2024-06-30,2140.73,219727056.0,863525.6505,44.5799,13.8309,11.1
2024-07-31,2621.75,204286834.0,1057561.515,54.597,16.9387,11.1
2024-08-31,2120.73,112220362.0,855458.0505,44.1634,13.7016,11.1
2024-09-30,2115.05,104876702.0,853168.869,44.0452,13.665,13.725
2024-10-31,2039.83,128592100.0,822824.6085,42.4787,13.179,17.65
2024-11-30,2297.07,70169200.0,926594.1135,47.8358,14.841,17.65
2024-12-31,2227.8,102815559.0,898649.964,46.3932,14.3934,17.65
2025-01-31,2498.5,68068342.0,1007844.93,52.0304,16.1424,17.65
2025-02-28,2131.05,96733419.0,859622.949,44.3784,13.7684,17.65
2025-03-31,2643.8,80382772.0,1066456.044,44.1885,13.4316,17.65
2025-04-30,3057.6,92770135.0,1233374.688,51.1048,15.5339,14.595
2025-05-31,3478.2,158038294.0,1403036.316,58.1347,17.6707,14.595
2025-06-30,3244.3,71151047.0,1308685.734,54.2253,16.4824,14.595
2025-07-31,2771.2,38855173.0,1117846.656,46.3179,14.0789,14.595
2025-08-31,2603.1,29168687.0,1050038.478,43.5083,13.2249,14.595
2025-09-30,2761.5,36019669.0,1113933.87,46.1558,14.0296,17.305
2025-10-31,2729.0,19846959.0,1100824.02,45.6126,13.8645,5.71
2025-11-30,2679.6,16904991.0,1080897.048,44.7869,13.6135,11.71
2025-12-31,2490.2,26632352.0,1004496.876,41.6213,12.6513,11.71
2026-01-31,2572.9,27432866.0,1037856.402,43.0035,13.0714,11.71
2026-02-28,2224.9,23366505.0,897480.162,37.187,11.3034,19.21
2026-03-31,2360.0,12949657.0,951976.8,39.4451,11.9898,19.21
