AACL IN Equity,price,volume,mc,pe,bm,div
2002-03-31,1.9,157220.0,84.2175,5.163,0.2045,0.0
2002-04-30,2.03,284560.0,89.9797,5.5163,0.2185,0.0
2002-05-31,3.18,685200.0,140.9535,8.6413,0.3423,0.0
2002-06-30,5.28,1248930.0,234.036,14.3478,0.5684,0.0
2002-07-31,3.59,1674265.0,159.1267,9.7554,0.3865,0.0
2002-08-31,3.75,486130.0,166.2187,10.1902,0.4037,0.0
2002-09-30,3.1,220380.0,137.4075,8.4239,0.3337,0.0
2002-10-31,2.95,246140.0,130.7587,8.0163,0.3176,0.0
2002-11-30,3.04,142455.0,135.1912,8.2609,0.3273,0.0
2002-12-31,3.17,277575.0,135.1912,8.6141,0.3413,0.0
2003-01-31,3.05,418250.0,135.1912,8.288,0.3284,0.0
2003-02-28,3.21,153740.0,135.1912,8.7228,0.3456,0.0
2003-03-31,3.55,351375.0,135.1912,4.9306,0.3609,0.0
2003-04-30,3.71,283440.0,135.1912,5.1528,0.3772,0.0
2003-05-31,3.4,947685.0,135.1912,4.7222,0.3457,0.0
2003-06-30,4.97,2468085.0,135.1912,6.9028,0.5053,0.0
2003-07-31,4.51,1038530.0,135.1912,6.2639,0.4585,0.24
2003-08-31,4.24,2045270.0,135.1912,5.8889,0.4311,0.24
2003-09-30,4.82,1499825.0,135.1912,6.6944,0.49,0.24
2003-10-31,4.02,866055.0,135.1912,5.5833,0.4087,0.24
2003-11-30,6.44,3177985.0,135.1912,8.9444,0.6547,0.24
2003-12-31,7.44,3455745.0,135.1912,10.3333,0.7564,0.24
2004-01-31,5.4,922105.0,135.1912,7.5,0.549,0.24
2004-02-29,4.8,538840.0,135.1912,6.6667,0.488,0.24
2004-03-31,4.93,563170.0,135.1912,8.8989,0.5885,0.24
2004-04-30,5.04,697845.0,135.1912,9.0975,0.6016,0.24
2004-05-31,4.2,516055.0,135.1912,7.5812,0.5013,0.24
2004-06-30,3.95,292800.0,135.1912,7.13,0.4715,0.24
2004-07-31,4.75,1035915.0,135.1912,8.574,0.567,0.24
2004-08-31,5.61,1011805.0,135.1912,10.1264,0.6696,0.24
2004-09-30,6.46,2839450.0,135.1912,11.6606,0.7711,0.24
2004-10-31,6.43,1050720.0,135.1912,11.6065,0.7675,0.24
2004-11-30,7.46,3446020.0,135.1912,13.4657,0.8904,0.24
2004-12-31,7.78,4049115.0,135.1912,14.0433,0.9286,0.24
2005-01-31,6.4,907180.0,135.1912,11.5523,0.7639,0.24
2005-02-28,5.41,1464810.0,135.1912,9.7653,0.6457,0.24
2005-03-31,5.69,2348180.0,252.2092,8.7238,0.6519,0.24
2005-04-30,5.8,1253905.0,257.085,8.8925,0.6645,0.24
2005-05-31,7.28,2096535.0,322.686,11.1616,0.8341,0.24
2005-06-30,7.59,3096060.0,336.4267,11.6369,0.8696,0.24
2005-07-31,8.35,4019270.0,370.1137,12.8021,0.9567,0.24
2005-08-31,10.15,2572495.0,449.8987,15.5618,1.1629,0.3
2005-09-30,9.15,8543530.0,405.5737,14.0286,1.0484,0.3
2005-10-31,8.04,1251465.0,356.373,12.3268,0.9212,0.3
2005-11-30,8.22,406020.0,364.3515,12.6028,0.9418,0.3
2005-12-31,8.8,941815.0,390.06,13.492,1.0083,0.3
2006-01-31,9.52,1394305.0,421.974,14.5959,1.0908,0.3
2006-02-28,9.7,1461345.0,429.9525,14.8719,1.1114,0.3
2006-03-31,8.61,1235880.0,381.6382,8.8661,0.9319,0.3
2006-04-30,14.8,2307695.0,649.8045,15.2402,1.6018,0.3
2006-05-31,11.2,1534215.0,496.44,11.5331,1.2122,0.3
2006-06-30,8.82,567435.0,390.9465,9.0823,0.9546,0.42
2006-07-31,9.4,384445.0,416.655,9.6796,1.0174,0.42
2006-08-31,11.2,673395.0,496.44,11.5331,1.2122,0.36
2006-09-30,12.64,977745.0,560.268,13.016,1.3681,0.36
2006-10-31,13.76,1187060.0,609.912,14.1693,1.4893,0.36
2006-11-30,16.05,977130.0,711.4162,16.5274,1.7371,0.36
2006-12-31,17.1,629780.0,757.9575,17.6086,1.8508,0.36
2007-01-31,20.72,3033380.0,918.414,21.3363,2.2426,0.36
2007-02-28,18.35,649195.0,813.3637,18.8958,1.9861,0.36
2007-03-31,17.39,681680.0,770.8117,9.0644,1.5656,0.36
2007-04-30,21.01,820200.0,931.2682,10.9513,1.8915,0.36
2007-05-31,20.85,1007230.0,924.1762,10.8679,1.8771,0.36
2007-06-30,20.25,319705.0,897.5812,10.5551,1.8231,0.36
2007-07-31,20.05,593905.0,888.7162,10.4509,1.8051,0.44
2007-08-31,20.13,229395.0,892.2622,10.4926,1.8123,0.44
2007-09-30,20.23,623475.0,896.6947,10.5447,1.8213,0.44
2007-10-31,20.73,430775.0,918.8572,10.8053,1.8663,0.44
2007-11-30,19.61,1322975.0,869.2132,10.2216,1.7655,0.44
2007-12-31,23.85,660390.0,1057.1512,12.4316,2.1472,0.44
2008-01-31,20.6,1161380.0,913.095,10.7376,1.8546,0.44
2008-02-29,19.24,719900.0,852.813,10.0287,1.7322,0.44
2008-03-31,19.18,928220.0,850.1535,10.7785,1.5682,0.44
2008-04-30,18.89,170705.0,837.2992,10.6155,1.5445,0.44
2008-05-31,18.2,97405.0,806.715,10.2277,1.488,0.44
2008-06-30,19.86,1686695.0,880.2945,11.1606,1.6238,0.44
2008-07-31,20.62,1590950.0,913.9815,11.5877,1.6859,0.5
2008-08-31,20.48,64090.0,907.776,11.509,1.6745,0.5
2008-09-30,19.0,41300.0,968.8195,10.6773,1.5535,0.5
2008-10-31,17.59,145260.0,896.9141,9.8849,1.4382,0.5
2008-11-30,14.09,79655.0,718.4491,7.9181,1.152,0.5
2008-12-31,13.24,161820.0,675.1076,7.4404,1.0825,0.5
2009-01-31,10.4,74975.0,530.296,5.8444,0.8503,0.5
2009-02-28,7.81,109100.0,398.2319,4.3889,0.6386,0.5
2009-03-31,10.8,882050.0,550.692,9.779,0.8355,0.5
2009-04-30,10.2,47325.0,520.098,9.2357,0.7891,0.5
2009-05-31,14.23,135085.0,725.5877,12.8847,1.1009,0.5
2009-06-30,12.0,411815.0,611.88,10.8655,0.9284,0.5
2009-07-31,12.71,63530.0,648.0829,11.5084,0.9833,0.4
2009-08-31,14.0,246560.0,713.86,12.6764,1.0831,0.4
2009-09-30,14.01,79815.0,714.3699,12.6855,1.0839,0.4
2009-10-31,14.54,240250.0,741.3946,13.1654,1.1249,0.4
2009-11-30,13.1,109335.0,667.969,11.8615,1.0135,0.4
2009-12-31,14.7,153770.0,749.553,13.3103,1.1372,0.4
2010-01-31,14.27,484080.0,727.6273,12.9209,1.104,0.4
2010-02-28,14.6,401600.0,744.454,13.2197,1.1295,0.4
2010-03-31,13.21,400495.0,673.5779,5.2703,0.9093,0.4
2010-04-30,16.63,4198245.0,847.9637,6.6348,1.1448,0.4
2010-05-31,15.67,266315.0,799.0133,6.2518,1.0787,0.4
2010-06-30,20.86,3459705.0,1063.6514,8.3224,1.4359,0.4
2010-07-31,18.87,615755.0,962.1813,7.5285,1.2989,0.6
2010-08-31,17.49,348085.0,891.8151,6.9779,1.204,0.6
2010-09-30,18.12,2078080.0,923.9388,7.2293,1.2473,0.6
2010-10-31,20.65,656070.0,1052.9435,8.2386,1.4215,0.6
2010-11-30,17.05,336485.0,869.3795,6.8024,1.1737,0.6
2010-12-31,18.01,133720.0,918.3299,7.1854,1.2397,0.6
2011-01-31,15.8,191755.0,805.642,6.3037,1.0876,0.6
2011-02-28,16.6,569000.0,846.434,6.6228,1.1427,0.6
2011-03-31,16.6,432815.0,846.434,6.0673,0.9929,0.6
2011-04-30,16.5,81110.0,841.335,6.0307,0.9869,0.6
2011-05-31,16.45,86520.0,838.7855,6.0124,0.984,0.6
2011-06-30,16.66,176845.0,849.4934,6.0892,0.9965,0.6
2011-07-31,18.02,394375.0,918.8398,6.5863,1.0779,0.6
2011-08-31,17.22,620170.0,878.0478,6.2939,1.03,0.6
2011-09-30,17.15,900465.0,874.4785,6.2683,1.0258,0.6
2011-10-31,18.8,219545.0,958.612,6.8713,1.1245,0.6
2011-11-30,18.78,124940.0,957.5922,6.864,1.1233,0.6
2011-12-31,16.2,119500.0,826.038,5.9211,0.969,0.6
2012-01-31,16.53,361710.0,842.8647,6.0417,0.9887,0.6
2012-02-29,16.51,132810.0,841.8449,6.0344,0.9875,0.6
2012-03-31,17.27,198935.0,880.6146,5.0058,0.8982,0.6
2012-04-30,18.9,81055.0,963.7299,5.4783,0.9829,0.6
2012-05-31,20.2,109225.0,1030.0182,5.8551,1.0505,0.6
2012-06-30,19.6,59140.0,999.4236,5.6812,1.0193,0.6
2012-07-31,19.45,368150.0,991.775,5.6377,1.0115,0.8
2012-08-31,22.0,262975.0,1121.802,6.3768,1.1441,0.8
2012-09-30,26.59,680265.0,1355.8507,7.7072,1.3829,0.8
2012-10-31,28.33,318100.0,1444.5751,8.2116,1.4733,0.8
2012-11-30,28.05,157530.0,1430.2976,8.1304,1.4588,0.8
2012-12-31,29.08,232310.0,1482.8183,8.429,1.5123,0.8
2013-01-31,34.83,919965.0,1776.0166,10.0957,1.8114,0.8
2013-02-28,29.0,394190.0,1478.739,8.4058,1.5082,0.8
2013-03-31,30.4,529490.0,1550.1264,6.4027,1.3336,0.8
2013-04-30,31.0,126590.0,1580.721,6.5291,1.3599,0.8
2013-05-31,28.2,552560.0,1437.9462,5.9393,1.2371,0.8
2013-06-30,28.03,49695.0,1429.2772,5.9035,1.2297,0.8
2013-07-31,25.0,276390.0,1274.7746,5.2654,1.0967,1.0
2013-08-31,29.0,19495.0,1478.7385,6.1078,1.2722,1.0
2013-09-30,29.2,145620.0,1488.9367,6.15,1.281,1.0
2013-10-31,35.0,475940.0,1784.6844,7.3715,1.5354,1.0
2013-11-30,45.0,238645.0,2294.5942,9.4777,1.9741,1.0
2013-12-31,50.4,288575.0,2569.9455,10.615,2.211,1.0
2014-01-31,46.57,178380.0,2374.65,9.8083,2.043,1.0
2014-02-28,46.53,133565.0,2372.6104,9.7999,2.0412,1.0
2014-03-31,49.99,216125.0,2549.0392,5.8909,1.6996,1.0
2014-04-30,58.0,198080.0,2957.477,6.8348,1.9719,1.0
2014-05-31,78.51,572800.0,4003.302,9.2517,2.6692,1.0
2014-06-30,112.31,542215.0,5726.7972,13.2347,3.8184,1.0
2014-07-31,123.33,356215.0,6288.7178,14.5333,4.1931,1.6
2014-08-31,130.69,265545.0,6664.0114,15.4007,4.4433,1.6
2014-09-30,153.14,997495.0,7808.7583,18.0462,5.2066,1.6
2014-10-31,139.84,427815.0,7130.5783,16.4789,4.7544,1.6
2014-11-30,147.92,478628.0,7542.5854,17.4311,5.0291,1.6
2014-12-31,149.1,2002573.0,7602.7547,17.5701,5.0692,1.6
2015-01-31,132.18,782870.0,6739.9874,15.5762,4.4939,1.6
2015-02-28,126.12,870873.0,6430.8588,14.8621,4.2879,1.6
2015-03-31,125.82,983810.0,6415.6848,14.2137,3.4819,1.6
2015-04-30,132.06,701503.0,6733.8685,14.9187,3.6546,1.6
2015-05-31,114.82,141668.0,5854.784,12.9711,3.1775,1.6
2015-06-30,112.64,980040.0,5743.6237,12.7248,3.1171,1.6
2015-07-31,110.6,418780.0,5639.6021,12.4944,3.0607,1.6
2015-08-31,120.14,1178540.0,6126.056,13.5721,3.3247,1.6
2015-09-30,123.5,162508.0,6297.3857,13.9516,3.4177,1.6
2015-10-31,122.42,279743.0,6242.3154,13.8296,3.3878,1.6
2015-11-30,129.28,193720.0,6592.1135,14.6046,3.5776,1.6
2015-12-31,146.12,616810.0,7450.8016,16.507,4.0437,1.6
2016-01-31,127.06,410293.0,6478.9136,14.3538,3.5162,1.6
2016-02-29,115.48,267288.0,5888.4381,13.0456,3.1957,1.6
2016-03-31,124.66,225095.0,6356.5352,12.7049,3.04,1.6
2016-04-30,124.22,127785.0,6334.0992,12.66,3.0293,0.0
2016-05-31,124.02,271910.0,6323.901,12.6396,3.0244,0.0
2016-06-30,145.34,515123.0,7411.0286,14.8125,3.5443,0.0
2016-07-31,134.96,730813.0,6881.7423,13.7546,3.2912,0.0
2016-08-31,126.44,503960.0,6447.2992,12.8863,3.0834,0.0
2016-09-30,124.6,530528.0,6353.4758,12.6987,3.0385,0.0
2016-10-31,136.06,1656490.0,6937.8324,13.8667,3.318,0.0
2016-11-30,123.9,821053.0,6317.7821,12.6274,3.0214,0.0
2016-12-31,122.5,300868.0,6246.3947,12.4847,2.9873,0.0
2017-01-31,126.46,310490.0,6448.319,12.8883,3.0839,0.0
2017-02-28,147.7,1740935.0,7531.3673,15.053,3.6018,0.0
2017-03-31,180.96,2739643.0,9227.3272,17.804,3.6071,0.0
2017-04-30,200.82,2065398.0,10240.0081,19.758,4.003,0.0
2017-05-31,153.68,1200565.0,7836.2934,15.12,3.0633,0.0
2017-06-30,151.28,576753.0,7713.915,14.8839,3.0155,0.0
2017-07-31,162.5,1298630.0,8286.0338,15.9878,3.2391,2.0
2017-08-31,166.6,708063.0,8495.0968,16.3912,3.3209,2.0
2017-09-30,173.04,1214890.0,8823.4787,17.0248,3.4492,2.0
2017-10-31,247.12,2493383.0,12600.8903,24.3133,4.9259,2.0
2017-11-30,236.06,1861278.0,12036.9301,23.2251,4.7054,2.0
2017-12-31,267.8,1054613.0,13655.3838,26.3479,5.3381,2.0
2018-01-31,281.82,1102105.0,14370.2773,27.7273,5.6176,2.0
2018-02-28,250.74,566648.0,12785.4783,24.6694,4.998,2.0
2018-03-31,237.62,289625.0,12116.4767,18.3575,3.9209,2.0
2018-04-30,286.12,316380.0,14589.5392,22.1044,4.7212,2.0
2018-05-31,260.66,1187445.0,13291.3088,20.1375,4.3011,2.0
2018-06-30,257.72,317640.0,13141.3954,19.9104,4.2526,2.0
2018-07-31,253.5,267518.0,12926.2134,19.5844,4.1829,2.8
2018-08-31,260.52,255998.0,13284.1701,20.1267,4.2988,2.8
2018-09-30,229.62,217005.0,11708.5488,17.7395,3.7889,2.8
2018-10-31,243.92,168378.0,12437.7198,18.8443,4.0249,2.8
2018-11-30,306.08,1147623.0,15607.3192,23.6465,5.0506,2.8
2018-12-31,321.3,254665.0,16383.4019,24.8223,5.3017,2.8
2019-01-31,300.64,786978.0,15329.9282,23.2262,4.9608,2.8
2019-02-28,284.3,226953.0,14496.7356,21.9638,4.6912,2.8
2019-03-31,333.2,308945.0,16990.1945,19.73,4.482,2.8
2019-04-30,338.04,272670.0,17236.9909,20.0166,4.5471,2.8
2019-05-31,330.9,396343.0,16872.9153,19.5938,4.4511,2.8
2019-06-30,328.04,278098.0,16727.0811,19.4244,4.4126,2.8
2019-07-31,285.3,286270.0,14547.7266,16.8937,3.8377,3.2
2019-08-31,304.68,1385473.0,15535.9318,18.0412,4.0984,3.2
2019-09-30,351.96,334220.0,17946.7853,20.8408,4.7343,3.2
2019-10-31,355.08,355228.0,18105.8772,21.0256,4.7763,3.2
2019-11-30,428.68,1563640.0,21858.8133,25.3837,5.7663,3.2
2019-12-31,434.0,533088.0,22130.0853,25.6987,5.8379,3.2
2020-01-31,525.1,1344338.0,26775.3636,31.0931,7.0633,3.2
2020-02-29,604.46,2874445.0,30822.0078,35.7923,8.1308,8.0
2020-03-31,481.32,2023363.0,24542.9785,12.1903,4.5738,8.0
2020-04-30,716.0,2962905.0,36509.5417,18.1339,6.8039,8.0
2020-05-31,801.46,2731853.0,40867.2308,20.2983,7.616,8.0
2020-06-30,842.9,4533065.0,42980.297,21.3479,8.0098,8.0
2020-07-31,899.68,2532340.0,45875.5649,22.7859,8.5494,8.0
2020-08-31,1241.58,5052870.0,63309.3809,31.4451,11.7983,8.0
2020-09-30,1283.58,2514538.0,65451.0021,32.5089,12.1974,8.0
2020-10-31,1187.06,1374088.0,60569.7573,30.0643,11.2802,8.0
2020-11-30,1606.0,3173453.0,81946.1781,40.6747,15.2613,8.0
2020-12-31,1531.98,1903568.0,78179.6625,38.8,14.5579,8.0
2021-01-31,1913.36,8903083.0,97642.1618,48.4591,18.182,8.0
2021-02-28,2020.56,2267103.0,103112.7683,51.1741,19.2007,8.0
2021-03-31,2278.68,3256858.0,116285.0908,98.3933,14.674,8.0
2021-04-30,3388.68,7390238.0,172962.9968,146.3231,21.822,8.0
2021-05-31,3667.95,4356164.0,187217.3361,158.382,23.6204,8.0
2021-06-30,3596.4,1557579.0,183638.1001,155.2924,23.1597,8.0
2021-07-31,4386.45,3938259.0,223979.3615,189.4068,28.2473,10.0
2021-08-31,4277.15,2384816.0,218398.3235,184.6872,27.5435,10.0
2021-09-30,3825.55,3660803.0,195368.2448,165.1871,24.6353,10.0
2021-10-31,3604.5,1636501.0,184079.3711,155.6422,23.2118,10.0
2021-11-30,3187.3,1449850.0,162773.25,137.6275,20.5252,10.0
2021-12-31,3547.7,1253176.0,181189.7202,153.1896,22.8461,10.0
2022-01-31,3350.75,1568991.0,171131.0018,144.6853,21.5778,10.0
2022-02-28,3003.3,1658333.0,153385.8801,129.6824,19.3403,10.0
2022-03-31,2858.55,1497714.0,145993.1434,64.908,14.7497,10.0
2022-04-30,3179.6,1435702.0,162389.9525,72.198,16.4062,6.0
2022-05-31,2729.75,1315932.0,139415.0122,61.9834,14.0851,6.0
2022-06-30,2517.65,824632.0,128631.658,57.1673,12.9907,6.0
2022-07-31,2929.75,814787.0,149686.6522,66.5248,15.1171,10.0
2022-08-31,2967.5,1395836.0,151615.3735,67.3819,15.3118,10.0
2022-09-30,2868.95,1250829.0,146603.0265,65.1442,14.8033,10.0
2022-10-31,2953.15,557690.0,150905.6372,67.0561,15.2378,10.0
2022-11-30,2821.55,683857.0,144180.8918,64.0679,14.5588,10.0
2022-12-31,2661.8,579634.0,136019.2869,60.4405,13.7345,10.0
2023-01-31,2629.3,425597.0,134358.521,59.7025,13.5668,10.0
2023-02-28,2501.8,410597.0,127843.2084,56.8074,12.9089,10.0
2023-03-31,2155.4,550160.0,110142.2936,48.1654,9.4225,10.0
2023-04-30,2364.0,597335.0,120801.8846,52.8268,10.3344,10.0
2023-05-31,2476.5,896273.0,126550.7052,55.3408,10.8262,10.0
2023-06-30,2725.35,969456.0,139303.3764,60.9017,11.9141,10.0
2023-07-31,2447.45,663387.0,125098.8125,54.6916,10.6992,10.0
2023-08-31,2497.4,1219325.0,127651.9538,55.8078,10.9176,10.0
2023-09-30,2299.75,761969.0,117564.0157,51.3911,10.0536,10.0
2023-10-31,2142.6,600343.0,109530.4533,47.8793,9.3666,10.0
2023-11-30,2161.3,610282.0,110486.4038,48.2972,9.4483,10.0
2023-12-31,2535.75,3569971.0,129629.9692,56.6648,11.0853,10.0
2024-01-31,2380.85,2147967.0,121711.3329,53.2034,10.4081,10.0
2024-02-29,2143.45,881231.0,109575.2174,47.8983,9.3703,10.0
2024-03-31,1813.95,1719625.0,92730.8618,62.2709,7.3182,10.0
2024-04-30,2045.15,3072953.0,104550.921,70.2077,8.2509,10.0
2024-05-31,1893.4,1107477.0,96793.2493,64.9983,7.6387,10.0
2024-06-30,2136.8,1803262.0,109256.7892,73.3539,8.6207,10.0
2024-07-31,2124.15,1280864.0,108609.9816,72.9197,8.5696,10.0
2024-08-31,2104.85,1366280.0,107623.1527,72.2571,8.4918,10.0
2024-09-30,2293.25,5755415.0,117267.7191,78.7247,9.2518,10.0
2024-10-31,2090.95,1791624.0,106922.8987,71.78,8.4357,10.0
2024-11-30,1964.8,1047734.0,100472.0875,67.4494,7.9267,10.0
2024-12-31,1762.05,937251.0,90104.2558,60.4892,7.1088,10.0
2025-01-31,1699.75,3531382.0,86918.4806,58.3505,6.8574,10.0
2025-02-28,1590.85,967705.0,81349.7661,54.6121,6.4181,10.0
2025-03-31,1618.15,1815090.0,82745.7799,44.4547,5.9,10.0
2025-04-30,1702.6,1161231.0,87064.8653,46.7747,6.2079,10.0
2025-05-31,1946.8,1309653.0,99552.3786,53.4835,7.0983,10.0
2025-06-30,2368.0,3289214.0,121091.0378,65.0549,8.634,10.0
2025-07-31,2348.2,2395972.0,120087.9836,64.511,8.5618,10.0
2025-08-31,2005.5,890934.0,102562.1544,55.0962,7.3123,10.0
2025-09-30,1913.6,582648.0,97869.1144,52.5714,6.9772,10.0
2025-10-31,1860.0,671639.0,95127.7972,51.0989,6.7818,10.0
2025-11-30,1680.5,519496.0,85947.4533,46.1676,6.1273,10.0
2025-12-31,1596.1,599913.0,81631.0214,43.8489,5.8196,10.0
2026-01-31,1569.0,4560623.0,80245.0176,43.1044,5.7208,10.0
2026-02-28,1484.3,751794.0,75913.1164,40.7775,5.412,10.0
2026-03-31,1407.9,112494.0,72005.7121,38.6786,5.1334,10.0
