MPHL IN Equity,price,volume,mc,pe,bm,div
2007-08-31,293.35,17444252.0,61172.7138,33.5503,6.0558,3.0
2007-09-30,285.95,10668682.0,59634.8734,32.7039,5.903,3.0
2007-10-31,310.65,11769009.0,64806.934,35.5289,6.4129,3.0
2007-11-30,285.6,4298804.0,59581.0165,32.6639,5.8958,3.0
2007-12-31,308.15,4505589.0,64285.6073,35.2429,6.3613,3.0
2008-01-31,215.75,7471229.0,45021.1578,24.6752,4.4539,3.0
2008-02-29,230.0,7832210.0,48005.4143,26.305,4.748,3.0
2008-03-31,201.75,5047033.0,42111.7415,16.4694,3.6402,3.0
2008-04-30,230.4,3641502.0,48093.2367,18.8082,4.1572,3.0
2008-05-31,237.55,16680099.0,49586.2101,19.3918,4.2862,3.0
2008-06-30,216.5,6906525.0,45202.69,17.6735,3.9064,3.0
2008-07-31,209.5,8142658.0,43761.4479,17.102,3.7801,3.3
2008-08-31,242.8,6117012.0,50720.2887,19.8204,4.3809,3.3
2008-09-30,187.9,11988044.0,39256.2942,15.3388,3.3903,3.3
2008-10-31,160.6,3682133.0,33555.1861,13.1102,2.8977,3.3
2008-11-30,151.9,5137255.0,31737.4394,12.4,2.7408,3.3
2008-12-31,155.6,2779666.0,32510.9243,12.702,2.8075,3.3
2009-01-31,149.85,3977666.0,31311.3674,12.2327,2.7038,2.0
2009-02-28,168.5,8018257.0,35208.3959,13.7551,3.0403,2.0
2009-03-31,203.25,17858119.0,42469.8994,16.5918,3.6673,2.0
2009-04-30,224.35,6057187.0,46878.8287,18.3143,4.048,2.0
2009-05-31,336.9,12514614.0,70403.2375,27.502,6.0788,2.0
2009-06-30,387.15,12488037.0,80936.5738,31.6041,6.9854,2.0
2009-07-31,477.0,21744683.0,99982.8276,38.9388,8.6066,2.0
2009-08-31,556.8,39589183.0,116709.5145,45.4531,10.0465,2.0
2009-09-30,666.9,26885957.0,139676.0057,54.4408,12.033,2.0
2009-10-31,675.6,19485126.0,141597.249,15.5489,6.0373,2.0
2009-11-30,677.0,25731572.0,141906.3733,15.5811,6.0498,2.0
2009-12-31,724.2,20184166.0,151827.8736,16.6674,6.4716,2.0
2010-01-31,678.6,15671497.0,142282.5371,15.618,6.0641,2.0
2010-02-28,662.95,17892970.0,139016.9005,15.2578,5.9243,3.5
2010-03-31,620.45,17989705.0,130119.2884,14.2796,5.5445,3.5
2010-04-30,680.75,14405105.0,142784.9338,15.6674,6.0834,3.5
2010-05-31,571.85,14587046.0,119943.5393,13.1611,5.1102,3.5
2010-06-30,563.5,14377064.0,118233.5139,12.9689,5.0356,3.5
2010-07-31,590.85,10032559.0,124015.5707,13.5984,5.28,3.5
2010-08-31,620.8,14308648.0,130307.4697,14.2877,5.5476,3.5
2010-09-30,621.7,9758143.0,130496.382,14.3084,5.5557,3.5
2010-10-31,610.4,7436381.0,128141.696,11.7385,3.884,3.5
2010-11-30,610.85,12961844.0,128246.427,11.7471,3.8868,3.5
2010-12-31,672.8,7588816.0,141270.5784,12.9385,4.281,3.5
2011-01-31,674.65,7515584.0,141666.3086,12.974,4.2928,3.5
2011-02-28,431.5,26563235.0,90616.6395,8.2981,2.7456,4.0
2011-03-31,415.25,31189781.0,87204.9521,7.9856,2.6422,4.0
2011-04-30,468.1,9434486.0,98312.8425,9.0019,2.9785,4.0
2011-05-31,468.3,9379085.0,98361.1215,9.0058,2.9798,4.0
2011-06-30,434.5,4685660.0,91271.3739,8.3558,2.7647,4.0
2011-07-31,448.45,6573239.0,94205.4911,8.624,2.8535,4.0
2011-08-31,353.9,15640987.0,74344.0564,6.8058,2.2519,4.0
2011-09-30,343.75,6893502.0,72212.1472,6.6106,2.1873,4.0
2011-10-31,343.7,3465997.0,72201.6437,8.7813,1.8511,4.0
2011-11-30,324.8,7476581.0,68231.2885,8.2984,1.7493,4.0
2011-12-31,300.75,6475448.0,63179.2155,7.684,1.6198,4.0
2012-01-31,377.45,5599358.0,79292.0186,9.6436,2.0329,4.0
2012-02-29,433.4,12210622.0,91044.771,11.0731,2.3342,6.5
2012-03-31,405.1,6562265.0,85108.6752,10.35,2.1818,6.5
2012-04-30,369.3,2370713.0,77589.8196,9.4354,1.989,6.5
2012-05-31,375.0,2495151.0,78787.3878,9.581,2.0197,6.5
2012-06-30,370.0,5424307.0,77736.8893,9.4532,1.9928,6.5
2012-07-31,397.7,5881830.0,83557.6038,10.161,2.1419,6.5
2012-08-31,384.6,2371602.0,80806.0762,9.8263,2.0714,6.5
2012-09-30,402.4,2440666.0,84545.931,10.281,2.1673,6.5
2012-10-31,387.05,5404102.0,81320.8315,10.2639,1.8462,6.5
2012-11-30,388.15,1405456.0,81552.9944,10.293,1.8515,6.5
2012-12-31,384.4,3283938.0,80765.8619,10.1936,1.8336,6.5
2013-01-31,372.95,4514368.0,78361.1962,9.8899,1.779,17.0
2013-02-28,378.75,1584436.0,79584.7282,10.0438,1.8066,17.0
2013-03-31,391.6,2057600.0,82284.95,10.3845,1.8679,17.0
2013-04-30,374.15,1000217.0,78618.2687,9.9218,1.7847,17.0
2013-05-31,487.2,6739116.0,102372.9,12.9196,2.324,17.0
2013-06-30,371.95,2454008.0,78156.5102,9.8634,1.7742,17.0
2013-07-31,400.85,2382678.0,84229.4503,10.6298,1.9121,17.0
2013-08-31,420.8,2424014.0,88421.4861,11.1588,2.0072,17.0
2013-09-30,438.75,2262291.0,92193.2676,11.6348,2.0928,17.0
2013-10-31,423.4,1649996.0,88967.8166,11.9605,1.803,17.0
2013-11-30,399.45,791918.0,83935.2724,11.2839,1.701,17.0
2013-12-31,440.0,1681019.0,92456.0608,12.4294,1.8737,17.0
2014-01-31,370.45,3113696.0,77841.8746,10.4647,1.5775,34.0
2014-02-28,387.85,3109521.0,81500.5025,10.9562,1.6516,34.0
2014-03-31,404.0,4283320.0,84894.4638,11.4266,1.6597,34.0
2014-04-30,412.7,2232952.0,86722.7185,11.4266,1.6955,34.0
2014-05-31,440.9,2819693.0,92648.5258,11.4266,1.8113,34.0
2014-06-30,425.65,3886798.0,89443.9669,11.4266,1.7487,34.0
2014-07-31,457.35,6297295.0,96105.5817,11.4266,1.8789,24.0
2014-08-31,445.6,3813513.0,93636.4867,11.4266,1.8306,24.0
2014-09-30,429.1,3230481.0,90171.0934,11.4266,1.7628,24.0
2014-10-31,400.9,2279121.0,84245.4561,11.4266,1.647,24.0
2014-11-30,404.2,1506115.0,84938.9208,11.4266,1.6605,24.0
2014-12-31,385.45,1650480.0,80998.7804,11.4266,1.5835,24.0
2015-01-31,362.55,1674652.0,76186.5555,11.4266,1.4894,24.0
2015-02-28,379.65,3238773.0,79780.0331,11.4266,1.5597,24.0
2015-03-31,385.4,3684993.0,80988.2733,12.0062,1.4779,7.0
2015-04-30,394.95,1658303.0,82995.4557,12.3037,1.5146,7.0
2015-05-31,369.75,2309767.0,77699.8854,11.5187,1.4179,7.0
2015-06-30,410.75,2272671.0,86315.6942,12.796,1.5752,7.0
2015-07-31,420.2,5139661.0,88301.533,13.0903,1.6114,7.0
2015-08-31,422.95,5064613.0,88879.7518,13.176,1.6219,16.0
2015-09-30,410.25,4944771.0,86210.9426,12.7804,1.5732,16.0
2015-10-31,474.4,11700960.0,99693.1592,14.7788,1.8193,16.0
2015-11-30,498.05,7523040.0,104663.7453,15.5156,1.9099,16.0
2015-12-31,497.55,3316587.0,104570.0219,15.5,1.908,16.0
2016-01-31,456.15,4113566.0,95869.7337,14.2103,1.7493,16.0
2016-02-29,420.6,5235834.0,88402.7574,13.1028,1.6129,16.0
2016-03-31,491.8,5110129.0,103370.0174,15.4411,1.6427,16.0
2016-04-30,489.25,6340795.0,102836.1082,15.3611,1.6341,16.0
2016-05-31,524.25,4937766.0,110192.8047,16.46,1.751,16.0
2016-06-30,573.45,5356475.0,120536.8082,18.0047,1.9154,16.0
2016-07-31,540.9,2011586.0,113694.9334,16.9827,1.8067,16.0
2016-08-31,567.4,3019862.0,119265.1233,17.8148,1.8952,16.0
2016-09-30,519.65,2599489.0,109228.2717,16.3155,1.7357,16.0
2016-10-31,513.15,1846751.0,107861.9987,16.1115,1.714,20.0
2016-11-30,526.75,3778998.0,110720.6622,16.5385,1.7594,20.0
2016-12-31,565.25,2367578.0,118919.7818,17.7473,1.888,20.0
2017-01-31,559.25,2281610.0,117662.4077,17.5589,1.8679,20.0
2017-02-28,595.1,4714717.0,125211.4336,18.6845,1.9877,20.0
2017-03-31,579.9,3469008.0,122020.8669,15.386,1.9833,20.0
2017-04-30,536.25,1554854.0,112836.1612,14.2279,1.834,20.0
2017-05-31,613.55,2359970.0,118535.4058,16.2789,2.0984,20.0
2017-06-30,599.5,2178828.0,115821.002,15.9061,2.0503,20.0
2017-07-31,604.6,2542518.0,116806.3016,16.0414,2.0678,17.0
2017-08-31,609.1,1103233.0,117675.6836,16.1608,2.0832,17.0
2017-09-30,618.7,2005032.0,119530.3652,16.4155,2.116,17.0
2017-10-31,693.5,3295326.0,133981.426,18.4001,2.3718,17.0
2017-11-30,728.95,5681341.0,140830.2242,19.3407,2.4931,17.0
2017-12-31,725.65,2189306.0,140192.6774,19.2531,2.4818,17.0
2018-01-31,894.85,8512928.0,172881.4406,23.7424,3.0605,17.0
2018-02-28,859.7,5739687.0,166133.3807,22.8098,2.9402,17.0
2018-03-31,837.75,5471790.0,161903.7175,19.6378,2.9535,17.0
2018-04-30,1036.35,10328404.0,200290.8066,24.2932,3.6537,17.0
2018-05-31,1101.1,32326569.0,212824.2581,25.8111,3.8819,17.0
2018-06-30,1084.2,7848028.0,209585.8769,25.4149,3.8223,17.0
2018-07-31,1151.75,8995774.0,222669.9283,26.9984,4.0605,20.0
2018-08-31,1260.0,8718758.0,243623.3852,29.5359,4.4421,20.0
2018-09-30,1173.25,8331595.0,226926.622,27.5023,4.1363,20.0
2018-10-31,986.95,16249606.0,190893.0147,23.1353,3.4795,20.0
2018-11-30,1003.15,8133788.0,194026.3719,23.515,3.5366,20.0
2018-12-31,1018.45,6455166.0,196985.6536,23.8737,3.5905,20.0
2019-01-31,1002.65,9316949.0,193972.6921,23.5033,3.5348,20.0
2019-02-28,1041.2,4636701.0,193844.5937,24.4069,3.6707,20.0
2019-03-31,991.1,5091434.0,184561.6896,17.6824,3.5156,20.0
2019-04-30,969.4,3497118.0,180543.3893,17.2953,3.4386,20.0
2019-05-31,993.85,5470664.0,185131.3935,17.7315,3.5253,20.0
2019-06-30,1004.1,3557607.0,187045.7532,17.9144,3.5617,20.0
2019-07-31,938.9,6716735.0,174936.294,16.7511,3.3304,27.0
2019-08-31,975.8,2527018.0,181829.4947,17.4095,3.4613,27.0
2019-09-30,957.0,2740536.0,178326.3235,17.074,3.3946,27.0
2019-10-31,950.25,4419228.0,177085.5292,16.9536,3.3707,27.0
2019-11-30,878.35,4356905.0,163732.2301,15.6708,3.1156,27.0
2019-12-31,922.25,3359400.0,171951.182,16.4541,3.2714,27.0
2020-01-31,929.85,5963555.0,173368.1828,16.5897,3.2983,27.0
2020-02-29,871.55,4986292.0,162549.9205,15.5495,3.0915,27.0
2020-03-31,664.45,15243792.0,123943.717,10.4523,2.1261,27.0
2020-04-30,728.65,5363435.0,135919.3158,11.4622,2.3315,27.0
2020-05-31,860.95,6653524.0,160598.003,13.5433,2.7549,27.0
2020-06-30,878.75,4616185.0,163928.8889,13.8233,2.8118,27.0
2020-07-31,1157.95,16750197.0,216013.0377,18.2154,3.7052,35.0
2020-08-31,1103.6,6469699.0,205892.0823,17.3604,3.5313,35.0
2020-09-30,1383.45,12275217.0,258139.5168,21.7626,4.4268,35.0
2020-10-31,1378.7,11030878.0,257349.7206,21.6879,4.4116,35.0
2020-11-30,1315.7,5897831.0,245596.4128,20.6969,4.21,35.0
2020-12-31,1539.95,10761244.0,287557.6539,24.2245,4.9275,35.0
2021-01-31,1531.35,10539531.0,286220.8859,24.0892,4.9,35.0
2021-02-28,1646.9,7504388.0,307890.1865,25.9069,5.2698,35.0
2021-03-31,1776.5,10555468.0,332280.1627,27.2553,5.0911,35.0
2021-04-30,1764.8,11846516.0,330097.7396,27.0758,5.0576,35.0
2021-05-31,1944.35,12717434.0,363759.4975,29.8305,5.5721,35.0
2021-06-30,2134.2,14246588.0,399467.6087,32.7432,6.1162,35.0
2021-07-31,2599.75,22331466.0,486606.6542,39.8857,7.4503,35.0
2021-08-31,2898.1,17070799.0,542450.1373,44.463,8.3054,35.0
2021-09-30,3104.4,20000995.0,581064.2167,47.6281,8.8966,65.0
2021-10-31,3235.8,21165467.0,605658.9332,49.6441,9.2731,65.0
2021-11-30,2895.15,23395957.0,542492.3442,44.4178,8.2969,65.0
2021-12-31,3396.7,13619130.0,636785.5921,52.1126,9.7342,65.0
2022-01-31,3106.5,13840752.0,582537.9255,47.6603,8.9026,65.0
2022-02-28,3108.7,8635929.0,583670.2443,47.6941,8.9089,65.0
2022-03-31,3376.85,12757487.0,634232.2543,44.2112,9.1347,65.0
2022-04-30,2843.2,9734373.0,534034.1049,37.2244,7.6911,65.0
2022-05-31,2593.55,10245540.0,487416.7574,33.9559,7.0158,65.0
2022-06-30,2294.05,12315993.0,431458.5764,30.0347,6.2056,65.0
2022-07-31,2299.8,13833489.0,432540.0205,30.11,6.2212,73.0
2022-08-31,2130.95,11236594.0,400866.4103,27.8993,5.7644,73.0
2022-09-30,2087.65,12409907.0,392770.1662,27.3324,5.6473,46.0
2022-10-31,1978.5,10573579.0,372335.1476,25.9034,5.352,46.0
2022-11-30,2017.25,11485912.0,379788.4866,26.4107,5.4568,46.0
2022-12-31,1972.8,12531258.0,371524.0603,25.8288,5.3366,46.0
2023-01-31,2072.8,10262361.0,390440.9738,27.138,5.6071,46.0
2023-02-28,2035.4,9488067.0,383421.3225,26.6483,5.5059,46.0
2023-03-31,1795.75,14603445.0,338319.3772,20.6289,4.2637,46.0
2023-04-30,1814.45,8434603.0,341867.5682,20.8438,4.3081,46.0
2023-05-31,1946.85,9417027.0,366938.7915,22.3647,4.6225,46.0
2023-06-30,1895.05,11251095.0,357318.3405,21.7697,4.4995,46.0
2023-07-31,2294.95,19258394.0,432720.8915,26.3636,5.449,50.0
2023-08-31,2428.8,13151202.0,457974.1734,27.9012,5.7668,50.0
2023-09-30,2376.6,6950050.0,448181.7472,27.3016,5.6429,50.0
2023-10-31,2123.4,11284995.0,400546.1108,24.3929,5.0417,50.0
2023-11-30,2354.65,8511402.0,444299.4713,27.0494,5.5907,50.0
2023-12-31,2739.75,13496963.0,517166.3087,31.4733,6.5051,50.0
2024-01-31,2598.5,12439556.0,490671.9746,29.8507,6.1697,50.0
2024-02-29,2617.35,15257868.0,494432.2266,30.0672,6.2145,50.0
2024-03-31,2388.05,9154970.0,451336.6715,28.9742,5.132,50.0
2024-04-30,2314.85,10805194.0,437507.8306,28.086,4.9747,50.0
2024-05-31,2284.1,8361367.0,431732.0737,27.7129,4.9086,50.0
2024-06-30,2456.55,52477125.0,464515.1391,29.8053,5.2792,50.0
2024-07-31,2892.5,28867342.0,546950.0071,35.0946,6.216,55.0
2024-08-31,3104.95,15410773.0,587364.9688,37.6723,6.6726,55.0
2024-09-30,3010.4,13354873.0,569478.8973,36.5251,6.4694,55.0
2024-10-31,2879.55,21640924.0,544881.7401,34.9375,6.1882,55.0
2024-11-30,2974.55,12250827.0,563799.2886,36.0901,6.3924,55.0
2024-12-31,2847.2,10023271.0,539991.8232,34.545,6.1187,55.0
2025-01-31,2867.95,17075143.0,543927.209,34.7968,6.1633,55.0
2025-02-28,2247.25,8724984.0,426925.8717,27.2658,4.8294,55.0
2025-03-31,2500.2,11468138.0,475228.3677,27.8202,4.9357,55.0
2025-04-30,2469.0,16698973.0,469297.9921,27.473,4.8741,55.0
2025-05-31,2558.8,9651857.0,486744.2705,28.4722,5.0514,55.0
2025-06-30,2845.4,13081306.0,541335.8619,31.6613,5.6172,55.0
2025-07-31,2790.2,12557315.0,530834.0907,31.0471,5.5082,57.0
2025-08-31,2788.0,7846829.0,530422.3669,31.0226,5.5039,57.0
2025-09-30,2654.8,10788997.0,505104.9586,29.5404,5.2409,57.0
2025-10-31,2764.4,8402911.0,525957.5665,30.76,5.4573,57.0
2025-11-30,2811.4,36727628.0,535337.7437,31.283,5.5501,57.0
2025-12-31,2791.2,9149488.0,531883.1813,31.0582,5.5102,57.0
2026-01-31,2759.0,10789419.0,525747.2403,30.6999,5.4466,57.0
2026-02-28,2296.5,14805199.0,437868.814,25.5536,4.5336,57.0
2026-03-31,2231.4,1811255.0,425456.3156,24.8292,4.4051,57.0
