MPHL IN Equity,price,volume,mc,pe,bm,div
2001-03-31,29.41,812008.0,2851.5358,25.0855,0.4643,0.0
2001-04-30,19.38,245272.0,1878.8015,16.5282,0.3059,0.0
2001-05-31,25.63,944760.0,2484.8664,21.8598,0.4046,0.0
2001-06-30,24.92,1035560.0,2416.3811,21.2574,0.3935,0.0
2001-07-31,19.26,223768.0,1867.2862,16.4269,0.304,0.0
2001-08-31,16.5,74528.0,1600.0116,14.0756,0.2605,0.125
2001-09-30,11.21,133288.0,1086.6745,9.5597,0.1769,0.125
2001-10-31,18.59,3934248.0,1802.4373,15.8564,0.2935,0.125
2001-11-30,23.71,8672800.0,2299.4106,20.2284,0.3744,0.125
2001-12-31,38.93,3666688.0,3775.1788,33.211,0.6147,0.125
2002-01-31,54.46,9171208.0,6912.6329,46.4548,0.8598,0.125
2002-02-28,56.83,3048304.0,7798.6565,48.4809,0.8973,0.125
2002-03-31,67.55,2872288.0,9269.5347,22.0888,1.0432,0.125
2002-04-30,73.49,4199936.0,10085.1646,24.0323,1.135,0.125
2002-05-31,64.8,3194728.0,8892.1666,21.1895,1.0008,0.125
2002-06-30,65.06,223072.0,8928.1881,21.2753,1.0048,0.125
2002-07-31,47.67,904504.0,6541.3343,15.5876,0.7362,0.125
2002-08-31,61.61,1216088.0,8454.7625,20.1472,0.9515,0.125
2002-09-30,62.47,539920.0,8577.3094,20.4272,0.9648,0.1875
2002-10-31,72.12,1999464.0,9902.3085,23.5827,1.1138,0.1875
2002-11-30,77.99,1151944.0,10771.0611,25.5038,1.2045,0.1875
2002-12-31,89.55,1529304.0,12366.9977,29.2827,1.383,0.1875
2003-01-31,86.15,4304040.0,11897.4522,28.1709,1.3305,0.1875
2003-02-28,89.69,833784.0,12385.9866,29.3277,1.3851,0.1875
2003-03-31,81.7,642672.0,11282.9001,16.7978,1.1849,0.1875
2003-04-30,67.41,2714072.0,9330.481,13.859,0.9776,0.1875
2003-05-31,70.3,931648.0,9741.9489,14.4539,1.0195,0.375
2003-06-30,78.16,887744.0,10834.9575,16.0692,1.1335,0.375
2003-07-31,85.5,1297908.0,11848.2483,17.5791,1.24,0.375
2003-08-31,92.0,1738952.0,12750.7219,18.9155,1.3342,0.375
2003-09-30,117.83,1635984.0,16443.6567,24.2253,1.7088,0.375
2003-10-31,136.45,5686048.0,19075.219,28.0546,1.9789,0.375
2003-11-30,143.94,2882040.0,20121.9446,29.5941,2.0875,0.375
2003-12-31,190.0,1670592.0,26717.6483,39.0647,2.7555,0.375
2004-01-31,151.23,3081424.0,21265.1388,31.0924,2.1932,0.375
2004-02-29,155.11,2453036.0,21876.4458,31.8917,2.2495,0.375
2004-03-31,135.82,1019004.0,19263.1357,19.2408,5.4955,0.375
2004-04-30,122.53,1309888.0,17422.9574,17.3568,4.9574,0.375
2004-05-31,124.78,964248.0,17751.4904,17.6755,5.0484,0.375
2004-06-30,130.0,1923668.0,18488.86,18.4157,5.2598,0.375
2004-07-31,144.57,922526.0,20635.0744,20.4803,5.8495,0.75
2004-08-31,134.57,484600.0,19207.7824,19.0638,5.4449,0.75
2004-09-30,148.95,1832068.0,21308.548,21.1001,6.0265,0.75
2004-10-31,134.9,7365944.0,19355.2353,19.1098,5.458,0.75
2004-11-30,142.38,3687904.0,20427.7363,20.1687,5.7605,0.75
2004-12-31,139.4,1960742.0,20024.5029,19.7473,5.6401,0.75
2005-01-31,132.3,7793354.0,19087.2648,18.7415,5.3529,0.75
2005-02-28,122.88,5436518.0,17797.7302,17.4063,4.9715,0.75
2005-03-31,111.6,5786638.0,16165.1704,13.5785,2.7425,0.75
2005-04-30,110.0,13536058.0,15933.4117,13.3838,2.7032,0.75
2005-05-31,130.3,12712296.0,18873.8504,15.8537,3.202,0.75
2005-06-30,137.88,24784334.0,20810.9075,16.7754,3.3882,0.75
2005-07-31,129.88,19056082.0,19731.8047,15.802,3.1916,0.75
2005-08-31,126.83,38415432.0,19287.3179,15.4309,3.1166,0.75
2005-09-30,125.1,21374758.0,19173.6767,15.221,3.0742,3.0
2005-10-31,123.63,18143114.0,18948.474,15.0416,3.038,3.0
2005-11-30,139.15,17994975.0,22305.2571,16.9305,3.4195,3.0
2005-12-31,149.1,20367544.0,23896.1826,18.1412,3.664,3.0
2006-01-31,173.5,18159787.0,27845.969,21.1099,4.2636,3.0
2006-02-28,173.6,9216509.0,27862.0186,21.1221,4.2661,3.0
2006-03-31,208.45,26530656.0,33510.5672,22.1194,5.0811,3.0
2006-04-30,200.15,14496751.0,32039.6068,21.2386,4.8788,3.0
2006-05-31,191.0,7494978.0,30705.293,20.2677,4.6558,3.0
2006-06-30,151.75,8439380.0,24458.3067,16.1027,3.699,3.0
2006-07-31,154.7,27756202.0,24934.7479,16.4158,3.7709,3.0
2006-08-31,176.3,32093387.0,28416.2641,18.7078,4.2975,3.0
2006-09-30,185.35,15934366.0,29874.9549,19.6681,4.5181,3.0
2006-10-31,227.55,22853987.0,36841.9165,24.1461,5.5467,3.0
2006-11-30,262.75,34317611.0,42623.5419,27.8813,6.4047,3.0
2006-12-31,303.75,45241334.0,49325.9021,32.232,7.4042,3.0
2007-01-31,279.85,20428322.0,45457.6604,29.6959,6.8216,3.0
2007-02-28,259.0,31528820.0,42076.5687,27.4834,6.3133,3.0
2007-03-31,282.75,20435178.0,46177.3428,32.3379,5.837,3.0
2007-04-30,313.75,12633277.0,51240.2065,35.8834,6.4769,3.0
2007-05-31,306.4,17662174.0,50324.2691,35.0428,6.3252,3.0
2007-06-30,328.5,14661543.0,53974.3906,37.5704,6.7814,3.0
2007-07-31,282.6,20189785.0,46458.0843,32.3208,5.8339,3.0
