AISG IN Equity,price,volume,mc,pe,bm,div
2002-03-31,13.82,1690403.0,2220.0,18.7334,3.9598,0.1267
2002-04-30,17.05,743203.0,2738.0,23.1046,4.8838,0.1267
2002-05-31,16.59,1566459.0,2664.0,22.4801,4.7518,0.1267
2002-06-30,17.78,27958.0,2856.4,24.1037,5.095,0.1267
2002-07-31,16.35,381228.0,2627.0,22.1679,4.6858,0.1267
2002-08-31,16.63,44607.0,2671.4,22.5426,4.765,0.1267
2002-09-30,14.97,96202.0,2404.26,20.2883,4.2885,0.2534
2002-10-31,16.12,60778.0,2590.0,21.8557,4.6198,0.2534
2002-11-30,15.89,777469.0,2553.0,21.5434,4.5538,0.2534
2002-12-31,15.85,399709.0,2545.6,21.481,4.5406,0.2534
2003-01-31,17.85,3500581.0,2867.5,24.1973,5.1148,0.2534
2003-02-28,17.97,614456.0,2886.0,24.3534,5.1478,0.2534
2003-03-31,16.12,592344.0,2590.0,7.5269,3.3,0.2534
2003-04-30,19.58,510583.0,3145.0,9.1398,4.0071,0.2534
2003-05-31,24.42,944506.0,3922.0,11.3978,4.9971,0.2534
2003-06-30,26.56,2345031.0,4266.1,12.3978,5.4355,0.2534
2003-07-31,33.38,2178901.0,5361.3,15.5806,6.8309,0.2534
2003-08-31,38.12,1517575.0,6123.5,17.7957,7.8021,0.2534
2003-09-30,44.13,1117368.0,7660.5509,20.6022,9.0325,0.691
2003-10-31,46.39,789785.0,8052.3745,21.6559,9.4945,0.691
2003-11-30,55.17,2664103.0,9575.6649,25.7527,11.2906,0.691
2003-12-31,67.61,3049660.0,11734.6874,31.5591,13.8363,0.691
2004-01-31,60.88,1323800.0,10567.216,28.4194,12.4597,0.691
2004-02-29,56.99,1191472.0,9891.5219,26.6022,11.663,0.691
2004-03-31,57.7,1539913.0,10015.4658,14.0572,7.7001,0.691
2004-04-30,57.93,812551.0,10055.4477,14.1134,7.7308,0.691
2004-05-31,45.82,972496.0,7952.3998,11.1616,6.114,0.691
2004-06-30,43.95,527651.0,7628.5464,10.7071,5.865,0.691
2004-07-31,48.79,1247274.0,8468.1663,11.8855,6.5105,1.0366
2004-08-31,56.41,1880214.0,9791.5671,13.743,7.528,1.0366
2004-09-30,57.96,958508.0,10059.4459,14.119,7.7339,1.0366
2004-10-31,55.61,646608.0,9651.6305,13.5466,7.4204,1.0366
2004-11-30,62.47,1302139.0,10843.0911,15.2189,8.3364,0.9214
2004-12-31,68.44,1321147.0,11878.6223,16.6723,9.1325,0.9214
2005-01-31,75.76,3040465.0,13150.0467,18.4568,10.11,0.9214
2005-02-28,77.3,1566763.0,13417.9254,18.8328,10.316,0.9214
2005-03-31,77.44,3298078.0,13441.9145,17.5138,7.6183,0.9214
2005-04-30,77.86,2263022.0,13513.882,17.6076,7.6591,0.9214
2005-05-31,82.83,8495260.0,14377.491,18.7328,8.1485,0.9214
2005-06-30,79.38,2605726.0,13777.7625,17.9514,7.8086,0.9214
2005-07-31,79.31,2958220.0,13765.7679,17.9358,7.8018,0.691
2005-08-31,74.19,6281750.0,12877.5579,16.7793,7.2988,0.691
2005-09-30,70.9,5606618.0,12306.4286,16.0344,6.9747,0.691
2005-10-31,71.13,4471497.0,12346.4105,16.0865,6.9974,0.691
2005-11-30,82.6,4797849.0,14337.5091,18.6807,8.1259,0.691
2005-12-31,83.75,3856451.0,14537.4186,18.9412,8.2392,0.691
2006-01-31,100.52,6984891.0,17448.1008,22.7336,9.8888,0.691
2006-02-28,102.18,4226828.0,17735.9705,23.1087,10.052,0.691
2006-03-31,90.2,3552134.0,15656.9118,15.8567,6.2181,0.691
2006-04-30,93.2,2016728.0,16096.7126,16.3831,6.4245,0.691
2006-05-31,85.69,3757890.0,14873.2665,15.0631,5.9068,0.691
2006-06-30,79.19,3254399.0,13745.777,13.9212,5.4591,0.691
2006-07-31,77.44,1172941.0,13441.9145,13.6134,5.3384,0.5528
2006-08-31,79.98,2606146.0,13881.7154,14.0589,5.5131,0.5528
2006-09-30,105.96,5329207.0,18391.6737,18.6264,7.3042,0.5528
2006-10-31,109.42,4642361.0,18991.4021,19.2337,7.5423,0.5528
2006-11-30,122.78,4396869.0,21310.3523,21.5823,8.4633,0.5528
2006-12-31,122.04,2763786.0,21182.4102,21.4527,8.4125,0.5528
2007-01-31,128.35,1673388.0,22277.9143,22.5622,8.8476,0.5528
2007-02-28,113.47,2029872.0,19695.0836,19.9464,7.8218,0.5528
2007-03-31,109.88,1111381.0,19071.3659,44.0244,6.7326,0.5989
2007-04-30,106.93,1197674.0,18559.5976,42.843,6.5519,0.5989
2007-05-31,95.87,1842354.0,16640.4665,38.4129,5.8744,0.5989
2007-06-30,95.96,5303802.0,16656.4592,38.4498,5.8801,0.5989
2007-07-31,96.47,5865653.0,16744.4194,38.6529,5.9111,0.5989
2007-08-31,98.27,2599221.0,17056.2782,39.3728,6.0212,0.0
2007-09-30,98.59,1646232.0,17112.2953,39.502,6.041,0.0
2007-10-31,92.65,3421529.0,16080.7598,37.1208,5.6768,0.0
2007-11-30,92.42,3124702.0,16040.7778,37.0285,5.6627,0.0
2007-12-31,107.94,2410609.0,18735.5645,43.2491,6.614,0.0
2008-01-31,91.08,3524356.0,15808.8822,36.4932,5.5808,0.0
2008-02-29,78.69,1312946.0,13657.8507,31.5277,4.8215,0.0
2008-03-31,61.64,1303967.0,10699.1828,152.4095,3.6677,0.0
2008-04-30,56.2,2591484.0,9755.6076,138.9683,3.3443,0.0
2008-05-31,53.53,4998231.0,9291.8164,132.3616,3.1853,0.0
2008-06-30,50.72,1618835.0,8804.0361,125.4132,3.0181,0.0
2008-07-31,48.7,1450977.0,8452.1945,120.4012,2.8975,0.0
2008-08-31,47.82,7710417.0,8300.2629,118.237,2.8454,0.0
2008-09-30,48.37,7400398.0,8396.2197,119.6039,2.8783,0.0
2008-10-31,37.5,2626699.0,6509.0693,92.7215,2.2313,0.0
2008-11-30,37.96,749841.0,6589.0333,93.8606,2.2588,0.0
2008-12-31,36.81,1449502.0,6389.1234,91.0129,2.1902,0.0
2009-01-31,36.9,830369.0,6405.1162,91.2407,2.1957,0.0
2009-02-28,35.06,219636.0,6085.2602,86.6843,2.0861,0.0
2009-03-31,38.1,563754.0,6613.0225,88.1651,3.3575,0.0
2009-04-30,37.96,375323.0,6589.0333,88.1651,3.3454,0.0
2009-05-31,56.71,937209.0,9843.568,88.1651,4.9977,0.0
2009-06-30,46.07,1615232.0,7996.3997,88.1651,4.0599,0.0
2009-07-31,54.96,5298834.0,9539.7048,88.1651,4.8435,0.0
2009-08-31,51.41,3158558.0,8923.9821,88.1651,4.5308,0.0
2009-09-30,57.82,25103794.0,10035.4816,88.1651,5.0952,0.0
2009-10-31,61.04,25207449.0,10595.2296,88.1651,5.3794,0.0
2009-11-30,56.62,4846967.0,9827.5752,88.1651,4.9896,0.0
2009-12-31,62.33,7016511.0,10819.1288,88.1651,5.493,0.0
2010-01-31,59.8,10389026.0,10379.3268,88.1651,5.2698,0.0
2010-02-28,57.36,2562769.0,9955.5176,88.1651,5.0546,0.0
2010-03-31,54.59,7870501.0,9475.7336,493.75,4.7629,0.0
2010-04-30,61.87,4646215.0,10739.1648,559.5833,5.3979,0.0
2010-05-31,62.15,5087141.0,10787.1432,562.0833,5.422,0.0
2010-06-30,62.56,4496683.0,10859.1108,565.8333,5.4582,0.0
2010-07-31,64.73,6298092.0,11234.9416,585.4167,5.6471,0.0
2010-08-31,75.09,12370073.0,13034.1315,679.1667,6.5514,0.0
2010-09-30,89.05,9127462.0,15457.0406,805.4167,7.7693,0.0
2010-10-31,99.65,5137623.0,17296.2125,901.25,8.6937,0.0
2010-11-30,90.25,3410613.0,15664.947,816.25,7.8738,0.0
2010-12-31,88.04,5190240.0,15281.1198,796.25,7.6809,0.0
2011-01-31,80.94,3386134.0,14049.6743,732.0833,7.0619,0.0
2011-02-28,73.07,1149215.0,12682.2899,660.8333,6.3746,0.0
2011-03-31,82.05,1331494.0,14241.5878,84.8095,6.5954,0.0
2011-04-30,96.15,2115969.0,16688.4862,99.381,7.7286,0.0
2011-05-31,77.4,1066668.0,13433.9515,80.0,6.2214,0.0
2011-06-30,74.4,935000.0,12914.1855,76.9048,5.9807,0.0
2011-07-31,75.42,838523.0,13090.1063,77.9524,6.0622,0.0
2011-08-31,62.56,1014392.0,10859.1108,64.6667,5.029,0.0
2011-09-30,61.73,427817.0,10715.1756,63.8095,4.9623,0.0
2011-10-31,58.09,532061.0,10083.46,60.0476,4.6698,0.0
2011-11-30,51.6,1477877.0,8955.9677,53.3333,4.1476,0.0
2011-12-31,49.76,957523.0,8636.1117,51.4286,3.9995,0.0
2012-01-31,54.41,1081980.0,9443.748,56.2381,4.3735,0.0
2012-02-29,55.1,1214614.0,9563.694,56.9524,4.4291,0.0
2012-03-31,52.15,2710606.0,9051.902,54.0952,6.5211,0.0
2012-04-30,66.71,2823716.0,11578.758,54.0952,8.3414,0.0
2012-05-31,54.5,741468.0,9459.7174,54.0952,6.8149,0.0
2012-06-30,55.28,378316.0,9595.6558,54.0952,6.9128,0.0
2012-07-31,55.51,1076588.0,9635.6377,54.0952,6.9416,0.0
2012-08-31,64.22,1402134.0,11146.9535,54.0952,8.0304,0.0
2012-09-30,63.58,1317525.0,11035.0042,54.0952,7.9497,0.0
2012-10-31,59.89,822180.0,10395.2938,54.0952,7.4889,0.0
2012-11-30,54.68,507813.0,9491.7029,54.0952,6.8379,0.0
2012-12-31,48.65,486189.0,8444.1771,54.0952,6.0833,0.0
2013-01-31,45.7,971227.0,7932.4088,54.0952,5.7146,0.0
2013-02-28,45.7,755865.0,7932.4088,54.0952,5.7146,0.0
2013-03-31,44.32,8995242.0,7692.5174,54.0952,8.5463,0.0
2013-04-30,43.81,951522.0,7604.5572,54.0952,8.4486,0.0
2013-05-31,37.45,1255603.0,6501.0568,54.0952,7.2226,0.0
