SHYAMMET IN Equity,price,volume,mc,pe,bm,div
2021-06-30,369.6,47685883.0,94277.8223,10.2382,2.3759,0.0
2021-07-31,436.4,67425408.0,111317.2122,12.0886,2.8054,0.0
2021-08-31,391.65,21020468.0,99902.3515,10.849,2.5177,0.0
2021-09-30,368.75,15328980.0,94061.0037,10.2147,2.3705,2.7
2021-10-31,336.65,13649762.0,85872.9136,9.3255,2.1641,2.7
2021-11-30,311.2,9099849.0,79381.1101,8.6205,2.0005,4.95
2021-12-31,342.85,10145090.0,87454.4139,9.4972,2.204,4.95
2022-01-31,327.7,7132314.0,83589.9415,9.0776,2.1066,4.95
2022-02-28,305.6,6343328.0,77952.6583,8.4654,1.9645,7.2
2022-03-31,362.35,12457907.0,92428.4873,5.2583,1.5841,7.2
2022-04-30,326.8,5678598.0,83360.3688,4.7424,1.4287,7.2
2022-05-31,312.85,6363617.0,79801.9932,4.54,1.3677,7.2
2022-06-30,280.45,2233170.0,71537.3789,4.0698,1.2261,7.2
2022-07-31,301.85,1781398.0,76996.1057,4.3804,1.3196,7.2
2022-08-31,302.1,2403897.0,77059.8758,4.384,1.3207,9.0
2022-09-30,286.3,3918304.0,73029.601,4.1547,1.2516,9.0
2022-10-31,305.8,2550747.0,78003.6744,4.4377,1.3369,9.0
2022-11-30,294.35,3084211.0,75083.0005,4.2715,1.2868,6.75
2022-12-31,313.6,5289857.0,79993.3038,4.5509,1.371,6.75
2023-01-31,303.4,4826076.0,77391.4807,4.4028,1.3264,6.75
2023-02-28,270.1,2492086.0,68897.2938,3.9196,1.1808,4.5
2023-03-31,262.85,3657997.0,67047.9588,7.8651,0.9215,4.5
2023-04-30,294.3,2207982.0,75070.2465,8.8061,1.0318,4.5
2023-05-31,295.8,2668829.0,75452.8675,8.851,1.037,4.5
2023-06-30,358.85,12189570.0,91535.7049,10.7376,1.2581,6.3
2023-07-31,394.95,9946073.0,100744.1177,11.8178,1.3846,6.3
2023-08-31,466.7,19387633.0,119046.1571,13.9647,1.6362,4.5
2023-09-30,441.4,37626108.0,112592.6157,13.2077,1.5475,1.8
2023-10-31,440.8,19073316.0,112439.5673,13.1897,1.5454,1.8
2023-11-30,469.9,13195910.0,119862.4153,14.0604,1.6474,1.8
2023-12-31,627.8,40157587.0,160139.6559,18.7852,2.2009,1.8
2024-01-31,704.8,46721544.0,196732.13,21.0892,2.4709,1.8
2024-02-29,649.9,14776091.0,181407.7913,19.4464,2.2784,1.8
2024-03-31,591.35,21018001.0,165064.6213,14.873,1.7044,1.8
2024-04-30,629.05,12081045.0,175587.8921,15.8212,1.8131,1.8
2024-05-31,609.75,13928339.0,170200.6474,15.3358,1.7574,1.8
2024-06-30,669.4,11534978.0,186850.8624,16.836,1.9294,1.8
2024-07-31,740.15,21085269.0,206599.441,18.6154,2.1333,1.8
2024-08-31,797.35,45962367.0,222565.783,20.0541,2.2981,2.7
2024-09-30,907.9,22693430.0,253423.8093,22.8345,2.6168,2.7
2024-10-31,848.45,9663192.0,236829.4207,21.3393,2.4454,2.7
2024-11-30,834.6,6392227.0,232963.4445,20.9909,2.4055,2.7
2024-12-31,729.4,4517266.0,203598.7736,18.3451,2.1023,2.7
2025-01-31,763.4,15458331.0,213089.2566,19.2002,2.2003,2.7
2025-02-28,711.35,5127553.0,198560.4436,17.8911,2.0503,4.95
2025-03-31,853.3,10120138.0,238183.2102,26.1264,2.2496,4.95
2025-04-30,860.85,8305028.0,240290.6557,26.3576,2.2695,4.95
2025-05-31,843.1,13515015.0,235336.0653,25.8141,2.2227,4.95
2025-06-30,870.4,6354738.0,242956.3649,26.65,2.2947,4.95
2025-07-31,986.6,14015244.0,275391.4862,30.2078,2.601,6.75
2025-08-31,905.3,4335913.0,252698.0665,27.7186,2.3867,6.3
2025-09-30,913.3,3865361.0,254931.1213,27.9635,2.4078,6.3
2025-10-31,877.85,4610977.0,245035.8972,26.8781,2.3143,6.3
2025-11-30,813.9,5016458.0,227185.4152,24.9201,2.1457,6.3
2025-12-31,847.65,3754823.0,236606.1152,25.9534,2.2347,6.3
2026-01-31,856.25,3831116.0,239006.6491,26.2167,2.2574,6.3
2026-02-28,860.3,3041009.0,240137.1331,26.3407,2.2681,4.05
2026-03-31,807.9,644478.0,225510.6309,24.7364,2.1299,4.05
