MAHGL IN Equity,price,volume,mc,pe,bm,div
2020-12-31,1061.2,22155466.0,104822.9759,13.2105,3.5501,35.0
2021-01-31,1035.1,19232307.0,102244.8759,12.8856,3.4628,35.0
2021-02-28,1158.4,20580718.0,114424.1757,14.4205,3.8753,34.5
2021-03-31,1168.95,14575571.0,115466.2836,18.6376,3.5722,34.5
2021-04-30,1125.35,9493128.0,111159.5725,17.9424,3.4389,34.5
2021-05-31,1191.15,14279302.0,117659.1503,18.9915,3.64,34.5
2021-06-30,1136.5,16417729.0,112260.9447,18.1202,3.473,34.5
2021-07-31,1167.35,12572437.0,115308.2391,18.6121,3.5673,34.5
2021-08-31,1146.65,7647314.0,113263.5391,18.282,3.504,34.5
2021-09-30,1082.65,8661507.0,106941.7614,17.2616,3.3085,23.0
2021-10-31,1003.15,10802408.0,99088.928,15.9941,3.0655,23.0
2021-11-30,917.3,8484163.0,90608.8558,14.6253,2.8032,23.0
2021-12-31,862.95,13885473.0,85240.2835,13.7588,2.6371,23.0
2022-01-31,819.35,12694861.0,80933.5724,13.0636,2.5038,23.0
2022-02-28,727.65,12809523.0,71875.6502,11.6016,2.2236,23.5
2022-03-31,779.05,19530015.0,76952.828,12.8918,2.1392,23.5
2022-04-30,769.2,11736914.0,75979.8668,12.7288,2.1121,23.5
2022-05-31,756.4,9348164.0,74715.5113,12.517,2.077,23.5
2022-06-30,760.6,10088611.0,75130.3779,12.5865,2.0885,23.5
2022-07-31,753.7,6829565.0,74448.8113,12.4723,2.0696,23.5
2022-08-31,868.45,19223718.0,85783.5613,14.3712,2.3846,25.0
2022-09-30,832.15,12826660.0,82197.928,13.7705,2.285,25.0
2022-10-31,861.65,11122404.0,85111.8724,14.2586,2.366,25.0
2022-11-30,902.75,10567708.0,89171.6391,14.9388,2.4788,25.0
2022-12-31,838.25,8191043.0,82800.4724,13.8714,2.3017,25.0
2023-01-31,883.95,4239683.0,87314.6169,14.6277,2.4272,25.0
2023-02-28,895.85,7577929.0,88490.0724,14.8246,2.4599,25.5
2023-03-31,983.45,17297236.0,97143.0058,12.2962,2.3497,25.5
2023-04-30,1008.65,12765943.0,99632.2058,12.6113,2.4099,25.5
2023-05-31,1057.8,16396569.0,104487.1336,13.2258,2.5274,25.5
2023-06-30,1048.5,7124947.0,103568.5002,13.1095,2.5052,25.5
2023-07-31,1118.3,9077738.0,110463.1891,13.9822,2.6719,25.5
2023-08-31,1024.0,12924268.0,101148.4447,12.8032,2.4466,26.0
2023-09-30,1028.85,8997875.0,101627.5169,12.8638,2.4582,26.0
2023-10-31,1032.4,21249268.0,101978.178,12.9082,2.4667,26.0
2023-11-30,1041.35,6173031.0,102862.2391,13.0201,2.4881,26.0
2023-12-31,1200.5,12480344.0,118582.7225,15.01,2.8683,26.0
2024-01-31,1479.25,15532943.0,146117.0281,18.4952,3.5343,26.0
2024-02-29,1484.35,8862205.0,146620.7948,18.559,3.5465,28.0
2024-03-31,1364.05,22103573.0,134737.8281,10.4879,2.6222,28.0
2024-04-30,1443.5,8582077.0,142585.7225,11.0987,2.7749,28.0
2024-05-31,1298.0,9238368.0,128213.5558,9.98,2.4952,28.0
2024-06-30,1596.9,16281117.0,157738.2337,12.2782,3.0698,28.0
2024-07-31,1869.55,26198637.0,184669.9949,14.3745,3.5939,28.0
2024-08-31,1792.1,8491552.0,177019.656,13.779,3.445,30.0
2024-09-30,1940.4,18243327.0,191668.4004,14.9193,3.7301,30.0
2024-10-31,1441.6,17848147.0,142398.0448,11.0841,2.7712,30.0
2024-11-30,1191.75,19115654.0,117718.4169,9.1631,2.291,30.0
2024-12-31,1284.4,14899574.0,126870.1781,9.8754,2.4691,30.0
2025-01-31,1379.85,23151333.0,136298.517,10.6093,2.6525,30.0
2025-02-28,1237.5,8212976.0,122237.5003,9.5148,2.3789,30.0
2025-03-31,1386.95,7926050.0,136999.8392,13.1677,2.3299,30.0
2025-04-30,1346.1,12251406.0,132964.767,12.7798,2.2612,30.0
2025-05-31,1325.2,10576842.0,130900.3114,12.5814,2.2261,30.0
2025-06-30,1483.2,20524822.0,146507.2003,14.0815,2.4915,30.0
2025-07-31,1358.1,15878736.0,134150.1003,12.8938,2.2814,30.0
2025-08-31,1251.8,5796147.0,123650.0225,11.8846,2.1028,30.0
2025-09-30,1295.1,6732002.0,127927.1003,12.2956,2.1756,30.0
2025-10-31,1276.9,5613520.0,126129.3447,12.1229,2.145,30.0
2025-11-30,1200.2,4834437.0,118553.0892,11.3947,2.0161,30.0
2025-12-31,1136.1,4662052.0,112221.4336,10.7861,1.9085,30.0
2026-01-31,1052.8,6404356.0,103993.2447,9.9953,1.7685,30.0
2026-02-28,1219.8,5695361.0,120489.1336,11.5807,2.0491,30.0
2026-03-31,1094.6,1773632.0,108122.1534,10.3921,1.8388,30.0
