AFFLE IN Equity,price,volume,mc,pe,bm,div
2020-03-31,201.09,5506530.0,25635.3222,38.4788,11.1867,0.0
2020-04-30,286.33,3244295.0,36501.8738,54.7895,15.9286,0.0
2020-05-31,308.04,3116780.0,39268.9392,58.9437,17.1364,0.0
2020-06-30,292.05,5552005.0,37230.534,55.884,16.2468,0.0
2020-07-31,337.71,8103545.0,43051.2708,64.6211,18.7869,0.0
2020-08-31,506.34,17139220.0,64548.2232,96.8886,28.1678,0.0
2020-09-30,575.01,10268200.0,73303.3299,110.0287,31.988,0.0
2020-10-31,530.88,4572700.0,67677.5566,101.5844,29.533,0.0
2020-11-30,683.7,10520670.0,87159.3306,130.8266,38.0344,0.0
2020-12-31,756.4,20267995.0,96427.26,144.7378,42.0788,0.0
2021-01-31,729.2,6340935.0,92959.7541,139.5331,40.5656,0.0
2021-02-28,1039.88,20670980.0,132565.8106,198.982,57.8488,0.0
2021-03-31,1091.56,10462120.0,139154.0718,103.2019,38.7877,0.0
2021-04-30,1104.59,6449605.0,140815.1601,104.4339,39.2507,0.0
2021-05-31,1062.5,7811230.0,141579.2459,100.4545,37.7551,0.0
2021-06-30,860.67,6960880.0,114685.1855,81.3724,30.5832,0.0
2021-07-31,837.05,6348020.0,111537.7998,79.1392,29.7439,0.0
2021-08-31,951.88,7307065.0,126839.019,89.9958,33.8243,0.0
2021-09-30,1068.89,8418345.0,142430.7255,101.0586,37.9822,0.0
2021-10-31,1050.0,9774502.0,139913.613,99.2726,37.3109,0.0
2021-11-30,1148.9,8456646.0,153092.1428,108.6232,40.8253,0.0
2021-12-31,1127.45,7915474.0,150233.9076,106.5952,40.063,0.0
2022-01-31,1310.35,22278302.0,174605.5265,123.8875,46.5623,0.0
2022-02-28,1218.25,10218458.0,162333.1038,115.1799,43.2896,0.0
2022-03-31,1260.05,6585623.0,167902.9982,78.2154,14.2518,0.0
2022-04-30,1221.75,4563349.0,162799.4826,75.838,13.8186,0.0
2022-05-31,1052.05,14692343.0,140186.7777,65.3042,11.8992,0.0
2022-06-30,1060.3,8257574.0,141286.0989,65.8163,11.9926,0.0
2022-07-31,1061.4,5320527.0,141432.6751,65.8845,12.005,0.0
2022-08-31,1309.45,14354917.0,174485.6005,81.2818,14.8106,0.0
2022-09-30,1261.15,6674779.0,168049.5743,78.2837,14.2643,0.0
2022-10-31,1154.5,4148411.0,153838.3488,71.6636,13.058,0.0
2022-11-30,1254.1,7097584.0,167110.1543,77.8461,14.1845,0.0
2022-12-31,1082.75,6272702.0,144277.5852,67.2098,12.2465,0.0
2023-01-31,1105.2,4009886.0,147269.0715,68.6034,12.5004,0.0
2023-02-28,1024.15,4598171.0,136469.0731,63.5723,11.5837,0.0
2023-03-31,987.1,4063745.0,131532.1213,53.7636,8.9728,0.0
2023-04-30,931.65,7382615.0,124143.35,50.7435,8.4688,0.0
2023-05-31,959.15,8065647.0,127807.7542,52.2413,8.7187,0.0
2023-06-30,1096.3,9129552.0,146083.1371,59.7113,9.9654,0.0
2023-07-31,1073.75,4769082.0,143078.3257,58.4831,9.7605,0.0
2023-08-31,1078.25,7195838.0,143677.9554,58.7282,9.8014,0.0
2023-09-30,1106.9,6540565.0,147495.5983,60.2887,10.0618,0.0
2023-10-31,1051.35,3147898.0,140114.5289,57.2631,9.5568,0.0
2023-11-30,1115.2,5735036.0,148623.8861,60.7407,10.1372,0.0
2023-12-31,1306.1,10545724.0,183077.4215,71.1383,11.8725,0.0
2024-01-31,1241.0,5281045.0,173952.2855,67.5926,11.2808,0.0
2024-02-29,1118.15,3963613.0,156732.2707,60.9014,10.1641,0.0
2024-03-31,1041.7,4115738.0,146055.7778,47.5445,5.8425,0.0
2024-04-30,1120.0,4644521.0,157034.1472,51.1182,6.2816,0.0
2024-05-31,1137.25,10423977.0,159452.7535,51.9055,6.3784,0.0
2024-06-30,1343.7,16439656.0,188398.9139,61.3282,7.5362,0.0
2024-07-31,1510.1,15007849.0,211785.5752,68.9229,8.4695,0.0
2024-08-31,1631.6,16857079.0,228897.2619,74.4683,9.1509,0.0
2024-09-30,1588.4,4368520.0,222892.3253,72.4966,8.9087,0.0
2024-10-31,1537.25,5318701.0,215763.8905,70.162,8.6218,0.0
2024-11-30,1619.25,5284903.0,227273.1694,73.9046,9.0817,0.0
2024-12-31,1783.25,14757988.0,250488.3306,81.3898,10.0015,0.0
2025-01-31,1507.95,5512895.0,211817.6801,68.8247,8.4574,0.0
2025-02-28,1400.25,9524228.0,196729.9581,63.9092,7.8534,0.0
2025-03-31,1608.55,5656154.0,225995.3395,59.1577,7.6622,0.0
2025-04-30,1584.0,4397684.0,222546.155,58.2548,7.5453,0.0
2025-05-31,1735.6,5626205.0,243845.3956,63.8302,8.2674,0.0
2025-06-30,1998.3,8730265.0,280833.8921,73.4915,9.5188,0.0
2025-07-31,1958.0,6538855.0,275373.5429,72.0094,9.3268,0.0
2025-08-31,1907.6,3694364.0,268285.276,70.1558,9.0868,0.0
2025-09-30,1947.7,9346428.0,273924.9487,71.6306,9.2778,0.0
2025-10-31,1930.6,3381276.0,271520.001,71.0017,9.1963,0.0
2025-11-30,1660.9,5223628.0,233650.7881,61.0829,7.9116,0.0
2025-12-31,1799.4,6054671.0,253166.8241,66.1766,8.5713,0.0
2026-01-31,1547.2,3505517.0,217779.8245,56.9014,7.37,0.0
2026-02-28,1377.2,6629435.0,193851.0692,50.6493,6.5602,0.0
2026-03-31,1364.3,989887.0,192035.3059,50.1749,6.4988,0.0
