BANDHAN IN Equity,price,volume,mc,pe,bm,div
2018-12-31,550.15,24625205.0,656221.6399,38.1519,6.2617,1.0
2019-01-31,403.95,46611672.0,481876.1427,28.0132,6.2617,1.0
2019-02-28,480.05,24197479.0,572725.6793,33.2906,6.2617,1.0
2019-03-31,526.25,14917692.0,627859.8524,32.1472,5.605,1.0
2019-04-30,599.45,16493497.0,715193.5174,36.6188,6.3847,1.0
2019-05-31,591.7,27996148.0,705951.2145,36.1454,6.3021,1.0
2019-06-30,538.75,9658762.0,642778.1103,31.1057,5.728,4.0
2019-07-31,480.75,19988790.0,573580.8953,27.7569,5.728,3.0
2019-08-31,469.6,14237225.0,560282.1662,27.1132,5.728,3.0
2019-09-30,491.9,14276499.0,586891.4037,25.5267,5.6505,3.0
2019-10-31,612.3,118528431.0,985843.4492,31.7748,7.0336,3.0
2019-11-30,581.2,50987117.0,935770.3947,30.1609,6.6763,3.0
2019-12-31,508.25,54973690.0,818320.8922,24.1679,5.797,3.0
2020-01-31,450.35,51901752.0,725097.5185,21.4146,5.797,3.0
2020-02-29,383.5,84912343.0,617483.4015,18.2359,5.797,3.0
2020-03-31,203.75,252098826.0,328081.9666,10.8493,2.1591,3.0
2020-04-30,262.35,363197106.0,422448.5216,13.9696,2.7801,3.0
2020-05-31,218.15,271768044.0,351279.1167,11.6161,2.3117,3.0
2020-06-30,319.3,435661129.0,514162.2022,18.564,3.4779,3.0
2020-07-31,345.1,330821190.0,555707.4099,20.064,3.4779,3.0
2020-08-31,305.8,954379592.0,492443.4833,17.7791,3.4779,0.0
2020-09-30,273.0,239326675.0,439624.1692,16.1826,2.6377,0.0
2020-10-31,289.45,208211004.0,466121.9132,17.1577,2.7966,0.0
2020-11-30,367.0,253582325.0,591006.4781,21.7546,3.5459,0.0
2020-12-31,402.25,226328980.0,647775.3079,24.7386,3.9237,0.0
2021-01-31,309.45,339920381.0,498359.0104,19.0314,3.9237,0.0
2021-02-28,345.25,225647859.0,556053.9182,21.2331,3.9237,0.0
2021-03-31,338.9,175131073.0,545832.0753,24.7553,3.1355,0.0
