BANDHAN IN Equity,price,volume,mc,pe,bm,div
2021-04-30,329.75,151435972.0,531097.7328,24.0869,3.0508,0.0
2021-05-31,307.4,242001534.0,495102.913,22.4543,2.8441,0.0
2021-06-30,330.25,140260236.0,531923.4838,26.2103,3.1068,0.0
2021-07-31,291.25,107163393.0,469107.3885,23.1151,3.1068,1.0
2021-08-31,285.0,154264912.0,459045.162,22.619,3.1068,1.0
2021-09-30,283.0,91764361.0,455828.2774,22.5714,3.1187,1.0
2021-10-31,291.45,204637189.0,469439.6517,22.5714,3.2118,1.0
2021-11-30,272.45,200809213.0,438838.9198,22.5714,3.0024,1.0
2021-12-31,252.7,140955464.0,407029.759,22.5714,2.7418,1.0
2022-01-31,315.55,239199254.0,508270.8621,22.5714,2.7418,1.0
2022-02-28,306.3,119536166.0,493375.3855,22.5714,2.7418,1.0
2022-03-31,307.4,247808783.0,495149.4275,394.1026,2.8488,1.0
2022-04-30,334.4,281206649.0,538640.1059,428.7179,3.099,1.0
2022-05-31,325.95,178709635.0,525031.9013,417.8846,3.0207,1.0
2022-06-30,263.5,135637161.0,424442.1824,66.5404,2.3232,1.0
2022-07-31,276.2,152563861.0,444899.1681,69.7475,2.4351,1.0
2022-08-31,278.5,147093090.0,448611.7249,70.3283,2.4554,1.0
2022-09-30,266.6,205757678.0,429444.0964,11.1362,2.3234,0.0
2022-10-31,238.55,150688264.0,384262.0807,9.9645,2.079,0.0
2022-11-30,238.4,269200752.0,384020.8373,9.9582,2.0777,0.0
2022-12-31,234.2,230753373.0,377256.8823,11.4691,2.0093,0.0
2023-01-31,244.2,166866784.0,393365.7121,11.9589,2.095,0.0
2023-02-28,230.9,114330460.0,371941.9133,11.3075,1.9809,0.0
2023-03-31,195.75,212399634.0,315321.241,14.3617,1.6101,0.0
2023-04-30,229.3,145143638.0,369369.0439,16.8232,1.886,0.0
2023-05-31,268.0,181891828.0,431709.1312,19.6625,2.2044,0.0
2023-06-30,242.05,144069286.0,389907.7914,19.1951,1.92,0.0
2023-07-31,223.4,378378942.0,359865.3195,17.7161,1.772,0.0
2023-08-31,229.6,212156415.0,369854.5161,18.2078,1.8212,1.5
2023-09-30,251.6,240281506.0,405302.13,15.9442,1.9491,1.5
2023-10-31,214.15,168862230.0,344975.1929,13.571,1.659,1.5
2023-11-30,226.1,166288021.0,364226.157,14.3283,1.7515,1.5
2023-12-31,241.4,245225455.0,388873.0398,13.0346,1.8062,1.5
2024-01-31,229.0,372713703.0,368897.8299,12.365,1.7134,1.5
2024-02-29,195.6,305248925.0,315095.5919,10.5616,1.4635,1.5
2024-03-31,180.0,229122000.0,289974.5546,13.0066,1.3419,1.5
2024-04-30,188.3,400961551.0,303345.6504,13.6064,1.4038,1.5
2024-05-31,188.3,285359223.0,303345.6504,13.6064,1.4038,1.5
2024-06-30,203.78,330756234.0,328283.501,12.7689,1.4267,1.5
2024-07-31,218.08,481363283.0,351320.3745,13.6649,1.5268,1.5
2024-08-31,200.3,350851285.0,322677.4763,12.5508,1.4023,1.5
2024-09-30,198.74,349287168.0,320164.3616,11.4818,1.3501,1.5
2024-10-31,182.21,497651420.0,293535.0487,10.5268,1.2378,1.5
2024-11-30,169.08,151112835.0,272383.0316,9.7683,1.1486,1.5
2024-12-31,159.06,176817594.0,256241.099,10.3225,1.0562,1.5
2025-01-31,151.38,178057613.0,243868.8513,9.8241,1.0052,1.5
2025-02-28,141.19,225027479.0,227453.0527,9.1628,0.9376,1.5
2025-03-31,146.28,187669069.0,235652.8971,8.5828,0.9577,1.5
2025-04-30,165.62,182010558.0,266809.0841,9.7176,1.0844,1.5
2025-05-31,170.19,166242889.0,274171.2234,9.9857,1.1143,1.5
2025-06-30,189.64,223198979.0,305504.6172,14.8698,1.222,1.5
2025-07-31,168.08,199097611.0,270772.0738,13.1793,1.0831,1.5
2025-08-31,161.8,75146067.0,260655.1733,12.6868,1.0426,1.5
2025-09-30,162.21,122524625.0,261315.6716,21.278,1.0507,1.5
2025-10-31,156.56,229866734.0,252213.6832,20.5368,1.0141,1.5
2025-11-30,150.36,140404035.0,242225.6605,19.7236,0.974,1.5
2025-12-31,145.82,158272650.0,234911.8503,23.3186,0.9359,1.5
2026-01-31,154.65,226421274.0,249136.7278,24.7307,0.9926,1.5
2026-02-28,181.98,232490178.0,293164.5763,29.1011,1.168,1.5
2026-03-31,185.09,29452091.0,298174.6915,29.5984,1.1879,1.5
