LICI IN Equity,price,volume,mc,pe,bm,div
2022-05-31,811.3,113584526.0,5131470.635,89.7894,45.2577,0.0
2022-06-30,673.9,82398144.0,4262415.951,74.5829,37.593,0.0
2022-07-31,677.8,31121683.0,4287083.442,75.0145,37.8105,0.0
2022-08-31,673.5,30320609.0,4259885.952,74.5386,37.5707,1.5
2022-09-30,621.65,34770392.0,3931934.821,68.8002,34.6783,1.5
2022-10-31,603.95,18820073.0,3819982.362,66.8413,33.6909,1.5
2022-11-30,636.3,33900857.0,4024596.037,70.4216,35.4955,1.5
2022-12-31,684.6,75468194.0,4330093.426,75.7671,38.1899,1.5
2023-01-31,653.3,36496232.0,4132120.998,72.303,36.4438,1.5
2023-02-28,578.4,40212898.0,3658378.67,64.0136,32.2656,1.5
2023-03-31,534.35,31719286.0,3379762.522,9.0576,7.3103,1.5
2023-04-30,549.9,15175018.0,3478116.236,9.3212,7.523,1.5
2023-05-31,595.15,37081919.0,3764322.382,10.0882,8.1421,1.5
2023-06-30,632.25,28277705.0,3998979.797,10.7171,8.6496,1.5
2023-07-31,639.95,18594632.0,4047682.279,10.8476,8.755,3.0
2023-08-31,645.3,30021778.0,4081521.017,10.9383,8.8282,3.0
2023-09-30,649.75,29541006.0,4109667.256,11.0137,8.8891,3.0
2023-10-31,602.25,16577691.0,3809229.865,10.2085,8.2392,3.0
2023-11-30,679.5,50563971.0,4297835.938,11.518,9.2961,3.0
2023-12-31,832.5,124521608.0,5265560.586,14.1114,11.3892,3.0
2024-01-31,949.75,110373697.0,6007166.567,16.0989,12.9933,3.0
2024-02-29,1022.8,170322179.0,6469207.649,17.3371,13.9927,4.0
2024-03-31,916.15,75083838.0,5794646.644,16.5903,7.0029,4.0
2024-04-30,978.25,59481869.0,6187429.001,17.7148,7.4775,4.0
2024-05-31,1012.7,76922905.0,6405325.172,18.3387,7.7409,4.0
2024-06-30,988.75,77537471.0,6253841.477,17.905,7.5578,4.0
2024-07-31,1176.1,113555100.0,7438829.796,21.2976,8.9899,10.0
2024-08-31,1064.25,61952009.0,6731378.803,19.2722,8.1349,10.0
2024-09-30,1006.95,24785498.0,6368956.435,18.2345,7.6969,10.0
2024-10-31,923.05,28228548.0,5838289.128,16.7152,7.0556,10.0
2024-11-30,985.5,29087584.0,6233285.234,17.8461,7.533,10.0
2024-12-31,892.0,32995058.0,5641897.949,16.1529,6.8183,10.0
2025-01-31,845.45,24228260.0,5347469.306,15.31,6.4624,10.0
2025-02-28,740.5,24849367.0,4683660.798,13.4095,5.6602,6.0
2025-03-31,799.4,25337270.0,5056203.162,10.5445,3.9742,6.0
2025-04-30,795.75,18372695.0,5033116.921,10.4963,3.956,6.0
2025-05-31,954.45,54787987.0,6036894.056,12.5897,4.745,6.0
2025-06-30,972.8,27759151.0,6152957.764,12.8317,4.8362,6.0
2025-07-31,895.0,16903205.0,5660872.942,11.8055,4.4494,12.0
2025-08-31,852.15,23341009.0,5389846.791,11.2403,4.2364,12.0
2025-09-30,900.35,24327737.0,5694711.68,11.8761,4.476,12.0
2025-10-31,894.7,22403310.0,5658975.443,11.8016,4.448,12.0
2025-11-30,894.45,39651970.0,5657394.194,11.7983,4.4467,12.0
2025-12-31,854.9,23983953.0,5407240.535,11.2766,4.2501,12.0
2026-01-31,824.5,19543964.0,5214960.605,10.8756,4.099,12.0
2026-02-28,849.4,40640983.0,5372453.047,11.204,4.2228,12.0
2026-03-31,833.0,3855776.0,5268723.085,10.9877,4.1412,12.0
